,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,-0.1,-0.23,201.0,volatile,0.0
1,0.0,0,-0.97,-0.45,1581.0,volatile,0.0
2,1.0,0,-0.62,-0.54,1800.0,volatile,0.0
3,1.0,1,-0.16,-0.99,879.0,volatile,0.0
4,1.0,0,-0.4,-0.72,443.0,volatile,0.0
5,1.0,0,-0.88,-0.98,281.0,volatile,0.0
6,0.0,0,-0.54,-0.06,1091.0,volatile,0.0
7,1.0,0,-0.55,-0.64,1046.0,volatile,0.0
8,1.0,0,-0.45,-0.96,1528.0,volatile,0.0
9,1.0,0,-0.19,-0.28,139.0,volatile,0.0
10,1.0,0,-0.26,-0.95,359.0,volatile,0.0
11,1.0,0,-0.29,-0.9,420.0,volatile,0.0
12,1.0,0,-0.53,-0.2,2180.0,volatile,0.0
13,1.0,0,-0.56,-0.74,1442.0,volatile,0.0
14,1.0,0,-0.42,-0.18,1936.0,volatile,0.0
15,0.0,0,-0.91,-0.11,2017.0,volatile,0.0
16,1.0,1,-0.31,-0.32,814.0,volatile,0.0
17,1.0,1,-0.65,-0.36,709.0,volatile,0.0
18,0.0,1,-0.3,-0.4,132.0,volatile,0.0
19,0.0,0,-0.26,-0.29,279.0,volatile,0.0
20,0.0,1,-0.36,-0.32,799.0,volatile,0.0
21,0.0,0,-0.81,-0.72,278.0,volatile,0.0
22,1.0,1,-0.54,-0.95,1860.0,volatile,0.0
23,0.0,1,-0.59,-0.4,616.0,volatile,0.0
24,0.0,1,-0.24,-0.29,1200.0,volatile,0.0
25,0.0,1,-0.51,-0.6,341.0,volatile,0.0
26,,1,-0.65,-0.83,,volatile,0.0
27,0.0,0,-0.98,-0.78,348.0,volatile,0.0
28,0.0,1,-0.51,-0.56,985.0,volatile,0.0
29,0.0,1,-0.2,-0.05,1043.0,volatile,0.0
30,1.0,1,-0.02,-0.67,1280.0,volatile,0.0
31,0.0,1,-0.84,-0.85,940.0,volatile,0.0
