,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.01,0.2,2187.0,volatile,0.0
1,1.0,1,0.12,0.43,2072.0,volatile,0.0
2,0.0,1,0.9,0.21,1340.0,volatile,0.0
3,1.0,0,0.62,0.26,860.0,volatile,0.0
4,0.0,1,0.19,0.95,440.0,volatile,0.0
5,1.0,1,0.61,0.1,361.0,volatile,0.0
6,0.0,1,0.12,0.9,385.0,volatile,0.0
7,0.0,1,0.99,0.47,338.0,volatile,0.0
8,1.0,1,0.06,0.08,640.0,volatile,0.0
9,,1,0.81,0.29,,volatile,0.0
10,0.0,1,0.34,0.49,517.0,volatile,0.0
11,0.0,1,0.99,0.74,556.0,volatile,0.0
12,1.0,1,0.87,0.8,561.0,volatile,0.0
13,0.0,1,0.28,0.02,880.0,volatile,0.0
14,1.0,1,0.81,0.4,361.0,volatile,0.0
15,0.0,1,0.78,0.45,500.0,volatile,0.0
16,1.0,0,0.28,0.28,885.0,volatile,0.0
17,1.0,0,0.19,0.27,441.0,volatile,0.0
18,1.0,0,0.28,0.32,474.0,volatile,0.0
19,0.0,1,0.17,0.85,340.0,volatile,0.0
20,1.0,0,0.94,0.39,619.0,volatile,0.0
21,0.0,1,0.43,0.72,360.0,volatile,0.0
22,1.0,0,0.59,0.35,2409.0,volatile,0.0
23,1.0,0,0.83,0.85,44.0,volatile,0.0
24,1.0,0,0.81,0.89,323.0,volatile,0.0
25,1.0,0,0.99,0.93,71.0,volatile,0.0
26,0.0,0,0.5,0.42,360.0,volatile,0.0
27,0.0,1,0.73,0.46,780.0,volatile,0.0
28,1.0,0,0.51,0.5,400.0,volatile,0.0
29,0.0,0,0.03,0.74,373.0,volatile,0.0
30,0.0,0,0.32,0.85,749.0,volatile,0.0
31,1.0,0,0.68,0.3,525.0,volatile,0.0
32,0.0,1,0.25,0.12,720.0,volatile,0.0
33,0.0,0,0.46,0.52,360.0,volatile,0.0
34,0.0,0,0.12,0.87,419.0,volatile,0.0
35,1.0,0,0.76,0.29,424.0,volatile,0.0
36,1.0,1,0.82,0.42,340.0,volatile,0.0
37,0.0,0,0.39,0.65,673.0,volatile,0.0
