,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,0,-0.37,-0.44,755,stable,0
1,0.0,0,-0.12,-0.66,800,stable,0
2,1.0,0,-0.02,-0.98,909,stable,0
3,1.0,1,-0.95,-0.57,633,stable,0
4,0.0,0,-0.08,-0.28,819,stable,0
5,1.0,0,-0.33,-0.3,529,stable,0
6,1.0,0,-0.24,-0.27,507,stable,0
7,1.0,1,-0.43,-0.58,590,stable,0
8,1.0,0,-0.47,-0.72,1920,stable,0
9,1.0,1,-0.44,-0.45,868,stable,0
10,1.0,0,-0.26,-0.69,799,stable,0
11,0.0,0,-0.41,-0.06,528,stable,0
12,1.0,1,-0.34,-0.88,732,stable,0
13,1.0,1,-0.2,-0.73,1110,stable,0
14,0.0,0,-0.25,-0.6,1665,stable,0
15,1.0,1,-0.06,-0.98,732,stable,0
16,0.0,1,-0.39,-0.48,1526,stable,0
17,0.0,0,-0.95,-0.35,674,stable,0
18,0.0,0,-0.85,-0.67,605,stable,0
19,1.0,0,-0.22,-0.54,587,stable,0
20,1.0,1,-0.9,-0.23,900,stable,0
21,1.0,0,-0.41,-0.98,547,stable,0
22,1.0,0,-0.8,-0.58,637,stable,0
23,1.0,1,-0.85,-0.52,644,stable,0
24,1.0,1,-0.15,-0.83,716,stable,0
25,1.0,0,-0.16,-0.18,793,stable,0
26,1.0,0,-0.7,-0.56,723,stable,0
27,1.0,0,-0.95,-0.59,653,stable,0
28,1.0,0,-0.18,-0.68,579,stable,0
29,1.0,0,-0.16,-0.3,498,stable,0
30,1.0,1,-0.37,-0.86,929,stable,0
31,0.0,0,-0.44,-0.47,800,stable,0
32,0.0,0,-0.91,-0.03,532,stable,0
33,1.0,1,-0.1,-0.6,2619,stable,0
34,0.0,0,-0.84,-0.54,1254,stable,0
35,1.0,0,-0.95,-0.34,1870,stable,0
36,1.0,1,-0.28,-0.96,599,stable,0
37,1.0,0,-0.94,-0.83,899,stable,0
38,1.0,0,-0.86,-0.23,685,stable,0
