,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,0.2,0.01,967,volatile,0
1,0.0,0,0.43,0.12,913,volatile,0
2,0.0,0,0.21,0.9,937,volatile,0
3,0.0,1,0.26,0.62,1325,volatile,0
4,1.0,0,0.95,0.19,1146,volatile,0
5,0.0,0,0.1,0.61,1184,volatile,0
6,1.0,0,0.9,0.12,965,volatile,0
7,0.0,0,0.47,0.99,1166,volatile,0
8,0.0,0,0.08,0.06,1305,volatile,0
9,0.0,0,0.29,0.81,746,volatile,0
10,0.0,0,0.49,0.34,733,volatile,0
11,0.0,0,0.74,0.99,673,volatile,0
12,0.0,0,0.8,0.87,696,volatile,0
13,0.0,0,0.02,0.28,720,volatile,0
14,0.0,0,0.4,0.81,783,volatile,0
15,0.0,0,0.45,0.78,645,volatile,0
16,0.0,1,0.28,0.28,1001,volatile,0
17,0.0,1,0.27,0.19,3026,volatile,0
18,1.0,1,0.32,0.28,763,volatile,0
19,1.0,0,0.85,0.17,1360,volatile,0
20,1.0,1,0.39,0.94,589,volatile,0
21,1.0,0,0.72,0.43,785,volatile,0
22,1.0,1,0.35,0.59,675,volatile,0
23,1.0,1,0.85,0.83,1516,volatile,0
24,1.0,1,0.89,0.81,861,volatile,0
25,1.0,1,0.93,0.99,971,volatile,0
26,1.0,1,0.42,0.5,949,volatile,0
27,1.0,0,0.46,0.73,808,volatile,0
28,1.0,1,0.5,0.51,931,volatile,0
29,1.0,1,0.74,0.03,844,volatile,0
30,1.0,1,0.85,0.32,390,volatile,0
31,0.0,1,0.3,0.68,982,volatile,0
32,1.0,0,0.12,0.25,1125,volatile,0
33,0.0,1,0.52,0.46,1352,volatile,0
34,1.0,1,0.87,0.12,854,volatile,0
35,0.0,1,0.29,0.76,978,volatile,0
36,0.0,0,0.42,0.82,646,volatile,0
37,1.0,1,0.65,0.39,752,volatile,0
38,1.0,1,0.15,0.15,921,volatile,0
39,1.0,0,0.42,0.87,727,volatile,0
40,1.0,0,0.26,0.24,746,volatile,0
41,0.0,0,0.5,0.4,698,volatile,0
42,0.0,0,0.61,0.66,1357,volatile,0
43,0.0,0,0.14,0.95,734,volatile,0
44,0.0,0,0.11,0.33,1047,volatile,0
45,0.0,0,0.68,0.4,1231,volatile,0
46,0.0,0,0.3,0.45,875,volatile,0
47,0.0,1,0.7,0.52,873,volatile,0
48,0.0,0,0.64,0.79,651,volatile,0
49,0.0,0,0.19,0.67,1034,volatile,0
50,0.0,0,0.22,0.11,626,volatile,0
51,0.0,1,0.21,0.1,914,volatile,0
52,0.0,0,0.13,0.76,1098,volatile,0
53,0.0,0,0.61,0.28,757,volatile,0
54,0.0,1,0.74,0.56,1069,volatile,0
55,1.0,0,0.34,0.39,998,volatile,0
56,0.0,0,0.18,0.89,823,volatile,0
57,0.0,0,0.78,0.54,817,volatile,0
58,1.0,0,0.87,0.02,1089,volatile,0
59,0.0,0,0.17,0.57,796,volatile,0
60,1.0,1,0.35,0.22,894,volatile,0
61,0.0,0,0.21,0.88,1168,volatile,0
62,1.0,1,0.46,0.19,1152,volatile,0
63,0.0,1,0.06,0.53,1133,volatile,0
64,1.0,1,0.69,0.55,1195,volatile,0
