,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,0.2,0.01,1044,volatile,0
1,1.0,0,0.43,0.12,1157,volatile,0
2,0.0,0,0.21,0.9,800,volatile,0
3,0.0,1,0.26,0.62,967,volatile,0
4,0.0,0,0.95,0.19,759,volatile,0
5,0.0,0,0.1,0.61,847,volatile,0
6,0.0,0,0.9,0.12,1519,volatile,0
7,0.0,0,0.47,0.99,736,volatile,0
8,0.0,0,0.08,0.06,734,volatile,0
9,0.0,0,0.29,0.81,708,volatile,0
10,0.0,0,0.49,0.34,540,volatile,0
11,0.0,0,0.74,0.99,874,volatile,0
12,0.0,0,0.8,0.87,764,volatile,0
13,0.0,0,0.02,0.28,739,volatile,0
14,0.0,0,0.4,0.81,795,volatile,0
15,0.0,0,0.45,0.78,1531,volatile,0
16,0.0,1,0.28,0.28,713,volatile,0
17,1.0,1,0.27,0.19,338,volatile,0
18,1.0,1,0.32,0.28,642,volatile,0
19,1.0,0,0.85,0.17,715,volatile,0
20,1.0,1,0.39,0.94,800,volatile,0
21,1.0,0,0.72,0.43,564,volatile,0
22,1.0,1,0.35,0.59,1925,volatile,0
23,1.0,1,0.85,0.83,688,volatile,0
24,1.0,1,0.89,0.81,956,volatile,0
25,1.0,1,0.93,0.99,990,volatile,0
26,1.0,1,0.42,0.5,583,volatile,0
27,1.0,0,0.46,0.73,576,volatile,0
28,1.0,1,0.5,0.51,562,volatile,0
29,1.0,1,0.74,0.03,1496,volatile,0
30,1.0,1,0.85,0.32,654,volatile,0
31,1.0,1,0.3,0.68,496,volatile,0
32,1.0,0,0.12,0.25,690,volatile,0
33,1.0,1,0.52,0.46,1708,volatile,0
34,1.0,1,0.87,0.12,673,volatile,0
35,1.0,1,0.29,0.76,600,volatile,0
36,1.0,0,0.42,0.82,944,volatile,0
37,1.0,1,0.65,0.39,661,volatile,0
38,1.0,1,0.15,0.15,1301,volatile,0
39,1.0,0,0.42,0.87,803,volatile,0
40,1.0,0,0.26,0.24,605,volatile,0
41,1.0,0,0.5,0.4,971,volatile,0
42,0.0,0,0.61,0.66,675,volatile,0
43,0.0,0,0.14,0.95,893,volatile,0
44,0.0,0,0.11,0.33,542,volatile,0
45,1.0,0,0.68,0.4,589,volatile,0
46,0.0,0,0.3,0.45,623,volatile,0
47,0.0,1,0.7,0.52,682,volatile,0
48,0.0,0,0.64,0.79,710,volatile,0
49,0.0,0,0.19,0.67,756,volatile,0
50,0.0,0,0.22,0.11,1843,volatile,0
51,0.0,1,0.21,0.1,605,volatile,0
52,0.0,0,0.13,0.76,714,volatile,0
53,0.0,0,0.61,0.28,717,volatile,0
54,0.0,1,0.74,0.56,1360,volatile,0
55,0.0,0,0.34,0.39,689,volatile,0
56,0.0,0,0.18,0.89,638,volatile,0
57,0.0,0,0.78,0.54,308,volatile,0
58,0.0,0,0.87,0.02,653,volatile,0
59,0.0,0,0.17,0.57,911,volatile,0
60,1.0,1,0.35,0.22,1036,volatile,0
61,1.0,0,0.21,0.88,609,volatile,0
62,1.0,1,0.46,0.19,506,volatile,0
63,1.0,1,0.06,0.53,697,volatile,0
64,1.0,1,0.69,0.55,603,volatile,0
65,1.0,1,0.81,0.89,894,volatile,0
66,1.0,1,0.83,0.54,671,volatile,0
67,1.0,1,0.39,0.7,579,volatile,0
68,1.0,1,0.5,0.36,1859,volatile,0
69,1.0,1,0.8,0.17,581,volatile,0
70,1.0,1,0.44,0.3,777,volatile,0
71,1.0,1,0.22,0.59,580,volatile,0
72,1.0,1,0.75,0.65,804,volatile,0
73,1.0,1,0.34,0.71,761,volatile,0
74,1.0,0,0.78,0.53,1104,volatile,0
75,0.0,1,0.59,0.83,907,volatile,0
76,1.0,0,0.71,0.21,522,volatile,0
77,0.0,1,0.78,0.78,669,volatile,0
78,1.0,1,0.47,0.83,549,volatile,0
79,1.0,1,0.59,0.47,655,volatile,0
80,1.0,0,0.02,0.19,1041,volatile,0
81,1.0,0,0.04,0.36,0,volatile,0
82,0.0,0,0.36,0.07,571,volatile,0
83,0.0,0,0.72,0.62,515,volatile,0
84,0.0,1,0.32,0.4,477,volatile,0
85,0.0,0,0.62,0.35,1719,volatile,0
86,0.0,0,0.91,0.9,622,volatile,0
87,0.0,0,0.17,0.59,521,volatile,0
88,0.0,0,0.32,0.39,647,volatile,0
89,0.0,0,0.77,0.79,964,volatile,0
90,1.0,1,0.61,0.33,652,stable,0
91,1.0,1,0.14,0.48,644,stable,0
92,1.0,1,0.9,0.19,463,stable,0
93,1.0,1,0.43,0.34,544,stable,0
94,1.0,1,0.87,0.51,483,stable,0
95,1.0,1,0.55,0.22,540,stable,0
96,1.0,1,0.62,0.95,541,stable,0
97,1.0,1,0.07,0.21,1078,stable,0
98,1.0,1,0.05,0.55,578,stable,0
99,1.0,1,0.24,0.91,483,stable,0
100,1.0,1,0.12,0.65,2680,stable,0
101,1.0,1,0.69,0.3,829,stable,0
102,1.0,0,0.3,0.27,479,stable,0
103,1.0,1,0.94,0.42,1151,stable,0
104,1.0,1,0.97,0.33,499,stable,0
105,1.0,1,0.7,0.51,1015,stable,0
106,1.0,1,0.84,0.71,467,stable,0
107,1.0,1,0.09,0.29,638,stable,0
108,1.0,1,0.18,0.52,1146,stable,0
109,1.0,1,0.88,0.24,540,stable,0
110,1.0,1,0.88,0.38,608,stable,0
111,1.0,1,0.59,0.2,649,stable,0
112,1.0,0,0.84,0.1,1886,stable,0
113,1.0,1,0.73,0.69,486,stable,0
114,1.0,1,1.0,0.18,469,stable,0
115,1.0,0,0.57,0.86,889,stable,0
116,1.0,1,0.56,0.41,538,stable,0
117,1.0,1,0.84,0.77,1058,stable,0
118,1.0,0,0.16,0.99,821,stable,0
119,1.0,1,0.94,0.53,464,stable,0
120,0.0,1,0.34,0.72,1087,stable,0
121,1.0,1,0.56,0.76,482,stable,0
122,1.0,1,0.25,0.92,466,stable,0
123,1.0,0,0.61,0.41,475,stable,0
124,1.0,1,0.8,0.97,716,stable,0
125,1.0,1,0.25,0.75,659,stable,0
126,1.0,1,0.43,0.91,639,stable,0
127,1.0,1,0.22,0.15,671,stable,0
128,1.0,0,0.64,0.19,1139,stable,0
129,1.0,1,0.15,0.09,725,stable,0
130,1.0,0,0.39,0.58,790,stable,0
131,1.0,1,0.32,0.85,699,stable,0
132,1.0,1,0.51,0.94,3466,stable,0
133,1.0,1,0.79,0.33,900,stable,0
134,1.0,1,0.5,0.51,1054,stable,0
135,0.0,0,0.2,0.63,590,stable,0
136,0.0,1,0.9,0.51,762,stable,0
137,0.0,1,0.73,0.64,77,stable,0
138,1.0,0,0.7,0.47,541,stable,0
139,0.0,1,0.77,0.52,1453,stable,0
140,1.0,1,0.25,0.58,623,stable,0
141,1.0,1,0.82,0.93,478,stable,0
142,1.0,0,0.91,0.43,1035,stable,0
143,1.0,1,0.42,0.17,475,stable,0
144,1.0,0,0.35,0.2,529,stable,0
145,0.0,1,0.58,0.61,534,stable,0
146,1.0,1,0.4,0.66,577,stable,0
147,1.0,0,0.64,0.29,602,stable,0
148,1.0,1,0.34,0.97,660,stable,0
149,1.0,0,0.47,0.85,597,stable,0
150,0.0,1,0.71,0.96,776,stable,0
151,1.0,0,0.75,0.27,1179,stable,0
152,1.0,1,0.9,0.86,540,stable,0
153,1.0,1,0.59,0.83,608,stable,0
154,1.0,1,0.18,0.95,558,stable,0
155,1.0,0,0.21,0.29,609,stable,0
156,1.0,1,0.75,0.05,462,stable,0
157,1.0,1,0.44,0.3,536,stable,0
158,1.0,0,0.01,0.73,867,stable,0
159,1.0,1,0.55,0.54,499,stable,0
160,1.0,1,0.71,0.22,635,stable,0
161,1.0,1,0.08,0.14,477,stable,0
162,1.0,1,0.72,0.9,469,stable,0
163,1.0,1,0.79,0.65,726,stable,0
164,1.0,1,0.68,0.44,568,stable,0
165,0.0,0,0.22,0.07,728,stable,0
166,0.0,1,0.76,0.35,687,stable,0
167,0.0,1,0.68,0.76,1045,stable,0
168,1.0,0,0.5,0.57,1071,stable,0
169,0.0,1,0.65,0.72,843,stable,0
170,1.0,1,0.85,0.86,554,stable,0
171,1.0,1,0.36,0.11,471,stable,0
172,1.0,0,0.45,0.02,694,stable,0
173,1.0,0,0.59,0.65,958,stable,0
174,0.0,0,0.91,0.48,504,stable,0
175,0.0,0,0.8,0.54,1052,stable,0
176,0.0,1,0.27,0.74,475,stable,0
177,0.0,1,0.99,0.1,600,stable,0
178,1.0,1,0.18,0.61,636,stable,0
179,1.0,1,0.63,0.72,620,stable,0
