,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.23,-0.1,51.0,volatile,0
1,1.0,1,-0.45,-0.97,27.0,volatile,0
2,0.0,1,-0.54,-0.62,1331.0,volatile,0
3,0.0,0,-0.99,-0.16,1140.0,volatile,0
4,0.0,1,-0.72,-0.4,1752.0,volatile,0
5,0.0,1,-0.98,-0.88,1241.0,volatile,0
6,1.0,1,-0.06,-0.54,1869.0,volatile,0
7,0.0,1,-0.64,-0.55,926.0,volatile,0
8,0.0,1,-0.96,-0.45,808.0,volatile,0
9,0.0,1,-0.28,-0.19,856.0,volatile,0
10,0.0,1,-0.95,-0.26,650.0,volatile,0
11,0.0,1,-0.9,-0.29,996.0,volatile,0
12,0.0,1,-0.2,-0.53,668.0,volatile,0
13,0.0,1,-0.74,-0.56,896.0,volatile,0
14,0.0,1,-0.18,-0.42,800.0,volatile,0
15,1.0,1,-0.11,-0.91,487.0,volatile,0
16,0.0,0,-0.32,-0.31,636.0,volatile,0
17,0.0,0,-0.36,-0.65,1072.0,volatile,0
18,0.0,0,-0.4,-0.3,605.0,volatile,0
19,0.0,1,-0.29,-0.26,2556.0,volatile,0
20,,0,-0.32,-0.36,,volatile,0
21,1.0,1,-0.72,-0.81,1006.0,volatile,0
22,0.0,0,-0.95,-0.54,734.0,volatile,0
23,1.0,0,-0.4,-0.59,2093.0,volatile,0
24,0.0,0,-0.29,-0.24,737.0,volatile,0
25,0.0,0,-0.6,-0.51,1079.0,volatile,0
26,0.0,0,-0.83,-0.65,718.0,volatile,0
27,1.0,1,-0.78,-0.98,1023.0,volatile,0
28,0.0,0,-0.56,-0.51,1529.0,volatile,0
29,0.0,0,-0.05,-0.2,887.0,volatile,0
30,0.0,0,-0.67,-0.02,502.0,volatile,0
31,1.0,0,-0.85,-0.84,747.0,volatile,0
32,1.0,1,-0.07,-0.49,641.0,volatile,0
33,1.0,0,-0.37,-0.47,791.0,volatile,0
34,1.0,0,-0.27,-0.91,710.0,volatile,0
35,0.0,0,-0.44,-0.42,624.0,volatile,0
36,1.0,1,-0.31,-0.55,675.0,volatile,0
37,0.0,0,-0.97,-0.7,2030.0,volatile,0
38,0.0,0,-0.14,-0.09,699.0,volatile,0
39,1.0,1,-0.23,-0.51,613.0,volatile,0
40,0.0,1,-0.89,-0.79,1596.0,volatile,0
41,1.0,1,-0.83,-0.86,683.0,volatile,0
42,1.0,1,-0.4,-0.62,828.0,volatile,0
43,0.0,1,-0.36,-0.23,889.0,volatile,0
44,0.0,1,-0.65,-0.61,860.0,volatile,0
45,0.0,1,-0.74,-0.67,2565.0,volatile,0
46,0.0,1,-0.73,-0.41,622.0,volatile,0
47,0.0,0,-0.96,-0.54,1286.0,volatile,0
48,1.0,1,-0.86,-0.88,734.0,volatile,0
49,1.0,1,-0.43,-0.66,682.0,volatile,0
50,1.0,1,-0.72,-0.79,577.0,volatile,0
51,0.0,0,-0.71,-0.13,664.0,volatile,0
52,0.0,1,-0.78,-0.53,572.0,volatile,0
53,1.0,1,-0.57,-0.9,618.0,volatile,0
54,1.0,0,-0.03,-0.12,612.0,volatile,0
55,1.0,1,-0.02,-0.64,831.0,volatile,0
56,0.0,1,-0.99,-0.09,898.0,volatile,0
57,1.0,1,-0.21,-0.42,866.0,volatile,0
58,0.0,1,-0.83,-0.72,849.0,volatile,0
59,0.0,1,-0.37,-0.11,874.0,volatile,0
60,1.0,0,-0.67,-0.81,532.0,volatile,0
61,1.0,1,-0.12,-0.14,627.0,volatile,0
62,1.0,0,-0.78,-0.9,696.0,volatile,0
63,1.0,0,-0.46,-0.53,786.0,volatile,0
64,1.0,0,-0.3,-0.42,793.0,volatile,0
65,1.0,0,-0.36,-0.65,759.0,volatile,0
66,0.0,0,-0.49,-0.49,2014.0,volatile,0
67,0.0,0,-0.44,-0.1,552.0,volatile,0
68,0.0,0,-0.7,-0.64,660.0,volatile,0
69,1.0,0,-0.68,-0.95,734.0,volatile,0
70,1.0,0,-0.02,-0.48,681.0,volatile,0
71,1.0,0,-0.09,-0.61,937.0,volatile,0
72,1.0,0,-0.47,-0.6,745.0,volatile,0
73,0.0,0,-0.78,-0.23,751.0,volatile,0
74,0.0,1,-0.82,-0.67,752.0,volatile,0
75,0.0,0,-0.64,-0.16,904.0,volatile,0
76,1.0,1,-0.37,-0.78,637.0,volatile,0
77,0.0,0,-0.89,-0.22,640.0,volatile,0
78,0.0,0,-0.26,-0.18,635.0,volatile,0
79,1.0,0,-0.08,-0.73,482.0,volatile,0
80,0.0,1,-0.73,-0.66,1034.0,volatile,0
81,1.0,1,-0.17,-0.17,475.0,volatile,0
82,0.0,1,-0.9,-0.63,1574.0,volatile,0
83,0.0,1,-0.77,-0.66,457.0,volatile,0
84,0.0,0,-0.35,-0.27,460.0,volatile,0
85,1.0,1,-0.04,-0.15,873.0,volatile,0
86,0.0,1,-0.96,-0.9,573.0,volatile,0
87,0.0,1,-0.18,-0.11,923.0,volatile,0
88,0.0,1,-0.53,-0.2,579.0,volatile,0
89,0.0,1,-0.85,-0.37,669.0,volatile,0
90,1.0,0,-0.38,-0.46,868.0,stable,0
91,1.0,0,-0.18,-0.24,531.0,stable,0
92,0.0,0,-0.82,-0.78,735.0,stable,0
93,0.0,0,-0.59,-0.54,638.0,stable,0
94,0.0,0,-0.36,-0.33,752.0,stable,0
95,1.0,0,-0.49,-0.56,948.0,stable,0
96,1.0,0,-0.26,-0.83,666.0,stable,0
97,1.0,0,-0.38,-0.81,552.0,stable,0
98,1.0,0,-0.12,-0.23,781.0,stable,0
99,0.0,0,-0.87,-0.07,846.0,stable,0
100,1.0,0,-0.43,-0.5,865.0,stable,0
101,0.0,0,-0.5,-0.47,694.0,stable,0
102,0.0,1,-0.41,-0.35,720.0,stable,0
103,1.0,0,-0.09,-0.87,494.0,stable,0
104,1.0,0,-0.2,-0.58,730.0,stable,0
105,0.0,0,-0.88,-0.31,633.0,stable,0
106,0.0,0,-0.56,-0.44,727.0,stable,0
107,1.0,0,-0.31,-0.85,837.0,stable,0
108,0.0,0,-0.9,-0.31,1516.0,stable,0
109,0.0,0,-0.8,-0.76,1613.0,stable,0
110,0.0,0,-0.78,-0.04,694.0,stable,0
111,0.0,0,-0.6,-0.28,686.0,stable,0
112,,1,-0.56,-0.99,,stable,0
113,1.0,0,-0.31,-0.45,648.0,stable,0
114,0.0,0,-0.55,-0.16,635.0,stable,0
115,1.0,1,-0.12,-0.89,606.0,stable,0
116,1.0,0,-0.49,-0.86,655.0,stable,0
117,0.0,0,-0.69,-0.62,552.0,stable,0
118,0.0,1,-0.49,-0.26,653.0,stable,0
119,1.0,0,-0.75,-0.76,531.0,stable,0
120,1.0,0,-0.22,-0.9,667.0,stable,0
121,1.0,0,-0.26,-0.76,518.0,stable,0
122,1.0,0,-0.11,-0.68,675.0,stable,0
123,1.0,1,-0.71,-0.82,519.0,stable,0
124,1.0,0,-0.86,-0.95,1102.0,stable,0
125,1.0,0,-0.79,-0.88,1046.0,stable,0
126,0.0,0,-0.75,-0.4,579.0,stable,0
127,1.0,0,-0.11,-0.94,786.0,stable,0
128,0.0,1,-0.53,-0.44,751.0,stable,0
129,0.0,0,-0.85,-0.47,737.0,stable,0
130,0.0,1,-0.85,-0.32,441.0,stable,0
131,1.0,0,-0.38,-0.68,757.0,stable,0
132,1.0,0,-0.28,-0.93,776.0,stable,0
133,1.0,0,-0.13,-0.95,647.0,stable,0
134,0.0,0,-0.69,-0.6,800.0,stable,0
135,1.0,1,-0.56,-0.95,564.0,stable,0
