,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1336,stable,0.0
1,1.0,1,0.8,0.32,613,stable,0.0
2,0.0,1,0.12,0.58,265,stable,0.0
3,1.0,0,0.72,0.17,519,stable,0.0
4,0.0,1,0.98,0.72,811,stable,0.0
5,0.0,1,0.1,0.63,859,stable,0.0
6,1.0,1,0.83,0.35,935,stable,0.0
7,0.0,0,0.29,0.49,910,stable,0.0
8,0.0,1,0.06,0.98,718,stable,0.0
9,1.0,0,0.95,0.54,1059,stable,0.0
10,0.0,1,0.8,0.64,1261,stable,0.0
11,0.0,1,0.55,0.36,497,stable,0.0
12,0.0,0,0.22,0.98,801,stable,0.0
13,1.0,0,0.31,0.14,434,stable,0.0
14,1.0,1,0.6,0.28,618,stable,0.0
15,0.0,0,0.68,0.73,630,stable,0.0
16,0.0,0,0.6,0.46,588,stable,0.0
17,1.0,1,0.32,0.85,1347,stable,0.0
18,1.0,1,0.88,0.99,460,stable,0.0
19,1.0,1,0.97,0.87,391,stable,0.0
20,0.0,0,0.92,0.41,941,stable,0.0
21,1.0,1,0.36,0.32,602,stable,0.0
22,0.0,1,0.13,0.59,1350,stable,0.0
23,1.0,0,0.5,0.8,624,stable,0.0
24,1.0,0,0.49,0.61,269,stable,0.0
25,1.0,1,0.92,0.87,486,stable,0.0
26,1.0,1,0.28,0.95,613,stable,0.0
27,0.0,1,0.64,0.33,265,stable,0.0
28,1.0,1,0.59,0.97,488,stable,0.0
29,1.0,1,0.44,0.52,1058,stable,0.0
30,0.0,0,0.9,0.2,855,stable,0.0
31,0.0,1,0.13,0.65,408,stable,0.0
32,0.0,1,0.47,0.69,531,stable,0.0
33,0.0,0,0.33,0.38,505,stable,0.0
34,0.0,1,0.21,0.71,434,stable,0.0
35,0.0,1,0.81,0.55,441,stable,0.0
36,1.0,0,0.83,0.05,675,stable,0.0
37,0.0,1,0.75,0.71,737,stable,0.0
38,1.0,1,0.79,0.73,830,stable,0.0
39,1.0,1,0.93,0.2,658,stable,0.0
40,0.0,1,0.8,0.89,547,stable,0.0
41,0.0,0,0.9,0.1,428,stable,0.0
42,1.0,1,0.63,0.17,837,stable,0.0
43,1.0,0,0.74,0.05,347,stable,0.0
44,1.0,1,0.4,0.62,482,stable,0.0
45,1.0,1,0.17,0.43,1272,stable,0.0
46,1.0,1,0.3,0.9,494,stable,0.0
47,0.0,0,0.9,0.56,554,stable,0.0
48,0.0,1,0.88,0.37,511,stable,0.0
49,1.0,1,0.4,0.38,439,stable,0.0
50,1.0,1,0.5,0.54,708,stable,0.0
51,1.0,0,0.56,0.07,522,stable,0.0
52,0.0,0,0.9,0.61,661,stable,0.0
53,1.0,0,0.82,0.12,528,stable,0.0
54,1.0,1,0.9,0.19,332,stable,0.0
55,0.0,1,0.46,0.51,903,stable,0.0
56,1.0,1,0.85,0.51,660,stable,0.0
57,1.0,1,0.65,0.41,379,stable,0.0
58,0.0,0,0.31,0.64,362,stable,0.0
59,0.0,1,0.07,0.76,684,stable,0.0
60,0.0,1,0.13,0.65,995,stable,1.0
61,1.0,1,0.94,0.74,648,stable,1.0
62,0.0,0,0.87,0.37,581,stable,1.0
63,0.0,1,0.43,0.4,265,stable,1.0
64,1.0,1,0.25,0.58,427,stable,1.0
65,1.0,1,0.78,0.1,329,stable,1.0
66,0.0,1,0.33,0.83,946,stable,1.0
67,1.0,0,0.63,0.07,312,stable,1.0
68,1.0,1,0.71,0.59,659,stable,1.0
69,1.0,1,0.89,0.56,736,stable,1.0
70,0.0,1,0.44,0.91,741,stable,1.0
71,1.0,1,0.96,0.22,642,stable,1.0
72,0.0,1,0.55,0.3,351,stable,1.0
73,1.0,0,0.69,0.86,611,stable,1.0
74,0.0,0,0.45,0.91,620,stable,1.0
75,1.0,0,0.87,0.09,314,stable,1.0
76,1.0,1,0.45,0.87,411,stable,1.0
77,0.0,1,0.55,0.92,448,stable,1.0
78,1.0,1,0.57,0.9,518,stable,1.0
79,0.0,1,0.33,0.67,1462,stable,1.0
80,1.0,1,0.52,0.39,330,stable,1.0
81,0.0,1,0.9,0.83,282,stable,1.0
82,0.0,0,0.23,0.38,349,stable,1.0
83,1.0,1,0.45,0.59,411,stable,1.0
84,1.0,1,0.6,0.25,268,stable,1.0
85,0.0,1,0.81,0.94,573,stable,1.0
86,0.0,1,0.49,0.43,452,stable,1.0
87,0.0,0,0.42,0.65,333,stable,1.0
88,1.0,1,0.5,0.66,264,stable,1.0
89,1.0,1,0.89,0.35,282,stable,1.0
90,1.0,1,0.89,0.99,1097,volatile,1.0
91,1.0,0,0.96,0.96,378,volatile,1.0
92,1.0,0,0.58,0.58,363,volatile,1.0
93,0.0,0,0.52,0.33,630,volatile,1.0
94,0.0,1,0.02,0.92,445,volatile,1.0
95,0.0,0,0.93,0.34,390,volatile,1.0
96,1.0,0,0.08,0.28,1449,volatile,1.0
97,0.0,0,0.44,0.91,357,volatile,1.0
98,1.0,0,0.6,0.78,799,volatile,1.0
99,0.0,1,0.35,0.42,276,volatile,1.0
100,0.0,0,0.5,0.82,464,volatile,1.0
101,0.0,0,0.42,0.39,433,volatile,1.0
102,1.0,0,0.29,0.54,651,volatile,1.0
103,0.0,0,0.85,0.05,475,volatile,1.0
104,0.0,0,0.96,0.99,254,volatile,1.0
105,1.0,1,0.74,0.48,361,volatile,1.0
106,1.0,0,0.95,0.93,746,volatile,1.0
107,0.0,0,0.33,0.68,527,volatile,1.0
108,1.0,0,0.87,0.46,930,volatile,1.0
109,1.0,0,0.85,0.98,783,volatile,1.0
110,1.0,1,0.24,0.3,314,volatile,1.0
111,1.0,1,0.36,0.32,382,volatile,1.0
112,1.0,0,0.19,0.6,323,volatile,1.0
113,0.0,1,0.57,0.91,401,volatile,1.0
114,0.0,0,0.44,0.37,749,volatile,1.0
115,1.0,1,0.45,0.28,297,volatile,1.0
116,0.0,1,0.52,0.51,263,volatile,1.0
117,0.0,1,0.72,0.55,289,volatile,1.0
118,1.0,1,0.72,0.99,352,volatile,1.0
119,1.0,1,0.07,0.71,384,volatile,1.0
120,0.0,1,0.41,0.77,443,volatile,2.0
121,1.0,1,0.89,0.71,433,volatile,2.0
122,0.0,1,0.56,0.72,450,volatile,2.0
123,0.0,1,0.41,0.71,539,volatile,2.0
124,1.0,0,0.99,0.86,370,volatile,2.0
125,1.0,1,0.61,0.98,823,volatile,2.0
126,0.0,0,0.58,0.42,637,volatile,2.0
127,1.0,0,0.72,0.68,763,volatile,2.0
128,1.0,0,0.56,0.46,444,volatile,2.0
129,0.0,0,0.4,0.41,298,volatile,2.0
130,0.0,0,0.71,0.53,429,volatile,2.0
131,0.0,0,0.78,0.86,752,volatile,2.0
132,1.0,0,0.33,0.33,288,volatile,2.0
133,0.0,1,0.95,0.86,522,volatile,2.0
134,1.0,1,0.03,0.53,351,volatile,2.0
135,1.0,0,0.34,0.92,1968,volatile,2.0
136,0.0,0,0.31,0.29,334,volatile,2.0
137,0.0,0,0.72,0.93,1166,volatile,2.0
138,1.0,0,0.42,0.86,494,volatile,2.0
139,0.0,0,0.91,0.32,1020,volatile,2.0
140,0.0,1,0.64,0.13,477,volatile,2.0
141,1.0,0,0.45,0.67,310,volatile,2.0
142,1.0,0,0.46,0.79,552,volatile,2.0
143,0.0,0,0.88,0.39,451,volatile,2.0
144,0.0,0,0.38,0.39,540,volatile,2.0
145,0.0,0,0.71,0.85,649,volatile,2.0
146,0.0,0,0.32,0.1,288,volatile,2.0
147,1.0,1,0.86,0.45,1379,volatile,2.0
148,0.0,0,0.92,0.83,369,volatile,2.0
149,1.0,1,0.16,0.84,382,volatile,2.0
150,1.0,0,0.34,0.89,561,volatile,2.0
151,1.0,1,0.35,0.75,354,volatile,2.0
152,1.0,1,0.92,0.68,338,volatile,2.0
153,1.0,1,0.25,0.13,379,volatile,2.0
154,1.0,1,0.77,0.74,1457,volatile,2.0
155,0.0,1,0.13,0.62,412,volatile,2.0
156,0.0,0,0.65,0.73,730,volatile,2.0
157,0.0,0,0.37,0.95,976,volatile,2.0
158,0.0,0,0.96,0.63,293,volatile,2.0
159,1.0,1,0.39,0.47,525,volatile,2.0
160,1.0,1,0.59,0.49,353,volatile,2.0
161,0.0,1,0.43,0.87,716,volatile,2.0
162,0.0,1,0.04,0.82,478,volatile,2.0
163,1.0,1,0.27,0.61,555,volatile,2.0
164,1.0,1,0.36,0.57,321,volatile,2.0
165,1.0,1,0.25,0.67,555,volatile,2.0
166,1.0,1,0.83,0.51,291,volatile,2.0
167,1.0,1,0.38,0.87,254,volatile,2.0
168,1.0,1,0.78,0.3,774,volatile,2.0
169,1.0,1,0.95,0.84,404,volatile,2.0
170,1.0,0,0.93,0.68,1002,volatile,2.0
171,1.0,0,0.54,0.3,397,volatile,2.0
172,0.0,0,0.72,0.91,268,volatile,2.0
173,1.0,1,0.02,0.77,797,volatile,2.0
174,0.0,1,0.49,0.53,845,volatile,2.0
175,0.0,0,0.56,0.51,447,volatile,2.0
176,0.0,0,0.54,0.49,256,volatile,2.0
177,0.0,0,0.51,0.85,405,volatile,2.0
178,1.0,0,0.06,0.88,462,volatile,2.0
179,0.0,0,0.84,0.93,311,volatile,2.0
