,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1830,volatile,0.0
1,0.0,0,-0.76,-0.69,2500,volatile,0.0
2,0.0,0,-0.73,-0.52,1748,volatile,0.0
3,1.0,0,-0.41,-0.43,1215,volatile,0.0
4,1.0,1,-0.25,-0.34,1313,volatile,0.0
5,1.0,0,-0.34,-0.48,1763,volatile,0.0
6,1.0,0,-0.3,-0.35,1764,volatile,0.0
7,0.0,0,-0.91,-0.42,1709,volatile,0.0
8,0.0,0,-0.7,-0.44,1894,volatile,0.0
9,0.0,1,-0.64,-0.5,2039,volatile,0.0
10,0.0,0,-0.28,-0.19,1495,volatile,0.0
11,1.0,0,-0.02,-0.59,1191,volatile,0.0
12,0.0,0,-0.2,-0.09,1540,volatile,0.0
13,1.0,0,-0.32,-0.76,2731,volatile,0.0
14,1.0,0,-0.09,-0.98,1126,volatile,0.0
15,0.0,1,-0.62,-0.56,2111,volatile,0.0
16,1.0,0,-0.17,-0.16,944,volatile,0.0
17,0.0,0,-0.74,-0.07,1575,volatile,0.0
18,1.0,0,-0.02,-0.41,1012,volatile,0.0
19,1.0,0,-0.7,-0.57,2024,volatile,0.0
20,1.0,1,-0.24,-0.28,1231,volatile,0.0
21,0.0,1,-0.59,-0.76,3152,volatile,0.0
22,0.0,0,-0.15,-0.19,2419,volatile,0.0
23,1.0,1,-0.5,-0.68,1359,volatile,0.0
24,1.0,0,-0.43,-0.68,1392,volatile,0.0
25,1.0,1,-0.14,-0.19,1080,volatile,0.0
26,0.0,1,-0.12,-0.11,977,volatile,0.0
27,1.0,1,-0.4,-0.36,1725,volatile,0.0
28,1.0,1,-0.88,-0.64,2883,volatile,0.0
29,1.0,1,-0.51,-0.03,930,volatile,0.0
30,1.0,1,-0.44,-0.76,969,volatile,0.0
31,1.0,1,-0.23,-0.92,1352,volatile,0.0
32,0.0,1,-0.23,-0.14,1358,volatile,0.0
33,1.0,1,-0.94,-0.77,2076,volatile,0.0
34,0.0,0,-0.85,-0.2,1108,volatile,0.0
35,1.0,1,-0.86,-0.63,4862,volatile,0.0
36,1.0,0,-0.82,-0.56,1356,volatile,0.0
37,0.0,0,-0.68,-0.63,1762,volatile,0.0
38,1.0,0,-0.65,-0.8,1375,volatile,0.0
39,0.0,0,-0.25,-0.1,1397,volatile,0.0
40,1.0,0,-0.67,-0.8,1145,volatile,0.0
41,0.0,0,-0.82,-0.57,1239,volatile,0.0
42,0.0,0,-0.88,-0.47,1060,volatile,0.0
43,1.0,1,-0.55,-0.99,1110,volatile,0.0
44,0.0,1,-0.74,-0.67,1311,volatile,0.0
45,1.0,0,-0.18,-0.27,1753,volatile,0.0
46,1.0,0,-0.15,-0.67,1026,volatile,0.0
47,1.0,0,-0.91,-0.32,3275,volatile,0.0
48,1.0,0,-0.66,-0.48,1907,volatile,0.0
49,1.0,0,-0.67,-0.66,2728,volatile,0.0
50,1.0,1,-0.11,-0.72,1448,volatile,0.0
51,1.0,0,-0.36,-0.52,1750,volatile,0.0
52,1.0,0,-0.44,-0.76,1372,volatile,0.0
53,1.0,0,-0.04,-0.37,1101,volatile,0.0
54,0.0,0,-0.86,-0.09,788,volatile,0.0
55,1.0,0,-0.99,-0.86,3548,volatile,0.0
56,1.0,0,-0.39,-0.9,2281,volatile,0.0
57,0.0,1,-0.82,-0.85,2324,volatile,0.0
58,0.0,0,-0.89,-0.99,2492,volatile,0.0
59,0.0,1,-0.88,-0.02,1196,volatile,0.0
60,1.0,0,-0.05,-0.33,1339,volatile,1.0
61,1.0,1,-0.35,-0.86,1435,volatile,1.0
62,1.0,1,-0.08,-0.13,926,volatile,1.0
63,1.0,1,-0.78,-0.68,1549,volatile,1.0
64,1.0,1,-0.05,-0.15,1204,volatile,1.0
65,1.0,1,-0.62,-0.42,1980,volatile,1.0
66,0.0,0,-0.95,-0.51,5976,volatile,1.0
67,1.0,0,-0.59,-0.95,1105,volatile,1.0
68,1.0,0,-0.14,-0.98,900,volatile,1.0
69,1.0,1,-0.05,-0.84,939,volatile,1.0
70,1.0,1,-0.38,-0.5,1026,volatile,1.0
71,1.0,1,-0.45,-0.59,3467,volatile,1.0
72,1.0,1,-0.32,-0.72,852,volatile,1.0
73,1.0,1,-0.02,-0.91,933,volatile,1.0
74,1.0,1,-0.72,-0.99,1150,volatile,1.0
75,1.0,1,-0.61,-0.43,1209,volatile,1.0
76,1.0,1,-0.24,-0.79,1816,volatile,1.0
77,1.0,1,-0.48,-0.15,934,volatile,1.0
78,1.0,1,-0.5,-0.61,1396,volatile,1.0
79,0.0,1,-0.83,-0.34,1582,volatile,1.0
80,1.0,0,-0.84,-0.92,982,volatile,1.0
81,0.0,0,-0.71,-0.05,1381,volatile,1.0
82,1.0,0,-0.5,-0.72,1698,volatile,1.0
83,0.0,1,-0.26,-0.29,1908,volatile,1.0
84,1.0,1,-0.37,-0.63,1719,volatile,1.0
85,1.0,0,-0.47,-0.12,1026,volatile,1.0
86,1.0,0,-0.36,-0.81,1152,volatile,1.0
87,1.0,0,-0.87,-0.59,1013,volatile,1.0
88,1.0,0,-0.26,-0.75,1497,volatile,1.0
89,1.0,0,-0.17,-0.19,2137,volatile,1.0
90,1.0,1,-0.44,-0.37,2723,stable,1.0
91,0.0,1,-0.66,-0.12,1260,stable,1.0
92,0.0,1,-0.98,-0.02,998,stable,1.0
93,1.0,0,-0.57,-0.95,1605,stable,1.0
94,0.0,1,-0.28,-0.08,1213,stable,1.0
95,1.0,1,-0.3,-0.33,1032,stable,1.0
96,1.0,1,-0.27,-0.24,971,stable,1.0
97,0.0,0,-0.58,-0.43,1821,stable,1.0
98,1.0,1,-0.72,-0.47,1924,stable,1.0
99,1.0,0,-0.45,-0.44,1015,stable,1.0
100,0.0,1,-0.69,-0.26,1259,stable,1.0
101,1.0,1,-0.06,-0.41,923,stable,1.0
102,0.0,0,-0.88,-0.34,1504,stable,1.0
103,0.0,0,-0.73,-0.2,1251,stable,1.0
104,0.0,1,-0.6,-0.25,1361,stable,1.0
105,0.0,0,-0.98,-0.06,1365,stable,1.0
106,1.0,0,-0.48,-0.39,1529,stable,1.0
107,1.0,1,-0.35,-0.95,2365,stable,1.0
108,1.0,1,-0.67,-0.85,2521,stable,1.0
109,1.0,1,-0.54,-0.22,1460,stable,1.0
110,1.0,0,-0.23,-0.9,1415,stable,1.0
111,0.0,1,-0.98,-0.41,2104,stable,1.0
112,1.0,1,-0.58,-0.8,1392,stable,1.0
113,1.0,0,-0.52,-0.85,1422,stable,1.0
114,0.0,0,-0.83,-0.15,1115,stable,1.0
115,1.0,1,-0.18,-0.16,2278,stable,1.0
116,1.0,1,-0.56,-0.7,1225,stable,1.0
117,1.0,1,-0.59,-0.95,1390,stable,1.0
118,1.0,1,-0.68,-0.18,1246,stable,1.0
119,0.0,1,-0.3,-0.16,1042,stable,1.0
120,0.0,0,-0.86,-0.37,1111,stable,2.0
121,1.0,1,-0.47,-0.44,1506,stable,2.0
122,1.0,1,-0.03,-0.91,943,stable,2.0
123,0.0,0,-0.6,-0.1,1296,stable,2.0
124,1.0,1,-0.54,-0.84,1943,stable,2.0
125,1.0,1,-0.34,-0.95,1184,stable,2.0
126,0.0,0,-0.96,-0.28,1361,stable,2.0
127,1.0,1,-0.83,-0.94,1615,stable,2.0
128,1.0,1,-0.23,-0.86,963,stable,2.0
129,0.0,1,-0.99,-0.2,1352,stable,2.0
130,1.0,1,-0.29,-0.91,1349,stable,2.0
131,1.0,0,-0.88,-0.64,1821,stable,2.0
132,1.0,1,-0.84,-0.8,1426,stable,2.0
133,1.0,0,-0.61,-0.88,1242,stable,2.0
134,1.0,1,-0.23,-0.77,938,stable,2.0
135,0.0,1,-0.87,-0.54,2479,stable,2.0
136,1.0,1,-0.25,-0.9,1300,stable,2.0
137,0.0,0,-0.71,-0.44,1595,stable,2.0
138,1.0,1,-0.42,-0.52,1645,stable,2.0
139,1.0,1,-0.39,-0.94,1430,stable,2.0
140,1.0,1,-0.39,-0.24,1107,stable,2.0
141,1.0,0,-0.2,-0.1,999,stable,2.0
142,0.0,0,-0.85,-0.43,1805,stable,2.0
143,0.0,0,-0.77,-0.02,1195,stable,2.0
144,1.0,1,-0.54,-0.87,1207,stable,2.0
145,1.0,1,-0.56,-0.57,1992,stable,2.0
146,1.0,1,-0.5,-0.79,1236,stable,2.0
147,1.0,1,-0.04,-0.88,853,stable,2.0
148,0.0,0,-0.4,-0.38,1668,stable,2.0
149,1.0,1,-0.47,-0.86,1230,stable,2.0
150,1.0,1,-0.15,-0.49,1269,stable,2.0
151,1.0,1,-0.17,-0.39,898,stable,2.0
152,1.0,0,-0.76,-0.97,1631,stable,2.0
153,0.0,1,-0.73,-0.14,1387,stable,2.0
154,1.0,1,-0.67,-0.29,1068,stable,2.0
155,0.0,1,-0.48,-0.39,1421,stable,2.0
156,1.0,1,-0.3,-0.87,833,stable,2.0
157,1.0,0,-0.13,-0.37,1063,stable,2.0
158,1.0,1,-0.66,-0.59,1889,stable,2.0
159,1.0,1,-0.2,-0.77,1605,stable,2.0
160,0.0,1,-0.39,-0.28,1313,stable,2.0
161,1.0,1,-0.61,-0.55,1593,stable,2.0
162,0.0,1,-0.62,-0.02,862,stable,2.0
163,1.0,0,-0.5,-0.8,1310,stable,2.0
164,0.0,0,-0.6,-0.07,1027,stable,2.0
165,1.0,0,-0.76,-0.52,740,stable,2.0
166,0.0,1,-0.49,-0.14,1236,stable,2.0
167,1.0,1,-0.46,-0.36,1479,stable,2.0
168,0.0,1,-0.84,-0.29,1489,stable,2.0
169,1.0,1,-0.44,-0.47,1474,stable,2.0
170,0.0,1,-0.73,-0.44,1263,stable,2.0
171,1.0,1,-0.3,-0.95,1184,stable,2.0
172,1.0,0,-0.8,-0.39,1743,stable,2.0
173,0.0,1,-0.67,-0.61,1567,stable,2.0
174,0.0,1,-0.95,-0.61,1133,stable,2.0
175,0.0,1,-0.65,-0.19,903,stable,2.0
176,0.0,1,-0.72,-0.33,884,stable,2.0
177,0.0,0,-0.87,-0.17,990,stable,2.0
178,0.0,1,-0.65,-0.53,1114,stable,2.0
179,1.0,1,-0.38,-0.76,852,stable,2.0
