,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1325,volatile,0.0
1,1.0,0,0.96,0.96,628,volatile,0.0
2,1.0,0,0.58,0.58,2835,volatile,0.0
3,0.0,0,0.52,0.33,288,volatile,0.0
4,1.0,1,0.02,0.92,407,volatile,0.0
5,0.0,0,0.93,0.34,416,volatile,0.0
6,0.0,0,0.08,0.28,292,volatile,0.0
7,0.0,0,0.44,0.91,562,volatile,0.0
8,0.0,0,0.6,0.78,459,volatile,0.0
9,1.0,1,0.35,0.42,411,volatile,0.0
10,0.0,0,0.5,0.82,294,volatile,0.0
11,1.0,0,0.42,0.39,466,volatile,0.0
12,1.0,0,0.29,0.54,386,volatile,0.0
13,1.0,0,0.85,0.05,457,volatile,0.0
14,0.0,0,0.96,0.99,862,volatile,0.0
15,0.0,1,0.74,0.48,1109,volatile,0.0
16,1.0,0,0.95,0.93,448,volatile,0.0
17,0.0,0,0.33,0.68,393,volatile,0.0
18,0.0,0,0.87,0.46,337,volatile,0.0
19,0.0,0,0.85,0.98,421,volatile,0.0
20,0.0,1,0.24,0.3,354,volatile,0.0
21,0.0,1,0.36,0.32,299,volatile,0.0
22,0.0,0,0.19,0.6,286,volatile,0.0
23,0.0,1,0.57,0.91,270,volatile,0.0
24,0.0,0,0.44,0.37,408,volatile,0.0
25,1.0,1,0.45,0.28,296,volatile,0.0
26,1.0,1,0.52,0.51,252,volatile,0.0
27,1.0,1,0.72,0.55,279,volatile,0.0
28,1.0,1,0.72,0.99,414,volatile,0.0
29,0.0,1,0.07,0.71,374,volatile,0.0
30,1.0,1,0.41,0.77,341,volatile,0.0
31,1.0,1,0.89,0.71,281,volatile,0.0
32,1.0,1,0.56,0.72,302,volatile,0.0
33,1.0,1,0.41,0.71,269,volatile,0.0
34,0.0,0,0.99,0.86,508,volatile,0.0
35,0.0,1,0.61,0.98,472,volatile,0.0
36,0.0,0,0.58,0.42,327,volatile,0.0
37,0.0,0,0.72,0.68,373,volatile,0.0
38,0.0,0,0.56,0.46,453,volatile,0.0
39,0.0,0,0.4,0.41,357,volatile,0.0
40,1.0,0,0.71,0.53,294,volatile,0.0
41,1.0,0,0.78,0.86,434,volatile,0.0
42,1.0,0,0.33,0.33,434,volatile,0.0
43,0.0,1,0.95,0.86,253,volatile,0.0
44,1.0,1,0.03,0.53,379,volatile,0.0
45,0.0,0,0.34,0.92,924,volatile,0.0
46,0.0,0,0.31,0.29,341,volatile,0.0
47,0.0,0,0.72,0.93,279,volatile,0.0
48,0.0,0,0.42,0.86,280,volatile,0.0
49,1.0,0,0.91,0.32,407,volatile,0.0
50,0.0,1,0.64,0.13,432,volatile,0.0
51,1.0,0,0.45,0.67,403,volatile,0.0
52,0.0,0,0.46,0.79,286,volatile,0.0
53,0.0,0,0.88,0.39,392,volatile,0.0
54,1.0,0,0.38,0.39,366,volatile,0.0
55,1.0,0,0.71,0.85,287,volatile,0.0
56,1.0,0,0.32,0.1,382,volatile,0.0
57,0.0,1,0.86,0.45,252,volatile,0.0
58,0.0,0,0.92,0.83,418,volatile,0.0
59,1.0,1,0.16,0.84,267,volatile,0.0
60,0.0,0,0.34,0.89,261,volatile,1.0
61,0.0,1,0.35,0.75,436,volatile,1.0
62,1.0,1,0.92,0.68,334,volatile,1.0
63,1.0,1,0.25,0.13,415,volatile,1.0
64,0.0,1,0.77,0.74,675,volatile,1.0
65,0.0,1,0.13,0.62,1100,volatile,1.0
66,0.0,0,0.65,0.73,287,volatile,1.0
67,1.0,0,0.37,0.95,376,volatile,1.0
68,0.0,0,0.96,0.63,348,volatile,1.0
69,1.0,1,0.39,0.47,411,volatile,1.0
70,0.0,1,0.59,0.49,258,volatile,1.0
71,0.0,1,0.43,0.87,267,volatile,1.0
72,1.0,1,0.04,0.82,388,volatile,1.0
73,0.0,1,0.27,0.61,381,volatile,1.0
74,0.0,1,0.36,0.57,496,volatile,1.0
75,0.0,1,0.25,0.67,443,volatile,1.0
76,1.0,1,0.83,0.51,368,volatile,1.0
77,0.0,1,0.38,0.87,381,volatile,1.0
78,1.0,1,0.78,0.3,340,volatile,1.0
79,1.0,1,0.95,0.84,428,volatile,1.0
80,1.0,0,0.93,0.68,356,volatile,1.0
81,1.0,0,0.54,0.3,521,volatile,1.0
82,1.0,0,0.72,0.91,833,volatile,1.0
83,0.0,1,0.02,0.77,680,volatile,1.0
84,0.0,1,0.49,0.53,415,volatile,1.0
85,1.0,0,0.56,0.51,533,volatile,1.0
86,0.0,0,0.54,0.49,400,volatile,1.0
87,1.0,0,0.51,0.85,890,volatile,1.0
88,0.0,0,0.06,0.88,277,volatile,1.0
