,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1774,volatile,0.0
1,1.0,0,-0.76,-0.69,1079,volatile,0.0
2,1.0,0,-0.73,-0.52,947,volatile,0.0
3,1.0,0,-0.41,-0.43,520,volatile,0.0
4,0.0,1,-0.25,-0.34,1668,volatile,0.0
5,1.0,0,-0.34,-0.48,572,volatile,0.0
6,1.0,0,-0.3,-0.35,476,volatile,0.0
7,1.0,0,-0.91,-0.42,641,volatile,0.0
8,1.0,0,-0.7,-0.44,687,volatile,0.0
9,1.0,1,-0.64,-0.5,631,volatile,0.0
10,1.0,0,-0.28,-0.19,685,volatile,0.0
11,0.0,0,-0.02,-0.59,876,volatile,0.0
12,1.0,0,-0.2,-0.09,461,volatile,0.0
13,0.0,0,-0.32,-0.76,587,volatile,0.0
14,0.0,0,-0.09,-0.98,1310,volatile,0.0
15,0.0,1,-0.62,-0.56,1469,volatile,0.0
16,0.0,0,-0.17,-0.16,911,volatile,0.0
17,0.0,0,-0.74,-0.07,889,volatile,0.0
18,0.0,0,-0.02,-0.41,1087,volatile,0.0
19,0.0,0,-0.7,-0.57,658,volatile,0.0
20,1.0,1,-0.24,-0.28,981,volatile,0.0
21,0.0,1,-0.59,-0.76,619,volatile,0.0
22,0.0,0,-0.15,-0.19,544,volatile,0.0
23,0.0,1,-0.5,-0.68,988,volatile,0.0
24,0.0,0,-0.43,-0.68,1256,volatile,0.0
25,0.0,1,-0.14,-0.19,1646,volatile,0.0
26,1.0,1,-0.12,-0.11,2988,volatile,0.0
27,1.0,1,-0.4,-0.36,2594,volatile,0.0
28,0.0,1,-0.88,-0.64,2027,volatile,0.0
29,0.0,1,-0.51,-0.03,3873,volatile,0.0
30,0.0,1,-0.44,-0.76,706,volatile,0.0
31,1.0,1,-0.23,-0.92,1737,volatile,0.0
32,0.0,1,-0.23,-0.14,813,volatile,0.0
33,0.0,1,-0.94,-0.77,872,volatile,0.0
34,0.0,0,-0.85,-0.2,700,volatile,0.0
35,0.0,1,-0.86,-0.63,670,volatile,0.0
36,0.0,0,-0.82,-0.56,656,volatile,0.0
37,1.0,0,-0.68,-0.63,2715,volatile,0.0
38,0.0,0,-0.65,-0.8,929,volatile,0.0
39,0.0,0,-0.25,-0.1,1098,volatile,0.0
40,1.0,0,-0.67,-0.8,1186,volatile,0.0
41,1.0,0,-0.82,-0.57,4037,volatile,0.0
42,0.0,0,-0.88,-0.47,612,volatile,0.0
43,0.0,1,-0.55,-0.99,926,volatile,0.0
44,1.0,1,-0.74,-0.67,622,volatile,0.0
45,0.0,0,-0.18,-0.27,1457,volatile,0.0
46,0.0,0,-0.15,-0.67,460,volatile,0.0
47,1.0,0,-0.91,-0.32,535,volatile,0.0
48,1.0,0,-0.66,-0.48,583,volatile,0.0
49,0.0,0,-0.67,-0.66,588,volatile,0.0
50,1.0,1,-0.11,-0.72,697,volatile,0.0
51,1.0,0,-0.36,-0.52,624,volatile,0.0
52,1.0,0,-0.44,-0.76,716,volatile,0.0
53,0.0,0,-0.04,-0.37,675,volatile,0.0
54,1.0,0,-0.86,-0.09,602,volatile,0.0
55,1.0,0,-0.99,-0.86,609,volatile,0.0
56,1.0,0,-0.39,-0.9,601,volatile,0.0
57,0.0,1,-0.82,-0.85,745,volatile,0.0
58,1.0,0,-0.89,-0.99,625,volatile,0.0
59,1.0,1,-0.88,-0.02,567,volatile,0.0
60,1.0,0,-0.05,-0.33,4963,volatile,1.0
61,0.0,1,-0.35,-0.86,1203,volatile,1.0
62,1.0,1,-0.08,-0.13,512,volatile,1.0
63,0.0,1,-0.78,-0.68,578,volatile,1.0
64,1.0,1,-0.05,-0.15,576,volatile,1.0
65,1.0,1,-0.62,-0.42,679,volatile,1.0
66,1.0,0,-0.95,-0.51,533,volatile,1.0
67,1.0,0,-0.59,-0.95,532,volatile,1.0
68,0.0,0,-0.14,-0.98,1395,volatile,1.0
69,1.0,1,-0.05,-0.84,735,volatile,1.0
70,1.0,1,-0.38,-0.5,588,volatile,1.0
71,1.0,1,-0.45,-0.59,738,volatile,1.0
72,0.0,1,-0.32,-0.72,951,volatile,1.0
73,0.0,1,-0.02,-0.91,625,volatile,1.0
74,0.0,1,-0.72,-0.99,1657,volatile,1.0
75,1.0,1,-0.61,-0.43,1392,volatile,1.0
76,0.0,1,-0.24,-0.79,950,volatile,1.0
77,0.0,1,-0.48,-0.15,1487,volatile,1.0
78,1.0,1,-0.5,-0.61,739,volatile,1.0
79,0.0,1,-0.83,-0.34,595,volatile,1.0
80,0.0,0,-0.84,-0.92,873,volatile,1.0
81,1.0,0,-0.71,-0.05,742,volatile,1.0
82,1.0,0,-0.5,-0.72,1089,volatile,1.0
83,1.0,1,-0.26,-0.29,1335,volatile,1.0
84,0.0,1,-0.37,-0.63,1107,volatile,1.0
85,0.0,0,-0.47,-0.12,581,volatile,1.0
86,1.0,0,-0.36,-0.81,656,volatile,1.0
87,1.0,0,-0.87,-0.59,948,volatile,1.0
88,0.0,0,-0.26,-0.75,1454,volatile,1.0
89,1.0,0,-0.17,-0.19,1928,volatile,1.0
90,1.0,1,-0.44,-0.37,1406,stable,1.0
91,1.0,1,-0.66,-0.12,552,stable,1.0
92,0.0,1,-0.98,-0.02,542,stable,1.0
93,1.0,0,-0.57,-0.95,1335,stable,1.0
94,1.0,1,-0.28,-0.08,1354,stable,1.0
95,1.0,1,-0.3,-0.33,2579,stable,1.0
96,1.0,1,-0.27,-0.24,2484,stable,1.0
97,0.0,0,-0.58,-0.43,1706,stable,1.0
98,1.0,1,-0.72,-0.47,589,stable,1.0
99,1.0,0,-0.45,-0.44,627,stable,1.0
100,1.0,1,-0.69,-0.26,668,stable,1.0
101,1.0,1,-0.06,-0.41,618,stable,1.0
102,1.0,0,-0.88,-0.34,547,stable,1.0
103,0.0,0,-0.73,-0.2,525,stable,1.0
104,0.0,1,-0.6,-0.25,331,stable,1.0
105,1.0,0,-0.98,-0.06,453,stable,1.0
106,1.0,0,-0.48,-0.39,1749,stable,1.0
107,0.0,1,-0.35,-0.95,527,stable,1.0
108,1.0,1,-0.67,-0.85,2312,stable,1.0
109,1.0,1,-0.54,-0.22,2734,stable,1.0
110,1.0,0,-0.23,-0.9,1311,stable,1.0
111,0.0,1,-0.98,-0.41,3119,stable,1.0
112,1.0,1,-0.58,-0.8,1885,stable,1.0
113,0.0,0,-0.52,-0.85,821,stable,1.0
114,0.0,0,-0.83,-0.15,490,stable,1.0
115,0.0,1,-0.18,-0.16,1697,stable,1.0
116,0.0,1,-0.56,-0.7,399,stable,1.0
117,1.0,1,-0.59,-0.95,1188,stable,1.0
118,1.0,1,-0.68,-0.18,4509,stable,1.0
119,1.0,1,-0.3,-0.16,1248,stable,1.0
120,1.0,0,-0.86,-0.37,1221,stable,2.0
121,1.0,1,-0.47,-0.44,861,stable,2.0
122,1.0,1,-0.03,-0.91,2340,stable,2.0
123,0.0,0,-0.6,-0.1,1479,stable,2.0
124,1.0,1,-0.54,-0.84,508,stable,2.0
125,1.0,1,-0.34,-0.95,531,stable,2.0
126,1.0,0,-0.96,-0.28,747,stable,2.0
127,0.0,1,-0.83,-0.94,588,stable,2.0
128,1.0,1,-0.23,-0.86,2167,stable,2.0
129,0.0,1,-0.99,-0.2,2838,stable,2.0
130,0.0,1,-0.29,-0.91,502,stable,2.0
131,0.0,0,-0.88,-0.64,529,stable,2.0
132,0.0,1,-0.84,-0.8,3070,stable,2.0
133,1.0,0,-0.61,-0.88,2526,stable,2.0
134,0.0,1,-0.23,-0.77,1464,stable,2.0
135,0.0,1,-0.87,-0.54,1098,stable,2.0
136,1.0,1,-0.25,-0.9,494,stable,2.0
137,0.0,0,-0.71,-0.44,1368,stable,2.0
138,1.0,1,-0.42,-0.52,622,stable,2.0
139,0.0,1,-0.39,-0.94,738,stable,2.0
140,1.0,1,-0.39,-0.24,1681,stable,2.0
141,0.0,0,-0.2,-0.1,1854,stable,2.0
142,0.0,0,-0.85,-0.43,1346,stable,2.0
143,1.0,0,-0.77,-0.02,1784,stable,2.0
144,1.0,1,-0.54,-0.87,989,stable,2.0
145,0.0,1,-0.56,-0.57,2796,stable,2.0
146,1.0,1,-0.5,-0.79,259,stable,2.0
147,1.0,1,-0.04,-0.88,2295,stable,2.0
148,0.0,0,-0.4,-0.38,1986,stable,2.0
149,0.0,1,-0.47,-0.86,2241,stable,2.0
150,1.0,1,-0.15,-0.49,670,stable,2.0
151,1.0,1,-0.17,-0.39,673,stable,2.0
152,1.0,0,-0.76,-0.97,3124,stable,2.0
153,0.0,1,-0.73,-0.14,3206,stable,2.0
154,1.0,1,-0.67,-0.29,1986,stable,2.0
155,1.0,1,-0.48,-0.39,2001,stable,2.0
156,0.0,1,-0.3,-0.87,1746,stable,2.0
157,1.0,0,-0.13,-0.37,1495,stable,2.0
158,1.0,1,-0.66,-0.59,900,stable,2.0
159,0.0,1,-0.2,-0.77,970,stable,2.0
160,1.0,1,-0.39,-0.28,585,stable,2.0
161,1.0,1,-0.61,-0.55,3606,stable,2.0
162,0.0,1,-0.62,-0.02,1930,stable,2.0
163,0.0,0,-0.5,-0.8,992,stable,2.0
164,0.0,0,-0.6,-0.07,1929,stable,2.0
165,1.0,0,-0.76,-0.52,3252,stable,2.0
166,0.0,1,-0.49,-0.14,1331,stable,2.0
167,0.0,1,-0.46,-0.36,1309,stable,2.0
168,1.0,1,-0.84,-0.29,1800,stable,2.0
169,1.0,1,-0.44,-0.47,1793,stable,2.0
170,0.0,1,-0.73,-0.44,892,stable,2.0
171,0.0,1,-0.3,-0.95,1801,stable,2.0
172,0.0,0,-0.8,-0.39,2317,stable,2.0
173,1.0,1,-0.67,-0.61,1221,stable,2.0
174,1.0,1,-0.95,-0.61,1361,stable,2.0
175,1.0,1,-0.65,-0.19,4239,stable,2.0
176,0.0,1,-0.72,-0.33,836,stable,2.0
177,,0,-0.87,-0.17,6254,stable,2.0
178,1.0,1,-0.65,-0.53,1006,stable,2.0
179,0.0,1,-0.38,-0.76,2099,stable,2.0
