,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,0,0.2,0.01,616,volatile,0.0
1,0.0,0,0.43,0.12,839,volatile,0.0
2,0.0,0,0.21,0.9,536,volatile,0.0
3,0.0,1,0.26,0.62,475,volatile,0.0
4,1.0,0,0.95,0.19,985,volatile,0.0
5,0.0,0,0.1,0.61,571,volatile,0.0
6,1.0,0,0.9,0.12,1194,volatile,0.0
7,0.0,0,0.47,0.99,1223,volatile,0.0
8,0.0,0,0.08,0.06,873,volatile,0.0
9,0.0,0,0.29,0.81,874,volatile,0.0
10,0.0,0,0.49,0.34,715,volatile,0.0
11,0.0,0,0.74,0.99,553,volatile,0.0
12,0.0,0,0.8,0.87,811,volatile,0.0
13,0.0,0,0.02,0.28,777,volatile,0.0
14,0.0,0,0.4,0.81,617,volatile,0.0
15,0.0,0,0.45,0.78,667,volatile,0.0
16,1.0,1,0.28,0.28,602,volatile,0.0
17,1.0,1,0.35,0.22,1001,volatile,0.0
18,1.0,1,0.39,0.94,587,volatile,0.0
19,1.0,0,0.72,0.43,506,volatile,0.0
20,0.0,1,0.35,0.59,891,volatile,0.0
21,1.0,1,0.85,0.83,731,volatile,0.0
22,1.0,1,0.89,0.81,570,volatile,0.0
23,1.0,1,0.93,0.99,779,volatile,0.0
24,1.0,1,0.42,0.5,520,volatile,0.0
25,1.0,0,0.46,0.73,651,volatile,0.0
26,1.0,1,0.5,0.51,763,volatile,0.0
27,1.0,1,0.74,0.03,939,volatile,0.0
28,1.0,1,0.85,0.32,586,volatile,0.0
29,1.0,1,0.3,0.68,666,volatile,0.0
30,1.0,0,0.12,0.25,746,volatile,0.0
31,0.0,1,0.52,0.46,939,volatile,0.0
32,1.0,1,0.87,0.12,538,volatile,0.0
33,1.0,1,0.29,0.76,522,volatile,0.0
34,1.0,0,0.42,0.82,619,volatile,0.0
35,1.0,1,0.65,0.39,906,volatile,0.0
36,1.0,0,0.26,0.24,875,volatile,0.0
37,1.0,0,0.5,0.4,986,volatile,0.0
38,0.0,0,0.61,0.66,634,volatile,0.0
39,0.0,0,0.14,0.95,538,volatile,0.0
40,0.0,0,0.11,0.33,588,volatile,0.0
41,0.0,0,0.68,0.4,603,volatile,0.0
42,0.0,0,0.3,0.45,602,volatile,0.0
43,0.0,1,0.7,0.52,618,volatile,0.0
44,1.0,0,0.64,0.79,651,volatile,0.0
45,0.0,0,0.19,0.67,692,volatile,0.0
46,0.0,0,0.22,0.11,746,volatile,0.0
47,0.0,1,0.21,0.1,651,volatile,0.0
48,0.0,0,0.13,0.76,570,volatile,0.0
49,0.0,0,0.61,0.28,522,volatile,0.0
50,0.0,1,0.74,0.56,506,volatile,0.0
51,0.0,0,0.34,0.39,524,volatile,0.0
52,0.0,0,0.18,0.89,634,volatile,0.0
53,0.0,0,0.78,0.54,490,volatile,0.0
54,0.0,0,0.87,0.02,823,volatile,0.0
55,0.0,1,0.27,0.19,538,volatile,0.0
56,0.0,1,0.32,0.28,507,volatile,0.0
57,1.0,0,0.85,0.17,555,volatile,0.0
58,0.0,0,0.17,0.57,683,volatile,0.0
59,0.0,0,0.21,0.88,507,volatile,0.0
60,0.0,1,0.46,0.19,523,volatile,1.0
61,0.0,1,0.06,0.53,554,volatile,1.0
62,0.0,1,0.69,0.55,539,volatile,1.0
63,1.0,1,0.81,0.89,523,volatile,1.0
64,1.0,1,0.83,0.54,617,volatile,1.0
65,1.0,1,0.39,0.7,634,volatile,1.0
66,1.0,1,0.5,0.36,506,volatile,1.0
67,1.0,1,0.8,0.17,519,volatile,1.0
68,1.0,1,0.44,0.3,459,volatile,1.0
69,1.0,1,0.22,0.59,459,volatile,1.0
70,1.0,1,0.75,0.65,507,volatile,1.0
71,1.0,1,0.34,0.71,523,volatile,1.0
72,1.0,0,0.78,0.53,490,volatile,1.0
73,1.0,1,0.59,0.83,584,volatile,1.0
74,1.0,0,0.71,0.21,506,volatile,1.0
75,1.0,1,0.78,0.78,538,volatile,1.0
76,1.0,1,0.47,0.83,473,volatile,1.0
77,1.0,1,0.59,0.47,557,volatile,1.0
78,1.0,0,0.42,0.87,537,volatile,1.0
79,1.0,1,0.15,0.15,539,volatile,1.0
80,1.0,0,0.02,0.19,536,volatile,1.0
81,0.0,0,0.04,0.36,778,volatile,1.0
82,1.0,0,0.36,0.07,970,volatile,1.0
83,0.0,0,0.72,0.62,524,volatile,1.0
84,0.0,1,0.32,0.4,779,volatile,1.0
85,0.0,0,0.62,0.35,538,volatile,1.0
86,0.0,0,0.91,0.9,555,volatile,1.0
87,0.0,0,0.17,0.59,426,volatile,1.0
88,0.0,0,0.32,0.39,490,volatile,1.0
89,0.0,0,0.77,0.79,522,volatile,1.0
90,0.0,1,0.61,0.33,820,stable,1.0
91,0.0,1,0.14,0.48,523,stable,1.0
92,1.0,1,0.9,0.19,492,stable,1.0
93,1.0,1,0.43,0.34,458,stable,1.0
94,1.0,1,0.87,0.51,456,stable,1.0
95,1.0,1,0.55,0.22,491,stable,1.0
96,1.0,1,0.62,0.95,507,stable,1.0
97,1.0,1,0.07,0.21,600,stable,1.0
98,1.0,1,0.05,0.55,522,stable,1.0
99,1.0,1,0.24,0.91,524,stable,1.0
100,1.0,1,0.12,0.65,406,stable,1.0
101,1.0,1,0.69,0.3,523,stable,1.0
102,1.0,0,0.3,0.27,536,stable,1.0
103,0.0,1,0.94,0.42,539,stable,1.0
104,1.0,1,0.97,0.33,507,stable,1.0
105,1.0,1,0.7,0.51,474,stable,1.0
106,1.0,1,0.84,0.71,744,stable,1.0
107,1.0,1,0.09,0.29,507,stable,1.0
108,1.0,1,0.18,0.52,489,stable,1.0
109,1.0,1,0.88,0.24,635,stable,1.0
110,1.0,1,0.88,0.38,698,stable,1.0
111,1.0,1,0.59,0.2,491,stable,1.0
112,1.0,0,0.84,0.1,491,stable,1.0
113,1.0,1,0.73,0.69,571,stable,1.0
114,1.0,1,1.0,0.18,474,stable,1.0
115,1.0,0,0.57,0.86,523,stable,1.0
116,1.0,1,0.56,0.41,778,stable,1.0
117,1.0,1,0.84,0.77,507,stable,1.0
118,1.0,0,0.16,0.99,570,stable,1.0
119,1.0,1,0.94,0.53,504,stable,1.0
120,1.0,1,0.34,0.72,570,stable,2.0
121,1.0,1,0.56,0.76,1114,stable,2.0
122,1.0,1,0.25,0.92,488,stable,2.0
123,1.0,0,0.61,0.41,1065,stable,2.0
124,1.0,1,0.8,0.97,541,stable,2.0
125,1.0,1,0.25,0.75,506,stable,2.0
126,1.0,1,0.43,0.91,505,stable,2.0
127,1.0,1,0.22,0.15,555,stable,2.0
128,1.0,0,0.64,0.19,477,stable,2.0
129,1.0,1,0.15,0.09,487,stable,2.0
130,1.0,0,0.39,0.58,554,stable,2.0
131,0.0,1,0.32,0.85,971,stable,2.0
132,1.0,1,0.51,0.94,538,stable,2.0
133,1.0,1,0.79,0.33,475,stable,2.0
134,1.0,1,0.5,0.51,504,stable,2.0
135,1.0,0,0.2,0.63,628,stable,2.0
136,1.0,1,0.9,0.51,872,stable,2.0
137,1.0,1,0.73,0.64,586,stable,2.0
138,1.0,0,0.7,0.47,635,stable,2.0
139,1.0,1,0.77,0.52,539,stable,2.0
140,1.0,1,0.25,0.58,555,stable,2.0
141,1.0,1,0.82,0.93,490,stable,2.0
142,1.0,0,0.91,0.43,523,stable,2.0
143,1.0,1,0.42,0.17,665,stable,2.0
144,1.0,0,0.35,0.2,475,stable,2.0
145,1.0,1,0.58,0.61,491,stable,2.0
146,1.0,1,0.4,0.66,922,stable,2.0
147,1.0,0,0.64,0.29,539,stable,2.0
148,1.0,1,0.34,0.97,698,stable,2.0
149,1.0,0,0.47,0.85,521,stable,2.0
150,1.0,1,0.71,0.96,489,stable,2.0
151,1.0,0,0.75,0.27,807,stable,2.0
152,1.0,1,0.9,0.86,795,stable,2.0
153,0.0,1,0.59,0.83,746,stable,2.0
154,0.0,1,0.18,0.95,1209,stable,2.0
155,1.0,0,0.21,0.29,1004,stable,2.0
156,1.0,1,0.75,0.05,745,stable,2.0
157,1.0,1,0.44,0.3,923,stable,2.0
158,0.0,0,0.01,0.73,681,stable,2.0
159,1.0,1,0.55,0.54,1116,stable,2.0
160,1.0,1,0.71,0.22,762,stable,2.0
161,0.0,1,0.08,0.14,1179,stable,2.0
162,1.0,1,0.72,0.9,539,stable,2.0
163,1.0,1,0.79,0.65,763,stable,2.0
164,1.0,1,0.68,0.44,714,stable,2.0
165,1.0,0,0.22,0.07,538,stable,2.0
166,1.0,1,0.76,0.35,683,stable,2.0
167,1.0,1,0.68,0.76,699,stable,2.0
168,1.0,0,0.5,0.57,796,stable,2.0
169,1.0,1,0.65,0.72,1017,stable,2.0
170,1.0,1,0.85,0.86,876,stable,2.0
171,1.0,1,0.36,0.11,732,stable,2.0
172,1.0,0,0.45,0.02,936,stable,2.0
173,1.0,0,0.59,0.65,650,stable,2.0
174,1.0,0,0.91,0.48,955,stable,2.0
175,0.0,0,0.8,0.54,668,stable,2.0
176,0.0,1,0.27,0.74,619,stable,2.0
177,1.0,1,0.99,0.1,938,stable,2.0
178,0.0,1,0.18,0.61,857,stable,2.0
179,1.0,1,0.63,0.72,953,stable,2.0
