,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1783,stable,0.0
1,0.0,1,-0.66,-0.12,783,stable,0.0
2,0.0,1,-0.98,-0.02,3658,stable,0.0
3,1.0,0,-0.57,-0.95,2096,stable,0.0
4,0.0,1,-0.28,-0.08,1657,stable,0.0
5,0.0,1,-0.3,-0.33,1687,stable,0.0
6,0.0,1,-0.27,-0.24,1690,stable,0.0
7,0.0,0,-0.58,-0.43,1423,stable,0.0
8,0.0,1,-0.72,-0.47,2925,stable,0.0
9,0.0,0,-0.45,-0.44,1673,stable,0.0
10,0.0,1,-0.69,-0.26,1267,stable,0.0
11,1.0,1,-0.06,-0.41,2051,stable,0.0
12,0.0,0,-0.88,-0.34,1455,stable,0.0
13,0.0,0,-0.73,-0.2,1079,stable,0.0
14,0.0,1,-0.6,-0.25,1064,stable,0.0
15,0.0,0,-0.98,-0.06,1032,stable,0.0
16,0.0,0,-0.48,-0.39,1610,stable,0.0
17,1.0,1,-0.35,-0.95,1142,stable,0.0
18,1.0,1,-0.67,-0.85,1454,stable,0.0
19,0.0,1,-0.54,-0.22,1204,stable,0.0
20,1.0,0,-0.23,-0.9,1171,stable,0.0
21,0.0,1,-0.98,-0.41,2159,stable,0.0
22,1.0,1,-0.58,-0.8,1127,stable,0.0
23,1.0,0,-0.52,-0.85,1404,stable,0.0
24,0.0,0,-0.83,-0.15,1047,stable,0.0
25,1.0,1,-0.18,-0.16,1845,stable,0.0
26,1.0,1,-0.56,-0.7,1155,stable,0.0
27,1.0,1,-0.59,-0.95,1220,stable,0.0
28,0.0,1,-0.68,-0.18,1315,stable,0.0
29,0.0,1,-0.3,-0.16,1360,stable,0.0
30,0.0,0,-0.86,-0.37,1190,stable,0.0
31,1.0,1,-0.47,-0.44,2049,stable,0.0
32,1.0,1,-0.03,-0.91,1392,stable,0.0
33,0.0,0,-0.6,-0.1,1486,stable,0.0
34,1.0,1,-0.54,-0.84,1267,stable,0.0
35,1.0,1,-0.34,-0.95,1203,stable,0.0
36,1.0,0,-0.96,-0.28,1328,stable,0.0
37,1.0,1,-0.83,-0.94,1454,stable,0.0
