,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,934,stable,0.0
1,0.0,1,-0.66,-0.12,606,stable,0.0
2,0.0,1,-0.98,-0.02,542,stable,0.0
3,0.0,0,-0.57,-0.95,592,stable,0.0
4,0.0,1,-0.28,-0.08,778,stable,0.0
5,1.0,1,-0.3,-0.33,1058,stable,0.0
6,0.0,1,-0.27,-0.24,765,stable,0.0
7,0.0,0,-0.58,-0.43,855,stable,0.0
8,0.0,1,-0.72,-0.47,1029,stable,0.0
9,0.0,0,-0.45,-0.44,777,stable,0.0
10,0.0,1,-0.69,-0.26,824,stable,0.0
11,0.0,1,-0.06,-0.41,787,stable,0.0
12,0.0,0,-0.88,-0.34,1033,stable,0.0
13,0.0,0,-0.73,-0.2,680,stable,0.0
14,0.0,1,-0.6,-0.25,611,stable,0.0
15,0.0,0,-0.98,-0.06,756,stable,0.0
16,0.0,0,-0.48,-0.39,868,stable,0.0
17,1.0,1,-0.35,-0.95,994,stable,0.0
18,1.0,1,-0.67,-0.85,881,stable,0.0
19,0.0,1,-0.54,-0.22,757,stable,0.0
20,1.0,0,-0.23,-0.9,957,stable,0.0
21,0.0,1,-0.98,-0.41,845,stable,0.0
22,1.0,1,-0.58,-0.8,1249,stable,0.0
23,0.0,0,-0.52,-0.85,936,stable,0.0
24,0.0,0,-0.83,-0.15,834,stable,0.0
25,0.0,1,-0.18,-0.16,777,stable,0.0
26,0.0,1,-0.56,-0.7,1126,stable,0.0
27,1.0,1,-0.59,-0.95,1194,stable,0.0
28,0.0,1,-0.68,-0.18,1050,stable,0.0
29,0.0,1,-0.3,-0.16,870,stable,0.0
30,0.0,0,-0.86,-0.37,1173,stable,0.0
31,0.0,1,-0.47,-0.44,1096,stable,0.0
32,1.0,1,-0.03,-0.91,782,stable,0.0
33,0.0,0,-0.6,-0.1,827,stable,0.0
34,1.0,1,-0.54,-0.84,1532,stable,0.0
35,1.0,1,-0.34,-0.95,1321,stable,0.0
36,0.0,0,-0.96,-0.28,951,stable,0.0
37,1.0,1,-0.83,-0.94,982,stable,0.0
38,1.0,1,-0.23,-0.86,1262,stable,0.0
39,0.0,1,-0.99,-0.2,991,stable,0.0
40,1.0,1,-0.29,-0.91,1062,stable,0.0
41,0.0,0,-0.88,-0.64,542,stable,0.0
42,0.0,1,-0.84,-0.8,1218,stable,0.0
43,0.0,0,-0.61,-0.88,1509,stable,0.0
44,1.0,1,-0.23,-0.77,792,stable,0.0
45,0.0,1,-0.87,-0.54,1031,stable,0.0
46,0.0,1,-0.25,-0.9,653,stable,0.0
47,0.0,0,-0.71,-0.44,612,stable,0.0
48,0.0,1,-0.42,-0.52,811,stable,0.0
