,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1121,stable,0.0
1,0.0,1,0.8,0.32,786,stable,0.0
2,1.0,1,0.12,0.58,463,stable,0.0
3,1.0,0,0.72,0.17,1164,stable,0.0
4,0.0,1,0.98,0.72,1391,stable,0.0
5,0.0,1,0.1,0.63,708,stable,0.0
6,1.0,1,0.83,0.35,898,stable,0.0
7,0.0,0,0.29,0.49,771,stable,0.0
8,0.0,1,0.06,0.98,739,stable,0.0
9,1.0,0,0.95,0.54,1089,stable,0.0
10,1.0,1,0.8,0.64,1044,stable,0.0
11,1.0,1,0.55,0.36,1050,stable,0.0
12,0.0,0,0.22,0.98,2472,stable,0.0
13,1.0,0,0.31,0.14,924,stable,0.0
14,1.0,1,0.6,0.28,1108,stable,0.0
15,0.0,0,0.68,0.73,1434,stable,0.0
16,1.0,0,0.6,0.46,906,stable,0.0
17,0.0,1,0.32,0.85,1753,stable,0.0
18,1.0,1,0.88,0.99,2164,stable,0.0
19,0.0,1,0.97,0.87,1712,stable,0.0
20,1.0,0,0.92,0.41,1073,stable,0.0
21,0.0,1,0.36,0.32,1712,stable,0.0
22,0.0,1,0.13,0.59,1745,stable,0.0
23,0.0,0,0.5,0.8,1117,stable,0.0
24,0.0,0,0.49,0.61,2895,stable,0.0
25,1.0,1,0.92,0.87,1395,stable,0.0
26,0.0,1,0.28,0.95,1294,stable,0.0
27,1.0,1,0.64,0.33,1316,stable,0.0
28,0.0,1,0.59,0.97,1788,stable,0.0
29,0.0,1,0.44,0.52,1412,stable,0.0
30,1.0,0,0.9,0.2,2567,stable,0.0
31,0.0,1,0.13,0.65,1201,stable,0.0
32,0.0,1,0.47,0.69,753,stable,0.0
33,0.0,0,0.33,0.38,2163,stable,0.0
34,0.0,1,0.21,0.71,2815,stable,0.0
35,1.0,1,0.81,0.55,2289,stable,0.0
36,1.0,0,0.83,0.05,2576,stable,0.0
37,1.0,1,0.75,0.71,1134,stable,0.0
38,1.0,1,0.79,0.73,890,stable,0.0
39,1.0,1,0.93,0.2,2068,stable,0.0
40,1.0,1,0.8,0.89,1216,stable,0.0
41,1.0,0,0.9,0.1,2624,stable,0.0
42,1.0,1,0.63,0.17,1778,stable,0.0
43,1.0,0,0.74,0.05,2738,stable,0.0
