,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1419,stable,0.0
1,1.0,1,0.8,0.32,634,stable,0.0
2,1.0,1,0.12,0.58,551,stable,0.0
3,1.0,0,0.72,0.17,613,stable,0.0
4,1.0,1,0.98,0.72,819,stable,0.0
5,1.0,1,0.1,0.63,879,stable,0.0
6,1.0,1,0.83,0.35,828,stable,0.0
7,1.0,0,0.29,0.49,1103,stable,0.0
8,0.0,1,0.06,0.98,2121,stable,0.0
9,1.0,0,0.95,0.54,1794,stable,0.0
10,1.0,1,0.8,0.64,1747,stable,0.0
11,1.0,1,0.55,0.36,1553,stable,0.0
12,0.0,0,0.22,0.98,1259,stable,0.0
13,1.0,0,0.31,0.14,1865,stable,0.0
14,1.0,1,0.6,0.28,996,stable,0.0
15,1.0,0,0.68,0.73,708,stable,0.0
16,1.0,0,0.6,0.46,1059,stable,0.0
17,0.0,1,0.32,0.85,1169,stable,0.0
18,1.0,1,0.88,0.99,1520,stable,0.0
19,1.0,1,0.97,0.87,687,stable,0.0
20,1.0,0,0.92,0.41,1182,stable,0.0
21,1.0,1,0.36,0.32,1352,stable,0.0
22,0.0,1,0.13,0.59,1854,stable,0.0
23,0.0,0,0.5,0.8,1910,stable,0.0
24,1.0,0,0.49,0.61,1341,stable,0.0
25,1.0,1,0.92,0.87,1088,stable,0.0
26,0.0,1,0.28,0.95,1384,stable,0.0
27,1.0,1,0.64,0.33,1699,stable,0.0
28,0.0,1,0.59,0.97,1928,stable,0.0
29,1.0,1,0.44,0.52,1954,stable,0.0
30,1.0,0,0.9,0.2,2305,stable,0.0
31,0.0,1,0.13,0.65,1662,stable,0.0
32,1.0,1,0.47,0.69,2308,stable,0.0
33,1.0,0,0.33,0.38,1386,stable,0.0
34,0.0,1,0.21,0.71,1949,stable,0.0
35,1.0,1,0.81,0.55,1464,stable,0.0
36,1.0,0,0.83,0.05,945,stable,0.0
37,1.0,1,0.75,0.71,1261,stable,0.0
38,1.0,1,0.79,0.73,1600,stable,0.0
39,1.0,1,0.93,0.2,1545,stable,0.0
40,1.0,1,0.8,0.89,1767,stable,0.0
41,1.0,0,0.9,0.1,1836,stable,0.0
42,1.0,1,0.63,0.17,2384,stable,0.0
43,1.0,0,0.74,0.05,1598,stable,0.0
