,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1096,stable,0.0
1,1.0,1,0.8,0.32,729,stable,0.0
2,0.0,1,0.12,0.58,1262,stable,0.0
3,1.0,0,0.72,0.17,769,stable,0.0
4,1.0,1,0.98,0.72,486,stable,0.0
5,1.0,1,0.1,0.63,595,stable,0.0
6,1.0,1,0.83,0.35,689,stable,0.0
7,1.0,0,0.29,0.49,894,stable,0.0
8,0.0,1,0.06,0.98,853,stable,0.0
9,1.0,0,0.95,0.54,880,stable,0.0
10,1.0,1,0.8,0.64,800,stable,0.0
11,1.0,1,0.55,0.36,729,stable,0.0
12,0.0,0,0.22,0.98,811,stable,0.0
13,1.0,0,0.31,0.14,648,stable,0.0
14,1.0,1,0.6,0.28,628,stable,0.0
15,0.0,0,0.68,0.73,1164,stable,0.0
16,1.0,0,0.6,0.46,684,stable,0.0
17,0.0,1,0.32,0.85,789,stable,0.0
18,0.0,1,0.88,0.99,914,stable,0.0
19,1.0,1,0.97,0.87,1255,stable,0.0
20,1.0,0,0.92,0.41,714,stable,0.0
21,0.0,1,0.36,0.32,717,stable,0.0
22,0.0,1,0.13,0.59,708,stable,0.0
23,1.0,0,0.5,0.8,980,stable,0.0
24,0.0,0,0.49,0.61,1514,stable,0.0
25,0.0,1,0.92,0.87,1128,stable,0.0
26,0.0,1,0.28,0.95,778,stable,0.0
27,1.0,1,0.64,0.33,991,stable,0.0
28,1.0,1,0.59,0.97,911,stable,0.0
29,1.0,1,0.44,0.52,1004,stable,0.0
30,1.0,0,0.9,0.2,1626,stable,0.0
31,1.0,1,0.13,0.65,1190,stable,0.0
32,1.0,1,0.47,0.69,939,stable,0.0
33,1.0,0,0.33,0.38,826,stable,0.0
34,0.0,1,0.21,0.71,1138,stable,0.0
35,1.0,1,0.81,0.55,763,stable,0.0
36,1.0,0,0.83,0.05,644,stable,0.0
37,1.0,1,0.75,0.71,595,stable,0.0
38,1.0,1,0.79,0.73,652,stable,0.0
39,1.0,1,0.93,0.2,599,stable,0.0
40,1.0,1,0.8,0.89,583,stable,0.0
41,1.0,0,0.9,0.1,689,stable,0.0
42,1.0,1,0.63,0.17,507,stable,0.0
43,1.0,0,0.74,0.05,508,stable,0.0
44,1.0,1,0.4,0.62,665,stable,0.0
45,1.0,1,0.17,0.43,1142,stable,0.0
46,0.0,1,0.3,0.9,940,stable,0.0
