,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1413,stable,0.0
1,0.0,1,-0.66,-0.12,1049,stable,0.0
2,0.0,1,-0.98,-0.02,781,stable,0.0
3,0.0,0,-0.57,-0.95,620,stable,0.0
4,0.0,1,-0.28,-0.08,1107,stable,0.0
5,0.0,1,-0.3,-0.33,1115,stable,0.0
6,0.0,1,-0.27,-0.24,630,stable,0.0
7,0.0,0,-0.58,-0.43,610,stable,0.0
8,0.0,1,-0.72,-0.47,706,stable,0.0
9,0.0,0,-0.45,-0.44,579,stable,0.0
10,0.0,1,-0.69,-0.26,1320,stable,0.0
11,0.0,1,-0.06,-0.41,565,stable,0.0
12,0.0,0,-0.88,-0.34,616,stable,0.0
13,0.0,0,-0.73,-0.2,726,stable,0.0
14,0.0,1,-0.6,-0.25,661,stable,0.0
15,0.0,0,-0.98,-0.06,1379,stable,0.0
16,0.0,0,-0.48,-0.39,930,stable,0.0
17,0.0,1,-0.35,-0.95,647,stable,0.0
18,0.0,1,-0.67,-0.85,642,stable,0.0
19,0.0,1,-0.54,-0.22,604,stable,0.0
20,0.0,0,-0.23,-0.9,573,stable,0.0
21,0.0,1,-0.98,-0.41,801,stable,0.0
22,0.0,1,-0.58,-0.8,865,stable,0.0
23,0.0,0,-0.52,-0.85,883,stable,0.0
24,0.0,0,-0.83,-0.15,835,stable,0.0
25,0.0,1,-0.18,-0.16,817,stable,0.0
26,0.0,1,-0.56,-0.7,1369,stable,0.0
27,0.0,1,-0.59,-0.95,901,stable,0.0
28,0.0,1,-0.68,-0.18,661,stable,0.0
29,0.0,1,-0.3,-0.16,640,stable,0.0
30,0.0,0,-0.86,-0.37,673,stable,0.0
31,1.0,1,-0.47,-0.44,783,stable,0.0
32,1.0,1,-0.03,-0.91,668,stable,0.0
33,0.0,0,-0.6,-0.1,1328,stable,0.0
34,0.0,1,-0.54,-0.84,817,stable,0.0
35,0.0,1,-0.34,-0.95,1003,stable,0.0
36,0.0,0,-0.96,-0.28,785,stable,0.0
37,0.0,1,-0.83,-0.94,823,stable,0.0
38,0.0,1,-0.23,-0.86,1175,stable,0.0
39,0.0,1,-0.99,-0.2,714,stable,0.0
40,0.0,1,-0.29,-0.91,679,stable,0.0
41,0.0,0,-0.88,-0.64,1137,stable,0.0
42,0.0,1,-0.84,-0.8,717,stable,0.0
43,0.0,0,-0.61,-0.88,654,stable,0.0
44,0.0,1,-0.23,-0.77,645,stable,0.0
45,0.0,1,-0.87,-0.54,1055,stable,0.0
46,0.0,1,-0.25,-0.9,644,stable,0.0
47,0.0,0,-0.71,-0.44,806,stable,0.0
48,0.0,1,-0.42,-0.52,1058,stable,0.0
49,0.0,1,-0.39,-0.94,648,stable,0.0
50,0.0,1,-0.39,-0.24,613,stable,0.0
51,0.0,0,-0.2,-0.1,743,stable,0.0
52,0.0,0,-0.85,-0.43,988,stable,0.0
53,0.0,0,-0.77,-0.02,709,stable,0.0
54,0.0,1,-0.54,-0.87,733,stable,0.0
55,0.0,1,-0.56,-0.57,1117,stable,0.0
56,0.0,1,-0.5,-0.79,762,stable,0.0
57,1.0,1,-0.04,-0.88,820,stable,0.0
58,1.0,0,-0.4,-0.38,676,stable,0.0
59,1.0,1,-0.47,-0.86,697,stable,0.0
60,1.0,1,-0.15,-0.49,848,stable,1.0
61,0.0,1,-0.17,-0.39,1181,stable,1.0
62,0.0,0,-0.76,-0.97,842,stable,1.0
63,0.0,1,-0.73,-0.14,670,stable,1.0
64,0.0,1,-0.67,-0.29,775,stable,1.0
65,0.0,1,-0.48,-0.39,1126,stable,1.0
66,0.0,1,-0.3,-0.87,1175,stable,1.0
67,0.0,0,-0.13,-0.37,1240,stable,1.0
68,0.0,1,-0.66,-0.59,1002,stable,1.0
69,0.0,1,-0.2,-0.77,1106,stable,1.0
70,0.0,1,-0.39,-0.28,894,stable,1.0
71,0.0,1,-0.61,-0.55,720,stable,1.0
72,0.0,1,-0.62,-0.02,1360,stable,1.0
73,0.0,0,-0.5,-0.8,845,stable,1.0
74,0.0,0,-0.6,-0.07,659,stable,1.0
75,0.0,0,-0.76,-0.52,1076,stable,1.0
76,0.0,1,-0.49,-0.14,822,stable,1.0
77,0.0,1,-0.46,-0.36,825,stable,1.0
78,0.0,1,-0.84,-0.29,1041,stable,1.0
79,0.0,1,-0.44,-0.47,957,stable,1.0
80,0.0,1,-0.73,-0.44,712,stable,1.0
81,0.0,1,-0.3,-0.95,735,stable,1.0
82,0.0,0,-0.8,-0.39,690,stable,1.0
83,0.0,1,-0.67,-0.61,627,stable,1.0
84,0.0,1,-0.95,-0.61,867,stable,1.0
85,0.0,1,-0.65,-0.19,685,stable,1.0
86,0.0,1,-0.72,-0.33,656,stable,1.0
87,0.0,0,-0.87,-0.17,701,stable,1.0
88,0.0,1,-0.65,-0.53,767,stable,1.0
89,0.0,1,-0.38,-0.76,725,stable,1.0
90,0.0,1,-0.41,-0.2,1034,volatile,1.0
91,0.0,0,-0.76,-0.69,709,volatile,1.0
92,0.0,0,-0.73,-0.52,612,volatile,1.0
93,0.0,0,-0.41,-0.43,615,volatile,1.0
94,1.0,1,-0.25,-0.34,507,volatile,1.0
95,0.0,0,-0.34,-0.48,3469,volatile,1.0
96,0.0,0,-0.3,-0.35,721,volatile,1.0
97,1.0,0,-0.91,-0.42,792,volatile,1.0
98,1.0,0,-0.7,-0.44,852,volatile,1.0
99,0.0,1,-0.64,-0.5,954,volatile,1.0
100,1.0,0,-0.28,-0.19,858,volatile,1.0
101,1.0,0,-0.02,-0.59,782,volatile,1.0
102,1.0,0,-0.32,-0.76,752,volatile,1.0
103,1.0,0,-0.09,-0.98,747,volatile,1.0
104,1.0,1,-0.62,-0.56,620,volatile,1.0
105,0.0,0,-0.17,-0.16,1001,volatile,1.0
106,0.0,0,-0.74,-0.07,1212,volatile,1.0
107,1.0,0,-0.02,-0.41,1232,volatile,1.0
108,1.0,0,-0.7,-0.57,714,volatile,1.0
109,1.0,1,-0.24,-0.28,940,volatile,1.0
110,1.0,1,-0.59,-0.76,726,volatile,1.0
111,0.0,0,-0.15,-0.19,623,volatile,1.0
112,0.0,1,-0.5,-0.68,864,volatile,1.0
113,0.0,0,-0.43,-0.68,766,volatile,1.0
114,1.0,1,-0.14,-0.19,804,volatile,1.0
