,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1839,stable,0.0
1,0.0,1,-0.66,-0.12,1599,stable,0.0
2,0.0,1,-0.98,-0.02,1105,stable,0.0
3,0.0,0,-0.57,-0.95,2289,stable,0.0
4,0.0,1,-0.28,-0.08,925,stable,0.0
5,0.0,1,-0.3,-0.33,929,stable,0.0
6,0.0,1,-0.27,-0.24,805,stable,0.0
7,0.0,0,-0.58,-0.43,957,stable,0.0
8,0.0,1,-0.72,-0.47,1366,stable,0.0
9,0.0,0,-0.45,-0.44,1901,stable,0.0
10,0.0,1,-0.69,-0.26,1015,stable,0.0
11,0.0,1,-0.06,-0.41,1757,stable,0.0
12,0.0,0,-0.88,-0.34,1351,stable,0.0
13,0.0,0,-0.73,-0.2,1837,stable,0.0
14,0.0,1,-0.6,-0.25,1133,stable,0.0
15,0.0,0,-0.98,-0.06,3316,stable,0.0
16,0.0,0,-0.48,-0.39,2148,stable,0.0
17,1.0,1,-0.35,-0.95,1850,stable,0.0
18,0.0,1,-0.67,-0.85,1717,stable,0.0
19,0.0,1,-0.54,-0.22,1488,stable,0.0
20,0.0,0,-0.23,-0.9,2681,stable,0.0
21,0.0,1,-0.98,-0.41,828,stable,0.0
22,0.0,1,-0.58,-0.8,1639,stable,0.0
23,0.0,0,-0.52,-0.85,1273,stable,0.0
24,0.0,0,-0.83,-0.15,1143,stable,0.0
25,0.0,1,-0.18,-0.16,1223,stable,0.0
26,0.0,1,-0.56,-0.7,2652,stable,0.0
27,0.0,1,-0.59,-0.95,1337,stable,0.0
28,0.0,1,-0.68,-0.18,938,stable,0.0
29,0.0,1,-0.3,-0.16,968,stable,0.0
30,0.0,0,-0.86,-0.37,901,stable,0.0
31,0.0,1,-0.47,-0.44,1993,stable,0.0
32,0.0,1,-0.03,-0.91,1877,stable,0.0
33,0.0,0,-0.6,-0.1,1789,stable,0.0
34,0.0,1,-0.54,-0.84,1733,stable,0.0
35,0.0,1,-0.34,-0.95,1241,stable,0.0
36,0.0,0,-0.96,-0.28,1224,stable,0.0
37,0.0,1,-0.83,-0.94,1409,stable,0.0
38,0.0,1,-0.23,-0.86,1090,stable,0.0
39,0.0,1,-0.99,-0.2,737,stable,0.0
40,0.0,1,-0.29,-0.91,1350,stable,0.0
41,0.0,0,-0.88,-0.64,795,stable,0.0
42,0.0,1,-0.84,-0.8,1162,stable,0.0
43,0.0,0,-0.61,-0.88,1221,stable,0.0
44,0.0,1,-0.23,-0.77,803,stable,0.0
45,0.0,1,-0.87,-0.54,1388,stable,0.0
46,0.0,1,-0.25,-0.9,1302,stable,0.0
47,0.0,0,-0.71,-0.44,1149,stable,0.0
48,0.0,1,-0.42,-0.52,1089,stable,0.0
49,0.0,1,-0.39,-0.94,878,stable,0.0
50,0.0,1,-0.39,-0.24,961,stable,0.0
51,0.0,0,-0.2,-0.1,1244,stable,0.0
52,0.0,0,-0.85,-0.43,937,stable,0.0
53,0.0,0,-0.77,-0.02,1189,stable,0.0
54,1.0,1,-0.54,-0.87,857,stable,0.0
55,1.0,1,-0.56,-0.57,1124,stable,0.0
56,0.0,1,-0.5,-0.79,1402,stable,0.0
57,0.0,1,-0.04,-0.88,1131,stable,0.0
58,0.0,0,-0.4,-0.38,2357,stable,0.0
59,0.0,1,-0.47,-0.86,1552,stable,0.0
60,0.0,1,-0.15,-0.49,944,stable,1.0
61,0.0,1,-0.17,-0.39,1145,stable,1.0
62,0.0,0,-0.76,-0.97,1679,stable,1.0
63,0.0,1,-0.73,-0.14,921,stable,1.0
64,0.0,1,-0.67,-0.29,926,stable,1.0
65,0.0,1,-0.48,-0.39,649,stable,1.0
66,0.0,1,-0.3,-0.87,961,stable,1.0
67,0.0,0,-0.13,-0.37,1348,stable,1.0
68,0.0,1,-0.66,-0.59,1441,stable,1.0
69,0.0,1,-0.2,-0.77,1200,stable,1.0
70,0.0,1,-0.39,-0.28,1480,stable,1.0
