,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,0,-0.1,-0.23,980,volatile,0.0
1,1.0,0,-0.97,-0.45,874,volatile,0.0
2,1.0,0,-0.62,-0.54,624,volatile,0.0
3,1.0,1,-0.16,-0.99,1064,volatile,0.0
4,1.0,0,-0.4,-0.72,813,volatile,0.0
5,1.0,0,-0.88,-0.98,687,volatile,0.0
6,1.0,0,-0.54,-0.06,514,volatile,0.0
7,1.0,0,-0.55,-0.64,535,volatile,0.0
8,1.0,0,-0.45,-0.96,562,volatile,0.0
9,1.0,0,-0.19,-0.28,523,volatile,0.0
10,1.0,0,-0.26,-0.95,592,volatile,0.0
11,1.0,0,-0.29,-0.9,553,volatile,0.0
12,1.0,0,-0.53,-0.2,531,volatile,0.0
13,1.0,0,-0.56,-0.74,573,volatile,0.0
14,1.0,0,-0.42,-0.18,534,volatile,0.0
15,1.0,0,-0.91,-0.11,523,volatile,0.0
16,1.0,1,-0.31,-0.32,740,volatile,0.0
17,1.0,1,-0.81,-0.67,678,volatile,0.0
18,1.0,1,-0.36,-0.32,592,volatile,0.0
19,1.0,0,-0.81,-0.72,741,volatile,0.0
20,1.0,1,-0.54,-0.95,711,volatile,0.0
21,1.0,1,-0.59,-0.4,773,volatile,0.0
22,1.0,1,-0.24,-0.29,967,volatile,0.0
23,1.0,1,-0.51,-0.6,974,volatile,0.0
24,1.0,1,-0.65,-0.83,649,volatile,0.0
25,1.0,0,-0.98,-0.78,559,volatile,0.0
26,1.0,1,-0.51,-0.56,847,volatile,0.0
27,1.0,1,-0.2,-0.05,626,volatile,0.0
28,1.0,1,-0.02,-0.67,633,volatile,0.0
29,1.0,1,-0.84,-0.85,741,volatile,0.0
30,1.0,0,-0.49,-0.07,550,volatile,0.0
31,1.0,1,-0.47,-0.37,837,volatile,0.0
32,1.0,1,-0.91,-0.27,956,volatile,0.0
33,1.0,1,-0.42,-0.44,840,volatile,0.0
34,1.0,0,-0.55,-0.31,838,volatile,0.0
35,1.0,1,-0.7,-0.97,1011,volatile,0.0
36,1.0,0,-0.79,-0.89,1225,volatile,0.0
37,1.0,0,-0.86,-0.83,948,volatile,0.0
38,1.0,0,-0.62,-0.4,499,volatile,0.0
39,1.0,0,-0.23,-0.36,564,volatile,0.0
40,1.0,0,-0.61,-0.65,602,volatile,0.0
41,1.0,0,-0.67,-0.74,499,volatile,0.0
42,1.0,0,-0.41,-0.73,625,volatile,0.0
43,1.0,1,-0.54,-0.96,704,volatile,0.0
44,1.0,0,-0.88,-0.86,790,volatile,0.0
45,1.0,0,-0.66,-0.43,1309,volatile,0.0
46,1.0,0,-0.79,-0.72,853,volatile,0.0
47,1.0,1,-0.13,-0.71,876,volatile,0.0
48,1.0,0,-0.53,-0.78,852,volatile,0.0
49,1.0,0,-0.9,-0.57,732,volatile,0.0
50,1.0,1,-0.12,-0.03,746,volatile,0.0
51,1.0,0,-0.64,-0.02,749,volatile,0.0
52,1.0,0,-0.09,-0.99,980,volatile,0.0
53,1.0,0,-0.42,-0.21,681,volatile,0.0
54,1.0,0,-0.72,-0.83,640,volatile,0.0
55,1.0,1,-0.65,-0.36,894,volatile,0.0
56,1.0,1,-0.3,-0.4,702,volatile,0.0
57,1.0,0,-0.26,-0.29,906,volatile,0.0
58,1.0,0,-0.11,-0.37,719,volatile,0.0
59,1.0,0,-0.14,-0.12,806,volatile,0.0
60,1.0,1,-0.9,-0.78,1035,volatile,1.0
61,1.0,1,-0.53,-0.46,982,volatile,1.0
62,1.0,1,-0.42,-0.3,802,volatile,1.0
63,1.0,1,-0.65,-0.36,611,volatile,1.0
64,1.0,1,-0.49,-0.49,1119,volatile,1.0
65,1.0,1,-0.1,-0.44,737,volatile,1.0
66,1.0,1,-0.64,-0.7,656,volatile,1.0
67,1.0,1,-0.95,-0.68,945,volatile,1.0
68,1.0,1,-0.48,-0.02,485,volatile,1.0
69,1.0,1,-0.61,-0.09,764,volatile,1.0
70,1.0,1,-0.6,-0.47,837,volatile,1.0
71,1.0,1,-0.23,-0.78,812,volatile,1.0
72,1.0,0,-0.67,-0.82,883,volatile,1.0
73,1.0,1,-0.16,-0.64,789,volatile,1.0
74,1.0,0,-0.78,-0.37,775,volatile,1.0
75,1.0,1,-0.22,-0.89,845,volatile,1.0
76,1.0,1,-0.18,-0.26,735,volatile,1.0
77,0.0,1,-0.73,-0.08,1527,volatile,1.0
78,1.0,0,-0.51,-0.23,1182,volatile,1.0
79,1.0,1,-0.09,-0.14,848,volatile,1.0
80,1.0,0,-0.66,-0.73,918,volatile,1.0
