,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,0.2,0.01,685,volatile,0.0
1,1.0,0,0.43,0.12,713,volatile,0.0
2,0.0,0,0.21,0.9,780,volatile,0.0
3,1.0,1,0.26,0.62,1019,volatile,0.0
4,1.0,0,0.95,0.19,802,volatile,0.0
5,1.0,0,0.1,0.61,464,volatile,0.0
6,0.0,0,0.9,0.12,1496,volatile,0.0
7,0.0,0,0.47,0.99,962,volatile,0.0
8,1.0,0,0.08,0.06,459,volatile,0.0
9,1.0,0,0.29,0.81,476,volatile,0.0
10,1.0,0,0.49,0.34,1600,volatile,0.0
11,1.0,0,0.74,0.99,1117,volatile,0.0
12,1.0,0,0.8,0.87,604,volatile,0.0
13,1.0,0,0.02,0.28,909,volatile,0.0
14,0.0,0,0.4,0.81,593,volatile,0.0
15,0.0,0,0.45,0.78,957,volatile,0.0
16,1.0,1,0.28,0.28,1510,volatile,0.0
17,1.0,1,0.35,0.22,823,volatile,0.0
18,0.0,1,0.39,0.94,498,volatile,0.0
19,1.0,0,0.72,0.43,1290,volatile,0.0
20,1.0,1,0.35,0.59,1254,volatile,0.0
21,0.0,1,0.85,0.83,600,volatile,0.0
22,1.0,1,0.89,0.81,1098,volatile,0.0
23,1.0,1,0.93,0.99,525,volatile,0.0
24,1.0,1,0.42,0.5,525,volatile,0.0
25,1.0,0,0.46,0.73,635,volatile,0.0
26,1.0,1,0.5,0.51,551,volatile,0.0
27,1.0,1,0.74,0.03,560,volatile,0.0
28,1.0,1,0.85,0.32,537,volatile,0.0
29,1.0,1,0.3,0.68,486,volatile,0.0
30,1.0,0,0.12,0.25,1407,volatile,0.0
31,0.0,1,0.52,0.46,514,volatile,0.0
32,1.0,1,0.87,0.12,969,volatile,0.0
33,1.0,1,0.29,0.76,734,volatile,0.0
34,1.0,0,0.42,0.82,784,volatile,0.0
35,1.0,1,0.65,0.39,454,volatile,0.0
36,1.0,0,0.26,0.24,510,volatile,0.0
37,1.0,0,0.5,0.4,1026,volatile,0.0
38,1.0,0,0.61,0.66,755,volatile,0.0
39,0.0,0,0.14,0.95,456,volatile,0.0
40,0.0,0,0.11,0.33,483,volatile,0.0
41,1.0,0,0.3,0.45,998,volatile,0.0
42,1.0,1,0.7,0.52,1071,volatile,0.0
43,1.0,0,0.64,0.79,477,volatile,0.0
44,1.0,0,0.19,0.67,934,volatile,0.0
45,0.0,0,0.22,0.11,424,volatile,0.0
46,0.0,1,0.21,0.1,422,volatile,0.0
47,0.0,0,0.13,0.76,683,volatile,0.0
48,0.0,0,0.61,0.28,482,volatile,0.0
49,,1,0.74,0.56,6254,volatile,0.0
50,0.0,0,0.34,0.39,346,volatile,0.0
51,1.0,0,0.18,0.89,427,volatile,0.0
52,1.0,0,0.78,0.54,375,volatile,0.0
53,1.0,0,0.87,0.02,489,volatile,0.0
54,0.0,1,0.27,0.19,412,volatile,0.0
55,0.0,1,0.32,0.28,486,volatile,0.0
56,0.0,0,0.85,0.17,491,volatile,0.0
57,1.0,0,0.17,0.57,456,volatile,0.0
58,0.0,0,0.21,0.88,350,volatile,0.0
59,0.0,1,0.46,0.19,431,volatile,0.0
60,1.0,1,0.06,0.53,451,volatile,1.0
61,1.0,1,0.69,0.55,484,volatile,1.0
62,1.0,1,0.81,0.89,428,volatile,1.0
63,1.0,1,0.83,0.54,815,volatile,1.0
64,0.0,1,0.39,0.7,379,volatile,1.0
65,1.0,1,0.5,0.36,351,volatile,1.0
66,1.0,1,0.8,0.17,446,volatile,1.0
67,1.0,1,0.44,0.3,439,volatile,1.0
68,0.0,1,0.22,0.59,412,volatile,1.0
69,0.0,1,0.75,0.65,467,volatile,1.0
70,0.0,1,0.34,0.71,443,volatile,1.0
71,0.0,0,0.78,0.53,467,volatile,1.0
72,0.0,1,0.59,0.83,564,volatile,1.0
73,1.0,0,0.71,0.21,700,volatile,1.0
74,1.0,1,0.78,0.78,467,volatile,1.0
75,0.0,1,0.47,0.83,2102,volatile,1.0
76,0.0,1,0.59,0.47,1524,volatile,1.0
77,1.0,0,0.42,0.87,467,volatile,1.0
78,1.0,1,0.15,0.15,1386,volatile,1.0
79,0.0,0,0.02,0.19,1192,volatile,1.0
80,0.0,0,0.04,0.36,1275,volatile,1.0
81,1.0,0,0.36,0.07,1367,volatile,1.0
82,1.0,0,0.72,0.62,478,volatile,1.0
83,1.0,1,0.32,0.4,1029,volatile,1.0
84,1.0,0,0.62,0.35,373,volatile,1.0
85,0.0,0,0.91,0.9,568,volatile,1.0
86,0.0,0,0.17,0.59,783,volatile,1.0
87,1.0,0,0.32,0.39,1238,volatile,1.0
88,1.0,0,0.77,0.79,1110,volatile,1.0
89,0.0,1,0.61,0.33,650,volatile,1.0
90,0.0,1,0.14,0.48,2656,stable,1.0
91,1.0,1,0.9,0.19,982,stable,1.0
92,1.0,1,0.43,0.34,1116,stable,1.0
93,0.0,1,0.87,0.51,388,stable,1.0
94,1.0,1,0.55,0.22,388,stable,1.0
95,0.0,1,0.62,0.95,531,stable,1.0
96,1.0,1,0.07,0.21,394,stable,1.0
97,1.0,1,0.05,0.55,526,stable,1.0
98,1.0,1,0.24,0.91,507,stable,1.0
99,1.0,1,0.12,0.65,639,stable,1.0
100,1.0,1,0.18,0.52,772,stable,1.0
101,1.0,1,0.88,0.24,532,stable,1.0
102,1.0,1,0.88,0.38,642,stable,1.0
103,1.0,1,0.59,0.2,643,stable,1.0
104,1.0,0,0.84,0.1,508,stable,1.0
105,0.0,1,0.73,0.69,501,stable,1.0
106,1.0,1,1.0,0.18,680,stable,1.0
107,1.0,0,0.57,0.86,551,stable,1.0
108,1.0,1,0.56,0.41,608,stable,1.0
109,1.0,1,0.84,0.77,793,stable,1.0
110,1.0,0,0.16,0.99,614,stable,1.0
111,1.0,1,0.94,0.53,570,stable,1.0
112,1.0,1,0.34,0.72,699,stable,1.0
113,1.0,1,0.56,0.76,622,stable,1.0
114,1.0,1,0.25,0.92,537,stable,1.0
115,1.0,0,0.61,0.41,621,stable,1.0
116,0.0,1,0.8,0.97,613,stable,1.0
117,1.0,1,0.25,0.75,643,stable,1.0
118,1.0,1,0.43,0.91,739,stable,1.0
119,1.0,1,0.22,0.15,589,stable,1.0
120,1.0,0,0.64,0.19,591,stable,2.0
121,1.0,1,0.15,0.09,672,stable,2.0
122,0.0,0,0.39,0.58,493,stable,2.0
123,1.0,1,0.32,0.85,671,stable,2.0
124,1.0,1,0.51,0.94,628,stable,2.0
125,1.0,1,0.79,0.33,531,stable,2.0
126,1.0,1,0.5,0.51,470,stable,2.0
127,1.0,0,0.2,0.63,1021,stable,2.0
128,0.0,1,0.9,0.51,811,stable,2.0
129,1.0,1,0.73,0.64,656,stable,2.0
130,1.0,0,0.7,0.47,438,stable,2.0
131,1.0,1,0.77,0.52,258,stable,2.0
132,0.0,1,0.25,0.58,426,stable,2.0
133,0.0,1,0.82,0.93,600,stable,2.0
134,1.0,0,0.91,0.43,416,stable,2.0
135,1.0,1,0.42,0.17,1898,stable,2.0
136,1.0,0,0.35,0.2,687,stable,2.0
137,1.0,1,0.58,0.61,593,stable,2.0
138,1.0,1,0.4,0.66,856,stable,2.0
139,1.0,0,0.64,0.29,852,stable,2.0
140,0.0,1,0.34,0.97,510,stable,2.0
141,1.0,0,0.47,0.85,584,stable,2.0
142,0.0,1,0.71,0.96,570,stable,2.0
143,0.0,0,0.75,0.27,494,stable,2.0
144,1.0,1,0.9,0.86,278,stable,2.0
145,1.0,1,0.59,0.83,501,stable,2.0
146,0.0,1,0.18,0.95,424,stable,2.0
147,0.0,0,0.21,0.29,466,stable,2.0
148,0.0,1,0.75,0.05,438,stable,2.0
149,0.0,1,0.44,0.3,422,stable,2.0
150,1.0,0,0.01,0.73,511,stable,2.0
151,0.0,1,0.55,0.54,459,stable,2.0
152,1.0,1,0.71,0.22,619,stable,2.0
153,0.0,1,0.08,0.14,754,stable,2.0
154,1.0,1,0.72,0.9,441,stable,2.0
155,0.0,1,0.79,0.65,457,stable,2.0
156,0.0,1,0.68,0.44,422,stable,2.0
157,1.0,0,0.22,0.07,489,stable,2.0
158,1.0,1,0.76,0.35,412,stable,2.0
159,0.0,1,0.68,0.76,550,stable,2.0
160,1.0,0,0.5,0.57,451,stable,2.0
161,0.0,1,0.65,0.72,442,stable,2.0
162,0.0,1,0.85,0.86,524,stable,2.0
163,0.0,1,0.36,0.11,500,stable,2.0
164,1.0,0,0.45,0.02,708,stable,2.0
165,0.0,0,0.59,0.65,639,stable,2.0
166,1.0,0,0.91,0.48,771,stable,2.0
167,0.0,0,0.8,0.54,527,stable,2.0
168,0.0,1,0.27,0.74,578,stable,2.0
169,1.0,1,0.99,0.1,628,stable,2.0
170,1.0,1,0.18,0.61,1008,stable,2.0
171,0.0,1,0.63,0.72,729,stable,2.0
172,,0,0.43,0.12,713,stable,2.0
173,,0,0.43,0.12,713,stable,2.0
174,,0,0.43,0.12,713,stable,2.0
175,,0,0.43,0.12,713,stable,2.0
176,,0,0.43,0.12,713,stable,2.0
177,,0,0.43,0.12,713,stable,2.0
178,,0,0.43,0.12,713,stable,2.0
179,,0,0.43,0.12,713,stable,2.0
