,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,-0.1,-0.23,3146,volatile,0.0
1,0.0,0,-0.97,-0.45,2127,volatile,0.0
2,1.0,0,-0.62,-0.54,3126,volatile,0.0
3,1.0,1,-0.16,-0.99,1186,volatile,0.0
4,1.0,0,-0.4,-0.72,3335,volatile,0.0
5,0.0,0,-0.88,-0.98,4737,volatile,0.0
6,0.0,0,-0.54,-0.06,4282,volatile,0.0
7,,0,-0.55,-0.64,7000,volatile,0.0
8,1.0,0,-0.45,-0.96,2695,volatile,0.0
9,1.0,0,-0.19,-0.28,2605,volatile,0.0
10,1.0,0,-0.26,-0.95,1214,volatile,0.0
11,1.0,0,-0.29,-0.9,1542,volatile,0.0
12,,0,-0.53,-0.2,7000,volatile,0.0
13,,0,-0.56,-0.74,7000,volatile,0.0
14,,0,-0.42,-0.18,7000,volatile,0.0
15,,0,-0.91,-0.11,6999,volatile,0.0
16,,1,-0.31,-0.32,7006,volatile,0.0
17,,1,-0.81,-0.67,6999,volatile,0.0
18,,1,-0.36,-0.32,7000,volatile,0.0
19,,0,-0.81,-0.72,7000,volatile,0.0
20,,1,-0.54,-0.95,6999,volatile,0.0
21,,1,-0.59,-0.4,7178,volatile,0.0
22,,1,-0.24,-0.29,6998,volatile,0.0
23,1.0,1,-0.51,-0.6,5853,volatile,0.0
24,,1,-0.65,-0.83,6252,volatile,0.0
25,,0,-0.98,-0.78,6886,volatile,0.0
26,,1,-0.51,-0.56,6997,volatile,0.0
27,,1,-0.2,-0.05,7003,volatile,0.0
28,1.0,1,-0.02,-0.67,4547,volatile,0.0
29,,1,-0.84,-0.85,6939,volatile,0.0
30,,0,-0.49,-0.07,6999,volatile,0.0
31,,1,-0.47,-0.37,6986,volatile,0.0
32,,1,-0.91,-0.27,6993,volatile,0.0
33,,1,-0.42,-0.44,6988,volatile,0.0
34,,0,-0.55,-0.31,6994,volatile,0.0
35,,1,-0.7,-0.97,7004,volatile,0.0
36,,0,-0.79,-0.89,6991,volatile,0.0
37,,0,-0.86,-0.83,7001,volatile,0.0
38,,0,-0.62,-0.4,6960,volatile,0.0
39,,0,-0.23,-0.36,7003,volatile,0.0
40,,0,-0.61,-0.65,6991,volatile,0.0
41,,0,-0.67,-0.74,6988,volatile,0.0
42,,0,-0.41,-0.73,7603,volatile,0.0
43,1.0,1,-0.54,-0.96,5117,volatile,0.0
44,1.0,0,-0.88,-0.86,4581,volatile,0.0
45,1.0,0,-0.66,-0.43,3760,volatile,0.0
46,1.0,0,-0.79,-0.72,1599,volatile,0.0
47,,1,-0.13,-0.71,6252,volatile,0.0
48,,0,-0.53,-0.78,6282,volatile,0.0
49,,0,-0.9,-0.57,6251,volatile,0.0
50,,1,-0.12,-0.03,6263,volatile,0.0
51,,0,-0.64,-0.02,6251,volatile,0.0
52,1.0,0,-0.09,-0.99,1728,volatile,0.0
53,0.0,0,-0.42,-0.21,4134,volatile,0.0
54,,0,-0.72,-0.83,6250,volatile,0.0
55,,1,-0.65,-0.36,6251,volatile,0.0
56,,1,-0.3,-0.4,6251,volatile,0.0
57,,0,-0.26,-0.29,6253,volatile,0.0
58,,0,-0.11,-0.37,6251,volatile,0.0
59,,0,-0.14,-0.12,6251,volatile,0.0
60,,1,-0.9,-0.78,6252,volatile,1.0
61,,1,-0.53,-0.46,6252,volatile,1.0
62,,1,-0.42,-0.3,6251,volatile,1.0
63,,1,-0.65,-0.36,6252,volatile,1.0
64,,1,-0.49,-0.49,6252,volatile,1.0
65,,1,-0.1,-0.44,6250,volatile,1.0
66,,1,-0.64,-0.7,6250,volatile,1.0
67,,1,-0.95,-0.68,6252,volatile,1.0
68,,1,-0.48,-0.02,6251,volatile,1.0
69,,1,-0.61,-0.09,6252,volatile,1.0
70,,1,-0.6,-0.47,6250,volatile,1.0
71,,1,-0.23,-0.78,6252,volatile,1.0
72,,0,-0.67,-0.82,6638,volatile,1.0
73,,1,-0.16,-0.64,6251,volatile,1.0
74,,0,-0.78,-0.37,6250,volatile,1.0
75,,1,-0.22,-0.89,6251,volatile,1.0
76,,1,-0.18,-0.26,6253,volatile,1.0
77,,1,-0.73,-0.08,6252,volatile,1.0
78,,0,-0.51,-0.23,6250,volatile,1.0
79,,1,-0.09,-0.14,6251,volatile,1.0
80,,0,-0.66,-0.73,6250,volatile,1.0
81,,0,-0.17,-0.17,6250,volatile,1.0
82,,0,-0.63,-0.9,6252,volatile,1.0
83,,0,-0.66,-0.77,6251,volatile,1.0
84,,1,-0.27,-0.35,6251,volatile,1.0
85,0.0,0,-0.15,-0.04,3239,volatile,1.0
86,,0,-0.9,-0.96,6252,volatile,1.0
87,,0,-0.11,-0.18,6974,volatile,1.0
88,1.0,0,-0.2,-0.53,3589,volatile,1.0
89,,0,-0.37,-0.85,6251,volatile,1.0
90,,1,-0.46,-0.38,6253,stable,1.0
91,,1,-0.24,-0.18,6252,stable,1.0
92,,1,-0.78,-0.82,6251,stable,1.0
93,,1,-0.54,-0.59,6252,stable,1.0
94,,1,-0.33,-0.36,6252,stable,1.0
95,,1,-0.56,-0.49,6251,stable,1.0
96,,1,-0.83,-0.26,6250,stable,1.0
97,0.0,1,-0.81,-0.38,3244,stable,1.0
98,0.0,1,-0.23,-0.12,4264,stable,1.0
99,,1,-0.07,-0.87,6250,stable,1.0
100,,1,-0.5,-0.43,6253,stable,1.0
101,,1,-0.47,-0.5,6251,stable,1.0
102,,0,-0.35,-0.41,6253,stable,1.0
103,,1,-0.87,-0.09,6250,stable,1.0
104,,1,-0.58,-0.2,6255,stable,1.0
105,,1,-0.31,-0.88,6250,stable,1.0
106,,1,-0.44,-0.56,6306,stable,1.0
107,,1,-0.85,-0.31,6251,stable,1.0
108,,1,-0.31,-0.9,6251,stable,1.0
109,,1,-0.76,-0.8,6257,stable,1.0
110,,1,-0.04,-0.78,6252,stable,1.0
111,,1,-0.28,-0.6,6250,stable,1.0
112,,0,-0.99,-0.56,6254,stable,1.0
113,,1,-0.45,-0.31,6251,stable,1.0
114,,1,-0.16,-0.55,6249,stable,1.0
115,,0,-0.89,-0.12,6251,stable,1.0
116,,1,-0.86,-0.49,6251,stable,1.0
117,,1,-0.62,-0.69,6250,stable,1.0
118,,0,-0.26,-0.49,6253,stable,1.0
119,,1,-0.76,-0.75,6250,stable,1.0
120,,1,-0.9,-0.22,6251,stable,2.0
121,,1,-0.76,-0.26,6251,stable,2.0
122,,1,-0.68,-0.11,6250,stable,2.0
123,,0,-0.82,-0.71,6251,stable,2.0
124,,1,-0.95,-0.86,6251,stable,2.0
125,,1,-0.88,-0.79,6251,stable,2.0
126,,1,-0.4,-0.75,6251,stable,2.0
127,0.0,1,-0.94,-0.11,4381,stable,2.0
128,,0,-0.44,-0.53,6251,stable,2.0
129,,1,-0.47,-0.85,6256,stable,2.0
130,,0,-0.32,-0.85,6252,stable,2.0
131,,1,-0.68,-0.38,6251,stable,2.0
132,,1,-0.93,-0.28,6251,stable,2.0
133,,1,-0.95,-0.13,6251,stable,2.0
134,,1,-0.6,-0.69,6251,stable,2.0
135,,0,-0.95,-0.56,6252,stable,2.0
136,0.0,1,-0.41,-0.02,3265,stable,2.0
137,1.0,1,-0.05,-0.42,1775,stable,2.0
138,1.0,0,-0.3,-0.44,2030,stable,2.0
139,1.0,1,-0.54,-0.79,3350,stable,2.0
140,,1,-0.87,-0.83,6251,stable,2.0
141,,1,-0.44,-0.59,6253,stable,2.0
142,,0,-0.1,-0.15,6251,stable,2.0
143,,1,-0.15,-0.6,6252,stable,2.0
144,,0,-0.25,-0.93,6251,stable,2.0
145,,1,-0.23,-0.43,6251,stable,2.0
146,,1,-0.87,-0.22,6251,stable,2.0
147,,0,-0.77,-0.27,6252,stable,2.0
148,,1,-0.35,-0.99,6250,stable,2.0
149,,0,-0.39,-0.49,6251,stable,2.0
150,,1,-0.6,-0.83,6254,stable,2.0
151,,0,-0.54,-0.61,6251,stable,2.0
152,,1,-0.34,-0.82,6389,stable,2.0
153,,1,-0.86,-0.96,6250,stable,2.0
154,,1,-0.27,-0.65,6251,stable,2.0
155,,0,-0.93,-0.63,6253,stable,2.0
156,,1,-0.4,-0.65,6250,stable,2.0
157,0.0,1,-0.69,-0.07,3585,stable,2.0
158,1.0,0,-0.28,-0.94,2328,stable,2.0
159,1.0,1,-0.04,-0.9,681,stable,2.0
160,,1,-0.94,-0.7,6251,stable,2.0
161,,1,-0.54,-0.32,6251,stable,2.0
162,,1,-0.67,-0.35,6251,stable,2.0
163,,1,-0.61,-0.09,6250,stable,2.0
164,,1,-0.75,-0.52,6251,stable,2.0
165,,0,-0.98,-0.61,7065,stable,2.0
166,,1,-0.73,-0.73,6251,stable,2.0
