,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.44,-0.37,442,stable,0.0
1,0.0,1,-0.66,-0.12,468,stable,0.0
2,0.0,1,-0.98,-0.02,666,stable,0.0
3,0.0,0,-0.57,-0.95,472,stable,0.0
4,0.0,1,-0.28,-0.08,442,stable,0.0
5,1.0,1,-0.3,-0.33,2037,stable,0.0
6,0.0,1,-0.27,-0.24,1211,stable,0.0
7,0.0,0,-0.58,-0.43,1532,stable,0.0
8,1.0,1,-0.72,-0.47,662,stable,0.0
9,0.0,0,-0.45,-0.44,781,stable,0.0
10,0.0,1,-0.69,-0.26,681,stable,0.0
11,0.0,1,-0.06,-0.41,444,stable,0.0
12,0.0,0,-0.88,-0.34,1050,stable,0.0
13,1.0,0,-0.73,-0.2,557,stable,0.0
14,1.0,1,-0.6,-0.25,845,stable,0.0
15,0.0,0,-0.98,-0.06,686,stable,0.0
16,0.0,0,-0.48,-0.39,1567,stable,0.0
17,1.0,1,-0.35,-0.95,941,stable,0.0
18,0.0,1,-0.67,-0.85,950,stable,0.0
19,0.0,1,-0.54,-0.22,1382,stable,0.0
20,1.0,0,-0.23,-0.9,1336,stable,0.0
21,0.0,1,-0.98,-0.41,587,stable,0.0
22,1.0,1,-0.58,-0.8,573,stable,0.0
23,1.0,0,-0.52,-0.85,1193,stable,0.0
24,0.0,0,-0.83,-0.15,866,stable,0.0
25,0.0,1,-0.18,-0.16,809,stable,0.0
26,0.0,1,-0.56,-0.7,820,stable,0.0
27,1.0,1,-0.59,-0.95,1106,stable,0.0
28,0.0,1,-0.68,-0.18,890,stable,0.0
29,0.0,1,-0.3,-0.16,1055,stable,0.0
30,0.0,0,-0.86,-0.37,2281,stable,0.0
31,0.0,1,-0.47,-0.44,615,stable,0.0
32,1.0,1,-0.03,-0.91,717,stable,0.0
33,0.0,0,-0.6,-0.1,887,stable,0.0
34,1.0,1,-0.54,-0.84,413,stable,0.0
35,1.0,1,-0.34,-0.95,413,stable,0.0
36,0.0,0,-0.96,-0.28,609,stable,0.0
37,0.0,1,-0.83,-0.94,614,stable,0.0
38,1.0,1,-0.23,-0.86,1685,stable,0.0
39,1.0,1,-0.99,-0.2,783,stable,0.0
40,0.0,1,-0.29,-0.91,496,stable,0.0
41,0.0,0,-0.88,-0.64,546,stable,0.0
42,0.0,1,-0.84,-0.8,835,stable,0.0
43,0.0,0,-0.61,-0.88,535,stable,0.0
44,0.0,1,-0.23,-0.77,758,stable,0.0
45,0.0,1,-0.87,-0.54,808,stable,0.0
46,0.0,1,-0.25,-0.9,651,stable,0.0
47,0.0,0,-0.71,-0.44,1027,stable,0.0
48,1.0,1,-0.39,-0.94,958,stable,0.0
49,0.0,1,-0.39,-0.24,725,stable,0.0
50,0.0,0,-0.2,-0.1,843,stable,0.0
51,0.0,0,-0.85,-0.43,520,stable,0.0
52,0.0,0,-0.77,-0.02,706,stable,0.0
53,1.0,1,-0.54,-0.87,497,stable,0.0
54,1.0,1,-0.56,-0.57,1054,stable,0.0
55,1.0,1,-0.5,-0.79,1152,stable,0.0
56,0.0,1,-0.04,-0.88,355,stable,0.0
57,0.0,0,-0.4,-0.38,747,stable,0.0
58,0.0,1,-0.47,-0.86,722,stable,0.0
59,0.0,1,-0.15,-0.49,821,stable,0.0
60,0.0,1,-0.17,-0.39,899,stable,1.0
61,0.0,0,-0.76,-0.97,497,stable,1.0
62,0.0,1,-0.73,-0.14,1101,stable,1.0
63,0.0,1,-0.67,-0.29,1154,stable,1.0
64,0.0,1,-0.48,-0.39,730,stable,1.0
65,1.0,1,-0.3,-0.87,1089,stable,1.0
66,0.0,0,-0.13,-0.37,490,stable,1.0
67,0.0,1,-0.66,-0.59,613,stable,1.0
68,1.0,1,-0.2,-0.77,1094,stable,1.0
69,1.0,1,-0.39,-0.28,1194,stable,1.0
70,0.0,1,-0.61,-0.55,544,stable,1.0
71,0.0,1,-0.62,-0.02,475,stable,1.0
72,0.0,0,-0.5,-0.8,517,stable,1.0
73,0.0,0,-0.6,-0.07,698,stable,1.0
74,1.0,0,-0.76,-0.52,689,stable,1.0
75,1.0,1,-0.49,-0.14,484,stable,1.0
76,1.0,1,-0.46,-0.36,452,stable,1.0
77,1.0,1,-0.84,-0.29,733,stable,1.0
78,1.0,1,-0.44,-0.47,484,stable,1.0
79,0.0,1,-0.73,-0.44,417,stable,1.0
80,1.0,1,-0.3,-0.95,888,stable,1.0
81,1.0,0,-0.8,-0.39,607,stable,1.0
82,1.0,1,-0.67,-0.61,735,stable,1.0
83,0.0,1,-0.95,-0.61,1008,stable,1.0
84,0.0,1,-0.65,-0.19,907,stable,1.0
85,1.0,1,-0.72,-0.33,931,stable,1.0
86,0.0,0,-0.87,-0.17,864,stable,1.0
87,1.0,1,-0.65,-0.53,1074,stable,1.0
88,0.0,1,-0.38,-0.76,916,stable,1.0
89,0.0,1,-0.41,-0.2,1194,stable,1.0
90,0.0,0,-0.76,-0.69,552,volatile,1.0
91,0.0,0,-0.73,-0.52,611,volatile,1.0
92,0.0,0,-0.41,-0.43,604,volatile,1.0
93,0.0,1,-0.25,-0.34,558,volatile,1.0
94,0.0,0,-0.34,-0.48,524,volatile,1.0
95,1.0,0,-0.3,-0.35,518,volatile,1.0
96,0.0,0,-0.91,-0.42,828,volatile,1.0
97,1.0,0,-0.7,-0.44,1292,volatile,1.0
98,1.0,1,-0.64,-0.5,998,volatile,1.0
99,1.0,0,-0.28,-0.19,497,volatile,1.0
100,0.0,0,-0.02,-0.59,805,volatile,1.0
101,0.0,0,-0.2,-0.09,1044,volatile,1.0
102,0.0,0,-0.32,-0.76,890,volatile,1.0
103,1.0,0,-0.09,-0.98,707,volatile,1.0
104,0.0,1,-0.62,-0.56,1248,volatile,1.0
105,1.0,0,-0.17,-0.16,1139,volatile,1.0
106,1.0,0,-0.74,-0.07,841,volatile,1.0
107,1.0,0,-0.02,-0.41,686,volatile,1.0
108,1.0,0,-0.7,-0.57,942,volatile,1.0
109,1.0,1,-0.24,-0.28,1495,volatile,1.0
110,0.0,1,-0.59,-0.76,594,volatile,1.0
111,0.0,0,-0.15,-0.19,984,volatile,1.0
112,0.0,1,-0.5,-0.68,370,volatile,1.0
113,0.0,0,-0.43,-0.68,816,volatile,1.0
114,0.0,1,-0.14,-0.19,392,volatile,1.0
115,0.0,1,-0.12,-0.11,417,volatile,1.0
116,0.0,1,-0.4,-0.36,586,volatile,1.0
117,1.0,1,-0.88,-0.64,554,volatile,1.0
118,0.0,1,-0.51,-0.03,524,volatile,1.0
119,1.0,1,-0.44,-0.76,658,volatile,1.0
120,0.0,1,-0.23,-0.92,609,volatile,2.0
121,1.0,1,-0.23,-0.14,817,volatile,2.0
122,1.0,1,-0.94,-0.77,1625,volatile,2.0
123,0.0,0,-0.85,-0.2,557,volatile,2.0
124,1.0,1,-0.86,-0.63,1210,volatile,2.0
125,1.0,0,-0.82,-0.56,693,volatile,2.0
126,1.0,0,-0.68,-0.63,1024,volatile,2.0
127,1.0,0,-0.65,-0.8,1675,volatile,2.0
128,0.0,0,-0.25,-0.1,980,volatile,2.0
129,0.0,0,-0.67,-0.8,916,volatile,2.0
130,0.0,0,-0.82,-0.57,2232,volatile,2.0
131,1.0,0,-0.88,-0.47,873,volatile,2.0
132,1.0,1,-0.55,-0.99,1273,volatile,2.0
133,1.0,1,-0.74,-0.67,1504,volatile,2.0
134,1.0,0,-0.18,-0.27,753,volatile,2.0
135,1.0,0,-0.15,-0.67,864,volatile,2.0
136,1.0,0,-0.91,-0.32,898,volatile,2.0
137,1.0,0,-0.66,-0.48,1036,volatile,2.0
138,1.0,0,-0.67,-0.66,757,volatile,2.0
139,0.0,1,-0.11,-0.72,757,volatile,2.0
140,1.0,0,-0.36,-0.52,700,volatile,2.0
141,0.0,0,-0.44,-0.76,965,volatile,2.0
142,1.0,0,-0.04,-0.37,1290,volatile,2.0
143,0.0,0,-0.86,-0.09,612,volatile,2.0
144,0.0,0,-0.99,-0.86,768,volatile,2.0
145,1.0,0,-0.39,-0.9,685,volatile,2.0
146,1.0,1,-0.82,-0.85,1296,volatile,2.0
147,0.0,0,-0.89,-0.99,824,volatile,2.0
148,0.0,1,-0.88,-0.02,849,volatile,2.0
149,1.0,0,-0.05,-0.33,860,volatile,2.0
150,1.0,1,-0.35,-0.86,1212,volatile,2.0
151,1.0,1,-0.08,-0.13,550,volatile,2.0
152,1.0,1,-0.78,-0.68,1276,volatile,2.0
153,1.0,1,-0.05,-0.15,550,volatile,2.0
154,1.0,1,-0.62,-0.42,662,volatile,2.0
155,0.0,0,-0.95,-0.51,661,volatile,2.0
156,0.0,0,-0.59,-0.95,1319,volatile,2.0
157,0.0,0,-0.14,-0.98,585,volatile,2.0
158,1.0,1,-0.05,-0.84,570,volatile,2.0
159,0.0,1,-0.38,-0.5,694,volatile,2.0
160,0.0,1,-0.45,-0.59,963,volatile,2.0
161,1.0,1,-0.32,-0.72,907,volatile,2.0
162,1.0,1,-0.02,-0.91,682,volatile,2.0
163,0.0,1,-0.72,-0.99,524,volatile,2.0
164,0.0,1,-0.61,-0.43,786,volatile,2.0
165,0.0,1,-0.24,-0.79,574,volatile,2.0
166,0.0,1,-0.48,-0.15,506,volatile,2.0
167,0.0,1,-0.5,-0.61,788,volatile,2.0
168,0.0,1,-0.83,-0.34,585,volatile,2.0
169,0.0,0,-0.84,-0.92,530,volatile,2.0
170,0.0,0,-0.71,-0.05,628,volatile,2.0
171,0.0,0,-0.5,-0.72,558,volatile,2.0
172,0.0,1,-0.26,-0.29,631,volatile,2.0
173,0.0,1,-0.37,-0.63,617,volatile,2.0
174,0.0,0,-0.47,-0.12,497,volatile,2.0
175,0.0,0,-0.36,-0.81,493,volatile,2.0
176,1.0,0,-0.87,-0.59,682,volatile,2.0
177,0.0,0,-0.26,-0.75,415,volatile,2.0
178,1.0,0,-0.17,-0.19,713,volatile,2.0
179,,1,-0.66,-0.12,468,volatile,2.0
