,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,-0.1,-0.23,1264,volatile,0.0
1,0.0,0,-0.97,-0.45,1335,volatile,0.0
2,1.0,0,-0.62,-0.54,1029,volatile,0.0
3,1.0,1,-0.16,-0.99,790,volatile,0.0
4,1.0,0,-0.4,-0.72,750,volatile,0.0
5,1.0,0,-0.88,-0.98,1209,volatile,0.0
6,0.0,0,-0.54,-0.06,1465,volatile,0.0
7,1.0,0,-0.55,-0.64,1208,volatile,0.0
8,1.0,0,-0.45,-0.96,877,volatile,0.0
9,1.0,0,-0.19,-0.28,661,volatile,0.0
10,1.0,0,-0.26,-0.95,515,volatile,0.0
11,1.0,0,-0.29,-0.9,583,volatile,0.0
12,1.0,0,-0.53,-0.2,653,volatile,0.0
13,1.0,0,-0.56,-0.74,883,volatile,0.0
14,1.0,0,-0.42,-0.18,766,volatile,0.0
15,1.0,0,-0.91,-0.11,694,volatile,0.0
16,1.0,1,-0.31,-0.32,876,volatile,0.0
17,1.0,1,-0.81,-0.67,1344,volatile,0.0
18,0.0,1,-0.36,-0.32,866,volatile,0.0
19,0.0,0,-0.81,-0.72,1040,volatile,0.0
20,1.0,1,-0.54,-0.95,1429,volatile,0.0
21,0.0,1,-0.59,-0.4,1311,volatile,0.0
22,0.0,1,-0.24,-0.29,1283,volatile,0.0
23,0.0,1,-0.51,-0.6,1015,volatile,0.0
24,1.0,1,-0.65,-0.83,1143,volatile,0.0
25,0.0,0,-0.98,-0.78,992,volatile,0.0
26,0.0,1,-0.51,-0.56,1172,volatile,0.0
27,0.0,1,-0.2,-0.05,1275,volatile,0.0
28,1.0,1,-0.02,-0.67,845,volatile,0.0
29,0.0,1,-0.84,-0.85,1399,volatile,0.0
30,0.0,0,-0.49,-0.07,1198,volatile,0.0
31,0.0,1,-0.47,-0.37,1306,volatile,0.0
32,0.0,1,-0.91,-0.27,738,volatile,0.0
33,0.0,1,-0.42,-0.44,1007,volatile,0.0
34,0.0,0,-0.55,-0.31,1182,volatile,0.0
35,0.0,1,-0.7,-0.97,803,volatile,0.0
36,0.0,0,-0.79,-0.89,883,volatile,0.0
37,0.0,0,-0.86,-0.83,807,volatile,0.0
38,1.0,0,-0.62,-0.4,995,volatile,0.0
39,0.0,0,-0.23,-0.36,1339,volatile,0.0
40,1.0,0,-0.61,-0.65,879,volatile,0.0
41,0.0,0,-0.67,-0.74,1375,volatile,0.0
42,1.0,0,-0.41,-0.73,1236,volatile,0.0
43,0.0,1,-0.54,-0.96,914,volatile,0.0
44,1.0,0,-0.88,-0.86,995,volatile,0.0
45,1.0,0,-0.66,-0.43,1245,volatile,0.0
46,1.0,0,-0.79,-0.72,699,volatile,0.0
47,1.0,1,-0.13,-0.71,826,volatile,0.0
48,1.0,0,-0.53,-0.78,992,volatile,0.0
49,1.0,0,-0.9,-0.57,890,volatile,0.0
50,1.0,1,-0.12,-0.03,1147,volatile,0.0
51,1.0,0,-0.64,-0.02,1001,volatile,0.0
52,1.0,0,-0.09,-0.99,1485,volatile,0.0
53,1.0,0,-0.42,-0.21,623,volatile,0.0
54,1.0,0,-0.72,-0.83,557,volatile,0.0
55,1.0,1,-0.65,-0.36,830,volatile,0.0
56,1.0,1,-0.3,-0.4,1162,volatile,0.0
57,0.0,0,-0.26,-0.29,1060,volatile,0.0
58,1.0,0,-0.11,-0.37,871,volatile,0.0
59,0.0,0,-0.14,-0.12,596,volatile,0.0
60,1.0,1,-0.9,-0.78,1028,volatile,1.0
61,0.0,1,-0.53,-0.46,1235,volatile,1.0
62,1.0,1,-0.42,-0.3,881,volatile,1.0
63,0.0,1,-0.65,-0.36,868,volatile,1.0
64,1.0,1,-0.49,-0.49,887,volatile,1.0
65,0.0,1,-0.1,-0.44,880,volatile,1.0
66,0.0,1,-0.64,-0.7,1103,volatile,1.0
67,1.0,1,-0.95,-0.68,1392,volatile,1.0
68,0.0,1,-0.48,-0.02,689,volatile,1.0
69,0.0,1,-0.61,-0.09,774,volatile,1.0
70,0.0,1,-0.6,-0.47,782,volatile,1.0
71,0.0,1,-0.23,-0.78,645,volatile,1.0
72,1.0,0,-0.67,-0.82,1195,volatile,1.0
73,1.0,1,-0.16,-0.64,914,volatile,1.0
74,0.0,0,-0.78,-0.37,965,volatile,1.0
75,1.0,1,-0.22,-0.89,827,volatile,1.0
76,0.0,1,-0.18,-0.26,953,volatile,1.0
77,0.0,1,-0.73,-0.08,1342,volatile,1.0
78,0.0,0,-0.51,-0.23,772,volatile,1.0
79,0.0,1,-0.09,-0.14,920,volatile,1.0
80,0.0,0,-0.66,-0.73,1104,volatile,1.0
81,1.0,0,-0.17,-0.17,631,volatile,1.0
82,1.0,0,-0.63,-0.9,689,volatile,1.0
83,1.0,0,-0.66,-0.77,1417,volatile,1.0
84,0.0,1,-0.27,-0.35,917,volatile,1.0
85,1.0,0,-0.15,-0.04,1260,volatile,1.0
86,1.0,0,-0.9,-0.96,1423,volatile,1.0
87,1.0,0,-0.11,-0.18,765,volatile,1.0
88,1.0,0,-0.2,-0.53,1184,volatile,1.0
89,1.0,0,-0.37,-0.85,663,volatile,1.0
90,0.0,1,-0.46,-0.38,797,stable,1.0
91,1.0,1,-0.24,-0.18,592,stable,1.0
92,0.0,1,-0.78,-0.82,808,stable,1.0
93,0.0,1,-0.54,-0.59,1032,stable,1.0
94,0.0,1,-0.33,-0.36,1055,stable,1.0
95,0.0,1,-0.56,-0.49,864,stable,1.0
96,0.0,1,-0.83,-0.26,844,stable,1.0
97,0.0,1,-0.81,-0.38,875,stable,1.0
98,0.0,1,-0.23,-0.12,1086,stable,1.0
99,0.0,1,-0.07,-0.87,959,stable,1.0
100,0.0,1,-0.5,-0.43,745,stable,1.0
101,0.0,1,-0.47,-0.5,962,stable,1.0
102,1.0,0,-0.35,-0.41,1156,stable,1.0
103,1.0,1,-0.87,-0.09,1509,stable,1.0
104,0.0,1,-0.58,-0.2,998,stable,1.0
105,0.0,1,-0.31,-0.88,863,stable,1.0
106,1.0,1,-0.44,-0.56,1090,stable,1.0
107,0.0,1,-0.85,-0.31,910,stable,1.0
108,1.0,1,-0.31,-0.9,1071,stable,1.0
109,1.0,1,-0.76,-0.8,1135,stable,1.0
110,1.0,1,-0.04,-0.78,1065,stable,1.0
111,1.0,1,-0.28,-0.6,1428,stable,1.0
112,0.0,0,-0.99,-0.56,1114,stable,1.0
113,0.0,1,-0.45,-0.31,1666,stable,1.0
114,1.0,1,-0.16,-0.55,1824,stable,1.0
115,0.0,0,-0.89,-0.12,3334,stable,1.0
116,0.0,1,-0.86,-0.49,822,stable,1.0
117,0.0,1,-0.62,-0.69,1057,stable,1.0
118,1.0,0,-0.26,-0.49,1138,stable,1.0
119,1.0,1,-0.76,-0.75,1622,stable,1.0
120,0.0,1,-0.9,-0.22,1157,stable,2.0
121,0.0,1,-0.76,-0.26,1548,stable,2.0
122,0.0,1,-0.68,-0.11,847,stable,2.0
123,0.0,0,-0.82,-0.71,1030,stable,2.0
124,1.0,1,-0.95,-0.86,1122,stable,2.0
125,0.0,1,-0.88,-0.79,1053,stable,2.0
126,0.0,1,-0.4,-0.75,837,stable,2.0
127,0.0,1,-0.94,-0.11,647,stable,2.0
128,0.0,0,-0.44,-0.53,1010,stable,2.0
129,0.0,1,-0.47,-0.85,1539,stable,2.0
130,0.0,0,-0.32,-0.85,1267,stable,2.0
131,0.0,1,-0.68,-0.38,794,stable,2.0
132,0.0,1,-0.93,-0.28,1002,stable,2.0
133,0.0,1,-0.95,-0.13,640,stable,2.0
134,0.0,1,-0.6,-0.69,1096,stable,2.0
135,0.0,0,-0.95,-0.56,1349,stable,2.0
136,0.0,1,-0.41,-0.02,1100,stable,2.0
137,1.0,1,-0.05,-0.42,1141,stable,2.0
138,1.0,0,-0.3,-0.44,1620,stable,2.0
139,1.0,1,-0.54,-0.79,929,stable,2.0
140,0.0,1,-0.87,-0.83,993,stable,2.0
141,0.0,1,-0.44,-0.59,876,stable,2.0
142,0.0,0,-0.1,-0.15,811,stable,2.0
143,0.0,1,-0.15,-0.6,774,stable,2.0
144,1.0,0,-0.25,-0.93,945,stable,2.0
145,1.0,1,-0.23,-0.43,1299,stable,2.0
146,0.0,1,-0.87,-0.22,914,stable,2.0
147,0.0,0,-0.77,-0.27,993,stable,2.0
148,1.0,1,-0.35,-0.99,848,stable,2.0
149,1.0,0,-0.39,-0.49,1194,stable,2.0
150,1.0,1,-0.6,-0.83,1497,stable,2.0
151,1.0,0,-0.54,-0.61,1229,stable,2.0
152,1.0,1,-0.34,-0.82,803,stable,2.0
153,0.0,1,-0.86,-0.96,909,stable,2.0
154,1.0,1,-0.27,-0.65,1009,stable,2.0
155,0.0,0,-0.93,-0.63,1027,stable,2.0
156,1.0,1,-0.4,-0.65,1787,stable,2.0
157,0.0,1,-0.69,-0.07,833,stable,2.0
158,1.0,0,-0.28,-0.94,848,stable,2.0
159,1.0,1,-0.04,-0.9,869,stable,2.0
160,1.0,1,-0.94,-0.7,794,stable,2.0
161,0.0,1,-0.54,-0.32,828,stable,2.0
162,0.0,1,-0.67,-0.35,938,stable,2.0
163,0.0,1,-0.61,-0.09,1014,stable,2.0
164,0.0,1,-0.75,-0.52,1149,stable,2.0
165,0.0,0,-0.98,-0.61,896,stable,2.0
166,1.0,1,-0.73,-0.73,1668,stable,2.0
167,0.0,1,-0.86,-0.01,699,stable,2.0
168,0.0,0,-0.99,-0.18,761,stable,2.0
169,0.0,1,-0.76,-0.47,1697,stable,2.0
170,1.0,1,-0.15,-0.37,1127,stable,2.0
171,1.0,1,-0.33,-0.95,1125,stable,2.0
172,1.0,0,-0.04,-0.93,2122,stable,2.0
173,1.0,0,-0.7,-0.96,4521,stable,2.0
174,0.0,0,-0.96,-0.21,954,stable,2.0
175,0.0,0,-0.73,-0.17,971,stable,2.0
176,0.0,1,-0.74,-0.58,1025,stable,2.0
177,1.0,1,-0.18,-0.6,1545,stable,2.0
178,1.0,1,-0.36,-0.7,3261,stable,2.0
179,0.0,1,-0.58,-0.31,2481,stable,2.0
