,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,-0.1,-0.23,2021,volatile,0.0
1,1.0,0,-0.97,-0.45,3295,volatile,0.0
2,1.0,0,-0.62,-0.54,1154,volatile,0.0
3,1.0,1,-0.16,-0.99,1387,volatile,0.0
4,1.0,0,-0.4,-0.72,969,volatile,0.0
5,1.0,0,-0.88,-0.98,1573,volatile,0.0
6,1.0,0,-0.54,-0.06,1005,volatile,0.0
7,1.0,0,-0.55,-0.64,1098,volatile,0.0
8,1.0,0,-0.45,-0.96,1063,volatile,0.0
9,1.0,0,-0.19,-0.28,1018,volatile,0.0
10,1.0,0,-0.26,-0.95,940,volatile,0.0
11,1.0,0,-0.29,-0.9,1045,volatile,0.0
12,1.0,0,-0.53,-0.2,1256,volatile,0.0
13,1.0,0,-0.56,-0.74,1196,volatile,0.0
14,1.0,0,-0.42,-0.18,944,volatile,0.0
15,1.0,0,-0.91,-0.11,1081,volatile,0.0
16,1.0,1,-0.31,-0.32,1445,volatile,0.0
17,1.0,1,-0.81,-0.67,840,volatile,0.0
18,1.0,1,-0.36,-0.32,957,volatile,0.0
19,1.0,0,-0.81,-0.72,1096,volatile,0.0
20,1.0,1,-0.54,-0.95,1013,volatile,0.0
21,1.0,1,-0.59,-0.4,1005,volatile,0.0
22,1.0,1,-0.24,-0.29,928,volatile,0.0
23,0.0,1,-0.51,-0.6,1258,volatile,0.0
24,1.0,1,-0.65,-0.83,1310,volatile,0.0
25,1.0,0,-0.98,-0.78,975,volatile,0.0
26,1.0,1,-0.51,-0.56,958,volatile,0.0
27,0.0,1,-0.2,-0.05,1299,volatile,0.0
28,0.0,1,-0.02,-0.67,1379,volatile,0.0
29,1.0,1,-0.84,-0.85,1320,volatile,0.0
30,0.0,0,-0.49,-0.07,1171,volatile,0.0
31,1.0,1,-0.47,-0.37,884,volatile,0.0
32,1.0,1,-0.91,-0.27,1050,volatile,0.0
33,0.0,1,-0.42,-0.44,1143,volatile,0.0
34,0.0,0,-0.55,-0.31,960,volatile,0.0
35,0.0,1,-0.7,-0.97,641,volatile,0.0
36,0.0,0,-0.79,-0.89,888,volatile,0.0
37,0.0,0,-0.86,-0.83,1020,volatile,0.0
38,1.0,0,-0.23,-0.36,1001,volatile,0.0
39,1.0,0,-0.61,-0.65,1126,volatile,0.0
40,1.0,0,-0.67,-0.74,1148,volatile,0.0
41,0.0,0,-0.41,-0.73,1292,volatile,0.0
42,0.0,1,-0.54,-0.96,1195,volatile,0.0
43,0.0,0,-0.88,-0.86,2292,volatile,0.0
44,0.0,0,-0.66,-0.43,1288,volatile,0.0
45,1.0,0,-0.79,-0.72,1005,volatile,0.0
46,1.0,1,-0.13,-0.71,847,volatile,0.0
47,1.0,0,-0.53,-0.78,1080,volatile,0.0
48,1.0,0,-0.9,-0.57,951,volatile,0.0
49,1.0,1,-0.12,-0.03,646,volatile,0.0
50,1.0,0,-0.64,-0.02,1106,volatile,0.0
51,1.0,0,-0.09,-0.99,1692,volatile,0.0
52,1.0,0,-0.42,-0.21,1467,volatile,0.0
53,1.0,0,-0.72,-0.83,1061,volatile,0.0
54,1.0,1,-0.65,-0.36,1104,volatile,0.0
55,1.0,1,-0.3,-0.4,1509,volatile,0.0
56,0.0,0,-0.26,-0.29,1489,volatile,0.0
57,1.0,0,-0.11,-0.37,1088,volatile,0.0
58,1.0,0,-0.14,-0.12,970,volatile,0.0
59,1.0,1,-0.9,-0.78,927,volatile,0.0
60,1.0,1,-0.53,-0.46,1072,volatile,1.0
61,0.0,1,-0.42,-0.3,1401,volatile,1.0
62,1.0,1,-0.65,-0.36,1251,volatile,1.0
63,1.0,1,-0.49,-0.49,1135,volatile,1.0
64,1.0,1,-0.1,-0.44,1169,volatile,1.0
65,0.0,1,-0.64,-0.7,545,volatile,1.0
66,0.0,1,-0.95,-0.68,1014,volatile,1.0
67,0.0,1,-0.48,-0.02,902,volatile,1.0
68,0.0,1,-0.61,-0.09,931,volatile,1.0
69,0.0,1,-0.6,-0.47,968,volatile,1.0
70,0.0,1,-0.23,-0.78,1037,volatile,1.0
71,0.0,0,-0.67,-0.82,1764,volatile,1.0
72,0.0,1,-0.16,-0.64,1384,volatile,1.0
73,0.0,0,-0.78,-0.37,1321,volatile,1.0
74,0.0,1,-0.22,-0.89,1115,volatile,1.0
75,0.0,1,-0.18,-0.26,1163,volatile,1.0
76,0.0,1,-0.73,-0.08,1486,volatile,1.0
77,0.0,0,-0.51,-0.23,1025,volatile,1.0
78,0.0,1,-0.09,-0.14,1503,volatile,1.0
79,0.0,0,-0.66,-0.73,1423,volatile,1.0
80,1.0,0,-0.17,-0.17,2042,volatile,1.0
81,0.0,0,-0.63,-0.9,1394,volatile,1.0
82,0.0,0,-0.66,-0.77,1384,volatile,1.0
83,1.0,1,-0.27,-0.35,2074,volatile,1.0
84,1.0,0,-0.15,-0.04,672,volatile,1.0
85,1.0,0,-0.9,-0.96,1701,volatile,1.0
86,1.0,0,-0.11,-0.18,1350,volatile,1.0
87,1.0,0,-0.2,-0.53,1144,volatile,1.0
88,1.0,0,-0.37,-0.85,993,volatile,1.0
89,,1,-0.46,-0.38,6253,volatile,1.0
90,0.0,1,-0.24,-0.18,951,stable,1.0
91,0.0,1,-0.78,-0.82,1137,stable,1.0
92,0.0,1,-0.54,-0.59,1099,stable,1.0
93,0.0,1,-0.33,-0.36,960,stable,1.0
94,0.0,1,-0.56,-0.49,1046,stable,1.0
95,0.0,1,-0.83,-0.26,1269,stable,1.0
96,0.0,1,-0.81,-0.38,1776,stable,1.0
97,0.0,1,-0.23,-0.12,1340,stable,1.0
98,0.0,1,-0.07,-0.87,1227,stable,1.0
99,0.0,1,-0.5,-0.43,1188,stable,1.0
100,0.0,1,-0.47,-0.5,1277,stable,1.0
101,0.0,0,-0.35,-0.41,1965,stable,1.0
102,0.0,1,-0.87,-0.09,1210,stable,1.0
103,0.0,1,-0.58,-0.2,1131,stable,1.0
104,0.0,1,-0.31,-0.88,1061,stable,1.0
105,0.0,1,-0.44,-0.56,846,stable,1.0
106,0.0,1,-0.85,-0.31,1350,stable,1.0
107,0.0,1,-0.31,-0.9,1394,stable,1.0
108,0.0,1,-0.76,-0.8,1186,stable,1.0
109,0.0,1,-0.04,-0.78,1031,stable,1.0
110,0.0,1,-0.28,-0.6,1404,stable,1.0
111,0.0,0,-0.99,-0.56,1188,stable,1.0
112,0.0,1,-0.45,-0.31,1327,stable,1.0
113,0.0,1,-0.16,-0.55,1229,stable,1.0
114,0.0,0,-0.89,-0.12,2168,stable,1.0
115,0.0,1,-0.86,-0.49,1311,stable,1.0
116,0.0,1,-0.62,-0.69,1039,stable,1.0
117,0.0,0,-0.26,-0.49,999,stable,1.0
118,0.0,1,-0.76,-0.75,1215,stable,1.0
119,0.0,1,-0.9,-0.22,1556,stable,1.0
120,0.0,1,-0.76,-0.26,609,stable,2.0
121,0.0,1,-0.68,-0.11,784,stable,2.0
122,0.0,0,-0.82,-0.71,856,stable,2.0
123,0.0,1,-0.95,-0.86,894,stable,2.0
124,0.0,1,-0.88,-0.79,1299,stable,2.0
125,0.0,1,-0.4,-0.75,1075,stable,2.0
126,0.0,1,-0.94,-0.11,1085,stable,2.0
127,0.0,0,-0.44,-0.53,1318,stable,2.0
128,0.0,1,-0.47,-0.85,1343,stable,2.0
129,0.0,0,-0.32,-0.85,1109,stable,2.0
130,0.0,1,-0.68,-0.38,1143,stable,2.0
131,0.0,1,-0.93,-0.28,1344,stable,2.0
132,0.0,1,-0.95,-0.13,1287,stable,2.0
133,0.0,1,-0.6,-0.69,1151,stable,2.0
134,1.0,0,-0.95,-0.56,1703,stable,2.0
135,0.0,1,-0.41,-0.02,810,stable,2.0
136,0.0,1,-0.05,-0.42,966,stable,2.0
137,0.0,0,-0.3,-0.44,1088,stable,2.0
138,0.0,1,-0.54,-0.79,672,stable,2.0
139,0.0,1,-0.87,-0.83,1119,stable,2.0
140,0.0,1,-0.44,-0.59,1216,stable,2.0
141,0.0,0,-0.1,-0.15,1028,stable,2.0
142,1.0,1,-0.15,-0.6,808,stable,2.0
143,1.0,0,-0.25,-0.93,1318,stable,2.0
144,0.0,1,-0.23,-0.43,1331,stable,2.0
145,0.0,1,-0.87,-0.22,1055,stable,2.0
146,0.0,0,-0.77,-0.27,821,stable,2.0
147,0.0,1,-0.35,-0.99,738,stable,2.0
148,0.0,0,-0.39,-0.49,1060,stable,2.0
149,0.0,1,-0.6,-0.83,1233,stable,2.0
150,0.0,0,-0.54,-0.61,1199,stable,2.0
151,0.0,1,-0.34,-0.82,1114,stable,2.0
152,0.0,1,-0.86,-0.96,1165,stable,2.0
153,0.0,1,-0.27,-0.65,1093,stable,2.0
154,0.0,0,-0.93,-0.63,1399,stable,2.0
155,1.0,1,-0.4,-0.65,1194,stable,2.0
156,0.0,1,-0.69,-0.07,1376,stable,2.0
157,0.0,0,-0.28,-0.94,1833,stable,2.0
158,1.0,1,-0.04,-0.9,828,stable,2.0
159,1.0,1,-0.94,-0.7,770,stable,2.0
160,1.0,1,-0.54,-0.32,678,stable,2.0
161,0.0,1,-0.67,-0.35,516,stable,2.0
162,0.0,1,-0.61,-0.09,1332,stable,2.0
163,0.0,1,-0.75,-0.52,722,stable,2.0
164,0.0,0,-0.98,-0.61,674,stable,2.0
165,1.0,1,-0.73,-0.73,1743,stable,2.0
166,0.0,1,-0.86,-0.01,1921,stable,2.0
167,0.0,0,-0.99,-0.18,1334,stable,2.0
168,0.0,1,-0.76,-0.47,1163,stable,2.0
169,0.0,1,-0.15,-0.37,760,stable,2.0
170,0.0,1,-0.33,-0.95,986,stable,2.0
171,0.0,0,-0.04,-0.93,1126,stable,2.0
172,0.0,0,-0.7,-0.96,1220,stable,2.0
173,0.0,0,-0.96,-0.21,1960,stable,2.0
174,0.0,0,-0.73,-0.17,1472,stable,2.0
175,1.0,1,-0.74,-0.58,1691,stable,2.0
176,1.0,1,-0.18,-0.6,660,stable,2.0
177,0.0,1,-0.36,-0.7,1265,stable,2.0
178,1.0,1,-0.58,-0.31,1448,stable,2.0
179,,0,-0.97,-0.45,3295,stable,2.0
