,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,1147,stable,0.0
1,0.0,1,0.8,0.32,845,stable,0.0
2,0.0,1,0.12,0.58,721,stable,0.0
3,0.0,0,0.72,0.17,529,stable,0.0
4,0.0,1,0.98,0.72,467,stable,0.0
5,0.0,1,0.1,0.63,440,stable,0.0
6,0.0,1,0.83,0.35,1010,stable,0.0
7,1.0,0,0.29,0.49,368,stable,0.0
8,1.0,1,0.06,0.98,350,stable,0.0
9,1.0,0,0.95,0.54,426,stable,0.0
10,0.0,1,0.8,0.64,1215,stable,0.0
11,0.0,1,0.55,0.36,865,stable,0.0
12,0.0,0,0.22,0.98,2308,stable,0.0
13,1.0,0,0.31,0.14,3351,stable,0.0
14,1.0,1,0.6,0.28,445,stable,0.0
15,0.0,0,0.68,0.73,474,stable,0.0
16,0.0,0,0.6,0.46,348,stable,0.0
17,0.0,1,0.32,0.85,355,stable,0.0
18,0.0,1,0.88,0.99,430,stable,0.0
19,0.0,1,0.97,0.87,369,stable,0.0
20,1.0,0,0.92,0.41,414,stable,0.0
21,1.0,1,0.36,0.32,322,stable,0.0
22,1.0,1,0.13,0.59,410,stable,0.0
23,1.0,0,0.5,0.8,418,stable,0.0
24,1.0,0,0.49,0.61,792,stable,0.0
25,1.0,1,0.92,0.87,711,stable,0.0
26,0.0,1,0.28,0.95,391,stable,0.0
27,0.0,1,0.64,0.33,703,stable,0.0
28,1.0,1,0.59,0.97,521,stable,0.0
29,1.0,1,0.44,0.52,521,stable,0.0
30,0.0,0,0.9,0.2,273,stable,0.0
31,0.0,1,0.13,0.65,589,stable,0.0
32,1.0,1,0.47,0.69,317,stable,0.0
33,1.0,0,0.33,0.38,291,stable,0.0
34,0.0,1,0.21,0.71,415,stable,0.0
35,0.0,1,0.81,0.55,543,stable,0.0
36,0.0,0,0.83,0.05,425,stable,0.0
37,0.0,1,0.75,0.71,492,stable,0.0
38,0.0,1,0.79,0.73,386,stable,0.0
39,0.0,1,0.93,0.2,426,stable,0.0
40,0.0,1,0.8,0.89,478,stable,0.0
41,0.0,0,0.9,0.1,429,stable,0.0
42,0.0,1,0.63,0.17,269,stable,0.0
43,1.0,0,0.74,0.05,410,stable,0.0
44,0.0,1,0.4,0.62,329,stable,0.0
45,0.0,1,0.17,0.43,1747,stable,0.0
46,0.0,1,0.3,0.9,737,stable,0.0
47,0.0,0,0.9,0.56,634,stable,0.0
48,1.0,1,0.88,0.37,621,stable,0.0
49,0.0,1,0.4,0.38,3788,stable,0.0
50,0.0,1,0.5,0.54,3083,stable,0.0
51,0.0,0,0.56,0.07,4090,stable,0.0
52,0.0,0,0.9,0.61,570,stable,0.0
53,1.0,0,0.82,0.12,338,stable,0.0
54,0.0,1,0.9,0.19,277,stable,0.0
55,1.0,1,0.46,0.51,373,stable,0.0
56,0.0,1,0.85,0.51,313,stable,0.0
57,0.0,1,0.65,0.41,381,stable,0.0
58,1.0,0,0.31,0.64,407,stable,0.0
59,1.0,1,0.07,0.76,689,stable,0.0
60,1.0,1,0.13,0.65,620,stable,1.0
61,0.0,1,0.94,0.74,617,stable,1.0
62,0.0,0,0.87,0.37,549,stable,1.0
63,1.0,1,0.43,0.4,419,stable,1.0
64,1.0,1,0.25,0.58,388,stable,1.0
65,0.0,1,0.78,0.1,620,stable,1.0
66,1.0,1,0.33,0.83,375,stable,1.0
67,1.0,0,0.63,0.07,360,stable,1.0
68,1.0,1,0.71,0.59,265,stable,1.0
69,0.0,1,0.89,0.56,308,stable,1.0
70,0.0,1,0.44,0.91,337,stable,1.0
71,0.0,1,0.96,0.22,337,stable,1.0
72,1.0,1,0.55,0.3,261,stable,1.0
73,0.0,0,0.69,0.86,506,stable,1.0
74,0.0,0,0.45,0.91,261,stable,1.0
75,0.0,0,0.87,0.09,443,stable,1.0
76,1.0,1,0.45,0.87,355,stable,1.0
77,1.0,1,0.55,0.92,564,stable,1.0
78,0.0,1,0.57,0.9,736,stable,1.0
79,1.0,1,0.33,0.67,316,stable,1.0
80,0.0,1,0.52,0.39,321,stable,1.0
81,1.0,1,0.9,0.83,649,stable,1.0
82,1.0,0,0.23,0.38,2966,stable,1.0
83,0.0,1,0.45,0.59,404,stable,1.0
84,1.0,1,0.6,0.25,519,stable,1.0
85,0.0,1,0.81,0.94,310,stable,1.0
86,0.0,1,0.49,0.43,350,stable,1.0
87,1.0,0,0.42,0.65,378,stable,1.0
88,1.0,1,0.5,0.66,259,stable,1.0
89,1.0,1,0.89,0.35,328,stable,1.0
90,0.0,1,0.89,0.99,1100,volatile,1.0
91,1.0,0,0.96,0.96,256,volatile,1.0
92,1.0,0,0.58,0.58,373,volatile,1.0
93,0.0,0,0.52,0.33,364,volatile,1.0
94,1.0,1,0.02,0.92,273,volatile,1.0
95,1.0,0,0.93,0.34,262,volatile,1.0
96,1.0,0,0.08,0.28,263,volatile,1.0
97,0.0,0,0.44,0.91,371,volatile,1.0
98,1.0,0,0.6,0.78,618,volatile,1.0
99,1.0,1,0.35,0.42,281,volatile,1.0
100,1.0,0,0.5,0.82,426,volatile,1.0
101,0.0,0,0.42,0.39,277,volatile,1.0
102,0.0,0,0.29,0.54,253,volatile,1.0
103,0.0,0,0.85,0.05,1922,volatile,1.0
104,0.0,0,0.96,0.99,386,volatile,1.0
105,0.0,1,0.74,0.48,404,volatile,1.0
106,1.0,0,0.95,0.93,294,volatile,1.0
107,0.0,0,0.33,0.68,271,volatile,1.0
108,1.0,0,0.87,0.46,299,volatile,1.0
109,0.0,0,0.85,0.98,344,volatile,1.0
110,0.0,1,0.24,0.3,425,volatile,1.0
111,0.0,1,0.36,0.32,369,volatile,1.0
112,0.0,0,0.19,0.6,373,volatile,1.0
113,0.0,1,0.57,0.91,301,volatile,1.0
114,0.0,0,0.44,0.37,335,volatile,1.0
115,0.0,1,0.45,0.28,329,volatile,1.0
116,1.0,1,0.52,0.51,389,volatile,1.0
117,1.0,1,0.72,0.55,254,volatile,1.0
118,1.0,1,0.72,0.99,384,volatile,1.0
119,1.0,1,0.07,0.71,388,volatile,1.0
120,1.0,1,0.41,0.77,448,volatile,2.0
121,1.0,1,0.89,0.71,306,volatile,2.0
122,1.0,1,0.56,0.72,381,volatile,2.0
123,0.0,1,0.41,0.71,326,volatile,2.0
124,0.0,0,0.99,0.86,269,volatile,2.0
125,1.0,1,0.61,0.98,368,volatile,2.0
126,1.0,0,0.58,0.42,341,volatile,2.0
127,0.0,0,0.72,0.68,268,volatile,2.0
128,1.0,0,0.56,0.46,418,volatile,2.0
129,0.0,0,0.4,0.41,281,volatile,2.0
130,1.0,0,0.71,0.53,300,volatile,2.0
131,0.0,0,0.78,0.86,315,volatile,2.0
132,1.0,0,0.33,0.33,271,volatile,2.0
133,0.0,1,0.95,0.86,2530,volatile,2.0
134,0.0,1,0.03,0.53,386,volatile,2.0
135,0.0,0,0.34,0.92,1078,volatile,2.0
136,1.0,0,0.31,0.29,1056,volatile,2.0
137,1.0,0,0.72,0.93,989,volatile,2.0
138,0.0,0,0.42,0.86,1096,volatile,2.0
139,0.0,0,0.91,0.32,417,volatile,2.0
140,1.0,1,0.64,0.13,369,volatile,2.0
141,1.0,0,0.45,0.67,362,volatile,2.0
142,1.0,0,0.46,0.79,3011,volatile,2.0
143,1.0,0,0.88,0.39,317,volatile,2.0
144,0.0,0,0.38,0.39,359,volatile,2.0
145,1.0,0,0.71,0.85,300,volatile,2.0
146,0.0,0,0.32,0.1,309,volatile,2.0
