,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,1178,volatile,0.0
1,1.0,0,0.96,0.96,983,volatile,0.0
2,1.0,0,0.58,0.58,1251,volatile,0.0
3,0.0,0,0.52,0.33,762,volatile,0.0
4,0.0,1,0.02,0.92,859,volatile,0.0
5,1.0,0,0.93,0.34,1125,volatile,0.0
6,0.0,0,0.08,0.28,966,volatile,0.0
7,1.0,0,0.44,0.91,1046,volatile,0.0
8,0.0,0,0.6,0.78,961,volatile,0.0
9,0.0,1,0.35,0.42,874,volatile,0.0
10,1.0,0,0.5,0.82,1111,volatile,0.0
11,0.0,0,0.42,0.39,1820,volatile,0.0
12,0.0,0,0.29,0.54,700,volatile,0.0
13,0.0,0,0.85,0.05,1039,volatile,0.0
14,1.0,0,0.96,0.99,935,volatile,0.0
15,0.0,1,0.74,0.48,734,volatile,0.0
16,1.0,0,0.95,0.93,835,volatile,0.0
17,1.0,0,0.33,0.68,876,volatile,0.0
18,0.0,0,0.87,0.46,682,volatile,0.0
19,0.0,0,0.85,0.98,722,volatile,0.0
20,0.0,1,0.24,0.3,741,volatile,0.0
21,1.0,1,0.36,0.32,982,volatile,0.0
22,1.0,0,0.19,0.6,680,volatile,0.0
23,0.0,1,0.57,0.91,730,volatile,0.0
24,0.0,0,0.44,0.37,846,volatile,0.0
25,0.0,1,0.45,0.28,913,volatile,0.0
26,1.0,1,0.52,0.51,730,volatile,0.0
27,0.0,1,0.72,0.55,730,volatile,0.0
28,1.0,1,0.72,0.99,643,volatile,0.0
29,1.0,1,0.07,0.71,891,volatile,0.0
30,1.0,1,0.41,0.77,674,volatile,0.0
31,1.0,1,0.89,0.71,652,volatile,0.0
32,1.0,1,0.56,0.72,624,volatile,0.0
33,1.0,1,0.41,0.71,750,volatile,0.0
34,1.0,0,0.99,0.86,832,volatile,0.0
35,0.0,1,0.61,0.98,825,volatile,0.0
36,0.0,0,0.58,0.42,656,volatile,0.0
37,0.0,0,0.72,0.68,610,volatile,0.0
38,0.0,0,0.56,0.46,875,volatile,0.0
39,0.0,0,0.4,0.41,685,volatile,0.0
40,0.0,0,0.71,0.53,707,volatile,0.0
41,0.0,0,0.78,0.86,657,volatile,0.0
42,1.0,0,0.33,0.33,525,volatile,0.0
43,0.0,1,0.95,0.86,764,volatile,0.0
44,1.0,1,0.03,0.53,820,volatile,0.0
45,1.0,0,0.34,0.92,2146,volatile,0.0
46,0.0,0,0.31,0.29,644,volatile,0.0
47,1.0,0,0.72,0.93,730,volatile,0.0
48,0.0,0,0.42,0.86,1034,volatile,0.0
49,0.0,0,0.91,0.32,989,volatile,0.0
50,0.0,1,0.64,0.13,949,volatile,0.0
51,1.0,0,0.45,0.67,703,volatile,0.0
52,0.0,0,0.46,0.79,661,volatile,0.0
53,0.0,0,0.88,0.39,635,volatile,0.0
54,0.0,0,0.38,0.39,753,volatile,0.0
55,0.0,0,0.71,0.85,931,volatile,0.0
56,0.0,0,0.32,0.1,986,volatile,0.0
57,0.0,1,0.86,0.45,645,volatile,0.0
58,1.0,0,0.92,0.83,536,volatile,0.0
59,0.0,1,0.16,0.84,918,volatile,0.0
60,1.0,0,0.34,0.89,735,volatile,1.0
61,1.0,1,0.35,0.75,802,volatile,1.0
62,0.0,1,0.92,0.68,1193,volatile,1.0
63,1.0,1,0.25,0.13,749,volatile,1.0
64,1.0,1,0.77,0.74,763,volatile,1.0
65,1.0,1,0.13,0.62,642,volatile,1.0
66,1.0,0,0.65,0.73,627,volatile,1.0
67,0.0,0,0.37,0.95,600,volatile,1.0
68,0.0,0,0.96,0.63,830,volatile,1.0
69,0.0,1,0.39,0.47,575,volatile,1.0
70,1.0,1,0.59,0.49,662,volatile,1.0
71,1.0,1,0.43,0.87,782,volatile,1.0
72,1.0,1,0.04,0.82,611,volatile,1.0
73,1.0,1,0.27,0.61,769,volatile,1.0
74,1.0,1,0.36,0.57,657,volatile,1.0
75,1.0,1,0.25,0.67,746,volatile,1.0
76,1.0,1,0.83,0.51,567,volatile,1.0
77,1.0,1,0.38,0.87,688,volatile,1.0
78,1.0,1,0.78,0.3,590,volatile,1.0
79,1.0,1,0.95,0.84,821,volatile,1.0
80,1.0,0,0.93,0.68,898,volatile,1.0
81,0.0,0,0.54,0.3,706,volatile,1.0
82,0.0,0,0.72,0.91,683,volatile,1.0
83,0.0,1,0.02,0.77,799,volatile,1.0
84,1.0,1,0.49,0.53,1031,volatile,1.0
85,1.0,0,0.56,0.51,893,volatile,1.0
86,0.0,0,0.54,0.49,881,volatile,1.0
87,0.0,0,0.51,0.85,764,volatile,1.0
88,0.0,0,0.06,0.88,772,volatile,1.0
89,0.0,0,0.84,0.93,1000,volatile,1.0
90,0.0,1,0.84,0.97,1326,stable,1.0
