,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,2379,volatile,0.0
1,1.0,0,0.96,0.96,1301,volatile,0.0
2,1.0,0,0.58,0.58,1689,volatile,0.0
3,0.0,0,0.52,0.33,1512,volatile,0.0
4,0.0,1,0.02,0.92,824,volatile,0.0
5,0.0,0,0.93,0.34,1113,volatile,0.0
6,0.0,0,0.08,0.28,857,volatile,0.0
7,0.0,0,0.44,0.91,777,volatile,0.0
8,0.0,0,0.6,0.78,808,volatile,0.0
9,0.0,1,0.35,0.42,1194,volatile,0.0
10,1.0,0,0.5,0.82,967,volatile,0.0
11,0.0,0,0.42,0.39,1431,volatile,0.0
12,0.0,0,0.29,0.54,953,volatile,0.0
13,1.0,0,0.85,0.05,1480,volatile,0.0
14,0.0,0,0.96,0.99,904,volatile,0.0
15,0.0,1,0.74,0.48,921,volatile,0.0
16,0.0,0,0.95,0.93,1161,volatile,0.0
17,0.0,0,0.33,0.68,744,volatile,0.0
18,0.0,0,0.87,0.46,1032,volatile,0.0
19,0.0,0,0.85,0.98,983,volatile,0.0
20,0.0,1,0.24,0.3,1129,volatile,0.0
21,1.0,1,0.36,0.32,825,volatile,0.0
22,1.0,0,0.19,0.6,1624,volatile,0.0
23,0.0,1,0.57,0.91,921,volatile,0.0
24,0.0,0,0.44,0.37,841,volatile,0.0
25,0.0,1,0.45,0.28,982,volatile,0.0
26,0.0,1,0.52,0.51,1225,volatile,0.0
27,1.0,1,0.72,0.55,1241,volatile,0.0
28,1.0,1,0.72,0.99,873,volatile,0.0
29,0.0,1,0.07,0.71,1337,volatile,0.0
30,0.0,1,0.41,0.77,1274,volatile,0.0
31,1.0,1,0.89,0.71,824,volatile,0.0
32,1.0,1,0.56,0.72,937,volatile,0.0
33,1.0,1,0.41,0.71,841,volatile,0.0
34,1.0,0,0.99,0.86,1416,volatile,0.0
35,0.0,1,0.61,0.98,2761,volatile,0.0
36,1.0,0,0.58,0.42,1068,volatile,0.0
37,1.0,0,0.72,0.68,1573,volatile,0.0
38,0.0,0,0.56,0.46,1785,volatile,0.0
39,1.0,0,0.4,0.41,1032,volatile,0.0
40,0.0,0,0.71,0.53,1241,volatile,0.0
41,0.0,0,0.78,0.86,1658,volatile,0.0
42,1.0,0,0.33,0.33,1080,volatile,0.0
43,0.0,1,0.95,0.86,698,volatile,0.0
44,0.0,1,0.03,0.53,1258,volatile,0.0
45,0.0,0,0.34,0.92,2463,volatile,0.0
46,0.0,0,0.31,0.29,857,volatile,0.0
47,0.0,0,0.72,0.93,872,volatile,0.0
48,0.0,0,0.42,0.86,856,volatile,0.0
49,0.0,0,0.91,0.32,1417,volatile,0.0
50,0.0,1,0.64,0.13,1241,volatile,0.0
51,0.0,0,0.45,0.67,1224,volatile,0.0
52,0.0,0,0.46,0.79,793,volatile,0.0
53,0.0,0,0.88,0.39,1193,volatile,0.0
54,0.0,0,0.38,0.39,1288,volatile,0.0
55,0.0,0,0.71,0.85,904,volatile,0.0
56,0.0,0,0.32,0.1,1113,volatile,0.0
57,0.0,1,0.86,0.45,1143,volatile,0.0
58,1.0,0,0.92,0.83,1096,volatile,0.0
59,0.0,1,0.16,0.84,825,volatile,0.0
60,0.0,0,0.34,0.89,823,volatile,1.0
61,0.0,1,0.35,0.75,888,volatile,1.0
62,1.0,1,0.92,0.68,1145,volatile,1.0
63,1.0,1,0.25,0.13,839,volatile,1.0
64,1.0,1,0.77,0.74,856,volatile,1.0
65,1.0,1,0.13,0.62,1160,volatile,1.0
66,1.0,0,0.65,0.73,1018,volatile,1.0
67,0.0,0,0.37,0.95,1161,volatile,1.0
68,0.0,0,0.96,0.63,1352,volatile,1.0
69,0.0,1,0.39,0.47,1384,volatile,1.0
70,1.0,1,0.59,0.49,1002,volatile,1.0
71,1.0,1,0.43,0.87,1145,volatile,1.0
72,0.0,1,0.04,0.82,1051,volatile,1.0
73,0.0,1,0.27,0.61,1193,volatile,1.0
74,1.0,1,0.36,0.57,921,volatile,1.0
75,1.0,1,0.25,0.67,936,volatile,1.0
76,1.0,1,0.83,0.51,871,volatile,1.0
77,0.0,1,0.38,0.87,1912,volatile,1.0
78,1.0,1,0.78,0.3,856,volatile,1.0
79,1.0,1,0.95,0.84,1273,volatile,1.0
80,1.0,0,0.93,0.68,1082,volatile,1.0
81,0.0,0,0.54,0.3,1880,volatile,1.0
82,0.0,0,0.72,0.91,825,volatile,1.0
83,0.0,1,0.02,0.77,889,volatile,1.0
84,1.0,1,0.49,0.53,937,volatile,1.0
85,1.0,0,0.56,0.51,1017,volatile,1.0
86,0.0,0,0.54,0.49,2139,volatile,1.0
87,0.0,0,0.51,0.85,841,volatile,1.0
88,0.0,0,0.06,0.88,984,volatile,1.0
89,0.0,0,0.84,0.93,1065,volatile,1.0
90,0.0,1,0.84,0.97,2112,stable,1.0
91,1.0,1,0.8,0.32,970,stable,1.0
92,1.0,1,0.12,0.58,1113,stable,1.0
93,1.0,0,0.72,0.17,711,stable,1.0
94,0.0,1,0.98,0.72,1242,stable,1.0
95,0.0,1,0.1,0.63,1130,stable,1.0
96,1.0,1,0.83,0.35,824,stable,1.0
97,1.0,0,0.29,0.49,1481,stable,1.0
98,0.0,1,0.06,0.98,984,stable,1.0
99,1.0,0,0.95,0.54,922,stable,1.0
100,1.0,1,0.8,0.64,1623,stable,1.0
101,1.0,1,0.55,0.36,952,stable,1.0
102,0.0,0,0.22,0.98,1370,stable,1.0
103,0.0,0,0.31,0.14,1529,stable,1.0
104,0.0,1,0.6,0.28,843,stable,1.0
105,1.0,0,0.68,0.73,791,stable,1.0
106,1.0,0,0.6,0.46,1337,stable,1.0
107,1.0,1,0.32,0.85,1144,stable,1.0
108,1.0,1,0.88,0.99,858,stable,1.0
109,1.0,1,0.97,0.87,821,stable,1.0
110,1.0,0,0.92,0.41,1240,stable,1.0
111,0.0,1,0.36,0.32,1002,stable,1.0
112,0.0,1,0.13,0.59,978,stable,1.0
113,1.0,0,0.5,0.8,1625,stable,1.0
114,0.0,0,0.49,0.61,1946,stable,1.0
115,0.0,1,0.92,0.87,839,stable,1.0
116,0.0,1,0.28,0.95,1060,stable,1.0
117,1.0,1,0.64,0.33,1512,stable,1.0
118,1.0,1,0.59,0.97,850,stable,1.0
119,1.0,1,0.44,0.52,968,stable,1.0
120,1.0,0,0.9,0.2,1097,stable,2.0
121,0.0,1,0.13,0.65,984,stable,2.0
122,1.0,1,0.47,0.69,983,stable,2.0
123,1.0,0,0.33,0.38,882,stable,2.0
124,0.0,1,0.21,0.71,980,stable,2.0
125,1.0,1,0.81,0.55,1064,stable,2.0
126,1.0,0,0.83,0.05,825,stable,2.0
127,1.0,1,0.75,0.71,890,stable,2.0
128,1.0,1,0.79,0.73,842,stable,2.0
129,1.0,1,0.93,0.2,981,stable,2.0
130,1.0,1,0.8,0.89,1273,stable,2.0
131,1.0,0,0.9,0.1,1319,stable,2.0
132,1.0,1,0.63,0.17,904,stable,2.0
133,1.0,0,0.74,0.05,791,stable,2.0
134,1.0,1,0.4,0.62,1227,stable,2.0
135,0.0,1,0.17,0.43,2272,stable,2.0
136,0.0,1,0.3,0.9,1621,stable,2.0
137,1.0,0,0.9,0.56,1130,stable,2.0
138,1.0,1,0.88,0.37,1386,stable,2.0
139,1.0,1,0.4,0.38,983,stable,2.0
140,1.0,1,0.5,0.54,903,stable,2.0
141,1.0,0,0.56,0.07,763,stable,2.0
142,1.0,0,0.9,0.61,1031,stable,2.0
143,0.0,0,0.82,0.12,1160,stable,2.0
144,0.0,1,0.9,0.19,937,stable,2.0
145,1.0,1,0.46,0.51,968,stable,2.0
146,1.0,1,0.85,0.51,791,stable,2.0
147,1.0,1,0.65,0.41,1013,stable,2.0
148,1.0,0,0.31,0.64,1031,stable,2.0
149,0.0,1,0.07,0.76,712,stable,2.0
150,1.0,1,0.13,0.65,1065,stable,2.0
151,1.0,1,0.94,0.74,808,stable,2.0
152,1.0,0,0.87,0.37,1097,stable,2.0
153,1.0,1,0.43,0.4,953,stable,2.0
154,1.0,1,0.25,0.58,940,stable,2.0
155,1.0,1,0.78,0.1,759,stable,2.0
156,1.0,1,0.33,0.83,1784,stable,2.0
157,1.0,0,0.63,0.07,970,stable,2.0
158,0.0,1,0.71,0.59,1985,stable,2.0
159,1.0,1,0.89,0.56,890,stable,2.0
160,1.0,1,0.44,0.91,712,stable,2.0
161,1.0,1,0.96,0.22,1067,stable,2.0
162,1.0,1,0.55,0.3,905,stable,2.0
163,1.0,0,0.69,0.86,936,stable,2.0
164,1.0,0,0.45,0.91,1418,stable,2.0
165,1.0,0,0.87,0.09,1560,stable,2.0
166,1.0,1,0.45,0.87,1480,stable,2.0
167,1.0,1,0.55,0.92,810,stable,2.0
168,1.0,1,0.57,0.9,1093,stable,2.0
169,1.0,1,0.33,0.67,1080,stable,2.0
170,1.0,1,0.52,0.39,840,stable,2.0
