,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,1356,stable,0.0
1,1.0,1,0.8,0.32,906,stable,0.0
2,1.0,1,0.12,0.58,1096,stable,0.0
3,1.0,0,0.72,0.17,730,stable,0.0
4,1.0,1,0.98,0.72,868,stable,0.0
5,1.0,1,0.1,0.63,621,stable,0.0
6,1.0,1,0.83,0.35,799,stable,0.0
7,1.0,0,0.29,0.49,881,stable,0.0
8,0.0,1,0.06,0.98,758,stable,0.0
9,0.0,0,0.95,0.54,654,stable,0.0
10,0.0,1,0.8,0.64,753,stable,0.0
11,0.0,1,0.55,0.36,932,stable,0.0
12,1.0,0,0.22,0.98,552,stable,0.0
13,0.0,0,0.31,0.14,676,stable,0.0
14,0.0,1,0.6,0.28,576,stable,0.0
15,1.0,0,0.68,0.73,583,stable,0.0
16,0.0,0,0.6,0.46,897,stable,0.0
17,0.0,1,0.32,0.85,981,stable,0.0
18,0.0,1,0.88,0.99,820,stable,0.0
19,0.0,1,0.97,0.87,712,stable,0.0
20,0.0,0,0.92,0.41,544,stable,0.0
21,0.0,1,0.36,0.32,965,stable,0.0
22,0.0,1,0.13,0.59,828,stable,0.0
23,0.0,0,0.5,0.8,930,stable,0.0
24,1.0,0,0.49,0.61,746,stable,0.0
25,0.0,1,0.92,0.87,666,stable,0.0
26,0.0,1,0.28,0.95,727,stable,0.0
27,0.0,1,0.64,0.33,638,stable,0.0
28,1.0,1,0.59,0.97,935,stable,0.0
29,1.0,1,0.44,0.52,663,stable,0.0
30,1.0,0,0.9,0.2,575,stable,0.0
31,1.0,1,0.13,0.65,493,stable,0.0
32,0.0,1,0.47,0.69,520,stable,0.0
33,0.0,0,0.33,0.38,865,stable,0.0
34,0.0,1,0.21,0.71,710,stable,0.0
35,0.0,1,0.81,0.55,690,stable,0.0
36,1.0,0,0.83,0.05,590,stable,0.0
37,1.0,1,0.75,0.71,782,stable,0.0
38,1.0,1,0.79,0.73,818,stable,0.0
39,0.0,1,0.93,0.2,623,stable,0.0
40,0.0,1,0.8,0.89,666,stable,0.0
41,1.0,0,0.9,0.1,671,stable,0.0
42,0.0,1,0.63,0.17,653,stable,0.0
43,1.0,0,0.74,0.05,598,stable,0.0
44,0.0,1,0.4,0.62,653,stable,0.0
45,0.0,1,0.17,0.43,912,stable,0.0
46,1.0,1,0.3,0.9,600,stable,0.0
47,1.0,0,0.9,0.56,771,stable,0.0
48,0.0,1,0.88,0.37,627,stable,0.0
49,0.0,1,0.4,0.38,540,stable,0.0
50,0.0,1,0.5,0.54,582,stable,0.0
51,1.0,0,0.56,0.07,541,stable,0.0
52,0.0,0,0.9,0.61,477,stable,0.0
53,0.0,0,0.82,0.12,691,stable,0.0
54,1.0,1,0.9,0.19,675,stable,0.0
55,1.0,1,0.46,0.51,684,stable,0.0
56,0.0,1,0.85,0.51,916,stable,0.0
57,0.0,1,0.65,0.41,782,stable,0.0
58,1.0,0,0.31,0.64,536,stable,0.0
59,0.0,1,0.07,0.76,418,stable,0.0
60,1.0,1,0.13,0.65,507,stable,1.0
61,0.0,1,0.94,0.74,699,stable,1.0
62,1.0,0,0.87,0.37,568,stable,1.0
63,1.0,1,0.43,0.4,519,stable,1.0
64,1.0,1,0.25,0.58,485,stable,1.0
