,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,934,stable,0.0
1,1.0,1,0.8,0.32,1059,stable,0.0
2,1.0,1,0.12,0.58,1439,stable,0.0
3,1.0,0,0.72,0.17,849,stable,0.0
4,1.0,1,0.98,0.72,841,stable,0.0
5,1.0,1,0.1,0.63,1151,stable,0.0
6,1.0,1,0.83,0.35,744,stable,0.0
7,1.0,0,0.29,0.49,1031,stable,0.0
8,0.0,1,0.06,0.98,1824,stable,0.0
9,1.0,0,0.95,0.54,1385,stable,0.0
10,1.0,1,0.8,0.64,1115,stable,0.0
11,1.0,1,0.55,0.36,1031,stable,0.0
12,1.0,0,0.22,0.98,1726,stable,0.0
13,1.0,0,0.31,0.14,865,stable,0.0
14,1.0,1,0.6,0.28,2057,stable,0.0
15,1.0,0,0.68,0.73,1865,stable,0.0
16,1.0,0,0.6,0.46,1088,stable,0.0
17,0.0,1,0.32,0.85,954,stable,0.0
18,0.0,1,0.88,0.99,779,stable,0.0
19,1.0,1,0.97,0.87,1183,stable,0.0
20,1.0,0,0.92,0.41,968,stable,0.0
21,1.0,1,0.36,0.32,665,stable,0.0
22,1.0,1,0.13,0.59,1456,stable,0.0
23,1.0,0,0.5,0.8,896,stable,0.0
24,1.0,0,0.49,0.61,881,stable,0.0
25,1.0,1,0.92,0.87,1865,stable,0.0
26,1.0,1,0.28,0.95,2009,stable,0.0
27,1.0,1,0.64,0.33,945,stable,0.0
28,1.0,1,0.59,0.97,1088,stable,0.0
29,1.0,1,0.44,0.52,1367,stable,0.0
30,1.0,0,0.9,0.2,1377,stable,0.0
31,0.0,1,0.13,0.65,1090,stable,0.0
32,1.0,1,0.47,0.69,1536,stable,0.0
33,1.0,0,0.33,0.38,1115,stable,0.0
34,1.0,1,0.21,0.71,1776,stable,0.0
35,1.0,1,0.81,0.55,1009,stable,0.0
36,1.0,0,0.83,0.05,1064,stable,0.0
37,1.0,1,0.75,0.71,1046,stable,0.0
38,1.0,1,0.79,0.73,1103,stable,0.0
39,1.0,1,0.93,0.2,928,stable,0.0
40,1.0,1,0.8,0.89,1024,stable,0.0
41,1.0,0,0.9,0.1,983,stable,0.0
42,1.0,1,0.63,0.17,970,stable,0.0
43,1.0,0,0.74,0.05,839,stable,0.0
44,1.0,1,0.4,0.62,736,stable,0.0
45,1.0,1,0.17,0.43,2241,stable,0.0
46,0.0,1,0.3,0.9,2120,stable,0.0
47,1.0,0,0.9,0.56,896,stable,0.0
48,1.0,1,0.88,0.37,1191,stable,0.0
49,1.0,1,0.4,0.38,1289,stable,0.0
50,1.0,1,0.5,0.54,911,stable,0.0
51,1.0,0,0.56,0.07,914,stable,0.0
52,1.0,0,0.9,0.61,1223,stable,0.0
53,1.0,0,0.82,0.12,1839,stable,0.0
54,1.0,1,0.9,0.19,1769,stable,0.0
55,1.0,1,0.46,0.51,1224,stable,0.0
56,1.0,1,0.85,0.51,968,stable,0.0
57,1.0,1,0.65,0.41,867,stable,0.0
58,1.0,0,0.31,0.64,1228,stable,0.0
59,0.0,1,0.07,0.76,1361,stable,0.0
60,0.0,1,0.13,0.65,1868,stable,1.0
61,1.0,1,0.94,0.74,1399,stable,1.0
62,1.0,0,0.87,0.37,1151,stable,1.0
63,1.0,1,0.43,0.4,1448,stable,1.0
64,1.0,1,0.25,0.58,1228,stable,1.0
65,1.0,1,0.78,0.1,1215,stable,1.0
66,1.0,1,0.33,0.83,1174,stable,1.0
67,1.0,0,0.63,0.07,1474,stable,1.0
68,1.0,1,0.71,0.59,1770,stable,1.0
69,1.0,1,0.89,0.56,2480,stable,1.0
70,0.0,1,0.44,0.91,2649,stable,1.0
71,1.0,1,0.96,0.22,1898,stable,1.0
72,1.0,1,0.55,0.3,1049,stable,1.0
73,1.0,0,0.69,0.86,1368,stable,1.0
74,0.0,0,0.45,0.91,1759,stable,1.0
75,1.0,0,0.87,0.09,882,stable,1.0
76,0.0,1,0.45,0.87,2119,stable,1.0
77,1.0,1,0.55,0.92,1210,stable,1.0
78,1.0,1,0.57,0.9,1209,stable,1.0
79,1.0,1,0.33,0.67,1071,stable,1.0
80,1.0,1,0.52,0.39,1256,stable,1.0
81,1.0,1,0.9,0.83,889,stable,1.0
82,1.0,0,0.23,0.38,1904,stable,1.0
83,1.0,1,0.45,0.59,1369,stable,1.0
84,1.0,1,0.6,0.25,1810,stable,1.0
85,1.0,1,0.81,0.94,1248,stable,1.0
86,1.0,1,0.49,0.43,975,stable,1.0
87,1.0,0,0.42,0.65,1210,stable,1.0
88,1.0,1,0.5,0.66,1282,stable,1.0
89,1.0,1,0.89,0.35,1240,stable,1.0
90,1.0,1,0.89,0.99,2142,volatile,1.0
91,1.0,0,0.96,0.96,1304,volatile,1.0
92,1.0,0,0.58,0.58,1258,volatile,1.0
93,0.0,0,0.52,0.33,2048,volatile,1.0
94,0.0,1,0.02,0.92,832,volatile,1.0
95,1.0,0,0.93,0.34,1147,volatile,1.0
96,0.0,0,0.08,0.28,935,volatile,1.0
97,0.0,0,0.44,0.91,834,volatile,1.0
98,0.0,0,0.6,0.78,617,volatile,1.0
99,0.0,1,0.35,0.42,864,volatile,1.0
100,0.0,0,0.5,0.82,1053,volatile,1.0
101,0.0,0,0.42,0.39,1697,volatile,1.0
102,0.0,0,0.29,0.54,966,volatile,1.0
103,1.0,0,0.85,0.05,1455,volatile,1.0
104,0.0,0,0.96,0.99,872,volatile,1.0
105,0.0,1,0.74,0.48,1306,volatile,1.0
106,0.0,0,0.95,0.93,821,volatile,1.0
107,0.0,0,0.33,0.68,1329,volatile,1.0
108,0.0,0,0.87,0.46,984,volatile,1.0
109,0.0,0,0.85,0.98,1786,volatile,1.0
110,0.0,1,0.24,0.3,1049,volatile,1.0
111,0.0,1,0.36,0.32,1674,volatile,1.0
112,0.0,0,0.19,0.6,1017,volatile,1.0
113,0.0,1,0.57,0.91,1673,volatile,1.0
114,0.0,0,0.44,0.37,742,volatile,1.0
115,0.0,1,0.45,0.28,849,volatile,1.0
116,0.0,1,0.52,0.51,1667,volatile,1.0
117,0.0,1,0.72,0.55,914,volatile,1.0
118,0.0,1,0.72,0.99,1024,volatile,1.0
119,0.0,1,0.07,0.71,1433,volatile,1.0
120,1.0,1,0.41,0.77,1281,volatile,2.0
121,1.0,1,0.89,0.71,1817,volatile,2.0
122,1.0,1,0.56,0.72,1354,volatile,2.0
123,1.0,1,0.41,0.71,1358,volatile,2.0
124,1.0,0,0.99,0.86,1073,volatile,2.0
125,1.0,1,0.61,0.98,1586,volatile,2.0
126,1.0,0,0.58,0.42,1767,volatile,2.0
127,1.0,0,0.72,0.68,1224,volatile,2.0
128,0.0,0,0.56,0.46,2632,volatile,2.0
129,0.0,0,0.4,0.41,1176,volatile,2.0
130,0.0,0,0.71,0.53,1488,volatile,2.0
131,0.0,0,0.78,0.86,1345,volatile,2.0
132,1.0,0,0.33,0.33,1674,volatile,2.0
133,0.0,1,0.95,0.86,1575,volatile,2.0
134,0.0,1,0.03,0.53,1474,volatile,2.0
135,0.0,0,0.34,0.92,1490,volatile,2.0
136,0.0,0,0.31,0.29,1328,volatile,2.0
137,0.0,0,0.72,0.93,1312,volatile,2.0
138,0.0,0,0.42,0.86,1327,volatile,2.0
139,0.0,0,0.91,0.32,1634,volatile,2.0
140,0.0,1,0.64,0.13,2336,volatile,2.0
141,0.0,0,0.45,0.67,2066,volatile,2.0
142,0.0,0,0.46,0.79,1353,volatile,2.0
143,0.0,0,0.88,0.39,1289,volatile,2.0
144,0.0,0,0.38,0.39,1402,volatile,2.0
145,0.0,0,0.71,0.85,1097,volatile,2.0
146,0.0,0,0.32,0.1,1233,volatile,2.0
147,0.0,1,0.86,0.45,898,volatile,2.0
