,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,2026,stable,0.0
1,1.0,1,0.8,0.32,866,stable,0.0
2,0.0,1,0.12,0.58,1790,stable,0.0
3,1.0,0,0.72,0.17,1329,stable,0.0
4,1.0,1,0.98,0.72,799,stable,0.0
5,0.0,1,0.1,0.63,1825,stable,0.0
6,1.0,1,0.83,0.35,845,stable,0.0
7,0.0,0,0.29,0.49,1044,stable,0.0
8,0.0,1,0.06,0.98,770,stable,0.0
9,0.0,0,0.95,0.54,762,stable,0.0
10,1.0,1,0.8,0.64,1043,stable,0.0
11,1.0,1,0.55,0.36,1014,stable,0.0
12,0.0,0,0.22,0.98,758,stable,0.0
13,1.0,0,0.31,0.14,879,stable,0.0
14,1.0,1,0.6,0.28,967,stable,0.0
15,0.0,0,0.68,0.73,1167,stable,0.0
16,0.0,0,0.6,0.46,925,stable,0.0
17,0.0,1,0.32,0.85,1367,stable,0.0
18,0.0,1,0.88,0.99,1850,stable,0.0
19,0.0,1,0.97,0.87,901,stable,0.0
20,1.0,0,0.92,0.41,1206,stable,0.0
21,1.0,1,0.36,0.32,1089,stable,0.0
22,1.0,1,0.13,0.59,1269,stable,0.0
23,1.0,0,0.5,0.8,884,stable,0.0
24,0.0,0,0.49,0.61,953,stable,0.0
25,0.0,1,0.92,0.87,900,stable,0.0
26,0.0,1,0.28,0.95,1007,stable,0.0
27,0.0,1,0.64,0.33,752,stable,0.0
28,0.0,1,0.59,0.97,985,stable,0.0
29,1.0,1,0.44,0.52,1077,stable,0.0
30,1.0,0,0.9,0.2,1111,stable,0.0
31,0.0,1,0.13,0.65,1048,stable,0.0
32,0.0,1,0.47,0.69,940,stable,0.0
33,0.0,0,0.33,0.38,854,stable,0.0
34,0.0,1,0.21,0.71,1103,stable,0.0
35,0.0,1,0.81,0.55,664,stable,0.0
36,1.0,0,0.83,0.05,1008,stable,0.0
37,1.0,1,0.75,0.71,990,stable,0.0
38,1.0,1,0.79,0.73,830,stable,0.0
39,1.0,1,0.93,0.2,1053,stable,0.0
40,1.0,1,0.8,0.89,1385,stable,0.0
41,1.0,0,0.9,0.1,877,stable,0.0
42,1.0,1,0.63,0.17,808,stable,0.0
43,1.0,0,0.74,0.05,913,stable,0.0
44,1.0,1,0.4,0.62,894,stable,0.0
45,0.0,1,0.17,0.43,2335,stable,0.0
46,0.0,1,0.3,0.9,663,stable,0.0
47,1.0,0,0.9,0.56,1027,stable,0.0
48,1.0,1,0.88,0.37,1531,stable,0.0
49,1.0,1,0.4,0.38,3023,stable,0.0
50,1.0,1,0.5,0.54,1228,stable,0.0
51,1.0,0,0.56,0.07,958,stable,0.0
52,1.0,0,0.9,0.61,897,stable,0.0
53,1.0,0,0.82,0.12,953,stable,0.0
54,0.0,1,0.9,0.19,1676,stable,0.0
55,1.0,1,0.46,0.51,1101,stable,0.0
56,1.0,1,0.85,0.51,745,stable,0.0
57,1.0,1,0.65,0.41,997,stable,0.0
58,1.0,0,0.31,0.64,1347,stable,0.0
59,0.0,1,0.07,0.76,914,stable,0.0
60,1.0,1,0.13,0.65,1346,stable,1.0
61,1.0,1,0.94,0.74,868,stable,1.0
62,1.0,0,0.87,0.37,1007,stable,1.0
63,1.0,1,0.43,0.4,831,stable,1.0
64,1.0,1,0.25,0.58,1450,stable,1.0
65,,1,0.78,0.1,6251,stable,1.0
66,0.0,1,0.33,0.83,4895,stable,1.0
67,0.0,0,0.63,0.07,1632,stable,1.0
68,0.0,1,0.71,0.59,835,stable,1.0
69,0.0,1,0.89,0.56,1578,stable,1.0
70,0.0,1,0.44,0.91,605,stable,1.0
71,0.0,1,0.96,0.22,1063,stable,1.0
72,1.0,1,0.55,0.3,1115,stable,1.0
73,0.0,0,0.69,0.86,1209,stable,1.0
74,0.0,0,0.45,0.91,939,stable,1.0
75,1.0,0,0.87,0.09,814,stable,1.0
76,0.0,1,0.45,0.87,871,stable,1.0
77,0.0,1,0.55,0.92,856,stable,1.0
78,0.0,1,0.57,0.9,1484,stable,1.0
79,1.0,1,0.33,0.67,866,stable,1.0
80,0.0,1,0.52,0.39,1379,stable,1.0
81,0.0,1,0.9,0.83,639,stable,1.0
82,0.0,0,0.23,0.38,1038,stable,1.0
83,0.0,1,0.45,0.59,927,stable,1.0
84,0.0,1,0.6,0.25,762,stable,1.0
85,0.0,1,0.81,0.94,996,stable,1.0
86,0.0,1,0.49,0.43,955,stable,1.0
87,0.0,0,0.42,0.65,721,stable,1.0
88,0.0,1,0.5,0.66,811,stable,1.0
89,1.0,1,0.89,0.35,663,stable,1.0
90,0.0,1,0.89,0.99,1926,volatile,1.0
91,1.0,0,0.96,0.96,1023,volatile,1.0
92,1.0,0,0.58,0.58,917,volatile,1.0
93,0.0,0,0.52,0.33,634,volatile,1.0
94,0.0,1,0.02,0.92,770,volatile,1.0
95,1.0,0,0.93,0.34,724,volatile,1.0
96,1.0,0,0.08,0.28,1524,volatile,1.0
97,0.0,0,0.44,0.91,1318,volatile,1.0
98,0.0,0,0.6,0.78,773,volatile,1.0
99,0.0,1,0.35,0.42,934,volatile,1.0
100,0.0,0,0.5,0.82,862,volatile,1.0
101,1.0,0,0.42,0.39,1069,volatile,1.0
102,0.0,0,0.29,0.54,652,volatile,1.0
