,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1616,stable,0.0
1,0.0,1,0.8,0.32,779,stable,0.0
2,1.0,1,0.12,0.58,1196,stable,0.0
3,1.0,0,0.72,0.17,695,stable,0.0
4,1.0,1,0.98,0.72,655,stable,0.0
5,1.0,1,0.1,0.63,649,stable,0.0
6,1.0,1,0.83,0.35,736,stable,0.0
7,1.0,0,0.29,0.49,682,stable,0.0
8,1.0,1,0.06,0.98,663,stable,0.0
9,1.0,0,0.95,0.54,799,stable,0.0
10,1.0,1,0.8,0.64,682,stable,0.0
11,1.0,1,0.55,0.36,742,stable,0.0
12,1.0,0,0.22,0.98,785,stable,0.0
13,1.0,0,0.31,0.14,676,stable,0.0
14,1.0,1,0.6,0.28,693,stable,0.0
15,1.0,0,0.68,0.73,716,stable,0.0
16,1.0,0,0.6,0.46,768,stable,0.0
17,1.0,1,0.32,0.85,842,stable,0.0
18,0.0,1,0.88,0.99,1250,stable,0.0
19,1.0,1,0.97,0.87,1375,stable,0.0
20,1.0,0,0.92,0.41,822,stable,0.0
21,1.0,1,0.36,0.32,1143,stable,0.0
22,0.0,1,0.13,0.59,1328,stable,0.0
23,0.0,0,0.5,0.8,1084,stable,0.0
24,1.0,0,0.49,0.61,832,stable,0.0
25,1.0,1,0.92,0.87,1025,stable,0.0
26,0.0,1,0.28,0.95,1297,stable,0.0
27,1.0,1,0.64,0.33,1136,stable,0.0
28,1.0,1,0.59,0.97,740,stable,0.0
29,1.0,1,0.44,0.52,1438,stable,0.0
30,1.0,0,0.9,0.2,961,stable,0.0
31,0.0,1,0.13,0.65,1097,stable,0.0
32,0.0,1,0.47,0.69,1196,stable,0.0
33,1.0,0,0.33,0.38,920,stable,0.0
34,1.0,1,0.21,0.71,831,stable,0.0
35,1.0,1,0.81,0.55,659,stable,0.0
36,1.0,0,0.83,0.05,828,stable,0.0
37,1.0,1,0.75,0.71,823,stable,0.0
38,1.0,1,0.79,0.73,1187,stable,0.0
39,1.0,1,0.93,0.2,938,stable,0.0
40,1.0,1,0.8,0.89,1041,stable,0.0
41,1.0,0,0.9,0.1,1068,stable,0.0
42,1.0,1,0.63,0.17,1096,stable,0.0
43,1.0,0,0.74,0.05,797,stable,0.0
44,0.0,1,0.4,0.62,1130,stable,0.0
45,0.0,1,0.17,0.43,1741,stable,0.0
46,1.0,1,0.3,0.9,1061,stable,0.0
47,0.0,0,0.9,0.56,1191,stable,0.0
