,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1202,volatile,0.0
1,1.0,0,0.96,0.96,1412,volatile,0.0
2,1.0,0,0.58,0.58,1128,volatile,0.0
3,0.0,0,0.52,0.33,1224,volatile,0.0
4,1.0,1,0.02,0.92,968,volatile,0.0
5,1.0,0,0.93,0.34,841,volatile,0.0
6,1.0,0,0.08,0.28,774,volatile,0.0
7,0.0,0,0.44,0.91,761,volatile,0.0
8,1.0,0,0.6,0.78,1289,volatile,0.0
9,0.0,1,0.35,0.42,1098,volatile,0.0
10,0.0,0,0.5,0.82,888,volatile,0.0
11,0.0,0,0.42,0.39,1448,volatile,0.0
12,0.0,0,0.29,0.54,1383,volatile,0.0
13,1.0,0,0.85,0.05,792,volatile,0.0
14,1.0,0,0.96,0.99,1272,volatile,0.0
15,0.0,1,0.74,0.48,746,volatile,0.0
16,1.0,0,0.95,0.93,970,volatile,0.0
17,0.0,0,0.33,0.68,1097,volatile,0.0
18,1.0,0,0.87,0.46,872,volatile,0.0
19,1.0,0,0.85,0.98,918,volatile,0.0
20,0.0,1,0.24,0.3,264,volatile,0.0
21,0.0,1,0.36,0.32,264,volatile,0.0
22,0.0,0,0.19,0.6,281,volatile,0.0
23,,1,0.57,0.91,6252,volatile,0.0
24,,0,0.44,0.37,6251,volatile,0.0
25,,1,0.45,0.28,6251,volatile,0.0
26,,1,0.52,0.51,6251,volatile,0.0
27,,1,0.72,0.55,6251,volatile,0.0
28,,1,0.72,0.99,6251,volatile,0.0
29,,1,0.07,0.71,6251,volatile,0.0
30,,1,0.41,0.77,6251,volatile,0.0
31,,1,0.89,0.71,6251,volatile,0.0
32,,1,0.56,0.72,6252,volatile,0.0
33,,1,0.41,0.71,6256,volatile,0.0
34,,0,0.99,0.86,6252,volatile,0.0
35,,1,0.61,0.98,6251,volatile,0.0
36,,0,0.58,0.42,6251,volatile,0.0
37,,0,0.72,0.68,6377,volatile,0.0
38,,0,0.56,0.46,7000,volatile,0.0
39,,0,0.4,0.41,7000,volatile,0.0
40,,0,0.71,0.53,7000,volatile,0.0
41,,0,0.78,0.86,7000,volatile,0.0
42,,0,0.33,0.33,7000,volatile,0.0
43,,1,0.95,0.86,7001,volatile,0.0
44,,1,0.03,0.53,7000,volatile,0.0
45,,0,0.34,0.92,6251,volatile,0.0
46,,0,0.31,0.29,6251,volatile,0.0
47,,0,0.72,0.93,6250,volatile,0.0
48,,0,0.42,0.86,6252,volatile,0.0
49,,0,0.91,0.32,6252,volatile,0.0
50,,1,0.64,0.13,6251,volatile,0.0
51,,0,0.45,0.67,6251,volatile,0.0
52,,0,0.46,0.79,6250,volatile,0.0
53,,0,0.88,0.39,6252,volatile,0.0
54,,0,0.38,0.39,6251,volatile,0.0
55,,0,0.71,0.85,6251,volatile,0.0
56,,0,0.32,0.1,6251,volatile,0.0
