,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,1887,volatile,0.0
1,1.0,0,0.96,0.96,2143,volatile,0.0
2,1.0,0,0.58,0.58,2567,volatile,0.0
3,0.0,0,0.52,0.33,2191,volatile,0.0
4,1.0,1,0.02,0.92,2220,volatile,0.0
5,0.0,0,0.93,0.34,2527,volatile,0.0
6,1.0,0,0.08,0.28,2219,volatile,0.0
7,1.0,0,0.44,0.91,1700,volatile,0.0
8,0.0,0,0.6,0.78,1580,volatile,0.0
9,0.0,1,0.35,0.42,1331,volatile,0.0
10,1.0,0,0.5,0.82,1000,volatile,0.0
11,1.0,0,0.42,0.39,1275,volatile,0.0
12,0.0,0,0.29,0.54,1129,volatile,0.0
13,1.0,0,0.85,0.05,1352,volatile,0.0
14,0.0,0,0.96,0.99,1765,volatile,0.0
15,0.0,1,0.74,0.48,1559,volatile,0.0
16,1.0,0,0.95,0.93,2196,volatile,0.0
17,1.0,0,0.33,0.68,3080,volatile,0.0
18,0.0,0,0.87,0.46,1417,volatile,0.0
19,1.0,0,0.85,0.98,2217,volatile,0.0
20,1.0,1,0.24,0.3,1833,volatile,0.0
21,1.0,1,0.36,0.32,2015,volatile,0.0
22,1.0,0,0.19,0.6,2262,volatile,0.0
23,0.0,1,0.57,0.91,1496,volatile,0.0
24,1.0,0,0.44,0.37,1194,volatile,0.0
25,0.0,1,0.45,0.28,1783,volatile,0.0
26,0.0,1,0.52,0.51,2346,volatile,0.0
27,1.0,1,0.72,0.55,2348,volatile,0.0
28,0.0,1,0.72,0.99,3010,volatile,0.0
29,1.0,1,0.07,0.71,1867,volatile,0.0
30,0.0,1,0.89,0.71,1256,volatile,0.0
31,1.0,1,0.56,0.72,2143,volatile,0.0
32,0.0,1,0.41,0.71,1253,volatile,0.0
33,1.0,0,0.99,0.86,1401,volatile,0.0
34,0.0,1,0.61,0.98,1716,volatile,0.0
35,1.0,0,0.58,0.42,1288,volatile,0.0
36,1.0,0,0.72,0.68,1101,volatile,0.0
37,1.0,0,0.56,0.46,1103,volatile,0.0
38,0.0,0,0.4,0.41,1491,volatile,0.0
39,0.0,0,0.71,0.53,2281,volatile,0.0
40,1.0,0,0.78,0.86,2651,volatile,0.0
41,1.0,0,0.33,0.33,2028,volatile,0.0
42,0.0,1,0.95,0.86,1959,volatile,0.0
43,0.0,1,0.03,0.53,1175,volatile,0.0
44,0.0,1,0.41,0.77,1666,volatile,0.0
45,0.0,0,0.34,0.92,1998,volatile,0.0
46,1.0,0,0.31,0.29,1933,volatile,0.0
47,0.0,0,0.72,0.93,1428,volatile,0.0
48,0.0,0,0.42,0.86,1030,volatile,0.0
49,1.0,0,0.91,0.32,1085,volatile,0.0
50,0.0,1,0.64,0.13,1851,volatile,0.0
51,0.0,0,0.45,0.67,1154,volatile,0.0
52,0.0,0,0.46,0.79,1412,volatile,0.0
53,1.0,0,0.88,0.39,1073,volatile,0.0
54,1.0,0,0.38,0.39,2397,volatile,0.0
55,0.0,0,0.71,0.85,1155,volatile,0.0
56,1.0,0,0.32,0.1,1430,volatile,0.0
57,1.0,1,0.86,0.45,930,volatile,0.0
58,1.0,0,0.92,0.83,1568,volatile,0.0
59,0.0,1,0.16,0.84,1397,volatile,0.0
60,0.0,0,0.34,0.89,1029,volatile,1.0
61,0.0,1,0.35,0.75,1249,volatile,1.0
62,1.0,1,0.92,0.68,1385,volatile,1.0
63,0.0,1,0.25,0.13,2233,volatile,1.0
64,1.0,1,0.77,0.74,2536,volatile,1.0
65,0.0,1,0.13,0.62,1409,volatile,1.0
66,0.0,0,0.65,0.73,1891,volatile,1.0
67,0.0,0,0.37,0.95,1765,volatile,1.0
68,1.0,0,0.96,0.63,1797,volatile,1.0
69,0.0,1,0.39,0.47,1975,volatile,1.0
70,1.0,1,0.59,0.49,1645,volatile,1.0
71,0.0,1,0.43,0.87,1559,volatile,1.0
72,0.0,1,0.04,0.82,1819,volatile,1.0
73,1.0,1,0.27,0.61,1970,volatile,1.0
74,0.0,1,0.36,0.57,1457,volatile,1.0
75,0.0,1,0.25,0.67,1408,volatile,1.0
76,0.0,1,0.83,0.51,1686,volatile,1.0
77,1.0,1,0.38,0.87,1840,volatile,1.0
78,0.0,1,0.78,0.3,1483,volatile,1.0
79,0.0,1,0.95,0.84,1975,volatile,1.0
80,1.0,0,0.93,0.68,1638,volatile,1.0
81,1.0,0,0.54,0.3,3026,volatile,1.0
82,0.0,0,0.72,0.91,1515,volatile,1.0
83,1.0,1,0.02,0.77,928,volatile,1.0
84,0.0,1,0.49,0.53,1487,volatile,1.0
85,1.0,0,0.56,0.51,1607,volatile,1.0
86,1.0,0,0.54,0.49,2007,volatile,1.0
87,0.0,0,0.51,0.85,1122,volatile,1.0
88,0.0,0,0.06,0.88,909,volatile,1.0
89,0.0,0,0.84,0.93,1373,volatile,1.0
90,0.0,1,0.84,0.97,2404,stable,1.0
91,1.0,1,0.8,0.32,912,stable,1.0
92,0.0,1,0.12,0.58,1396,stable,1.0
93,1.0,0,0.72,0.17,1026,stable,1.0
94,1.0,1,0.98,0.72,1240,stable,1.0
95,0.0,1,0.1,0.63,1549,stable,1.0
96,0.0,1,0.83,0.35,1608,stable,1.0
97,1.0,0,0.29,0.49,2533,stable,1.0
98,0.0,1,0.06,0.98,1388,stable,1.0
99,1.0,0,0.95,0.54,1427,stable,1.0
100,1.0,1,0.8,0.64,1863,stable,1.0
101,1.0,1,0.55,0.36,1429,stable,1.0
102,0.0,0,0.22,0.98,848,stable,1.0
103,1.0,0,0.31,0.14,1237,stable,1.0
104,1.0,1,0.6,0.28,1217,stable,1.0
105,0.0,0,0.68,0.73,1739,stable,1.0
106,1.0,0,0.6,0.46,1403,stable,1.0
107,0.0,1,0.32,0.85,1076,stable,1.0
108,1.0,1,0.88,0.99,913,stable,1.0
109,1.0,1,0.97,0.87,1494,stable,1.0
110,1.0,0,0.92,0.41,1077,stable,1.0
111,1.0,1,0.36,0.32,1293,stable,1.0
112,0.0,1,0.13,0.59,1216,stable,1.0
113,1.0,0,0.5,0.8,1298,stable,1.0
114,0.0,0,0.49,0.61,1124,stable,1.0
115,0.0,1,0.92,0.87,1206,stable,1.0
116,0.0,1,0.28,0.95,1020,stable,1.0
117,1.0,1,0.64,0.33,1290,stable,1.0
118,0.0,1,0.59,0.97,1367,stable,1.0
119,0.0,1,0.44,0.52,1559,stable,1.0
120,1.0,0,0.9,0.2,1204,stable,2.0
121,0.0,1,0.13,0.65,1138,stable,2.0
122,0.0,1,0.47,0.69,1449,stable,2.0
123,0.0,0,0.33,0.38,1236,stable,2.0
124,1.0,1,0.21,0.71,1464,stable,2.0
125,1.0,1,0.81,0.55,1608,stable,2.0
126,0.0,0,0.83,0.05,1632,stable,2.0
127,1.0,1,0.75,0.71,1387,stable,2.0
128,1.0,1,0.79,0.73,2027,stable,2.0
129,1.0,1,0.93,0.2,1423,stable,2.0
130,1.0,1,0.8,0.89,2579,stable,2.0
131,0.0,0,0.9,0.1,1512,stable,2.0
132,0.0,1,0.63,0.17,1736,stable,2.0
133,0.0,0,0.74,0.05,967,stable,2.0
134,0.0,1,0.4,0.62,1301,stable,2.0
135,1.0,1,0.17,0.43,2019,stable,2.0
136,0.0,1,0.3,0.9,1239,stable,2.0
137,1.0,0,0.9,0.56,1259,stable,2.0
138,1.0,1,0.88,0.37,1251,stable,2.0
139,1.0,1,0.4,0.38,1506,stable,2.0
140,1.0,1,0.5,0.54,2074,stable,2.0
141,0.0,0,0.56,0.07,1878,stable,2.0
142,0.0,0,0.9,0.61,3289,stable,2.0
143,0.0,0,0.82,0.12,2116,stable,2.0
144,0.0,1,0.9,0.19,1403,stable,2.0
145,0.0,1,0.46,0.51,1758,stable,2.0
146,1.0,1,0.85,0.51,1129,stable,2.0
147,1.0,1,0.65,0.41,1043,stable,2.0
148,1.0,0,0.31,0.64,1843,stable,2.0
149,1.0,1,0.07,0.76,1407,stable,2.0
150,1.0,1,0.13,0.65,1441,stable,2.0
151,1.0,1,0.94,0.74,2205,stable,2.0
152,0.0,0,0.87,0.37,1419,stable,2.0
153,0.0,1,0.43,0.4,1649,stable,2.0
154,1.0,1,0.25,0.58,1668,stable,2.0
155,1.0,1,0.78,0.1,1292,stable,2.0
156,0.0,1,0.33,0.83,1763,stable,2.0
157,0.0,0,0.63,0.07,1494,stable,2.0
158,1.0,1,0.71,0.59,1497,stable,2.0
159,1.0,1,0.89,0.56,1813,stable,2.0
160,1.0,1,0.44,0.91,1649,stable,2.0
161,1.0,1,0.96,0.22,2259,stable,2.0
162,1.0,1,0.55,0.3,2117,stable,2.0
163,0.0,0,0.69,0.86,1681,stable,2.0
164,0.0,0,0.45,0.91,1632,stable,2.0
165,0.0,0,0.87,0.09,967,stable,2.0
166,0.0,1,0.45,0.87,1315,stable,2.0
167,0.0,1,0.55,0.92,1226,stable,2.0
168,1.0,1,0.57,0.9,1968,stable,2.0
169,0.0,1,0.33,0.67,1423,stable,2.0
170,1.0,1,0.52,0.39,1369,stable,2.0
171,1.0,1,0.9,0.83,756,stable,2.0
172,0.0,0,0.23,0.38,1509,stable,2.0
173,0.0,1,0.45,0.59,1272,stable,2.0
174,1.0,1,0.6,0.25,974,stable,2.0
175,0.0,1,0.81,0.94,1400,stable,2.0
176,0.0,1,0.49,0.43,2344,stable,2.0
177,0.0,0,0.42,0.65,822,stable,2.0
178,0.0,1,0.5,0.66,1477,stable,2.0
179,1.0,1,0.89,0.35,940,stable,2.0
