,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,1297,volatile,0.0
1,1.0,0,0.96,0.96,689,volatile,0.0
2,1.0,0,0.58,0.58,1137,volatile,0.0
3,0.0,0,0.52,0.33,817,volatile,0.0
4,0.0,1,0.02,0.92,820,volatile,0.0
5,1.0,0,0.93,0.34,1168,volatile,0.0
6,0.0,0,0.08,0.28,1112,volatile,0.0
7,0.0,0,0.44,0.91,939,volatile,0.0
8,0.0,0,0.6,0.78,690,volatile,0.0
9,0.0,1,0.35,0.42,1029,volatile,0.0
10,1.0,0,0.5,0.82,1574,volatile,0.0
11,0.0,0,0.42,0.39,878,volatile,0.0
12,0.0,0,0.29,0.54,1001,volatile,0.0
13,0.0,0,0.85,0.05,1211,volatile,0.0
14,0.0,0,0.96,0.99,926,volatile,0.0
15,0.0,1,0.74,0.48,639,volatile,0.0
16,0.0,0,0.95,0.93,1244,volatile,0.0
17,0.0,0,0.33,0.68,909,volatile,0.0
18,0.0,0,0.87,0.46,1328,volatile,0.0
19,0.0,0,0.85,0.98,1313,volatile,0.0
20,1.0,1,0.24,0.3,1166,volatile,0.0
21,0.0,1,0.36,0.32,1091,volatile,0.0
22,1.0,0,0.19,0.6,1343,volatile,0.0
23,0.0,1,0.57,0.91,1117,volatile,0.0
24,1.0,0,0.44,0.37,1752,volatile,0.0
25,1.0,1,0.45,0.28,1032,volatile,0.0
26,1.0,1,0.52,0.51,969,volatile,0.0
27,1.0,1,0.72,0.55,1067,volatile,0.0
28,1.0,1,0.72,0.99,920,volatile,0.0
29,1.0,1,0.07,0.71,1485,volatile,0.0
30,1.0,1,0.41,0.77,1624,volatile,0.0
31,0.0,1,0.89,0.71,1127,volatile,0.0
32,0.0,1,0.56,0.72,889,volatile,0.0
33,0.0,1,0.41,0.71,890,volatile,0.0
34,0.0,0,0.99,0.86,1084,volatile,0.0
35,0.0,1,0.61,0.98,905,volatile,0.0
36,1.0,0,0.58,0.42,784,volatile,0.0
37,1.0,0,0.72,0.68,1257,volatile,0.0
38,1.0,0,0.56,0.46,1133,volatile,0.0
39,0.0,0,0.4,0.41,1711,volatile,0.0
40,1.0,0,0.71,0.53,1484,volatile,0.0
41,0.0,0,0.78,0.86,1099,volatile,0.0
42,1.0,0,0.33,0.33,765,volatile,0.0
43,0.0,1,0.95,0.86,978,volatile,0.0
44,1.0,1,0.03,0.53,693,volatile,0.0
45,0.0,0,0.34,0.92,980,volatile,0.0
46,0.0,0,0.31,0.29,969,volatile,0.0
47,0.0,0,0.72,0.93,582,volatile,0.0
48,0.0,0,0.42,0.86,711,volatile,0.0
49,0.0,0,0.91,0.32,783,volatile,0.0
50,1.0,1,0.64,0.13,847,volatile,0.0
51,1.0,0,0.45,0.67,767,volatile,0.0
52,0.0,0,0.46,0.79,531,volatile,0.0
53,0.0,0,0.88,0.39,1033,volatile,0.0
54,0.0,0,0.38,0.39,739,volatile,0.0
55,0.0,0,0.71,0.85,1049,volatile,0.0
56,1.0,0,0.32,0.1,1248,volatile,0.0
57,1.0,1,0.86,0.45,782,volatile,0.0
58,0.0,0,0.92,0.83,1253,volatile,0.0
59,0.0,1,0.16,0.84,1183,volatile,0.0
60,1.0,0,0.34,0.89,1408,volatile,1.0
61,0.0,1,0.35,0.75,729,volatile,1.0
62,0.0,1,0.92,0.68,820,volatile,1.0
63,1.0,1,0.25,0.13,675,volatile,1.0
64,1.0,1,0.77,0.74,760,volatile,1.0
65,1.0,1,0.13,0.62,1105,volatile,1.0
66,1.0,0,0.65,0.73,1005,volatile,1.0
67,0.0,0,0.37,0.95,972,volatile,1.0
68,0.0,0,0.96,0.63,1496,volatile,1.0
69,0.0,1,0.39,0.47,1299,volatile,1.0
70,1.0,1,0.59,0.49,1305,volatile,1.0
71,0.0,1,0.43,0.87,1394,volatile,1.0
72,0.0,1,0.04,0.82,1748,volatile,1.0
73,1.0,1,0.27,0.61,1474,volatile,1.0
74,1.0,1,0.36,0.57,2312,volatile,1.0
75,0.0,1,0.25,0.67,1348,volatile,1.0
76,1.0,1,0.83,0.51,1847,volatile,1.0
77,0.0,1,0.38,0.87,1209,volatile,1.0
78,0.0,1,0.78,0.3,1614,volatile,1.0
79,1.0,1,0.95,0.84,1331,volatile,1.0
80,1.0,0,0.93,0.68,933,volatile,1.0
81,1.0,0,0.54,0.3,988,volatile,1.0
82,0.0,0,0.72,0.91,708,volatile,1.0
83,0.0,1,0.02,0.77,1191,volatile,1.0
84,1.0,1,0.49,0.53,1208,volatile,1.0
85,1.0,0,0.56,0.51,1631,volatile,1.0
86,1.0,0,0.54,0.49,1410,volatile,1.0
87,1.0,0,0.51,0.85,975,volatile,1.0
88,0.0,0,0.06,0.88,755,volatile,1.0
89,0.0,0,0.84,0.93,810,volatile,1.0
90,1.0,1,0.84,0.97,699,stable,1.0
91,1.0,1,0.8,0.32,1989,stable,1.0
92,0.0,1,0.12,0.58,962,stable,1.0
93,1.0,0,0.72,0.17,480,stable,1.0
94,1.0,1,0.98,0.72,703,stable,1.0
95,0.0,1,0.1,0.63,776,stable,1.0
96,1.0,1,0.83,0.35,1000,stable,1.0
97,0.0,0,0.29,0.49,1191,stable,1.0
98,0.0,1,0.06,0.98,915,stable,1.0
99,1.0,0,0.95,0.54,1041,stable,1.0
100,0.0,1,0.8,0.64,1063,stable,1.0
101,1.0,1,0.55,0.36,777,stable,1.0
102,1.0,0,0.22,0.98,893,stable,1.0
103,1.0,0,0.31,0.14,1334,stable,1.0
104,1.0,1,0.6,0.28,897,stable,1.0
105,1.0,0,0.68,0.73,1234,stable,1.0
106,1.0,0,0.6,0.46,1003,stable,1.0
107,0.0,1,0.32,0.85,1256,stable,1.0
108,0.0,1,0.88,0.99,902,stable,1.0
109,0.0,1,0.97,0.87,1106,stable,1.0
110,1.0,0,0.92,0.41,809,stable,1.0
111,0.0,1,0.36,0.32,728,stable,1.0
112,1.0,1,0.13,0.59,1127,stable,1.0
113,0.0,0,0.5,0.8,1399,stable,1.0
114,0.0,0,0.49,0.61,1089,stable,1.0
115,0.0,1,0.92,0.87,1375,stable,1.0
116,0.0,1,0.28,0.95,1057,stable,1.0
117,1.0,1,0.64,0.33,1275,stable,1.0
118,0.0,1,0.59,0.97,1128,stable,1.0
119,1.0,1,0.44,0.52,1318,stable,1.0
120,1.0,0,0.9,0.2,1290,stable,2.0
121,0.0,1,0.13,0.65,1220,stable,2.0
122,1.0,1,0.47,0.69,1733,stable,2.0
123,1.0,0,0.33,0.38,2020,stable,2.0
124,0.0,1,0.21,0.71,720,stable,2.0
125,1.0,1,0.81,0.55,760,stable,2.0
126,1.0,0,0.83,0.05,997,stable,2.0
127,1.0,1,0.75,0.71,1294,stable,2.0
128,0.0,1,0.79,0.73,1179,stable,2.0
129,1.0,1,0.93,0.2,1051,stable,2.0
130,1.0,1,0.8,0.89,814,stable,2.0
131,1.0,0,0.9,0.1,1173,stable,2.0
132,1.0,1,0.63,0.17,827,stable,2.0
133,1.0,0,0.74,0.05,914,stable,2.0
134,0.0,1,0.4,0.62,965,stable,2.0
135,1.0,1,0.17,0.43,865,stable,2.0
136,0.0,1,0.3,0.9,991,stable,2.0
137,1.0,0,0.9,0.56,1032,stable,2.0
138,1.0,1,0.88,0.37,1134,stable,2.0
139,1.0,1,0.4,0.38,828,stable,2.0
140,1.0,1,0.5,0.54,1198,stable,2.0
141,0.0,0,0.56,0.07,1034,stable,2.0
142,1.0,0,0.9,0.61,1184,stable,2.0
143,1.0,0,0.82,0.12,1669,stable,2.0
144,1.0,1,0.9,0.19,1071,stable,2.0
145,1.0,1,0.46,0.51,1340,stable,2.0
146,1.0,1,0.85,0.51,1108,stable,2.0
147,0.0,1,0.65,0.41,1118,stable,2.0
148,1.0,0,0.31,0.64,1339,stable,2.0
149,0.0,1,0.07,0.76,653,stable,2.0
150,0.0,1,0.13,0.65,766,stable,2.0
151,0.0,1,0.94,0.74,870,stable,2.0
152,1.0,0,0.87,0.37,786,stable,2.0
153,1.0,1,0.43,0.4,1445,stable,2.0
154,1.0,1,0.25,0.58,1148,stable,2.0
155,1.0,1,0.78,0.1,1069,stable,2.0
156,0.0,1,0.33,0.83,1547,stable,2.0
157,1.0,0,0.63,0.07,1376,stable,2.0
158,1.0,1,0.71,0.59,1586,stable,2.0
159,1.0,1,0.89,0.56,1410,stable,2.0
160,1.0,1,0.44,0.91,1346,stable,2.0
161,1.0,1,0.96,0.22,1228,stable,2.0
162,0.0,1,0.55,0.3,1712,stable,2.0
163,1.0,0,0.69,0.86,1050,stable,2.0
