,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,1666,volatile,0.0
1,1.0,0,0.96,0.96,768,volatile,0.0
2,1.0,0,0.58,0.58,2582,volatile,0.0
3,0.0,0,0.52,0.33,935,volatile,0.0
4,1.0,1,0.02,0.92,1189,volatile,0.0
5,1.0,0,0.93,0.34,679,volatile,0.0
6,1.0,0,0.08,0.28,486,volatile,0.0
7,0.0,0,0.44,0.91,664,volatile,0.0
8,0.0,0,0.6,0.78,600,volatile,0.0
9,0.0,1,0.35,0.42,806,volatile,0.0
10,1.0,0,0.5,0.82,631,volatile,0.0
11,0.0,0,0.42,0.39,720,volatile,0.0
12,0.0,0,0.29,0.54,591,volatile,0.0
13,1.0,0,0.85,0.05,629,volatile,0.0
14,1.0,0,0.96,0.99,518,volatile,0.0
15,1.0,1,0.74,0.48,424,volatile,0.0
16,1.0,0,0.95,0.93,456,volatile,0.0
17,0.0,0,0.33,0.68,552,volatile,0.0
18,0.0,0,0.87,0.46,536,volatile,0.0
19,1.0,0,0.85,0.98,503,volatile,0.0
20,1.0,1,0.24,0.3,744,volatile,0.0
21,0.0,1,0.36,0.32,886,volatile,0.0
22,0.0,0,0.19,0.6,520,volatile,0.0
23,1.0,1,0.57,0.91,678,volatile,0.0
24,1.0,0,0.44,0.37,463,volatile,0.0
25,0.0,1,0.45,0.28,501,volatile,0.0
26,0.0,1,0.52,0.51,662,volatile,0.0
27,1.0,1,0.72,0.55,870,volatile,0.0
28,0.0,1,0.72,0.99,1077,volatile,0.0
29,0.0,1,0.07,0.71,790,volatile,0.0
30,1.0,1,0.41,0.77,1511,volatile,0.0
31,0.0,1,0.89,0.71,951,volatile,0.0
32,1.0,1,0.56,0.72,615,volatile,0.0
33,1.0,1,0.41,0.71,583,volatile,0.0
34,0.0,0,0.99,0.86,1256,volatile,0.0
35,1.0,1,0.61,0.98,663,volatile,0.0
36,1.0,0,0.58,0.42,437,volatile,0.0
37,1.0,0,0.72,0.68,484,volatile,0.0
38,0.0,0,0.56,0.46,1056,volatile,0.0
39,0.0,0,0.4,0.41,1557,volatile,0.0
40,0.0,0,0.71,0.53,822,volatile,0.0
41,1.0,0,0.78,0.86,1207,volatile,0.0
42,1.0,0,0.33,0.33,1336,volatile,0.0
43,1.0,1,0.95,0.86,1015,volatile,0.0
44,0.0,1,0.03,0.53,984,volatile,0.0
45,1.0,0,0.34,0.92,3103,volatile,0.0
46,1.0,0,0.31,0.29,1032,volatile,0.0
47,0.0,0,0.72,0.93,637,volatile,0.0
48,1.0,0,0.42,0.86,705,volatile,0.0
49,1.0,0,0.91,0.32,1011,volatile,0.0
50,1.0,1,0.64,0.13,721,volatile,0.0
51,0.0,0,0.45,0.67,742,volatile,0.0
52,0.0,0,0.46,0.79,774,volatile,0.0
53,1.0,0,0.88,0.39,888,volatile,0.0
54,0.0,0,0.38,0.39,1433,volatile,0.0
55,0.0,0,0.71,0.85,968,volatile,0.0
56,1.0,0,0.32,0.1,840,volatile,0.0
57,1.0,1,0.86,0.45,710,volatile,0.0
58,0.0,0,0.92,0.83,936,volatile,0.0
59,0.0,1,0.16,0.84,1047,volatile,0.0
60,0.0,0,0.34,0.89,1029,volatile,1.0
61,0.0,1,0.35,0.75,977,volatile,1.0
62,1.0,1,0.92,0.68,1030,volatile,1.0
63,1.0,1,0.25,0.13,886,volatile,1.0
64,1.0,1,0.77,0.74,982,volatile,1.0
65,0.0,1,0.13,0.62,790,volatile,1.0
66,0.0,0,0.65,0.73,1030,volatile,1.0
67,0.0,0,0.37,0.95,936,volatile,1.0
68,1.0,0,0.96,0.63,1014,volatile,1.0
69,0.0,1,0.39,0.47,1128,volatile,1.0
70,1.0,1,0.59,0.49,1080,volatile,1.0
71,0.0,1,0.43,0.87,1000,volatile,1.0
72,0.0,1,0.04,0.82,854,volatile,1.0
73,0.0,1,0.27,0.61,1032,volatile,1.0
74,0.0,1,0.36,0.57,1128,volatile,1.0
75,0.0,1,0.25,0.67,791,volatile,1.0
76,1.0,1,0.83,0.51,6199,volatile,1.0
77,0.0,1,0.38,0.87,775,volatile,1.0
78,1.0,1,0.78,0.3,745,volatile,1.0
79,1.0,1,0.95,0.84,897,volatile,1.0
80,1.0,0,0.93,0.68,2308,volatile,1.0
81,1.0,0,0.54,0.3,1174,volatile,1.0
82,0.0,0,0.72,0.91,1063,volatile,1.0
83,0.0,1,0.02,0.77,758,volatile,1.0
84,1.0,1,0.49,0.53,1030,volatile,1.0
85,1.0,0,0.56,0.51,966,volatile,1.0
86,1.0,0,0.54,0.49,3208,volatile,1.0
87,0.0,0,0.51,0.85,1460,volatile,1.0
88,0.0,0,0.06,0.88,996,volatile,1.0
89,0.0,0,0.84,0.93,1220,volatile,1.0
90,0.0,1,0.84,0.97,2734,stable,1.0
91,1.0,1,0.8,0.32,1415,stable,1.0
92,0.0,1,0.12,0.58,1270,stable,1.0
93,1.0,0,0.72,0.17,1382,stable,1.0
94,1.0,1,0.98,0.72,968,stable,1.0
95,0.0,1,0.1,0.63,982,stable,1.0
96,1.0,1,0.83,0.35,1159,stable,1.0
97,0.0,0,0.29,0.49,2538,stable,1.0
98,0.0,1,0.06,0.98,727,stable,1.0
99,1.0,0,0.95,0.54,1447,stable,1.0
100,1.0,1,0.8,0.64,920,stable,1.0
101,1.0,1,0.55,0.36,5112,stable,1.0
102,0.0,0,0.22,0.98,824,stable,1.0
103,1.0,0,0.31,0.14,1863,stable,1.0
104,0.0,1,0.6,0.28,1602,stable,1.0
105,0.0,0,0.68,0.73,1249,stable,1.0
106,1.0,0,0.6,0.46,2294,stable,1.0
107,0.0,1,0.32,0.85,838,stable,1.0
108,0.0,1,0.88,0.99,3943,stable,1.0
109,1.0,1,0.97,0.87,1302,stable,1.0
110,1.0,0,0.92,0.41,5608,stable,1.0
111,1.0,1,0.36,0.32,5063,stable,1.0
112,0.0,1,0.13,0.59,2304,stable,1.0
113,0.0,0,0.5,0.8,1152,stable,1.0
114,0.0,0,0.49,0.61,3909,stable,1.0
115,1.0,1,0.92,0.87,3383,stable,1.0
116,0.0,1,0.28,0.95,1174,stable,1.0
117,1.0,1,0.64,0.33,872,stable,1.0
118,0.0,1,0.59,0.97,870,stable,1.0
119,0.0,1,0.44,0.52,902,stable,1.0
120,1.0,0,0.9,0.2,790,stable,2.0
121,0.0,1,0.13,0.65,1672,stable,2.0
122,0.0,1,0.47,0.69,1000,stable,2.0
123,,0,0.33,0.38,6250,stable,2.0
124,0.0,1,0.21,0.71,2028,stable,2.0
125,1.0,1,0.81,0.55,1027,stable,2.0
126,1.0,0,0.83,0.05,742,stable,2.0
127,1.0,1,0.75,0.71,887,stable,2.0
128,1.0,1,0.79,0.73,1144,stable,2.0
129,1.0,1,0.93,0.2,1173,stable,2.0
130,0.0,1,0.8,0.89,680,stable,2.0
131,1.0,0,0.9,0.1,1239,stable,2.0
132,1.0,1,0.63,0.17,696,stable,2.0
133,1.0,0,0.74,0.05,1016,stable,2.0
134,0.0,1,0.4,0.62,1160,stable,2.0
135,0.0,1,0.17,0.43,4054,stable,2.0
136,0.0,1,0.3,0.9,864,stable,2.0
137,1.0,0,0.9,0.56,1045,stable,2.0
138,1.0,1,0.88,0.37,869,stable,2.0
139,1.0,1,0.4,0.38,1191,stable,2.0
140,0.0,1,0.5,0.54,965,stable,2.0
141,1.0,0,0.56,0.07,807,stable,2.0
142,0.0,0,0.9,0.61,776,stable,2.0
143,1.0,0,0.82,0.12,807,stable,2.0
144,1.0,1,0.9,0.19,840,stable,2.0
145,0.0,1,0.46,0.51,1192,stable,2.0
146,1.0,1,0.85,0.51,1014,stable,2.0
147,1.0,1,0.65,0.41,901,stable,2.0
148,0.0,0,0.31,0.64,932,stable,2.0
149,0.0,1,0.07,0.76,721,stable,2.0
150,0.0,1,0.13,0.65,1590,stable,2.0
151,1.0,1,0.94,0.74,775,stable,2.0
152,1.0,0,0.87,0.37,1703,stable,2.0
153,1.0,1,0.43,0.4,1031,stable,2.0
154,0.0,1,0.25,0.58,903,stable,2.0
155,1.0,1,0.78,0.1,1464,stable,2.0
