,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,,1,0.84,0.97,6268,stable,0.0
1,0.0,1,0.8,0.32,1469,stable,0.0
2,0.0,1,0.12,0.58,1932,stable,0.0
3,1.0,0,0.72,0.17,2254,stable,0.0
4,1.0,1,0.98,0.72,1270,stable,0.0
5,1.0,1,0.1,0.63,866,stable,0.0
6,0.0,1,0.83,0.35,910,stable,0.0
7,1.0,0,0.29,0.49,884,stable,0.0
8,1.0,1,0.06,0.98,1237,stable,0.0
9,0.0,0,0.95,0.54,883,stable,0.0
10,0.0,1,0.8,0.64,1373,stable,0.0
11,0.0,1,0.55,0.36,607,stable,0.0
12,0.0,0,0.22,0.98,840,stable,0.0
13,1.0,0,0.31,0.14,885,stable,0.0
14,1.0,1,0.6,0.28,969,stable,0.0
15,0.0,0,0.68,0.73,1714,stable,0.0
16,1.0,0,0.6,0.46,1112,stable,0.0
17,0.0,1,0.32,0.85,1291,stable,0.0
18,0.0,1,0.88,0.99,1821,stable,0.0
19,1.0,1,0.97,0.87,1092,stable,0.0
20,1.0,0,0.92,0.41,1039,stable,0.0
21,1.0,1,0.36,0.32,1551,stable,0.0
22,0.0,1,0.13,0.59,1301,stable,0.0
23,0.0,0,0.5,0.8,1321,stable,0.0
24,0.0,0,0.49,0.61,1434,stable,0.0
25,1.0,1,0.92,0.87,914,stable,0.0
26,0.0,1,0.28,0.95,1085,stable,0.0
27,1.0,1,0.64,0.33,1557,stable,0.0
28,0.0,1,0.59,0.97,1123,stable,0.0
29,0.0,1,0.44,0.52,1437,stable,0.0
30,1.0,0,0.9,0.2,1939,stable,0.0
31,0.0,1,0.13,0.65,1155,stable,0.0
32,0.0,1,0.47,0.69,1152,stable,0.0
33,0.0,0,0.33,0.38,1285,stable,0.0
34,0.0,1,0.21,0.71,1304,stable,0.0
35,1.0,1,0.81,0.55,1315,stable,0.0
36,1.0,0,0.83,0.05,2476,stable,0.0
37,1.0,1,0.75,0.71,1250,stable,0.0
38,1.0,1,0.79,0.73,1097,stable,0.0
39,,1,0.93,0.2,6255,stable,0.0
40,0.0,1,0.8,0.89,1841,stable,0.0
41,1.0,0,0.9,0.1,5521,stable,0.0
42,1.0,1,0.63,0.17,4059,stable,0.0
43,1.0,0,0.74,0.05,3007,stable,0.0
44,0.0,1,0.4,0.62,1308,stable,0.0
45,0.0,1,0.17,0.43,2110,stable,0.0
46,1.0,1,0.3,0.9,534,stable,0.0
47,0.0,0,0.9,0.56,531,stable,0.0
48,1.0,1,0.88,0.37,648,stable,0.0
49,0.0,1,0.4,0.38,688,stable,0.0
50,0.0,1,0.5,0.54,1245,stable,0.0
51,0.0,0,0.56,0.07,1217,stable,0.0
52,,0,0.9,0.61,6262,stable,0.0
53,0.0,0,0.82,0.12,790,stable,0.0
54,,1,0.9,0.19,6256,stable,0.0
55,,1,0.46,0.51,6272,stable,0.0
56,,1,0.85,0.51,6267,stable,0.0
57,1.0,1,0.65,0.41,5224,stable,0.0
58,1.0,0,0.31,0.64,2739,stable,0.0
59,0.0,1,0.07,0.76,4924,stable,0.0
60,1.0,1,0.13,0.65,981,stable,1.0
61,0.0,1,0.94,0.74,857,stable,1.0
62,1.0,0,0.87,0.37,566,stable,1.0
63,0.0,1,0.43,0.4,697,stable,1.0
64,0.0,1,0.25,0.58,764,stable,1.0
65,0.0,1,0.78,0.1,1818,stable,1.0
66,0.0,1,0.33,0.83,1977,stable,1.0
67,0.0,0,0.63,0.07,853,stable,1.0
68,1.0,1,0.71,0.59,974,stable,1.0
69,0.0,1,0.89,0.56,1522,stable,1.0
70,1.0,1,0.44,0.91,2233,stable,1.0
71,1.0,1,0.96,0.22,552,stable,1.0
72,1.0,1,0.55,0.3,666,stable,1.0
73,1.0,0,0.69,0.86,1086,stable,1.0
74,0.0,0,0.45,0.91,1731,stable,1.0
75,0.0,0,0.87,0.09,1803,stable,1.0
76,0.0,1,0.45,0.87,735,stable,1.0
77,1.0,1,0.55,0.92,1553,stable,1.0
78,0.0,1,0.57,0.9,3642,stable,1.0
79,1.0,1,0.33,0.67,831,stable,1.0
80,1.0,1,0.52,0.39,707,stable,1.0
81,1.0,1,0.9,0.83,578,stable,1.0
82,1.0,0,0.23,0.38,1289,stable,1.0
83,1.0,1,0.45,0.59,334,stable,1.0
84,0.0,1,0.6,0.25,903,stable,1.0
85,0.0,1,0.81,0.94,1365,stable,1.0
86,0.0,1,0.49,0.43,445,stable,1.0
87,1.0,0,0.42,0.65,1034,stable,1.0
88,1.0,1,0.5,0.66,1673,stable,1.0
89,0.0,1,0.89,0.35,1435,stable,1.0
90,0.0,1,0.89,0.99,1341,volatile,1.0
91,1.0,0,0.96,0.96,682,volatile,1.0
92,1.0,0,0.58,0.58,593,volatile,1.0
93,0.0,0,0.52,0.33,643,volatile,1.0
94,0.0,1,0.02,0.92,571,volatile,1.0
95,1.0,0,0.93,0.34,718,volatile,1.0
96,1.0,0,0.08,0.28,674,volatile,1.0
97,1.0,0,0.44,0.91,602,volatile,1.0
98,0.0,0,0.6,0.78,1223,volatile,1.0
99,1.0,1,0.35,0.42,861,volatile,1.0
100,1.0,0,0.5,0.82,635,volatile,1.0
101,1.0,0,0.42,0.39,696,volatile,1.0
102,0.0,0,0.29,0.54,408,volatile,1.0
103,0.0,0,0.85,0.05,861,volatile,1.0
104,0.0,0,0.96,0.99,740,volatile,1.0
105,1.0,1,0.74,0.48,1661,volatile,1.0
106,0.0,0,0.95,0.93,712,volatile,1.0
107,0.0,0,0.33,0.68,583,volatile,1.0
108,1.0,0,0.87,0.46,775,volatile,1.0
109,1.0,0,0.85,0.98,527,volatile,1.0
110,0.0,1,0.24,0.3,717,volatile,1.0
111,0.0,1,0.36,0.32,901,volatile,1.0
112,0.0,0,0.19,0.6,507,volatile,1.0
113,0.0,1,0.57,0.91,773,volatile,1.0
114,0.0,0,0.44,0.37,625,volatile,1.0
115,0.0,1,0.45,0.28,924,volatile,1.0
116,0.0,1,0.52,0.51,632,volatile,1.0
117,1.0,1,0.72,0.55,801,volatile,1.0
118,0.0,1,0.72,0.99,640,volatile,1.0
119,0.0,1,0.07,0.71,3302,volatile,1.0
120,0.0,1,0.41,0.77,457,volatile,2.0
121,1.0,1,0.89,0.71,1931,volatile,2.0
122,1.0,1,0.56,0.72,2939,volatile,2.0
123,1.0,1,0.41,0.71,1988,volatile,2.0
124,0.0,0,0.99,0.86,1453,volatile,2.0
125,0.0,1,0.61,0.98,1031,volatile,2.0
126,0.0,0,0.58,0.42,679,volatile,2.0
127,1.0,0,0.72,0.68,2042,volatile,2.0
128,,0,0.56,0.46,6255,volatile,2.0
129,1.0,0,0.4,0.41,774,volatile,2.0
130,1.0,0,0.71,0.53,307,volatile,2.0
131,0.0,0,0.78,0.86,1044,volatile,2.0
132,1.0,0,0.33,0.33,1618,volatile,2.0
133,1.0,1,0.95,0.86,1291,volatile,2.0
134,1.0,1,0.03,0.53,591,volatile,2.0
135,1.0,0,0.34,0.92,1416,volatile,2.0
136,1.0,0,0.31,0.29,651,volatile,2.0
137,1.0,0,0.72,0.93,927,volatile,2.0
138,0.0,0,0.42,0.86,1842,volatile,2.0
139,0.0,0,0.91,0.32,2512,volatile,2.0
140,0.0,1,0.64,0.13,621,volatile,2.0
141,0.0,0,0.45,0.67,2190,volatile,2.0
142,1.0,0,0.46,0.79,622,volatile,2.0
143,1.0,0,0.88,0.39,1069,volatile,2.0
144,0.0,0,0.38,0.39,778,volatile,2.0
145,1.0,0,0.71,0.85,919,volatile,2.0
146,0.0,0,0.32,0.1,357,volatile,2.0
147,1.0,1,0.86,0.45,780,volatile,2.0
148,0.0,0,0.92,0.83,389,volatile,2.0
149,1.0,1,0.16,0.84,1377,volatile,2.0
150,0.0,0,0.34,0.89,560,volatile,2.0
151,1.0,1,0.35,0.75,965,volatile,2.0
152,1.0,1,0.92,0.68,1034,volatile,2.0
153,0.0,1,0.25,0.13,857,volatile,2.0
154,1.0,1,0.77,0.74,715,volatile,2.0
155,1.0,1,0.13,0.62,844,volatile,2.0
156,1.0,0,0.65,0.73,1917,volatile,2.0
157,1.0,0,0.37,0.95,1225,volatile,2.0
158,0.0,0,0.96,0.63,2994,volatile,2.0
159,1.0,1,0.39,0.47,793,volatile,2.0
160,0.0,1,0.59,0.49,1206,volatile,2.0
161,1.0,1,0.43,0.87,641,volatile,2.0
162,0.0,1,0.04,0.82,1962,volatile,2.0
163,0.0,1,0.27,0.61,904,volatile,2.0
164,1.0,1,0.36,0.57,293,volatile,2.0
165,0.0,1,0.25,0.67,439,volatile,2.0
166,0.0,1,0.83,0.51,599,volatile,2.0
167,1.0,1,0.38,0.87,639,volatile,2.0
168,1.0,1,0.78,0.3,2077,volatile,2.0
169,1.0,1,0.95,0.84,819,volatile,2.0
170,1.0,0,0.93,0.68,653,volatile,2.0
171,1.0,0,0.54,0.3,658,volatile,2.0
172,0.0,0,0.72,0.91,830,volatile,2.0
173,1.0,1,0.02,0.77,1073,volatile,2.0
174,0.0,1,0.49,0.53,1013,volatile,2.0
175,1.0,0,0.56,0.51,3904,volatile,2.0
176,1.0,0,0.54,0.49,546,volatile,2.0
177,0.0,0,0.51,0.85,823,volatile,2.0
178,0.0,0,0.06,0.88,775,volatile,2.0
179,0.0,0,0.84,0.93,662,volatile,2.0
