,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,1125,volatile,0.0
1,0.0,0,-0.76,-0.69,1449,volatile,0.0
2,1.0,0,-0.73,-0.52,923,volatile,0.0
3,1.0,0,-0.41,-0.43,906,volatile,0.0
4,1.0,1,-0.25,-0.34,764,volatile,0.0
5,0.0,0,-0.34,-0.48,1415,volatile,0.0
6,1.0,0,-0.3,-0.35,1027,volatile,0.0
7,1.0,0,-0.91,-0.42,718,volatile,0.0
8,1.0,0,-0.7,-0.44,1015,volatile,0.0
9,1.0,1,-0.64,-0.5,822,volatile,0.0
10,1.0,0,-0.28,-0.19,862,volatile,0.0
11,1.0,0,-0.02,-0.59,681,volatile,0.0
12,1.0,0,-0.2,-0.09,840,volatile,0.0
13,1.0,0,-0.32,-0.76,764,volatile,0.0
14,1.0,0,-0.09,-0.98,687,volatile,0.0
15,1.0,1,-0.62,-0.56,716,volatile,0.0
16,1.0,0,-0.17,-0.16,981,volatile,0.0
17,1.0,0,-0.74,-0.07,1015,volatile,0.0
18,1.0,0,-0.02,-0.41,875,volatile,0.0
19,1.0,0,-0.7,-0.57,666,volatile,0.0
20,1.0,1,-0.24,-0.28,860,volatile,0.0
21,1.0,1,-0.59,-0.76,1169,volatile,0.0
22,0.0,0,-0.15,-0.19,1298,volatile,0.0
23,1.0,1,-0.5,-0.68,887,volatile,0.0
24,1.0,0,-0.43,-0.68,942,volatile,0.0
25,1.0,1,-0.14,-0.19,990,volatile,0.0
26,1.0,1,-0.12,-0.11,1048,volatile,0.0
27,1.0,1,-0.4,-0.36,973,volatile,0.0
28,1.0,1,-0.88,-0.64,2069,volatile,0.0
29,0.0,1,-0.51,-0.03,1295,volatile,0.0
30,0.0,1,-0.44,-0.76,832,volatile,0.0
31,0.0,1,-0.23,-0.92,785,volatile,0.0
32,0.0,1,-0.23,-0.14,972,volatile,0.0
33,0.0,1,-0.94,-0.77,960,volatile,0.0
34,0.0,0,-0.85,-0.2,823,volatile,0.0
35,1.0,1,-0.86,-0.63,857,volatile,0.0
36,0.0,0,-0.82,-0.56,889,volatile,0.0
37,0.0,0,-0.68,-0.63,1270,volatile,0.0
38,1.0,0,-0.65,-0.8,667,volatile,0.0
39,1.0,0,-0.25,-0.1,797,volatile,0.0
40,1.0,0,-0.67,-0.8,935,volatile,0.0
41,1.0,0,-0.82,-0.57,798,volatile,0.0
42,1.0,0,-0.88,-0.47,824,volatile,0.0
43,1.0,1,-0.55,-0.99,749,volatile,0.0
44,0.0,1,-0.74,-0.67,861,volatile,0.0
45,1.0,0,-0.18,-0.27,2305,volatile,0.0
46,1.0,0,-0.15,-0.67,841,volatile,0.0
47,1.0,0,-0.91,-0.32,852,volatile,0.0
48,1.0,0,-0.66,-0.48,791,volatile,0.0
49,1.0,0,-0.67,-0.66,890,volatile,0.0
50,0.0,1,-0.11,-0.72,1057,volatile,0.0
51,1.0,0,-0.36,-0.52,917,volatile,0.0
52,1.0,0,-0.44,-0.76,769,volatile,0.0
53,1.0,0,-0.04,-0.37,591,volatile,0.0
54,1.0,0,-0.86,-0.09,769,volatile,0.0
55,1.0,0,-0.99,-0.86,1239,volatile,0.0
56,0.0,0,-0.39,-0.9,946,volatile,0.0
57,1.0,1,-0.82,-0.85,963,volatile,0.0
58,0.0,0,-0.89,-0.99,798,volatile,0.0
59,1.0,1,-0.88,-0.02,931,volatile,0.0
60,1.0,0,-0.05,-0.33,1082,volatile,1.0
61,1.0,1,-0.35,-0.86,1224,volatile,1.0
62,0.0,1,-0.08,-0.13,732,volatile,1.0
63,0.0,1,-0.78,-0.68,1441,volatile,1.0
64,0.0,1,-0.05,-0.15,1397,volatile,1.0
65,0.0,1,-0.62,-0.42,1136,volatile,1.0
66,0.0,0,-0.95,-0.51,981,volatile,1.0
67,1.0,0,-0.59,-0.95,837,volatile,1.0
68,1.0,0,-0.14,-0.98,771,volatile,1.0
69,1.0,1,-0.05,-0.84,1127,volatile,1.0
70,1.0,1,-0.38,-0.5,1494,volatile,1.0
71,0.0,1,-0.45,-0.59,734,volatile,1.0
