,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1851,stable,0.0
1,0.0,1,-0.66,-0.12,899,stable,0.0
2,0.0,1,-0.98,-0.02,866,stable,0.0
3,0.0,0,-0.57,-0.95,811,stable,0.0
4,1.0,1,-0.28,-0.08,713,stable,0.0
5,0.0,1,-0.3,-0.33,730,stable,0.0
6,0.0,1,-0.27,-0.24,969,stable,0.0
7,0.0,0,-0.58,-0.43,1045,stable,0.0
8,1.0,1,-0.72,-0.47,609,stable,0.0
9,1.0,0,-0.45,-0.44,2364,stable,0.0
10,1.0,1,-0.69,-0.26,2518,stable,0.0
11,1.0,1,-0.06,-0.41,1101,stable,0.0
12,0.0,0,-0.88,-0.34,1444,stable,0.0
13,0.0,0,-0.73,-0.2,1446,stable,0.0
14,0.0,1,-0.6,-0.25,984,stable,0.0
15,0.0,0,-0.98,-0.06,2957,stable,0.0
16,1.0,0,-0.48,-0.39,2338,stable,0.0
17,0.0,1,-0.35,-0.95,1004,stable,0.0
18,0.0,1,-0.67,-0.85,1179,stable,0.0
19,1.0,1,-0.54,-0.22,1204,stable,0.0
20,0.0,0,-0.23,-0.9,1435,stable,0.0
21,1.0,1,-0.98,-0.41,1074,stable,0.0
22,1.0,1,-0.58,-0.8,3372,stable,0.0
23,1.0,0,-0.52,-0.85,1055,stable,0.0
24,0.0,0,-0.83,-0.15,1308,stable,0.0
25,1.0,1,-0.18,-0.16,897,stable,0.0
26,0.0,1,-0.56,-0.7,1321,stable,0.0
27,1.0,1,-0.59,-0.95,1044,stable,0.0
28,0.0,1,-0.68,-0.18,1708,stable,0.0
29,1.0,1,-0.3,-0.16,2409,stable,0.0
30,1.0,0,-0.86,-0.37,1158,stable,0.0
31,0.0,1,-0.47,-0.44,1775,stable,0.0
32,1.0,1,-0.03,-0.91,2760,stable,0.0
33,1.0,0,-0.6,-0.1,1909,stable,0.0
34,1.0,1,-0.54,-0.84,2209,stable,0.0
35,0.0,1,-0.34,-0.95,907,stable,0.0
36,0.0,0,-0.96,-0.28,1878,stable,0.0
37,1.0,1,-0.83,-0.94,1463,stable,0.0
38,0.0,1,-0.23,-0.86,738,stable,0.0
39,1.0,1,-0.99,-0.2,1714,stable,0.0
40,0.0,1,-0.29,-0.91,870,stable,0.0
41,1.0,0,-0.88,-0.64,1297,stable,0.0
42,1.0,1,-0.84,-0.8,1383,stable,0.0
43,1.0,0,-0.61,-0.88,1100,stable,0.0
44,0.0,1,-0.23,-0.77,1205,stable,0.0
45,0.0,1,-0.87,-0.54,2232,stable,0.0
46,1.0,1,-0.25,-0.9,1861,stable,0.0
47,1.0,0,-0.71,-0.44,939,stable,0.0
48,1.0,1,-0.42,-0.52,1450,stable,0.0
49,0.0,1,-0.39,-0.94,1325,stable,0.0
50,1.0,1,-0.39,-0.24,1574,stable,0.0
51,1.0,0,-0.2,-0.1,1363,stable,0.0
52,1.0,0,-0.85,-0.43,2903,stable,0.0
53,1.0,0,-0.77,-0.02,1204,stable,0.0
54,1.0,1,-0.54,-0.87,3867,stable,0.0
55,0.0,1,-0.56,-0.57,1098,stable,0.0
56,0.0,1,-0.5,-0.79,1300,stable,0.0
57,0.0,1,-0.04,-0.88,1045,stable,0.0
58,1.0,0,-0.4,-0.38,4079,stable,0.0
59,0.0,1,-0.47,-0.86,1201,stable,0.0
60,0.0,1,-0.15,-0.49,1133,stable,1.0
61,0.0,1,-0.17,-0.39,1006,stable,1.0
62,0.0,0,-0.76,-0.97,997,stable,1.0
63,1.0,1,-0.73,-0.14,810,stable,1.0
64,1.0,1,-0.67,-0.29,895,stable,1.0
65,0.0,1,-0.48,-0.39,977,stable,1.0
66,0.0,1,-0.3,-0.87,1645,stable,1.0
67,1.0,0,-0.13,-0.37,4070,stable,1.0
68,0.0,1,-0.66,-0.59,2221,stable,1.0
69,1.0,1,-0.2,-0.77,1921,stable,1.0
70,1.0,1,-0.39,-0.28,1156,stable,1.0
71,1.0,1,-0.61,-0.55,1159,stable,1.0
72,0.0,1,-0.62,-0.02,1352,stable,1.0
73,0.0,0,-0.5,-0.8,1485,stable,1.0
74,0.0,0,-0.6,-0.07,859,stable,1.0
75,1.0,0,-0.76,-0.52,1079,stable,1.0
76,0.0,1,-0.49,-0.14,1357,stable,1.0
77,1.0,1,-0.46,-0.36,1529,stable,1.0
78,1.0,1,-0.84,-0.29,868,stable,1.0
79,0.0,1,-0.44,-0.47,842,stable,1.0
80,0.0,1,-0.73,-0.44,2062,stable,1.0
81,0.0,1,-0.3,-0.95,1118,stable,1.0
82,1.0,0,-0.8,-0.39,1784,stable,1.0
83,0.0,1,-0.67,-0.61,1658,stable,1.0
84,0.0,1,-0.95,-0.61,1404,stable,1.0
85,0.0,1,-0.65,-0.19,1524,stable,1.0
86,0.0,1,-0.72,-0.33,907,stable,1.0
87,1.0,0,-0.87,-0.17,933,stable,1.0
88,0.0,1,-0.65,-0.53,1030,stable,1.0
89,0.0,1,-0.38,-0.76,1662,stable,1.0
90,0.0,1,-0.41,-0.2,1974,volatile,1.0
91,1.0,0,-0.76,-0.69,1857,volatile,1.0
92,1.0,0,-0.73,-0.52,1061,volatile,1.0
93,1.0,0,-0.41,-0.43,1285,volatile,1.0
94,1.0,1,-0.25,-0.34,850,volatile,1.0
95,0.0,0,-0.34,-0.48,877,volatile,1.0
96,1.0,0,-0.3,-0.35,898,volatile,1.0
97,0.0,0,-0.91,-0.42,1128,volatile,1.0
98,0.0,0,-0.7,-0.44,979,volatile,1.0
99,1.0,1,-0.64,-0.5,1357,volatile,1.0
100,0.0,0,-0.28,-0.19,779,volatile,1.0
101,1.0,0,-0.02,-0.59,784,volatile,1.0
102,1.0,0,-0.2,-0.09,861,volatile,1.0
103,1.0,0,-0.32,-0.76,954,volatile,1.0
104,1.0,0,-0.09,-0.98,798,volatile,1.0
105,0.0,1,-0.62,-0.56,1567,volatile,1.0
106,1.0,0,-0.17,-0.16,1061,volatile,1.0
107,0.0,0,-0.74,-0.07,884,volatile,1.0
108,0.0,0,-0.02,-0.41,1124,volatile,1.0
109,1.0,0,-0.7,-0.57,1036,volatile,1.0
110,0.0,1,-0.24,-0.28,1634,volatile,1.0
111,0.0,1,-0.59,-0.76,1070,volatile,1.0
112,0.0,0,-0.15,-0.19,799,volatile,1.0
113,1.0,1,-0.5,-0.68,717,volatile,1.0
114,0.0,0,-0.43,-0.68,1451,volatile,1.0
115,0.0,1,-0.14,-0.19,1251,volatile,1.0
116,0.0,1,-0.12,-0.11,1090,volatile,1.0
117,1.0,1,-0.4,-0.36,1061,volatile,1.0
118,0.0,1,-0.88,-0.64,786,volatile,1.0
119,1.0,1,-0.51,-0.03,1478,volatile,1.0
120,0.0,1,-0.44,-0.76,1467,volatile,2.0
121,0.0,1,-0.23,-0.92,769,volatile,2.0
122,1.0,1,-0.23,-0.14,1289,volatile,2.0
123,0.0,1,-0.94,-0.77,1065,volatile,2.0
124,1.0,0,-0.85,-0.2,1033,volatile,2.0
125,1.0,1,-0.86,-0.63,1004,volatile,2.0
126,1.0,0,-0.82,-0.56,916,volatile,2.0
127,1.0,0,-0.68,-0.63,1016,volatile,2.0
128,0.0,0,-0.65,-0.8,967,volatile,2.0
129,1.0,0,-0.25,-0.1,1337,volatile,2.0
130,0.0,0,-0.67,-0.8,1102,volatile,2.0
131,1.0,0,-0.82,-0.57,1058,volatile,2.0
132,1.0,0,-0.88,-0.47,921,volatile,2.0
133,1.0,1,-0.55,-0.99,1546,volatile,2.0
134,0.0,1,-0.74,-0.67,810,volatile,2.0
135,0.0,0,-0.18,-0.27,1969,volatile,2.0
136,1.0,0,-0.15,-0.67,690,volatile,2.0
137,0.0,0,-0.91,-0.32,1677,volatile,2.0
138,0.0,0,-0.66,-0.48,1082,volatile,2.0
139,1.0,0,-0.67,-0.66,1325,volatile,2.0
140,1.0,1,-0.11,-0.72,1508,volatile,2.0
141,1.0,0,-0.36,-0.52,1429,volatile,2.0
142,0.0,0,-0.44,-0.76,1510,volatile,2.0
143,0.0,0,-0.04,-0.37,1170,volatile,2.0
144,0.0,0,-0.86,-0.09,638,volatile,2.0
145,1.0,0,-0.99,-0.86,741,volatile,2.0
146,0.0,0,-0.39,-0.9,1022,volatile,2.0
147,1.0,1,-0.82,-0.85,1886,volatile,2.0
148,0.0,0,-0.89,-0.99,765,volatile,2.0
149,1.0,1,-0.88,-0.02,836,volatile,2.0
150,1.0,0,-0.05,-0.33,1022,volatile,2.0
151,1.0,1,-0.35,-0.86,1500,volatile,2.0
152,0.0,1,-0.08,-0.13,949,volatile,2.0
153,0.0,1,-0.78,-0.68,1048,volatile,2.0
154,0.0,1,-0.05,-0.15,1007,volatile,2.0
155,0.0,1,-0.62,-0.42,832,volatile,2.0
156,0.0,0,-0.95,-0.51,1307,volatile,2.0
157,0.0,0,-0.59,-0.95,1276,volatile,2.0
158,1.0,0,-0.14,-0.98,1174,volatile,2.0
159,1.0,1,-0.05,-0.84,889,volatile,2.0
160,1.0,1,-0.38,-0.5,1358,volatile,2.0
161,0.0,1,-0.45,-0.59,770,volatile,2.0
162,0.0,1,-0.32,-0.72,1352,volatile,2.0
163,1.0,1,-0.02,-0.91,727,volatile,2.0
164,1.0,1,-0.72,-0.99,1878,volatile,2.0
165,1.0,1,-0.61,-0.43,888,volatile,2.0
166,0.0,1,-0.24,-0.79,1370,volatile,2.0
167,0.0,1,-0.48,-0.15,1763,volatile,2.0
168,0.0,1,-0.5,-0.61,3923,volatile,2.0
169,0.0,1,-0.83,-0.34,1402,volatile,2.0
170,1.0,0,-0.84,-0.92,4657,volatile,2.0
171,1.0,0,-0.71,-0.05,958,volatile,2.0
172,0.0,0,-0.5,-0.72,1469,volatile,2.0
173,1.0,1,-0.26,-0.29,659,volatile,2.0
174,1.0,1,-0.37,-0.63,1015,volatile,2.0
175,0.0,0,-0.47,-0.12,940,volatile,2.0
176,0.0,0,-0.36,-0.81,1437,volatile,2.0
177,1.0,0,-0.87,-0.59,1533,volatile,2.0
178,0.0,0,-0.26,-0.75,1322,volatile,2.0
179,1.0,0,-0.17,-0.19,1788,volatile,2.0
