,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1072,stable,0.0
1,0.0,1,-0.66,-0.12,574,stable,0.0
2,0.0,1,-0.98,-0.02,672,stable,0.0
3,1.0,0,-0.57,-0.95,1597,stable,0.0
4,0.0,1,-0.28,-0.08,1360,stable,0.0
5,1.0,1,-0.3,-0.33,1117,stable,0.0
6,0.0,1,-0.27,-0.24,1063,stable,0.0
7,0.0,0,-0.58,-0.43,1144,stable,0.0
8,0.0,1,-0.72,-0.47,894,stable,0.0
9,1.0,0,-0.45,-0.44,1121,stable,0.0
10,0.0,1,-0.69,-0.26,1262,stable,0.0
11,1.0,1,-0.06,-0.41,927,stable,0.0
12,0.0,0,-0.88,-0.34,862,stable,0.0
13,0.0,0,-0.73,-0.2,615,stable,0.0
14,0.0,1,-0.6,-0.25,952,stable,0.0
15,0.0,0,-0.98,-0.06,655,stable,0.0
16,1.0,0,-0.48,-0.39,640,stable,0.0
17,1.0,1,-0.35,-0.95,688,stable,0.0
18,0.0,1,-0.67,-0.85,576,stable,0.0
19,1.0,1,-0.54,-0.22,584,stable,0.0
20,0.0,0,-0.23,-0.9,528,stable,0.0
21,0.0,1,-0.98,-0.41,863,stable,0.0
22,0.0,1,-0.58,-0.8,856,stable,0.0
23,1.0,0,-0.52,-0.85,420,stable,0.0
24,1.0,0,-0.83,-0.15,432,stable,0.0
25,0.0,1,-0.18,-0.16,577,stable,0.0
26,1.0,1,-0.56,-0.7,598,stable,0.0
27,0.0,1,-0.59,-0.95,720,stable,0.0
28,0.0,1,-0.68,-0.18,616,stable,0.0
29,0.0,1,-0.3,-0.16,601,stable,0.0
30,1.0,0,-0.86,-0.37,471,stable,0.0
31,1.0,1,-0.47,-0.44,528,stable,0.0
32,1.0,1,-0.03,-0.91,535,stable,0.0
33,0.0,0,-0.6,-0.1,448,stable,0.0
34,1.0,1,-0.54,-0.84,841,stable,0.0
35,1.0,1,-0.34,-0.95,448,stable,0.0
36,0.0,0,-0.96,-0.28,481,stable,0.0
37,0.0,1,-0.83,-0.94,1229,stable,0.0
38,1.0,1,-0.23,-0.86,551,stable,0.0
39,0.0,1,-0.99,-0.2,663,stable,0.0
40,1.0,1,-0.29,-0.91,480,stable,0.0
41,0.0,0,-0.88,-0.64,457,stable,0.0
42,0.0,1,-0.84,-0.8,737,stable,0.0
43,1.0,0,-0.61,-0.88,1057,stable,0.0
44,0.0,1,-0.23,-0.77,528,stable,0.0
45,1.0,1,-0.87,-0.54,866,stable,0.0
46,1.0,1,-0.25,-0.9,407,stable,0.0
47,0.0,0,-0.71,-0.44,529,stable,0.0
48,1.0,1,-0.42,-0.52,560,stable,0.0
49,1.0,1,-0.39,-0.94,511,stable,0.0
50,0.0,1,-0.39,-0.24,641,stable,0.0
51,1.0,0,-0.2,-0.1,431,stable,0.0
52,0.0,0,-0.85,-0.43,833,stable,0.0
53,0.0,0,-0.77,-0.02,726,stable,0.0
54,1.0,1,-0.54,-0.87,848,stable,0.0
55,1.0,1,-0.56,-0.57,745,stable,0.0
56,1.0,1,-0.5,-0.79,400,stable,0.0
57,0.0,1,-0.04,-0.88,408,stable,0.0
58,0.0,0,-0.4,-0.38,391,stable,0.0
59,1.0,1,-0.47,-0.86,816,stable,0.0
60,0.0,1,-0.15,-0.49,400,stable,1.0
61,1.0,1,-0.17,-0.39,850,stable,1.0
62,1.0,0,-0.76,-0.97,1144,stable,1.0
63,0.0,1,-0.73,-0.14,785,stable,1.0
64,0.0,1,-0.67,-0.29,953,stable,1.0
65,0.0,1,-0.48,-0.39,801,stable,1.0
66,1.0,1,-0.3,-0.87,692,stable,1.0
67,1.0,0,-0.13,-0.37,464,stable,1.0
68,0.0,1,-0.66,-0.59,601,stable,1.0
69,1.0,1,-0.2,-0.77,512,stable,1.0
70,1.0,1,-0.39,-0.28,743,stable,1.0
71,0.0,1,-0.61,-0.55,667,stable,1.0
72,0.0,1,-0.62,-0.02,735,stable,1.0
73,0.0,0,-0.5,-0.8,655,stable,1.0
74,0.0,0,-0.6,-0.07,745,stable,1.0
75,0.0,0,-0.76,-0.52,1400,stable,1.0
76,1.0,1,-0.49,-0.14,672,stable,1.0
77,0.0,1,-0.46,-0.36,744,stable,1.0
78,1.0,1,-0.84,-0.29,599,stable,1.0
79,0.0,1,-0.44,-0.47,583,stable,1.0
80,0.0,1,-0.73,-0.44,697,stable,1.0
81,1.0,1,-0.3,-0.95,793,stable,1.0
82,0.0,0,-0.8,-0.39,728,stable,1.0
83,0.0,1,-0.67,-0.61,728,stable,1.0
84,1.0,1,-0.95,-0.61,568,stable,1.0
85,0.0,1,-0.65,-0.19,721,stable,1.0
86,0.0,1,-0.72,-0.33,689,stable,1.0
87,0.0,0,-0.87,-0.17,625,stable,1.0
88,0.0,1,-0.65,-0.53,737,stable,1.0
89,1.0,1,-0.38,-0.76,945,stable,1.0
90,0.0,1,-0.41,-0.2,1261,volatile,1.0
91,1.0,0,-0.76,-0.69,767,volatile,1.0
92,1.0,0,-0.73,-0.52,465,volatile,1.0
93,1.0,0,-0.41,-0.43,481,volatile,1.0
94,1.0,1,-0.25,-0.34,392,volatile,1.0
95,1.0,0,-0.34,-0.48,591,volatile,1.0
96,0.0,0,-0.3,-0.35,432,volatile,1.0
97,0.0,0,-0.91,-0.42,408,volatile,1.0
98,0.0,0,-0.7,-0.44,736,volatile,1.0
99,0.0,1,-0.64,-0.5,793,volatile,1.0
100,0.0,0,-0.28,-0.19,736,volatile,1.0
101,1.0,0,-0.02,-0.59,736,volatile,1.0
102,0.0,0,-0.2,-0.09,681,volatile,1.0
103,1.0,0,-0.32,-0.76,793,volatile,1.0
104,1.0,0,-0.09,-0.98,694,volatile,1.0
105,1.0,1,-0.62,-0.56,689,volatile,1.0
106,0.0,0,-0.17,-0.16,657,volatile,1.0
107,0.0,0,-0.74,-0.07,649,volatile,1.0
108,1.0,0,-0.02,-0.41,608,volatile,1.0
109,1.0,0,-0.7,-0.57,1248,volatile,1.0
110,1.0,1,-0.24,-0.28,609,volatile,1.0
111,1.0,1,-0.59,-0.76,854,volatile,1.0
112,0.0,0,-0.15,-0.19,600,volatile,1.0
113,1.0,1,-0.5,-0.68,872,volatile,1.0
114,1.0,0,-0.43,-0.68,920,volatile,1.0
115,0.0,1,-0.14,-0.19,713,volatile,1.0
116,0.0,1,-0.12,-0.11,520,volatile,1.0
117,0.0,1,-0.4,-0.36,616,volatile,1.0
118,0.0,1,-0.88,-0.64,425,volatile,1.0
119,0.0,1,-0.51,-0.03,408,volatile,1.0
120,0.0,1,-0.44,-0.76,385,volatile,2.0
121,1.0,1,-0.23,-0.92,449,volatile,2.0
122,0.0,1,-0.23,-0.14,488,volatile,2.0
123,1.0,1,-0.94,-0.77,432,volatile,2.0
124,1.0,0,-0.85,-0.2,456,volatile,2.0
125,0.0,1,-0.86,-0.63,776,volatile,2.0
126,0.0,0,-0.82,-0.56,832,volatile,2.0
127,1.0,0,-0.68,-0.63,817,volatile,2.0
128,1.0,0,-0.65,-0.8,711,volatile,2.0
129,0.0,0,-0.25,-0.1,544,volatile,2.0
130,0.0,0,-0.67,-0.8,1144,volatile,2.0
131,0.0,0,-0.82,-0.57,752,volatile,2.0
132,1.0,0,-0.88,-0.47,404,volatile,2.0
133,1.0,1,-0.55,-0.99,657,volatile,2.0
134,0.0,1,-0.74,-0.67,593,volatile,2.0
135,0.0,0,-0.18,-0.27,1203,volatile,2.0
136,0.0,0,-0.15,-0.67,416,volatile,2.0
137,,0,-0.91,-0.32,6252,volatile,2.0
138,0.0,0,-0.66,-0.48,854,volatile,2.0
139,0.0,0,-0.67,-0.66,751,volatile,2.0
140,1.0,1,-0.11,-0.72,601,volatile,2.0
141,0.0,0,-0.36,-0.52,833,volatile,2.0
142,1.0,0,-0.44,-0.76,735,volatile,2.0
143,1.0,0,-0.04,-0.37,673,volatile,2.0
144,0.0,0,-0.86,-0.09,561,volatile,2.0
145,0.0,0,-0.99,-0.86,992,volatile,2.0
146,0.0,0,-0.39,-0.9,672,volatile,2.0
147,1.0,1,-0.82,-0.85,1081,volatile,2.0
148,1.0,0,-0.89,-0.99,713,volatile,2.0
149,0.0,1,-0.88,-0.02,568,volatile,2.0
150,1.0,0,-0.05,-0.33,650,volatile,2.0
151,1.0,1,-0.35,-0.86,552,volatile,2.0
152,1.0,1,-0.08,-0.13,528,volatile,2.0
153,0.0,1,-0.78,-0.68,727,volatile,2.0
154,1.0,1,-0.05,-0.15,520,volatile,2.0
155,1.0,1,-0.62,-0.42,616,volatile,2.0
156,0.0,0,-0.95,-0.51,688,volatile,2.0
157,1.0,0,-0.59,-0.95,704,volatile,2.0
158,1.0,0,-0.14,-0.98,704,volatile,2.0
159,1.0,1,-0.05,-0.84,617,volatile,2.0
160,1.0,1,-0.38,-0.5,1402,volatile,2.0
161,1.0,1,-0.45,-0.59,863,volatile,2.0
162,0.0,1,-0.32,-0.72,1144,volatile,2.0
163,0.0,1,-0.02,-0.91,472,volatile,2.0
164,0.0,1,-0.72,-0.99,528,volatile,2.0
165,0.0,1,-0.61,-0.43,576,volatile,2.0
166,0.0,1,-0.24,-0.79,503,volatile,2.0
167,0.0,1,-0.48,-0.15,489,volatile,2.0
168,0.0,1,-0.5,-0.61,488,volatile,2.0
169,0.0,1,-0.83,-0.34,473,volatile,2.0
170,0.0,0,-0.84,-0.92,471,volatile,2.0
171,0.0,0,-0.71,-0.05,457,volatile,2.0
172,0.0,0,-0.5,-0.72,736,volatile,2.0
173,1.0,1,-0.26,-0.29,546,volatile,2.0
174,0.0,1,-0.37,-0.63,521,volatile,2.0
175,0.0,0,-0.47,-0.12,605,volatile,2.0
176,0.0,0,-0.36,-0.81,520,volatile,2.0
177,1.0,0,-0.87,-0.59,870,volatile,2.0
178,1.0,0,-0.26,-0.75,792,volatile,2.0
179,1.0,0,-0.17,-0.19,835,volatile,2.0
