,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,1769,volatile,0.0
1,0.0,0,-0.76,-0.69,664,volatile,0.0
2,0.0,0,-0.73,-0.52,729,volatile,0.0
3,1.0,0,-0.41,-0.43,1164,volatile,0.0
4,1.0,1,-0.25,-0.34,695,volatile,0.0
5,0.0,0,-0.34,-0.48,1862,volatile,0.0
6,1.0,0,-0.3,-0.35,1912,volatile,0.0
7,1.0,0,-0.91,-0.42,967,volatile,0.0
8,1.0,0,-0.7,-0.44,760,volatile,0.0
9,0.0,1,-0.64,-0.5,776,volatile,0.0
10,0.0,0,-0.28,-0.19,2138,volatile,0.0
11,1.0,0,-0.02,-0.59,738,volatile,0.0
12,1.0,0,-0.2,-0.09,907,volatile,0.0
13,1.0,0,-0.32,-0.76,893,volatile,0.0
14,1.0,0,-0.09,-0.98,780,volatile,0.0
15,1.0,1,-0.62,-0.56,2240,volatile,0.0
16,0.0,0,-0.17,-0.16,2258,volatile,0.0
17,0.0,0,-0.74,-0.07,797,volatile,0.0
18,1.0,0,-0.02,-0.41,1610,volatile,0.0
19,1.0,0,-0.7,-0.57,775,volatile,0.0
20,1.0,1,-0.24,-0.28,934,volatile,0.0
21,1.0,1,-0.59,-0.76,1064,volatile,0.0
22,0.0,0,-0.15,-0.19,800,volatile,0.0
23,1.0,1,-0.5,-0.68,521,volatile,0.0
24,1.0,0,-0.43,-0.68,1577,volatile,0.0
25,1.0,1,-0.14,-0.19,1073,volatile,0.0
26,1.0,1,-0.12,-0.11,1334,volatile,0.0
27,0.0,1,-0.4,-0.36,2004,volatile,0.0
28,0.0,1,-0.88,-0.64,866,volatile,0.0
29,1.0,1,-0.51,-0.03,1733,volatile,0.0
30,0.0,1,-0.44,-0.76,2005,volatile,0.0
31,1.0,1,-0.23,-0.92,1315,volatile,0.0
32,0.0,1,-0.23,-0.14,831,volatile,0.0
33,0.0,1,-0.94,-0.77,1127,volatile,0.0
34,0.0,0,-0.85,-0.2,765,volatile,0.0
35,1.0,1,-0.86,-0.63,1462,volatile,0.0
36,0.0,0,-0.82,-0.56,1324,volatile,0.0
37,1.0,0,-0.68,-0.63,1737,volatile,0.0
38,1.0,0,-0.65,-0.8,778,volatile,0.0
39,1.0,0,-0.25,-0.1,1228,volatile,0.0
40,1.0,0,-0.67,-0.8,1320,volatile,0.0
41,0.0,0,-0.82,-0.57,1642,volatile,0.0
42,1.0,0,-0.88,-0.47,2315,volatile,0.0
43,1.0,1,-0.55,-0.99,1236,volatile,0.0
44,0.0,1,-0.74,-0.67,854,volatile,0.0
45,0.0,0,-0.18,-0.27,2152,volatile,0.0
46,1.0,0,-0.15,-0.67,807,volatile,0.0
47,1.0,0,-0.91,-0.32,784,volatile,0.0
48,1.0,0,-0.66,-0.48,1235,volatile,0.0
49,1.0,0,-0.67,-0.66,1213,volatile,0.0
50,1.0,1,-0.11,-0.72,2102,volatile,0.0
51,0.0,0,-0.36,-0.52,1841,volatile,0.0
52,1.0,0,-0.44,-0.76,890,volatile,0.0
53,1.0,0,-0.04,-0.37,1124,volatile,0.0
54,1.0,0,-0.86,-0.09,1282,volatile,0.0
55,1.0,0,-0.99,-0.86,1267,volatile,0.0
56,1.0,0,-0.39,-0.9,1056,volatile,0.0
57,1.0,1,-0.82,-0.85,1155,volatile,0.0
58,0.0,0,-0.89,-0.99,1216,volatile,0.0
59,0.0,1,-0.88,-0.02,1190,volatile,0.0
