,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1167,volatile,0.0
1,0.0,0,-0.76,-0.69,880,volatile,0.0
2,0.0,0,-0.73,-0.52,875,volatile,0.0
3,1.0,0,-0.41,-0.43,757,volatile,0.0
4,1.0,1,-0.25,-0.34,660,volatile,0.0
5,1.0,0,-0.34,-0.48,1335,volatile,0.0
6,1.0,0,-0.3,-0.35,654,volatile,0.0
7,1.0,0,-0.91,-0.42,556,volatile,0.0
8,1.0,0,-0.7,-0.44,641,volatile,0.0
9,1.0,1,-0.64,-0.5,553,volatile,0.0
10,0.0,0,-0.28,-0.19,576,volatile,0.0
11,1.0,0,-0.02,-0.59,814,volatile,0.0
12,1.0,0,-0.2,-0.09,617,volatile,0.0
13,1.0,0,-0.32,-0.76,592,volatile,0.0
14,1.0,0,-0.09,-0.98,713,volatile,0.0
15,1.0,1,-0.62,-0.56,657,volatile,0.0
16,0.0,0,-0.17,-0.16,538,volatile,0.0
17,1.0,0,-0.74,-0.07,587,volatile,0.0
18,1.0,0,-0.02,-0.41,579,volatile,0.0
19,1.0,0,-0.7,-0.57,1112,volatile,0.0
20,1.0,1,-0.24,-0.28,812,volatile,0.0
21,0.0,1,-0.59,-0.76,705,volatile,0.0
22,0.0,0,-0.15,-0.19,656,volatile,0.0
23,1.0,1,-0.5,-0.68,742,volatile,0.0
24,0.0,0,-0.43,-0.68,644,volatile,0.0
25,0.0,1,-0.14,-0.19,953,volatile,0.0
26,1.0,1,-0.12,-0.11,714,volatile,0.0
27,0.0,1,-0.4,-0.36,848,volatile,0.0
28,0.0,1,-0.88,-0.64,648,volatile,0.0
29,0.0,1,-0.51,-0.03,535,volatile,0.0
30,0.0,1,-0.44,-0.76,615,volatile,0.0
31,0.0,1,-0.23,-0.92,588,volatile,0.0
32,0.0,1,-0.23,-0.14,841,volatile,0.0
33,0.0,1,-0.94,-0.77,517,volatile,0.0
34,0.0,0,-0.85,-0.2,553,volatile,0.0
35,1.0,1,-0.86,-0.63,606,volatile,0.0
36,1.0,0,-0.82,-0.56,723,volatile,0.0
37,1.0,0,-0.68,-0.63,691,volatile,0.0
38,1.0,0,-0.65,-0.8,575,volatile,0.0
39,1.0,0,-0.25,-0.1,1100,volatile,0.0
40,1.0,0,-0.67,-0.8,631,volatile,0.0
41,1.0,0,-0.82,-0.57,578,volatile,0.0
42,1.0,0,-0.88,-0.47,942,volatile,0.0
43,1.0,1,-0.55,-0.99,745,volatile,0.0
44,0.0,1,-0.74,-0.67,646,volatile,0.0
45,0.0,0,-0.18,-0.27,1653,volatile,0.0
46,1.0,0,-0.15,-0.67,591,volatile,0.0
47,1.0,0,-0.91,-0.32,648,volatile,0.0
48,1.0,0,-0.66,-0.48,596,volatile,0.0
49,1.0,0,-0.67,-0.66,708,volatile,0.0
50,1.0,1,-0.11,-0.72,674,volatile,0.0
51,0.0,0,-0.36,-0.52,756,volatile,0.0
52,1.0,0,-0.44,-0.76,602,volatile,0.0
53,1.0,0,-0.04,-0.37,697,volatile,0.0
54,1.0,0,-0.86,-0.09,670,volatile,0.0
55,1.0,0,-0.99,-0.86,652,volatile,0.0
56,1.0,0,-0.39,-0.9,674,volatile,0.0
57,1.0,1,-0.82,-0.85,600,volatile,0.0
58,0.0,0,-0.89,-0.99,682,volatile,0.0
59,1.0,1,-0.88,-0.02,589,volatile,0.0
60,1.0,0,-0.05,-0.33,1652,volatile,1.0
61,1.0,1,-0.35,-0.86,603,volatile,1.0
62,0.0,1,-0.08,-0.13,916,volatile,1.0
63,0.0,1,-0.78,-0.68,633,volatile,1.0
64,0.0,1,-0.05,-0.15,756,volatile,1.0
65,0.0,1,-0.62,-0.42,633,volatile,1.0
66,0.0,0,-0.95,-0.51,726,volatile,1.0
67,1.0,0,-0.59,-0.95,753,volatile,1.0
68,1.0,0,-0.14,-0.98,653,volatile,1.0
69,1.0,1,-0.05,-0.84,605,volatile,1.0
70,0.0,1,-0.38,-0.5,548,volatile,1.0
71,0.0,1,-0.45,-0.59,612,volatile,1.0
72,0.0,1,-0.32,-0.72,587,volatile,1.0
73,0.0,1,-0.02,-0.91,682,volatile,1.0
74,0.0,1,-0.72,-0.99,586,volatile,1.0
75,0.0,1,-0.61,-0.43,604,volatile,1.0
76,0.0,1,-0.24,-0.79,685,volatile,1.0
77,0.0,1,-0.48,-0.15,617,volatile,1.0
78,0.0,1,-0.5,-0.61,582,volatile,1.0
79,0.0,1,-0.83,-0.34,618,volatile,1.0
80,0.0,0,-0.84,-0.92,636,volatile,1.0
81,1.0,0,-0.71,-0.05,629,volatile,1.0
82,1.0,0,-0.5,-0.72,605,volatile,1.0
83,1.0,1,-0.26,-0.29,597,volatile,1.0
84,0.0,1,-0.37,-0.63,591,volatile,1.0
85,0.0,0,-0.47,-0.12,673,volatile,1.0
86,1.0,0,-0.36,-0.81,1017,volatile,1.0
87,1.0,0,-0.87,-0.59,627,volatile,1.0
88,1.0,0,-0.26,-0.75,563,volatile,1.0
89,1.0,0,-0.17,-0.19,558,volatile,1.0
90,0.0,1,-0.44,-0.37,1747,stable,1.0
91,0.0,1,-0.66,-0.12,588,stable,1.0
92,0.0,1,-0.98,-0.02,571,stable,1.0
93,0.0,0,-0.57,-0.95,571,stable,1.0
94,1.0,1,-0.28,-0.08,620,stable,1.0
95,0.0,1,-0.3,-0.33,761,stable,1.0
96,0.0,1,-0.27,-0.24,742,stable,1.0
97,0.0,0,-0.58,-0.43,650,stable,1.0
98,1.0,1,-0.72,-0.47,622,stable,1.0
99,0.0,0,-0.45,-0.44,690,stable,1.0
100,1.0,1,-0.69,-0.26,800,stable,1.0
101,1.0,1,-0.06,-0.41,840,stable,1.0
102,0.0,0,-0.88,-0.34,784,stable,1.0
103,0.0,0,-0.73,-0.2,1664,stable,1.0
104,1.0,1,-0.6,-0.25,580,stable,1.0
105,1.0,0,-0.98,-0.06,815,stable,1.0
106,1.0,0,-0.48,-0.39,572,stable,1.0
107,1.0,1,-0.35,-0.95,586,stable,1.0
108,1.0,1,-0.67,-0.85,808,stable,1.0
109,0.0,1,-0.54,-0.22,712,stable,1.0
110,0.0,0,-0.23,-0.9,608,stable,1.0
111,1.0,1,-0.98,-0.41,589,stable,1.0
112,0.0,1,-0.58,-0.8,731,stable,1.0
113,0.0,0,-0.52,-0.85,732,stable,1.0
114,1.0,0,-0.83,-0.15,565,stable,1.0
115,1.0,1,-0.18,-0.16,583,stable,1.0
116,0.0,1,-0.56,-0.7,777,stable,1.0
117,0.0,1,-0.59,-0.95,782,stable,1.0
118,0.0,1,-0.68,-0.18,742,stable,1.0
119,0.0,1,-0.3,-0.16,579,stable,1.0
120,0.0,0,-0.86,-0.37,725,stable,2.0
121,1.0,1,-0.47,-0.44,923,stable,2.0
122,0.0,1,-0.03,-0.91,713,stable,2.0
123,0.0,0,-0.6,-0.1,970,stable,2.0
124,1.0,1,-0.54,-0.84,614,stable,2.0
125,0.0,1,-0.34,-0.95,804,stable,2.0
126,0.0,0,-0.96,-0.28,655,stable,2.0
127,0.0,1,-0.83,-0.94,678,stable,2.0
128,0.0,1,-0.23,-0.86,601,stable,2.0
129,0.0,1,-0.99,-0.2,572,stable,2.0
130,0.0,1,-0.29,-0.91,739,stable,2.0
131,0.0,0,-0.88,-0.64,557,stable,2.0
132,1.0,1,-0.84,-0.8,550,stable,2.0
133,0.0,0,-0.61,-0.88,906,stable,2.0
134,0.0,1,-0.23,-0.77,641,stable,2.0
135,0.0,1,-0.87,-0.54,1304,stable,2.0
136,0.0,1,-0.25,-0.9,614,stable,2.0
137,0.0,0,-0.71,-0.44,591,stable,2.0
138,1.0,1,-0.42,-0.52,668,stable,2.0
139,0.0,1,-0.39,-0.94,616,stable,2.0
140,0.0,1,-0.39,-0.24,655,stable,2.0
141,0.0,0,-0.2,-0.1,1048,stable,2.0
142,1.0,0,-0.85,-0.43,571,stable,2.0
143,1.0,0,-0.77,-0.02,652,stable,2.0
144,1.0,1,-0.54,-0.87,603,stable,2.0
145,0.0,1,-0.56,-0.57,518,stable,2.0
146,0.0,1,-0.5,-0.79,691,stable,2.0
147,0.0,1,-0.04,-0.88,583,stable,2.0
148,0.0,0,-0.4,-0.38,567,stable,2.0
149,1.0,1,-0.47,-0.86,519,stable,2.0
150,0.0,1,-0.15,-0.49,692,stable,2.0
151,0.0,1,-0.17,-0.39,1053,stable,2.0
152,0.0,0,-0.76,-0.97,800,stable,2.0
153,0.0,1,-0.73,-0.14,1155,stable,2.0
154,0.0,1,-0.67,-0.29,570,stable,2.0
155,0.0,1,-0.48,-0.39,533,stable,2.0
156,0.0,1,-0.3,-0.87,753,stable,2.0
