,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,2185,volatile,0.0
1,0.0,0,-0.76,-0.69,1796,volatile,0.0
2,0.0,0,-0.73,-0.52,1131,volatile,0.0
3,1.0,0,-0.41,-0.43,1239,volatile,0.0
4,1.0,1,-0.25,-0.34,1719,volatile,0.0
5,1.0,0,-0.34,-0.48,1138,volatile,0.0
6,1.0,0,-0.3,-0.35,1205,volatile,0.0
7,0.0,0,-0.91,-0.42,1075,volatile,0.0
8,0.0,0,-0.7,-0.44,1210,volatile,0.0
9,0.0,1,-0.64,-0.5,1055,volatile,0.0
10,1.0,0,-0.28,-0.19,920,volatile,0.0
11,1.0,0,-0.02,-0.59,1067,volatile,0.0
12,0.0,0,-0.2,-0.09,1411,volatile,0.0
13,1.0,0,-0.32,-0.76,1037,volatile,0.0
14,1.0,0,-0.09,-0.98,789,volatile,0.0
15,0.0,1,-0.62,-0.56,1357,volatile,0.0
16,0.0,0,-0.17,-0.16,901,volatile,0.0
17,1.0,0,-0.74,-0.07,468,volatile,0.0
18,0.0,0,-0.02,-0.41,521,volatile,0.0
19,0.0,0,-0.7,-0.57,1644,volatile,0.0
20,1.0,1,-0.24,-0.28,1371,volatile,0.0
21,1.0,1,-0.59,-0.76,1159,volatile,0.0
22,0.0,0,-0.15,-0.19,907,volatile,0.0
23,1.0,1,-0.5,-0.68,2412,volatile,0.0
24,1.0,0,-0.43,-0.68,1013,volatile,0.0
25,0.0,1,-0.14,-0.19,844,volatile,0.0
26,0.0,1,-0.12,-0.11,1149,volatile,0.0
27,1.0,1,-0.4,-0.36,775,volatile,0.0
28,1.0,1,-0.88,-0.64,1267,volatile,0.0
29,1.0,1,-0.51,-0.03,907,volatile,0.0
30,1.0,1,-0.44,-0.76,930,volatile,0.0
31,1.0,1,-0.23,-0.92,1819,volatile,0.0
32,1.0,1,-0.23,-0.14,524,volatile,0.0
33,1.0,1,-0.94,-0.77,892,volatile,0.0
34,1.0,0,-0.85,-0.2,682,volatile,0.0
35,0.0,1,-0.86,-0.63,1043,volatile,0.0
36,1.0,0,-0.82,-0.56,1196,volatile,0.0
37,0.0,0,-0.68,-0.63,1627,volatile,0.0
38,1.0,0,-0.65,-0.8,994,volatile,0.0
39,0.0,0,-0.25,-0.1,947,volatile,0.0
40,1.0,0,-0.67,-0.8,980,volatile,0.0
41,0.0,0,-0.82,-0.57,1115,volatile,0.0
42,0.0,0,-0.88,-0.47,1203,volatile,0.0
43,1.0,1,-0.55,-0.99,1604,volatile,0.0
44,0.0,1,-0.74,-0.67,1203,volatile,0.0
45,1.0,0,-0.18,-0.27,2008,volatile,0.0
46,1.0,0,-0.15,-0.67,499,volatile,0.0
47,0.0,0,-0.91,-0.32,1379,volatile,0.0
48,0.0,0,-0.66,-0.48,1348,volatile,0.0
49,1.0,0,-0.67,-0.66,1283,volatile,0.0
50,1.0,1,-0.11,-0.72,907,volatile,0.0
51,1.0,0,-0.36,-0.52,1451,volatile,0.0
52,1.0,0,-0.44,-0.76,1363,volatile,0.0
53,1.0,0,-0.04,-0.37,731,volatile,0.0
54,0.0,0,-0.86,-0.09,1115,volatile,0.0
55,0.0,0,-0.99,-0.86,2306,volatile,0.0
56,1.0,0,-0.39,-0.9,883,volatile,0.0
57,1.0,1,-0.82,-0.85,1236,volatile,0.0
58,1.0,0,-0.89,-0.99,1275,volatile,0.0
59,0.0,1,-0.88,-0.02,1066,volatile,0.0
60,1.0,0,-0.05,-0.33,971,volatile,1.0
61,1.0,1,-0.35,-0.86,1994,volatile,1.0
62,1.0,1,-0.08,-0.13,1243,volatile,1.0
63,0.0,1,-0.78,-0.68,1322,volatile,1.0
64,1.0,1,-0.05,-0.15,987,volatile,1.0
65,0.0,1,-0.62,-0.42,1211,volatile,1.0
66,0.0,0,-0.95,-0.51,1043,volatile,1.0
67,1.0,0,-0.59,-0.95,1003,volatile,1.0
68,1.0,0,-0.14,-0.98,1067,volatile,1.0
69,1.0,1,-0.05,-0.84,860,volatile,1.0
70,1.0,1,-0.38,-0.5,1267,volatile,1.0
71,1.0,1,-0.45,-0.59,1123,volatile,1.0
72,1.0,1,-0.32,-0.72,2787,volatile,1.0
73,1.0,1,-0.02,-0.91,947,volatile,1.0
74,1.0,1,-0.72,-0.99,1034,volatile,1.0
75,0.0,1,-0.61,-0.43,1388,volatile,1.0
76,1.0,1,-0.24,-0.79,1018,volatile,1.0
77,0.0,1,-0.48,-0.15,1147,volatile,1.0
78,1.0,1,-0.5,-0.61,1123,volatile,1.0
79,0.0,1,-0.83,-0.34,1572,volatile,1.0
80,1.0,0,-0.84,-0.92,1555,volatile,1.0
81,0.0,0,-0.71,-0.05,1364,volatile,1.0
82,1.0,0,-0.5,-0.72,1338,volatile,1.0
83,1.0,1,-0.26,-0.29,1059,volatile,1.0
84,1.0,1,-0.37,-0.63,1138,volatile,1.0
85,1.0,0,-0.47,-0.12,1180,volatile,1.0
86,1.0,0,-0.36,-0.81,1219,volatile,1.0
87,0.0,0,-0.87,-0.59,1619,volatile,1.0
88,1.0,0,-0.26,-0.75,875,volatile,1.0
89,0.0,0,-0.17,-0.19,762,volatile,1.0
90,0.0,1,-0.44,-0.37,2695,stable,1.0
91,0.0,1,-0.66,-0.12,1179,stable,1.0
92,0.0,1,-0.98,-0.02,907,stable,1.0
93,1.0,0,-0.57,-0.95,1308,stable,1.0
94,0.0,1,-0.28,-0.08,1475,stable,1.0
95,1.0,1,-0.3,-0.33,1227,stable,1.0
96,1.0,1,-0.27,-0.24,883,stable,1.0
97,0.0,0,-0.58,-0.43,1228,stable,1.0
98,0.0,1,-0.72,-0.47,1395,stable,1.0
99,0.0,0,-0.45,-0.44,1218,stable,1.0
100,0.0,1,-0.69,-0.26,1220,stable,1.0
101,1.0,1,-0.06,-0.41,827,stable,1.0
102,0.0,0,-0.88,-0.34,1011,stable,1.0
103,0.0,0,-0.73,-0.2,1052,stable,1.0
104,0.0,1,-0.6,-0.25,1067,stable,1.0
105,0.0,0,-0.98,-0.06,1066,stable,1.0
106,1.0,0,-0.48,-0.39,1076,stable,1.0
107,1.0,1,-0.35,-0.95,995,stable,1.0
108,1.0,1,-0.67,-0.85,923,stable,1.0
109,0.0,1,-0.54,-0.22,1132,stable,1.0
110,1.0,0,-0.23,-0.9,907,stable,1.0
111,0.0,1,-0.98,-0.41,1067,stable,1.0
112,1.0,1,-0.58,-0.8,1339,stable,1.0
113,1.0,0,-0.52,-0.85,1987,stable,1.0
114,0.0,0,-0.83,-0.15,1027,stable,1.0
115,0.0,1,-0.18,-0.16,1228,stable,1.0
116,1.0,1,-0.56,-0.7,1283,stable,1.0
117,1.0,1,-0.59,-0.95,1027,stable,1.0
118,0.0,1,-0.68,-0.18,1123,stable,1.0
119,0.0,1,-0.3,-0.16,1195,stable,1.0
120,0.0,0,-0.86,-0.37,1395,stable,2.0
121,0.0,1,-0.47,-0.44,1523,stable,2.0
122,1.0,1,-0.03,-0.91,1026,stable,2.0
123,1.0,0,-0.6,-0.1,1043,stable,2.0
124,1.0,1,-0.54,-0.84,971,stable,2.0
125,1.0,1,-0.34,-0.95,1203,stable,2.0
126,0.0,0,-0.96,-0.28,1266,stable,2.0
127,0.0,1,-0.83,-0.94,924,stable,2.0
128,1.0,1,-0.23,-0.86,1054,stable,2.0
129,0.0,1,-0.99,-0.2,1240,stable,2.0
130,1.0,1,-0.29,-0.91,1339,stable,2.0
131,0.0,0,-0.88,-0.64,1076,stable,2.0
132,0.0,1,-0.84,-0.8,1090,stable,2.0
133,1.0,0,-0.61,-0.88,1131,stable,2.0
134,1.0,1,-0.23,-0.77,1268,stable,2.0
135,0.0,1,-0.87,-0.54,2720,stable,2.0
136,1.0,1,-0.25,-0.9,588,stable,2.0
137,0.0,0,-0.71,-0.44,659,stable,2.0
138,1.0,1,-0.42,-0.52,1363,stable,2.0
139,1.0,1,-0.39,-0.94,1220,stable,2.0
140,1.0,1,-0.39,-0.24,762,stable,2.0
141,1.0,0,-0.2,-0.1,835,stable,2.0
142,0.0,0,-0.85,-0.43,1156,stable,2.0
143,0.0,0,-0.77,-0.02,867,stable,2.0
144,1.0,1,-0.54,-0.87,1115,stable,2.0
145,1.0,1,-0.56,-0.57,1219,stable,2.0
146,0.0,1,-0.5,-0.79,1034,stable,2.0
147,1.0,1,-0.04,-0.88,915,stable,2.0
148,0.0,0,-0.4,-0.38,1420,stable,2.0
149,1.0,1,-0.47,-0.86,1235,stable,2.0
150,1.0,1,-0.15,-0.49,1826,stable,2.0
151,1.0,1,-0.17,-0.39,1196,stable,2.0
152,1.0,0,-0.76,-0.97,1154,stable,2.0
153,0.0,1,-0.73,-0.14,763,stable,2.0
154,0.0,1,-0.67,-0.29,1156,stable,2.0
155,0.0,1,-0.48,-0.39,1411,stable,2.0
156,1.0,1,-0.3,-0.87,1019,stable,2.0
157,1.0,0,-0.13,-0.37,1139,stable,2.0
158,1.0,1,-0.66,-0.59,3500,stable,2.0
159,0.0,1,-0.2,-0.77,978,stable,2.0
160,0.0,1,-0.39,-0.28,1076,stable,2.0
161,1.0,1,-0.61,-0.55,1058,stable,2.0
162,0.0,1,-0.62,-0.02,1043,stable,2.0
163,1.0,0,-0.5,-0.8,1436,stable,2.0
164,0.0,0,-0.6,-0.07,699,stable,2.0
165,1.0,0,-0.76,-0.52,1075,stable,2.0
166,0.0,1,-0.49,-0.14,1075,stable,2.0
167,0.0,1,-0.46,-0.36,1612,stable,2.0
168,0.0,1,-0.84,-0.29,1163,stable,2.0
169,1.0,1,-0.44,-0.47,1099,stable,2.0
170,1.0,1,-0.73,-0.44,1236,stable,2.0
171,1.0,1,-0.3,-0.95,1260,stable,2.0
172,0.0,0,-0.8,-0.39,1202,stable,2.0
173,0.0,1,-0.67,-0.61,1164,stable,2.0
174,0.0,1,-0.95,-0.61,1211,stable,2.0
175,0.0,1,-0.65,-0.19,1083,stable,2.0
176,0.0,1,-0.72,-0.33,1515,stable,2.0
