,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,,1,0.84,0.97,6254,stable,0.0
1,1.0,1,0.8,0.32,669,stable,0.0
2,1.0,1,0.12,0.58,709,stable,0.0
3,1.0,0,0.72,0.17,1501,stable,0.0
4,1.0,1,0.98,0.72,712,stable,0.0
5,1.0,1,0.1,0.63,1363,stable,0.0
6,1.0,1,0.83,0.35,1447,stable,0.0
7,1.0,0,0.29,0.49,1190,stable,0.0
8,1.0,1,0.06,0.98,661,stable,0.0
9,1.0,0,0.95,0.54,1769,stable,0.0
10,1.0,1,0.8,0.64,1418,stable,0.0
11,1.0,1,0.55,0.36,1317,stable,0.0
12,1.0,0,0.22,0.98,1643,stable,0.0
13,1.0,0,0.31,0.14,1411,stable,0.0
14,1.0,1,0.6,0.28,1273,stable,0.0
15,0.0,0,0.68,0.73,955,stable,0.0
16,1.0,0,0.6,0.46,1520,stable,0.0
17,1.0,1,0.32,0.85,951,stable,0.0
18,1.0,1,0.88,0.99,2071,stable,0.0
19,1.0,1,0.97,0.87,762,stable,0.0
20,1.0,0,0.92,0.41,722,stable,0.0
21,1.0,1,0.36,0.32,1818,stable,0.0
22,1.0,1,0.13,0.59,714,stable,0.0
23,1.0,0,0.5,0.8,1359,stable,0.0
24,1.0,0,0.49,0.61,1327,stable,0.0
25,1.0,1,0.92,0.87,910,stable,0.0
26,1.0,1,0.28,0.95,767,stable,0.0
27,1.0,1,0.64,0.33,818,stable,0.0
28,1.0,1,0.59,0.97,666,stable,0.0
29,1.0,1,0.44,0.52,1441,stable,0.0
30,1.0,0,0.9,0.2,1116,stable,0.0
31,1.0,1,0.13,0.65,1280,stable,0.0
32,1.0,1,0.47,0.69,1196,stable,0.0
33,1.0,0,0.33,0.38,805,stable,0.0
34,1.0,1,0.21,0.71,768,stable,0.0
35,1.0,1,0.81,0.55,1794,stable,0.0
36,1.0,0,0.83,0.05,1418,stable,0.0
37,1.0,1,0.75,0.71,1593,stable,0.0
38,1.0,1,0.79,0.73,1121,stable,0.0
39,1.0,1,0.93,0.2,914,stable,0.0
40,1.0,1,0.8,0.89,684,stable,0.0
41,1.0,0,0.9,0.1,1395,stable,0.0
42,1.0,1,0.63,0.17,985,stable,0.0
43,1.0,0,0.74,0.05,1479,stable,0.0
44,1.0,1,0.4,0.62,1474,stable,0.0
45,1.0,1,0.17,0.43,1171,stable,0.0
46,1.0,1,0.3,0.9,1548,stable,0.0
47,1.0,0,0.9,0.56,1382,stable,0.0
48,1.0,1,0.88,0.37,1113,stable,0.0
49,1.0,1,0.4,0.38,795,stable,0.0
50,1.0,1,0.5,0.54,1487,stable,0.0
51,1.0,0,0.56,0.07,1319,stable,0.0
52,1.0,0,0.9,0.61,628,stable,0.0
53,1.0,0,0.82,0.12,872,stable,0.0
54,1.0,1,0.9,0.19,1234,stable,0.0
55,1.0,1,0.46,0.51,1234,stable,0.0
56,1.0,1,0.85,0.51,1170,stable,0.0
57,1.0,1,0.65,0.41,1189,stable,0.0
58,1.0,0,0.31,0.64,652,stable,0.0
59,1.0,1,0.07,0.76,601,stable,0.0
60,1.0,1,0.13,0.65,680,stable,1.0
61,1.0,1,0.94,0.74,815,stable,1.0
62,1.0,0,0.87,0.37,615,stable,1.0
63,1.0,1,0.43,0.4,1271,stable,1.0
64,1.0,1,0.25,0.58,763,stable,1.0
65,1.0,1,0.78,0.1,1220,stable,1.0
66,1.0,1,0.33,0.83,698,stable,1.0
67,1.0,0,0.63,0.07,1168,stable,1.0
68,1.0,1,0.71,0.59,1137,stable,1.0
69,1.0,1,0.89,0.56,1020,stable,1.0
70,1.0,1,0.44,0.91,1230,stable,1.0
71,1.0,1,0.96,0.22,1117,stable,1.0
72,1.0,1,0.55,0.3,1098,stable,1.0
73,1.0,0,0.69,0.86,1144,stable,1.0
74,1.0,0,0.45,0.91,702,stable,1.0
75,1.0,0,0.87,0.09,684,stable,1.0
76,1.0,1,0.45,0.87,663,stable,1.0
77,1.0,1,0.55,0.92,1232,stable,1.0
78,1.0,1,0.57,0.9,1204,stable,1.0
79,1.0,1,0.33,0.67,645,stable,1.0
80,1.0,1,0.52,0.39,652,stable,1.0
81,1.0,1,0.9,0.83,592,stable,1.0
82,1.0,0,0.23,0.38,1212,stable,1.0
83,1.0,1,0.45,0.59,712,stable,1.0
84,1.0,1,0.6,0.25,613,stable,1.0
85,1.0,1,0.81,0.94,1085,stable,1.0
86,1.0,1,0.49,0.43,898,stable,1.0
87,1.0,0,0.42,0.65,1659,stable,1.0
88,1.0,1,0.5,0.66,843,stable,1.0
89,1.0,1,0.89,0.35,948,stable,1.0
90,1.0,1,0.89,0.99,1682,volatile,1.0
91,1.0,0,0.96,0.96,1138,volatile,1.0
92,1.0,0,0.58,0.58,1104,volatile,1.0
93,1.0,0,0.52,0.33,985,volatile,1.0
94,0.0,1,0.02,0.92,1076,volatile,1.0
95,0.0,0,0.93,0.34,986,volatile,1.0
96,0.0,0,0.08,0.28,1278,volatile,1.0
97,0.0,0,0.44,0.91,689,volatile,1.0
98,0.0,0,0.6,0.78,527,volatile,1.0
99,0.0,1,0.35,0.42,600,volatile,1.0
100,1.0,0,0.5,0.82,1284,volatile,1.0
101,0.0,0,0.42,0.39,1020,volatile,1.0
102,0.0,0,0.29,0.54,1377,volatile,1.0
103,0.0,0,0.85,0.05,728,volatile,1.0
104,0.0,0,0.96,0.99,1262,volatile,1.0
