,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.44,-0.37,1269,stable,0.0
1,0.0,1,-0.66,-0.12,550,stable,0.0
2,0.0,1,-0.98,-0.02,631,stable,0.0
3,0.0,0,-0.57,-0.95,1041,stable,0.0
4,0.0,1,-0.28,-0.08,670,stable,0.0
5,0.0,1,-0.3,-0.33,728,stable,0.0
6,0.0,1,-0.27,-0.24,1139,stable,0.0
7,0.0,0,-0.58,-0.43,726,stable,0.0
8,1.0,1,-0.72,-0.47,1244,stable,0.0
9,0.0,0,-0.45,-0.44,579,stable,0.0
10,0.0,1,-0.69,-0.26,589,stable,0.0
11,0.0,1,-0.06,-0.41,690,stable,0.0
12,0.0,0,-0.88,-0.34,678,stable,0.0
13,0.0,0,-0.73,-0.2,489,stable,0.0
14,1.0,1,-0.6,-0.25,584,stable,0.0
15,0.0,0,-0.98,-0.06,767,stable,0.0
16,0.0,0,-0.48,-0.39,896,stable,0.0
17,1.0,1,-0.35,-0.95,912,stable,0.0
18,1.0,1,-0.67,-0.85,1595,stable,0.0
19,0.0,1,-0.54,-0.22,655,stable,0.0
20,1.0,0,-0.23,-0.9,963,stable,0.0
21,0.0,1,-0.98,-0.41,1694,stable,0.0
22,0.0,1,-0.58,-0.8,1255,stable,0.0
23,0.0,0,-0.52,-0.85,715,stable,0.0
24,0.0,0,-0.83,-0.15,712,stable,0.0
25,0.0,1,-0.18,-0.16,714,stable,0.0
26,0.0,1,-0.56,-0.7,1063,stable,0.0
27,0.0,1,-0.59,-0.95,1839,stable,0.0
28,0.0,1,-0.68,-0.18,658,stable,0.0
29,0.0,1,-0.3,-0.16,783,stable,0.0
30,0.0,0,-0.86,-0.37,906,stable,0.0
31,0.0,1,-0.47,-0.44,1454,stable,0.0
32,0.0,1,-0.03,-0.91,806,stable,0.0
33,0.0,0,-0.6,-0.1,906,stable,0.0
34,0.0,1,-0.54,-0.84,1672,stable,0.0
35,1.0,1,-0.34,-0.95,1572,stable,0.0
36,0.0,0,-0.96,-0.28,939,stable,0.0
37,0.0,1,-0.83,-0.94,1502,stable,0.0
38,1.0,1,-0.23,-0.86,1166,stable,0.0
39,0.0,1,-0.99,-0.2,671,stable,0.0
40,0.0,1,-0.29,-0.91,1567,stable,0.0
41,0.0,0,-0.88,-0.64,792,stable,0.0
42,0.0,1,-0.84,-0.8,847,stable,0.0
43,0.0,0,-0.61,-0.88,557,stable,0.0
44,0.0,1,-0.23,-0.77,598,stable,0.0
45,0.0,1,-0.87,-0.54,1190,stable,0.0
46,0.0,1,-0.25,-0.9,463,stable,0.0
47,0.0,0,-0.71,-0.44,882,stable,0.0
48,0.0,1,-0.42,-0.52,1140,stable,0.0
49,0.0,1,-0.39,-0.94,1204,stable,0.0
50,0.0,1,-0.39,-0.24,713,stable,0.0
51,0.0,0,-0.2,-0.1,702,stable,0.0
52,0.0,0,-0.85,-0.43,632,stable,0.0
53,0.0,0,-0.77,-0.02,816,stable,0.0
54,1.0,1,-0.54,-0.87,783,stable,0.0
55,1.0,1,-0.56,-0.57,727,stable,0.0
56,0.0,1,-0.5,-0.79,1628,stable,0.0
57,1.0,1,-0.04,-0.88,1340,stable,0.0
58,0.0,0,-0.4,-0.38,1020,stable,0.0
59,0.0,1,-0.47,-0.86,923,stable,0.0
60,0.0,1,-0.15,-0.49,1364,stable,1.0
61,0.0,1,-0.17,-0.39,665,stable,1.0
62,0.0,0,-0.76,-0.97,1172,stable,1.0
63,0.0,1,-0.73,-0.14,587,stable,1.0
64,0.0,1,-0.67,-0.29,815,stable,1.0
65,0.0,1,-0.48,-0.39,1332,stable,1.0
66,0.0,1,-0.3,-0.87,983,stable,1.0
67,0.0,0,-0.13,-0.37,782,stable,1.0
68,0.0,1,-0.66,-0.59,682,stable,1.0
69,0.0,1,-0.2,-0.77,1376,stable,1.0
70,0.0,1,-0.39,-0.28,750,stable,1.0
71,0.0,1,-0.61,-0.55,1151,stable,1.0
72,0.0,1,-0.62,-0.02,833,stable,1.0
73,0.0,0,-0.5,-0.8,1106,stable,1.0
74,0.0,0,-0.6,-0.07,1208,stable,1.0
75,0.0,0,-0.76,-0.52,590,stable,1.0
76,0.0,1,-0.49,-0.14,1411,stable,1.0
77,0.0,1,-0.46,-0.36,1178,stable,1.0
78,0.0,1,-0.84,-0.29,804,stable,1.0
79,0.0,1,-0.44,-0.47,846,stable,1.0
80,0.0,1,-0.73,-0.44,1081,stable,1.0
81,1.0,1,-0.3,-0.95,2063,stable,1.0
82,0.0,0,-0.8,-0.39,860,stable,1.0
83,0.0,1,-0.67,-0.61,901,stable,1.0
84,0.0,1,-0.95,-0.61,1263,stable,1.0
85,0.0,1,-0.65,-0.19,1244,stable,1.0
86,0.0,1,-0.72,-0.33,745,stable,1.0
87,0.0,0,-0.87,-0.17,580,stable,1.0
88,0.0,1,-0.65,-0.53,987,stable,1.0
89,0.0,1,-0.38,-0.76,1500,stable,1.0
90,0.0,1,-0.41,-0.2,1302,volatile,1.0
91,0.0,0,-0.76,-0.69,1005,volatile,1.0
92,0.0,0,-0.73,-0.52,928,volatile,1.0
93,0.0,0,-0.41,-0.43,840,volatile,1.0
94,1.0,1,-0.25,-0.34,852,volatile,1.0
95,1.0,0,-0.34,-0.48,929,volatile,1.0
96,1.0,0,-0.3,-0.35,1107,volatile,1.0
97,1.0,0,-0.91,-0.42,870,volatile,1.0
98,1.0,0,-0.7,-0.44,651,volatile,1.0
99,1.0,1,-0.64,-0.5,1030,volatile,1.0
100,1.0,0,-0.28,-0.19,926,volatile,1.0
101,1.0,0,-0.02,-0.59,598,volatile,1.0
102,1.0,0,-0.2,-0.09,1352,volatile,1.0
103,1.0,0,-0.32,-0.76,1176,volatile,1.0
104,1.0,0,-0.09,-0.98,885,volatile,1.0
105,1.0,1,-0.62,-0.56,895,volatile,1.0
106,1.0,0,-0.17,-0.16,903,volatile,1.0
107,0.0,0,-0.74,-0.07,1218,volatile,1.0
108,1.0,0,-0.02,-0.41,611,volatile,1.0
109,1.0,0,-0.7,-0.57,1039,volatile,1.0
110,1.0,1,-0.24,-0.28,499,volatile,1.0
111,0.0,1,-0.59,-0.76,747,volatile,1.0
112,0.0,0,-0.15,-0.19,653,volatile,1.0
113,0.0,1,-0.5,-0.68,1231,volatile,1.0
114,0.0,0,-0.43,-0.68,1025,volatile,1.0
115,0.0,1,-0.14,-0.19,826,volatile,1.0
116,0.0,1,-0.12,-0.11,517,volatile,1.0
117,0.0,1,-0.4,-0.36,1030,volatile,1.0
118,0.0,1,-0.88,-0.64,782,volatile,1.0
119,0.0,1,-0.51,-0.03,997,volatile,1.0
120,0.0,1,-0.44,-0.76,1126,volatile,2.0
121,0.0,1,-0.23,-0.92,1269,volatile,2.0
122,0.0,1,-0.23,-0.14,1286,volatile,2.0
123,0.0,1,-0.94,-0.77,1250,volatile,2.0
124,0.0,0,-0.85,-0.2,1221,volatile,2.0
125,0.0,1,-0.86,-0.63,1244,volatile,2.0
126,0.0,0,-0.82,-0.56,1309,volatile,2.0
127,0.0,0,-0.68,-0.63,1216,volatile,2.0
128,1.0,0,-0.65,-0.8,1292,volatile,2.0
129,1.0,0,-0.25,-0.1,1054,volatile,2.0
130,1.0,0,-0.67,-0.8,803,volatile,2.0
131,1.0,0,-0.82,-0.57,1081,volatile,2.0
132,1.0,0,-0.88,-0.47,825,volatile,2.0
133,1.0,1,-0.55,-0.99,704,volatile,2.0
134,1.0,1,-0.74,-0.67,803,volatile,2.0
135,1.0,0,-0.18,-0.27,1055,volatile,2.0
136,1.0,0,-0.15,-0.67,576,volatile,2.0
137,1.0,0,-0.91,-0.32,915,volatile,2.0
138,1.0,0,-0.66,-0.48,1253,volatile,2.0
139,1.0,0,-0.67,-0.66,1188,volatile,2.0
140,1.0,1,-0.11,-0.72,734,volatile,2.0
141,1.0,0,-0.36,-0.52,997,volatile,2.0
142,1.0,0,-0.44,-0.76,893,volatile,2.0
143,1.0,0,-0.04,-0.37,708,volatile,2.0
144,0.0,0,-0.86,-0.09,1206,volatile,2.0
145,1.0,0,-0.99,-0.86,1253,volatile,2.0
146,1.0,0,-0.39,-0.9,959,volatile,2.0
147,1.0,1,-0.82,-0.85,792,volatile,2.0
148,1.0,0,-0.89,-0.99,704,volatile,2.0
149,0.0,1,-0.88,-0.02,1332,volatile,2.0
150,1.0,0,-0.05,-0.33,1029,volatile,2.0
151,1.0,1,-0.35,-0.86,1577,volatile,2.0
152,1.0,1,-0.08,-0.13,873,volatile,2.0
153,0.0,1,-0.78,-0.68,1162,volatile,2.0
154,1.0,1,-0.05,-0.15,1476,volatile,2.0
155,0.0,1,-0.62,-0.42,1531,volatile,2.0
156,0.0,0,-0.95,-0.51,950,volatile,2.0
157,1.0,0,-0.59,-0.95,1085,volatile,2.0
158,1.0,0,-0.14,-0.98,724,volatile,2.0
159,1.0,1,-0.05,-0.84,689,volatile,2.0
160,1.0,1,-0.38,-0.5,1266,volatile,2.0
161,0.0,1,-0.45,-0.59,858,volatile,2.0
162,0.0,1,-0.32,-0.72,712,volatile,2.0
163,1.0,1,-0.02,-0.91,958,volatile,2.0
164,0.0,1,-0.72,-0.99,1091,volatile,2.0
165,0.0,1,-0.61,-0.43,1221,volatile,2.0
166,0.0,1,-0.24,-0.79,1308,volatile,2.0
167,0.0,1,-0.48,-0.15,916,volatile,2.0
168,0.0,1,-0.5,-0.61,699,volatile,2.0
169,0.0,1,-0.83,-0.34,589,volatile,2.0
170,0.0,0,-0.84,-0.92,987,volatile,2.0
171,0.0,0,-0.71,-0.05,658,volatile,2.0
172,0.0,0,-0.5,-0.72,905,volatile,2.0
173,1.0,1,-0.26,-0.29,1299,volatile,2.0
174,1.0,1,-0.37,-0.63,937,volatile,2.0
175,0.0,0,-0.47,-0.12,668,volatile,2.0
176,1.0,0,-0.36,-0.81,918,volatile,2.0
177,1.0,0,-0.87,-0.59,850,volatile,2.0
178,1.0,0,-0.26,-0.75,734,volatile,2.0
179,1.0,0,-0.17,-0.19,668,volatile,2.0
