,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,2531,volatile,0.0
1,0.0,0,-0.76,-0.69,1153,volatile,0.0
2,1.0,0,-0.73,-0.52,1267,volatile,0.0
3,1.0,0,-0.41,-0.43,818,volatile,0.0
4,1.0,1,-0.25,-0.34,939,volatile,0.0
5,1.0,0,-0.34,-0.48,1019,volatile,0.0
6,1.0,0,-0.3,-0.35,834,volatile,0.0
7,1.0,0,-0.91,-0.42,842,volatile,0.0
8,1.0,0,-0.7,-0.44,986,volatile,0.0
9,1.0,1,-0.64,-0.5,867,volatile,0.0
10,1.0,0,-0.28,-0.19,626,volatile,0.0
11,1.0,0,-0.02,-0.59,731,volatile,0.0
12,0.0,0,-0.2,-0.09,963,volatile,0.0
13,1.0,0,-0.32,-0.76,763,volatile,0.0
14,1.0,0,-0.09,-0.98,1195,volatile,0.0
15,1.0,1,-0.62,-0.56,827,volatile,0.0
16,1.0,0,-0.17,-0.16,978,volatile,0.0
17,1.0,0,-0.74,-0.07,1187,volatile,0.0
18,1.0,0,-0.02,-0.41,834,volatile,0.0
19,1.0,0,-0.7,-0.57,794,volatile,0.0
20,1.0,1,-0.24,-0.28,796,volatile,0.0
21,1.0,1,-0.59,-0.76,811,volatile,0.0
22,1.0,0,-0.15,-0.19,786,volatile,0.0
23,1.0,1,-0.5,-0.68,899,volatile,0.0
24,1.0,0,-0.43,-0.68,819,volatile,0.0
25,1.0,1,-0.14,-0.19,795,volatile,0.0
26,1.0,1,-0.12,-0.11,731,volatile,0.0
27,1.0,1,-0.4,-0.36,843,volatile,0.0
28,1.0,1,-0.88,-0.64,826,volatile,0.0
29,0.0,1,-0.51,-0.03,931,volatile,0.0
30,0.0,1,-0.44,-0.76,858,volatile,0.0
31,0.0,1,-0.23,-0.92,907,volatile,0.0
32,0.0,1,-0.23,-0.14,827,volatile,0.0
33,0.0,1,-0.94,-0.77,682,volatile,0.0
34,0.0,0,-0.85,-0.2,691,volatile,0.0
35,0.0,1,-0.86,-0.63,715,volatile,0.0
36,0.0,0,-0.82,-0.56,699,volatile,0.0
37,0.0,0,-0.68,-0.63,667,volatile,0.0
38,0.0,0,-0.65,-0.8,747,volatile,0.0
39,1.0,0,-0.25,-0.1,651,volatile,0.0
40,1.0,0,-0.67,-0.8,1051,volatile,0.0
41,1.0,0,-0.82,-0.57,763,volatile,0.0
42,1.0,0,-0.88,-0.47,995,volatile,0.0
43,1.0,1,-0.55,-0.99,715,volatile,0.0
44,1.0,1,-0.74,-0.67,867,volatile,0.0
45,0.0,0,-0.18,-0.27,1818,volatile,0.0
46,1.0,0,-0.15,-0.67,947,volatile,0.0
47,1.0,0,-0.91,-0.32,939,volatile,0.0
48,1.0,0,-0.66,-0.48,1316,volatile,0.0
49,1.0,0,-0.67,-0.66,899,volatile,0.0
50,1.0,1,-0.11,-0.72,1002,volatile,0.0
51,1.0,0,-0.36,-0.52,795,volatile,0.0
52,1.0,0,-0.44,-0.76,820,volatile,0.0
53,1.0,0,-0.04,-0.37,699,volatile,0.0
54,1.0,0,-0.86,-0.09,683,volatile,0.0
