,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1628,volatile,0.0
1,0.0,0,-0.76,-0.69,1648,volatile,0.0
2,1.0,0,-0.73,-0.52,1116,volatile,0.0
3,1.0,0,-0.41,-0.43,764,volatile,0.0
4,1.0,1,-0.25,-0.34,932,volatile,0.0
5,0.0,0,-0.34,-0.48,678,volatile,0.0
6,1.0,0,-0.3,-0.35,708,volatile,0.0
7,1.0,0,-0.91,-0.42,746,volatile,0.0
8,1.0,0,-0.7,-0.44,506,volatile,0.0
9,1.0,1,-0.64,-0.5,555,volatile,0.0
10,1.0,0,-0.28,-0.19,574,volatile,0.0
11,1.0,0,-0.02,-0.59,616,volatile,0.0
12,1.0,0,-0.2,-0.09,691,volatile,0.0
13,1.0,0,-0.32,-0.76,760,volatile,0.0
14,0.0,0,-0.09,-0.98,983,volatile,0.0
15,1.0,1,-0.62,-0.56,592,volatile,0.0
16,1.0,0,-0.17,-0.16,648,volatile,0.0
17,1.0,0,-0.74,-0.07,539,volatile,0.0
18,1.0,0,-0.02,-0.41,1590,volatile,0.0
19,0.0,0,-0.7,-0.57,1914,volatile,0.0
20,1.0,1,-0.24,-0.28,859,volatile,0.0
21,1.0,1,-0.59,-0.76,1213,volatile,0.0
22,1.0,0,-0.15,-0.19,1470,volatile,0.0
23,1.0,1,-0.5,-0.68,1582,volatile,0.0
24,1.0,0,-0.43,-0.68,657,volatile,0.0
25,1.0,1,-0.14,-0.19,1741,volatile,0.0
26,1.0,1,-0.12,-0.11,956,volatile,0.0
27,1.0,1,-0.4,-0.36,609,volatile,0.0
28,1.0,1,-0.88,-0.64,547,volatile,0.0
29,0.0,1,-0.51,-0.03,549,volatile,0.0
30,0.0,1,-0.44,-0.76,735,volatile,0.0
31,0.0,1,-0.23,-0.92,606,volatile,0.0
32,0.0,1,-0.23,-0.14,689,volatile,0.0
33,0.0,1,-0.94,-0.77,735,volatile,0.0
34,0.0,0,-0.85,-0.2,606,volatile,0.0
35,0.0,1,-0.86,-0.63,601,volatile,0.0
36,0.0,0,-0.82,-0.56,620,volatile,0.0
37,0.0,0,-0.68,-0.63,712,volatile,0.0
38,1.0,0,-0.65,-0.8,534,volatile,0.0
39,1.0,0,-0.25,-0.1,648,volatile,0.0
40,1.0,0,-0.67,-0.8,572,volatile,0.0
41,1.0,0,-0.82,-0.57,527,volatile,0.0
42,1.0,0,-0.88,-0.47,522,volatile,0.0
43,1.0,1,-0.55,-0.99,579,volatile,0.0
44,0.0,1,-0.74,-0.67,581,volatile,0.0
45,1.0,0,-0.18,-0.27,2012,volatile,0.0
46,1.0,0,-0.15,-0.67,489,volatile,0.0
47,1.0,0,-0.91,-0.32,585,volatile,0.0
48,1.0,0,-0.66,-0.48,524,volatile,0.0
49,1.0,0,-0.67,-0.66,510,volatile,0.0
50,1.0,1,-0.11,-0.72,487,volatile,0.0
51,1.0,0,-0.36,-0.52,768,volatile,0.0
52,1.0,0,-0.44,-0.76,599,volatile,0.0
53,1.0,0,-0.04,-0.37,514,volatile,0.0
54,1.0,0,-0.86,-0.09,531,volatile,0.0
55,1.0,0,-0.99,-0.86,556,volatile,0.0
56,1.0,0,-0.39,-0.9,655,volatile,0.0
57,1.0,1,-0.82,-0.85,580,volatile,0.0
58,0.0,0,-0.89,-0.99,566,volatile,0.0
59,1.0,1,-0.88,-0.02,553,volatile,0.0
60,0.0,0,-0.05,-0.33,532,volatile,1.0
61,1.0,1,-0.35,-0.86,933,volatile,1.0
62,0.0,1,-0.08,-0.13,1304,volatile,1.0
63,0.0,1,-0.78,-0.68,670,volatile,1.0
64,0.0,1,-0.05,-0.15,514,volatile,1.0
65,0.0,1,-0.62,-0.42,514,volatile,1.0
66,0.0,0,-0.95,-0.51,708,volatile,1.0
67,1.0,0,-0.59,-0.95,633,volatile,1.0
68,1.0,0,-0.14,-0.98,637,volatile,1.0
69,1.0,1,-0.05,-0.84,529,volatile,1.0
70,0.0,1,-0.38,-0.5,667,volatile,1.0
71,0.0,1,-0.45,-0.59,601,volatile,1.0
72,0.0,1,-0.32,-0.72,516,volatile,1.0
73,0.0,1,-0.02,-0.91,677,volatile,1.0
74,0.0,1,-0.72,-0.99,586,volatile,1.0
75,0.0,1,-0.61,-0.43,533,volatile,1.0
76,0.0,1,-0.24,-0.79,582,volatile,1.0
77,0.0,1,-0.48,-0.15,530,volatile,1.0
78,0.0,1,-0.5,-0.61,539,volatile,1.0
79,0.0,1,-0.83,-0.34,524,volatile,1.0
80,0.0,0,-0.84,-0.92,510,volatile,1.0
81,1.0,0,-0.71,-0.05,487,volatile,1.0
82,1.0,0,-0.5,-0.72,621,volatile,1.0
83,1.0,1,-0.26,-0.29,555,volatile,1.0
84,0.0,1,-0.37,-0.63,486,volatile,1.0
85,0.0,0,-0.47,-0.12,503,volatile,1.0
86,0.0,0,-0.36,-0.81,1080,volatile,1.0
87,1.0,0,-0.87,-0.59,855,volatile,1.0
88,1.0,0,-0.26,-0.75,528,volatile,1.0
89,1.0,0,-0.17,-0.19,498,volatile,1.0
90,0.0,1,-0.66,-0.12,583,stable,1.0
91,0.0,1,-0.98,-0.02,497,stable,1.0
92,0.0,0,-0.57,-0.95,579,stable,1.0
93,1.0,1,-0.28,-0.08,615,stable,1.0
94,1.0,1,-0.3,-0.33,1440,stable,1.0
95,0.0,1,-0.27,-0.24,656,stable,1.0
96,0.0,0,-0.58,-0.43,605,stable,1.0
97,0.0,1,-0.72,-0.47,1137,stable,1.0
98,0.0,0,-0.45,-0.44,1097,stable,1.0
99,1.0,1,-0.69,-0.26,632,stable,1.0
100,1.0,1,-0.06,-0.41,1307,stable,1.0
101,1.0,0,-0.88,-0.34,1079,stable,1.0
102,1.0,0,-0.73,-0.2,1030,stable,1.0
103,1.0,1,-0.6,-0.25,924,stable,1.0
104,0.0,0,-0.98,-0.06,895,stable,1.0
105,1.0,0,-0.48,-0.39,1763,stable,1.0
106,0.0,1,-0.35,-0.95,1129,stable,1.0
107,0.0,1,-0.67,-0.85,1026,stable,1.0
108,0.0,1,-0.54,-0.22,926,stable,1.0
109,0.0,0,-0.23,-0.9,547,stable,1.0
110,1.0,1,-0.98,-0.41,701,stable,1.0
111,1.0,1,-0.58,-0.8,1169,stable,1.0
112,0.0,0,-0.52,-0.85,1034,stable,1.0
113,0.0,0,-0.83,-0.15,776,stable,1.0
114,1.0,1,-0.18,-0.16,551,stable,1.0
115,1.0,1,-0.56,-0.7,747,stable,1.0
116,0.0,1,-0.59,-0.95,864,stable,1.0
117,0.0,1,-0.68,-0.18,578,stable,1.0
118,0.0,1,-0.3,-0.16,540,stable,1.0
119,0.0,0,-0.86,-0.37,526,stable,1.0
120,1.0,1,-0.47,-0.44,617,stable,2.0
121,0.0,1,-0.03,-0.91,467,stable,2.0
122,0.0,0,-0.6,-0.1,533,stable,2.0
123,0.0,1,-0.54,-0.84,1029,stable,2.0
124,0.0,1,-0.34,-0.95,728,stable,2.0
125,0.0,0,-0.96,-0.28,761,stable,2.0
126,1.0,1,-0.83,-0.94,1073,stable,2.0
127,0.0,1,-0.23,-0.86,1207,stable,2.0
128,1.0,1,-0.99,-0.2,1041,stable,2.0
129,1.0,1,-0.29,-0.91,1000,stable,2.0
130,1.0,0,-0.88,-0.64,1533,stable,2.0
131,1.0,1,-0.84,-0.8,1366,stable,2.0
132,0.0,0,-0.61,-0.88,1428,stable,2.0
133,1.0,1,-0.23,-0.77,1109,stable,2.0
134,1.0,1,-0.87,-0.54,1436,stable,2.0
135,1.0,1,-0.25,-0.9,1069,stable,2.0
136,0.0,0,-0.71,-0.44,996,stable,2.0
137,0.0,1,-0.42,-0.52,1161,stable,2.0
138,0.0,1,-0.39,-0.94,1123,stable,2.0
139,1.0,1,-0.39,-0.24,1137,stable,2.0
140,0.0,0,-0.2,-0.1,585,stable,2.0
141,1.0,0,-0.85,-0.43,1044,stable,2.0
142,1.0,0,-0.77,-0.02,711,stable,2.0
143,1.0,1,-0.54,-0.87,762,stable,2.0
144,0.0,1,-0.56,-0.57,1568,stable,2.0
145,0.0,1,-0.5,-0.79,970,stable,2.0
146,0.0,1,-0.04,-0.88,758,stable,2.0
147,0.0,0,-0.4,-0.38,647,stable,2.0
148,0.0,1,-0.15,-0.49,1064,stable,2.0
149,0.0,1,-0.17,-0.39,1158,stable,2.0
150,0.0,0,-0.76,-0.97,1168,stable,2.0
151,0.0,1,-0.73,-0.14,1376,stable,2.0
152,0.0,1,-0.67,-0.29,1087,stable,2.0
153,0.0,1,-0.48,-0.39,1230,stable,2.0
154,1.0,1,-0.3,-0.87,1399,stable,2.0
155,1.0,0,-0.13,-0.37,687,stable,2.0
156,0.0,1,-0.66,-0.59,1412,stable,2.0
157,1.0,1,-0.2,-0.77,1108,stable,2.0
158,0.0,1,-0.39,-0.28,1131,stable,2.0
159,0.0,1,-0.61,-0.55,676,stable,2.0
160,0.0,1,-0.62,-0.02,944,stable,2.0
161,0.0,0,-0.5,-0.8,708,stable,2.0
162,0.0,0,-0.6,-0.07,1010,stable,2.0
163,1.0,0,-0.76,-0.52,1120,stable,2.0
164,1.0,1,-0.49,-0.14,1128,stable,2.0
165,0.0,1,-0.46,-0.36,999,stable,2.0
166,0.0,1,-0.84,-0.29,1094,stable,2.0
167,1.0,1,-0.44,-0.47,1596,stable,2.0
168,0.0,1,-0.73,-0.44,807,stable,2.0
169,0.0,1,-0.3,-0.95,1880,stable,2.0
170,0.0,0,-0.8,-0.39,938,stable,2.0
171,0.0,1,-0.67,-0.61,1413,stable,2.0
172,0.0,1,-0.95,-0.61,1173,stable,2.0
173,0.0,1,-0.65,-0.19,1141,stable,2.0
174,0.0,1,-0.72,-0.33,797,stable,2.0
175,0.0,0,-0.87,-0.17,622,stable,2.0
176,0.0,1,-0.65,-0.53,1745,stable,2.0
