,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1029,stable,0.0
1,0.0,1,-0.66,-0.12,1068,stable,0.0
2,0.0,1,-0.98,-0.02,1057,stable,0.0
3,0.0,0,-0.57,-0.95,1227,stable,0.0
4,0.0,1,-0.28,-0.08,1315,stable,0.0
5,0.0,1,-0.3,-0.33,1075,stable,0.0
6,0.0,1,-0.27,-0.24,795,stable,0.0
7,0.0,0,-0.58,-0.43,887,stable,0.0
8,0.0,1,-0.72,-0.47,1631,stable,0.0
9,1.0,0,-0.45,-0.44,940,stable,0.0
10,0.0,1,-0.69,-0.26,1743,stable,0.0
11,0.0,1,-0.06,-0.41,802,stable,0.0
12,1.0,0,-0.88,-0.34,1290,stable,0.0
13,1.0,0,-0.73,-0.2,2122,stable,0.0
14,1.0,1,-0.6,-0.25,2088,stable,0.0
15,0.0,0,-0.98,-0.06,1447,stable,0.0
16,1.0,0,-0.48,-0.39,1979,stable,0.0
17,0.0,1,-0.35,-0.95,1072,stable,0.0
18,0.0,1,-0.67,-0.85,824,stable,0.0
19,0.0,1,-0.54,-0.22,813,stable,0.0
20,1.0,0,-0.23,-0.9,1769,stable,0.0
21,0.0,1,-0.98,-0.41,1044,stable,0.0
22,0.0,1,-0.58,-0.8,864,stable,0.0
23,1.0,0,-0.52,-0.85,1170,stable,0.0
24,1.0,0,-0.83,-0.15,699,stable,0.0
25,0.0,1,-0.18,-0.16,1520,stable,0.0
26,0.0,1,-0.56,-0.7,1546,stable,0.0
27,0.0,1,-0.59,-0.95,1249,stable,0.0
28,0.0,1,-0.68,-0.18,878,stable,0.0
29,0.0,1,-0.3,-0.16,1359,stable,0.0
30,1.0,0,-0.86,-0.37,1472,stable,0.0
31,0.0,1,-0.47,-0.44,709,stable,0.0
32,0.0,1,-0.03,-0.91,933,stable,0.0
33,1.0,0,-0.6,-0.1,1281,stable,0.0
34,1.0,1,-0.54,-0.84,1129,stable,0.0
35,0.0,1,-0.34,-0.95,1940,stable,0.0
36,0.0,0,-0.96,-0.28,1322,stable,0.0
37,0.0,1,-0.83,-0.94,1388,stable,0.0
38,1.0,1,-0.23,-0.86,773,stable,0.0
39,0.0,1,-0.99,-0.2,1084,stable,0.0
40,0.0,1,-0.29,-0.91,1051,stable,0.0
41,0.0,0,-0.88,-0.64,1380,stable,0.0
42,0.0,1,-0.84,-0.8,877,stable,0.0
43,1.0,0,-0.61,-0.88,1369,stable,0.0
44,0.0,1,-0.23,-0.77,1041,stable,0.0
45,0.0,1,-0.87,-0.54,4434,stable,0.0
46,0.0,1,-0.25,-0.9,980,stable,0.0
47,1.0,0,-0.71,-0.44,972,stable,0.0
48,0.0,1,-0.42,-0.52,634,stable,0.0
49,0.0,1,-0.39,-0.94,2046,stable,0.0
50,0.0,1,-0.39,-0.24,638,stable,0.0
51,1.0,0,-0.2,-0.1,730,stable,0.0
52,0.0,0,-0.85,-0.43,769,stable,0.0
53,0.0,0,-0.77,-0.02,1136,stable,0.0
54,0.0,1,-0.54,-0.87,887,stable,0.0
55,0.0,1,-0.56,-0.57,688,stable,0.0
56,0.0,1,-0.5,-0.79,999,stable,0.0
57,0.0,1,-0.04,-0.88,958,stable,0.0
58,0.0,0,-0.4,-0.38,1470,stable,0.0
59,1.0,1,-0.47,-0.86,1571,stable,0.0
60,0.0,1,-0.15,-0.49,642,stable,1.0
61,0.0,1,-0.17,-0.39,905,stable,1.0
62,1.0,0,-0.76,-0.97,963,stable,1.0
63,0.0,1,-0.73,-0.14,1049,stable,1.0
64,0.0,1,-0.67,-0.29,1052,stable,1.0
65,0.0,1,-0.48,-0.39,1206,stable,1.0
66,0.0,1,-0.3,-0.87,737,stable,1.0
67,1.0,0,-0.13,-0.37,1477,stable,1.0
68,0.0,1,-0.66,-0.59,661,stable,1.0
69,0.0,1,-0.2,-0.77,1612,stable,1.0
70,0.0,1,-0.39,-0.28,1271,stable,1.0
71,0.0,1,-0.61,-0.55,1166,stable,1.0
72,0.0,1,-0.62,-0.02,1016,stable,1.0
73,0.0,0,-0.5,-0.8,1044,stable,1.0
74,0.0,0,-0.6,-0.07,2146,stable,1.0
75,0.0,0,-0.76,-0.52,1121,stable,1.0
76,0.0,1,-0.49,-0.14,1189,stable,1.0
77,0.0,1,-0.46,-0.36,1261,stable,1.0
78,0.0,1,-0.84,-0.29,2221,stable,1.0
79,0.0,1,-0.44,-0.47,1101,stable,1.0
80,0.0,1,-0.73,-0.44,1119,stable,1.0
81,1.0,1,-0.3,-0.95,1369,stable,1.0
82,0.0,0,-0.8,-0.39,1562,stable,1.0
83,0.0,1,-0.67,-0.61,1065,stable,1.0
84,0.0,1,-0.95,-0.61,1447,stable,1.0
85,0.0,1,-0.65,-0.19,1148,stable,1.0
86,0.0,1,-0.72,-0.33,628,stable,1.0
87,0.0,0,-0.87,-0.17,1071,stable,1.0
88,0.0,1,-0.65,-0.53,1191,stable,1.0
89,0.0,1,-0.38,-0.76,851,stable,1.0
90,0.0,1,-0.41,-0.2,1608,volatile,1.0
91,0.0,0,-0.76,-0.69,801,volatile,1.0
92,0.0,0,-0.73,-0.52,1104,volatile,1.0
93,0.0,0,-0.41,-0.43,1370,volatile,1.0
94,0.0,1,-0.25,-0.34,1406,volatile,1.0
95,1.0,0,-0.34,-0.48,1120,volatile,1.0
96,0.0,0,-0.3,-0.35,1692,volatile,1.0
97,1.0,0,-0.91,-0.42,1299,volatile,1.0
98,1.0,0,-0.7,-0.44,1388,volatile,1.0
99,0.0,1,-0.64,-0.5,996,volatile,1.0
100,0.0,0,-0.28,-0.19,1054,volatile,1.0
101,0.0,0,-0.02,-0.59,661,volatile,1.0
102,1.0,0,-0.2,-0.09,1133,volatile,1.0
103,1.0,0,-0.32,-0.76,759,volatile,1.0
104,1.0,0,-0.09,-0.98,1558,volatile,1.0
105,0.0,1,-0.62,-0.56,1034,volatile,1.0
106,0.0,0,-0.17,-0.16,1119,volatile,1.0
107,0.0,0,-0.74,-0.07,2099,volatile,1.0
108,1.0,0,-0.02,-0.41,1576,volatile,1.0
109,1.0,0,-0.7,-0.57,765,volatile,1.0
110,0.0,1,-0.24,-0.28,1354,volatile,1.0
111,0.0,1,-0.59,-0.76,1091,volatile,1.0
112,1.0,0,-0.15,-0.19,1355,volatile,1.0
113,0.0,1,-0.5,-0.68,655,volatile,1.0
114,1.0,0,-0.43,-0.68,675,volatile,1.0
115,0.0,1,-0.14,-0.19,978,volatile,1.0
