,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1158,volatile,0.0
1,1.0,0,0.96,0.96,675,volatile,0.0
2,1.0,0,0.58,0.58,683,volatile,0.0
3,0.0,0,0.52,0.33,762,volatile,0.0
4,0.0,1,0.02,0.92,688,volatile,0.0
5,1.0,0,0.93,0.34,783,volatile,0.0
6,0.0,0,0.08,0.28,649,volatile,0.0
7,0.0,0,0.44,0.91,734,volatile,0.0
8,0.0,0,0.6,0.78,841,volatile,0.0
9,0.0,1,0.35,0.42,769,volatile,0.0
10,0.0,0,0.5,0.82,999,volatile,0.0
11,0.0,0,0.42,0.39,628,volatile,0.0
12,1.0,0,0.29,0.54,674,volatile,0.0
13,0.0,0,0.85,0.05,571,volatile,0.0
14,0.0,0,0.96,0.99,691,volatile,0.0
15,1.0,1,0.74,0.48,489,volatile,0.0
16,1.0,0,0.95,0.93,474,volatile,0.0
17,0.0,0,0.33,0.68,473,volatile,0.0
18,1.0,0,0.87,0.46,812,volatile,0.0
19,1.0,0,0.85,0.98,493,volatile,0.0
20,0.0,1,0.24,0.3,489,volatile,0.0
21,0.0,1,0.36,0.32,866,volatile,0.0
22,1.0,0,0.19,0.6,626,volatile,0.0
23,0.0,1,0.57,0.91,682,volatile,0.0
24,0.0,0,0.44,0.37,644,volatile,0.0
25,1.0,1,0.45,0.28,646,volatile,0.0
26,1.0,1,0.52,0.51,530,volatile,0.0
27,0.0,1,0.72,0.55,730,volatile,0.0
28,1.0,1,0.72,0.99,546,volatile,0.0
29,1.0,1,0.07,0.71,750,volatile,0.0
30,1.0,1,0.41,0.77,522,volatile,0.0
31,1.0,1,0.89,0.71,544,volatile,0.0
32,1.0,1,0.56,0.72,629,volatile,0.0
33,1.0,1,0.41,0.71,518,volatile,0.0
34,1.0,0,0.99,0.86,522,volatile,0.0
35,0.0,1,0.61,0.98,620,volatile,0.0
36,1.0,0,0.58,0.42,571,volatile,0.0
37,0.0,0,0.72,0.68,487,volatile,0.0
38,1.0,0,0.56,0.46,650,volatile,0.0
39,1.0,0,0.4,0.41,532,volatile,0.0
40,0.0,0,0.71,0.53,680,volatile,0.0
41,0.0,0,0.78,0.86,795,volatile,0.0
42,1.0,0,0.33,0.33,380,volatile,0.0
43,0.0,1,0.95,0.86,307,volatile,0.0
44,1.0,1,0.03,0.53,458,volatile,0.0
45,1.0,0,0.34,0.92,933,volatile,0.0
46,1.0,0,0.31,0.29,789,volatile,0.0
47,0.0,0,0.72,0.93,801,volatile,0.0
48,1.0,0,0.42,0.86,738,volatile,0.0
49,0.0,0,0.91,0.32,721,volatile,0.0
50,1.0,1,0.64,0.13,538,volatile,0.0
51,0.0,0,0.45,0.67,626,volatile,0.0
52,0.0,0,0.46,0.79,1001,volatile,0.0
53,1.0,0,0.88,0.39,605,volatile,0.0
54,1.0,0,0.38,0.39,586,volatile,0.0
55,1.0,0,0.71,0.85,323,volatile,0.0
56,1.0,0,0.32,0.1,609,volatile,0.0
57,1.0,1,0.86,0.45,458,volatile,0.0
58,1.0,0,0.92,0.83,269,volatile,0.0
59,0.0,1,0.16,0.84,490,volatile,0.0
60,1.0,0,0.34,0.89,601,volatile,1.0
61,1.0,1,0.35,0.75,277,volatile,1.0
62,0.0,1,0.92,0.68,641,volatile,1.0
63,1.0,1,0.25,0.13,745,volatile,1.0
64,1.0,1,0.77,0.74,770,volatile,1.0
65,0.0,1,0.13,0.62,779,volatile,1.0
66,1.0,0,0.65,0.73,889,volatile,1.0
67,0.0,0,0.37,0.95,641,volatile,1.0
68,1.0,0,0.96,0.63,434,volatile,1.0
69,0.0,1,0.39,0.47,527,volatile,1.0
70,1.0,1,0.59,0.49,298,volatile,1.0
71,0.0,1,0.43,0.87,626,volatile,1.0
72,0.0,1,0.04,0.82,503,volatile,1.0
73,0.0,1,0.27,0.61,651,volatile,1.0
74,1.0,1,0.36,0.57,569,volatile,1.0
75,1.0,1,0.25,0.67,522,volatile,1.0
76,1.0,1,0.83,0.51,578,volatile,1.0
77,1.0,1,0.38,0.87,975,volatile,1.0
78,1.0,1,0.78,0.3,906,volatile,1.0
79,1.0,1,0.95,0.84,825,volatile,1.0
80,1.0,0,0.93,0.68,626,volatile,1.0
81,0.0,0,0.54,0.3,447,volatile,1.0
82,0.0,0,0.72,0.91,538,volatile,1.0
83,0.0,1,0.02,0.77,504,volatile,1.0
84,0.0,1,0.49,0.53,682,volatile,1.0
85,1.0,0,0.56,0.51,521,volatile,1.0
86,1.0,0,0.54,0.49,517,volatile,1.0
87,0.0,0,0.51,0.85,562,volatile,1.0
88,0.0,0,0.06,0.88,726,volatile,1.0
89,0.0,0,0.84,0.93,550,volatile,1.0
90,0.0,1,0.84,0.97,1059,stable,1.0
91,1.0,1,0.8,0.32,804,stable,1.0
92,1.0,1,0.12,0.58,627,stable,1.0
93,1.0,0,0.72,0.17,693,stable,1.0
94,0.0,1,0.98,0.72,724,stable,1.0
95,1.0,1,0.1,0.63,558,stable,1.0
96,1.0,1,0.83,0.35,662,stable,1.0
97,1.0,0,0.29,0.49,530,stable,1.0
98,0.0,1,0.06,0.98,705,stable,1.0
99,1.0,0,0.95,0.54,798,stable,1.0
100,0.0,1,0.8,0.64,769,stable,1.0
101,0.0,1,0.55,0.36,882,stable,1.0
102,1.0,0,0.22,0.98,536,stable,1.0
103,1.0,0,0.31,0.14,998,stable,1.0
104,1.0,1,0.6,0.28,618,stable,1.0
105,1.0,0,0.68,0.73,643,stable,1.0
