,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,841,stable,0.0
1,1.0,1,0.8,0.32,581,stable,0.0
2,1.0,1,0.12,0.58,557,stable,0.0
3,1.0,0,0.72,0.17,556,stable,0.0
4,1.0,1,0.98,0.72,734,stable,0.0
5,1.0,1,0.1,0.63,448,stable,0.0
6,1.0,1,0.83,0.35,624,stable,0.0
7,1.0,0,0.29,0.49,825,stable,0.0
8,0.0,1,0.06,0.98,787,stable,0.0
9,1.0,0,0.95,0.54,674,stable,0.0
10,1.0,1,0.8,0.64,593,stable,0.0
11,1.0,1,0.55,0.36,850,stable,0.0
12,0.0,0,0.22,0.98,1037,stable,0.0
13,1.0,0,0.31,0.14,691,stable,0.0
14,1.0,1,0.6,0.28,765,stable,0.0
15,0.0,0,0.68,0.73,954,stable,0.0
16,1.0,0,0.6,0.46,725,stable,0.0
17,0.0,1,0.32,0.85,817,stable,0.0
18,1.0,1,0.88,0.99,667,stable,0.0
19,1.0,1,0.97,0.87,688,stable,0.0
20,1.0,0,0.92,0.41,705,stable,0.0
21,1.0,1,0.36,0.32,1095,stable,0.0
22,0.0,1,0.13,0.59,908,stable,0.0
23,0.0,0,0.5,0.8,1052,stable,0.0
24,1.0,0,0.49,0.61,1258,stable,0.0
25,1.0,1,0.92,0.87,770,stable,0.0
26,0.0,1,0.28,0.95,926,stable,0.0
27,1.0,1,0.64,0.33,809,stable,0.0
28,0.0,1,0.59,0.97,911,stable,0.0
29,1.0,1,0.44,0.52,990,stable,0.0
30,1.0,0,0.9,0.2,728,stable,0.0
31,0.0,1,0.13,0.65,746,stable,0.0
32,1.0,1,0.47,0.69,1318,stable,0.0
33,1.0,0,0.33,0.38,1127,stable,0.0
34,0.0,1,0.21,0.71,867,stable,0.0
35,1.0,1,0.81,0.55,764,stable,0.0
36,1.0,0,0.83,0.05,686,stable,0.0
37,1.0,1,0.75,0.71,641,stable,0.0
38,1.0,1,0.79,0.73,799,stable,0.0
39,1.0,1,0.93,0.2,674,stable,0.0
40,1.0,1,0.8,0.89,661,stable,0.0
41,1.0,0,0.9,0.1,718,stable,0.0
42,1.0,1,0.63,0.17,635,stable,0.0
43,1.0,0,0.74,0.05,576,stable,0.0
44,1.0,1,0.4,0.62,666,stable,0.0
45,0.0,1,0.17,0.43,834,stable,0.0
46,0.0,1,0.3,0.9,863,stable,0.0
47,1.0,0,0.9,0.56,815,stable,0.0
48,1.0,1,0.88,0.37,841,stable,0.0
49,1.0,1,0.4,0.38,860,stable,0.0
50,1.0,1,0.5,0.54,941,stable,0.0
51,1.0,0,0.56,0.07,658,stable,0.0
52,1.0,0,0.9,0.61,855,stable,0.0
53,1.0,0,0.82,0.12,688,stable,0.0
54,1.0,1,0.9,0.19,651,stable,0.0
55,0.0,1,0.46,0.51,754,stable,0.0
56,1.0,1,0.85,0.51,791,stable,0.0
57,1.0,1,0.65,0.41,771,stable,0.0
58,0.0,0,0.31,0.64,850,stable,0.0
59,0.0,1,0.07,0.76,639,stable,0.0
60,0.0,1,0.13,0.65,720,stable,1.0
61,1.0,1,0.94,0.74,643,stable,1.0
62,1.0,0,0.87,0.37,725,stable,1.0
63,1.0,1,0.43,0.4,790,stable,1.0
64,0.0,1,0.25,0.58,870,stable,1.0
65,1.0,1,0.78,0.1,926,stable,1.0
66,0.0,1,0.33,0.83,776,stable,1.0
67,1.0,0,0.63,0.07,697,stable,1.0
68,1.0,1,0.71,0.59,780,stable,1.0
69,1.0,1,0.89,0.56,788,stable,1.0
70,0.0,1,0.44,0.91,717,stable,1.0
71,1.0,1,0.96,0.22,678,stable,1.0
72,1.0,1,0.55,0.3,893,stable,1.0
73,0.0,0,0.69,0.86,1080,stable,1.0
74,0.0,0,0.45,0.91,806,stable,1.0
75,1.0,0,0.87,0.09,669,stable,1.0
76,0.0,1,0.45,0.87,818,stable,1.0
77,0.0,1,0.55,0.92,816,stable,1.0
78,0.0,1,0.57,0.9,876,stable,1.0
79,0.0,1,0.33,0.67,828,stable,1.0
80,1.0,1,0.52,0.39,904,stable,1.0
81,1.0,1,0.9,0.83,684,stable,1.0
82,0.0,0,0.23,0.38,1163,stable,1.0
83,1.0,1,0.45,0.59,725,stable,1.0
84,1.0,1,0.6,0.25,824,stable,1.0
85,1.0,1,0.81,0.94,924,stable,1.0
86,1.0,1,0.49,0.43,910,stable,1.0
87,1.0,0,0.42,0.65,753,stable,1.0
88,1.0,1,0.5,0.66,889,stable,1.0
89,1.0,1,0.89,0.35,1008,stable,1.0
90,1.0,1,0.89,0.99,720,volatile,1.0
91,1.0,0,0.96,0.96,843,volatile,1.0
92,1.0,0,0.58,0.58,757,volatile,1.0
93,1.0,0,0.52,0.33,670,volatile,1.0
94,0.0,1,0.02,0.92,526,volatile,1.0
95,1.0,0,0.93,0.34,889,volatile,1.0
96,0.0,0,0.08,0.28,628,volatile,1.0
97,0.0,0,0.44,0.91,483,volatile,1.0
98,0.0,0,0.6,0.78,857,volatile,1.0
99,0.0,1,0.35,0.42,494,volatile,1.0
100,0.0,0,0.5,0.82,678,volatile,1.0
101,0.0,0,0.42,0.39,963,volatile,1.0
102,0.0,0,0.29,0.54,819,volatile,1.0
103,1.0,0,0.85,0.05,739,volatile,1.0
104,0.0,0,0.96,0.99,663,volatile,1.0
105,0.0,1,0.74,0.48,1040,volatile,1.0
106,0.0,0,0.95,0.93,1068,volatile,1.0
107,0.0,0,0.33,0.68,973,volatile,1.0
108,1.0,0,0.87,0.46,1004,volatile,1.0
