,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1568,volatile,0.0
1,1.0,0,0.96,0.96,783,volatile,0.0
2,1.0,0,0.58,0.58,1315,volatile,0.0
3,0.0,0,0.52,0.33,623,volatile,0.0
4,0.0,1,0.02,0.92,588,volatile,0.0
5,0.0,0,0.93,0.34,751,volatile,0.0
6,0.0,0,0.08,0.28,570,volatile,0.0
7,0.0,0,0.44,0.91,664,volatile,0.0
8,0.0,0,0.6,0.78,505,volatile,0.0
9,0.0,1,0.35,0.42,673,volatile,0.0
10,0.0,0,0.5,0.82,712,volatile,0.0
11,0.0,0,0.42,0.39,697,volatile,0.0
12,0.0,0,0.29,0.54,848,volatile,0.0
13,0.0,0,0.85,0.05,584,volatile,0.0
14,0.0,0,0.96,0.99,632,volatile,0.0
15,0.0,1,0.74,0.48,550,volatile,0.0
16,0.0,0,0.95,0.93,569,volatile,0.0
17,0.0,0,0.33,0.68,1161,volatile,0.0
18,0.0,0,0.87,0.46,638,volatile,0.0
19,0.0,0,0.85,0.98,644,volatile,0.0
20,0.0,1,0.24,0.3,3801,volatile,0.0
21,0.0,1,0.36,0.32,1465,volatile,0.0
22,0.0,0,0.19,0.6,705,volatile,0.0
23,0.0,1,0.57,0.91,673,volatile,0.0
24,0.0,0,0.44,0.37,993,volatile,0.0
25,1.0,1,0.45,0.28,731,volatile,0.0
26,0.0,1,0.52,0.51,825,volatile,0.0
27,0.0,1,0.72,0.55,649,volatile,0.0
28,1.0,1,0.72,0.99,901,volatile,0.0
29,1.0,1,0.07,0.71,1158,volatile,0.0
30,1.0,1,0.41,0.77,599,volatile,0.0
31,1.0,1,0.89,0.71,636,volatile,0.0
32,1.0,1,0.56,0.72,1280,volatile,0.0
33,1.0,1,0.41,0.71,704,volatile,0.0
34,1.0,0,0.99,0.86,627,volatile,0.0
35,0.0,1,0.61,0.98,1002,volatile,0.0
36,1.0,0,0.58,0.42,886,volatile,0.0
37,1.0,0,0.72,0.68,736,volatile,0.0
38,1.0,0,0.56,0.46,620,volatile,0.0
39,1.0,0,0.4,0.41,1060,volatile,0.0
40,0.0,0,0.71,0.53,772,volatile,0.0
41,0.0,0,0.78,0.86,630,volatile,0.0
42,1.0,0,0.33,0.33,728,volatile,0.0
43,0.0,1,0.95,0.86,606,volatile,0.0
44,0.0,1,0.03,0.53,1046,volatile,0.0
45,0.0,0,0.34,0.92,2137,volatile,0.0
46,0.0,0,0.31,0.29,752,volatile,0.0
47,0.0,0,0.72,0.93,675,volatile,0.0
48,0.0,0,0.42,0.86,1878,volatile,0.0
49,0.0,0,0.91,0.32,947,volatile,0.0
50,0.0,1,0.64,0.13,769,volatile,0.0
51,1.0,0,0.45,0.67,3275,volatile,0.0
52,0.0,0,0.46,0.79,771,volatile,0.0
53,0.0,0,0.88,0.39,714,volatile,0.0
54,0.0,0,0.38,0.39,1761,volatile,0.0
55,0.0,0,0.71,0.85,627,volatile,0.0
56,0.0,0,0.32,0.1,714,volatile,0.0
57,1.0,1,0.86,0.45,863,volatile,0.0
58,1.0,0,0.92,0.83,4018,volatile,0.0
59,0.0,1,0.16,0.84,1066,volatile,0.0
60,1.0,0,0.34,0.89,760,volatile,1.0
61,0.0,1,0.35,0.75,742,volatile,1.0
62,0.0,1,0.92,0.68,753,volatile,1.0
63,0.0,1,0.25,0.13,540,volatile,1.0
64,0.0,1,0.77,0.74,944,volatile,1.0
65,0.0,1,0.13,0.62,870,volatile,1.0
66,0.0,0,0.65,0.73,691,volatile,1.0
67,0.0,0,0.37,0.95,1564,volatile,1.0
68,0.0,0,0.96,0.63,573,volatile,1.0
69,0.0,1,0.39,0.47,1245,volatile,1.0
70,0.0,1,0.59,0.49,704,volatile,1.0
71,0.0,1,0.43,0.87,626,volatile,1.0
72,0.0,1,0.04,0.82,878,volatile,1.0
73,1.0,1,0.27,0.61,1094,volatile,1.0
74,1.0,1,0.36,0.57,796,volatile,1.0
75,1.0,1,0.25,0.67,667,volatile,1.0
76,1.0,1,0.83,0.51,783,volatile,1.0
77,1.0,1,0.38,0.87,870,volatile,1.0
78,1.0,1,0.78,0.3,623,volatile,1.0
79,1.0,1,0.95,0.84,607,volatile,1.0
80,1.0,0,0.93,0.68,1076,volatile,1.0
81,1.0,0,0.54,0.3,640,volatile,1.0
82,0.0,0,0.72,0.91,575,volatile,1.0
83,0.0,1,0.02,0.77,1179,volatile,1.0
84,0.0,1,0.49,0.53,1101,volatile,1.0
85,0.0,0,0.56,0.51,702,volatile,1.0
86,1.0,0,0.54,0.49,733,volatile,1.0
87,0.0,0,0.51,0.85,707,volatile,1.0
88,0.0,0,0.06,0.88,658,volatile,1.0
89,0.0,0,0.84,0.93,641,volatile,1.0
90,,1,0.84,0.97,6292,stable,1.0
91,1.0,1,0.8,0.32,578,stable,1.0
92,1.0,1,0.12,0.58,779,stable,1.0
93,1.0,0,0.72,0.17,784,stable,1.0
94,0.0,1,0.98,0.72,866,stable,1.0
95,1.0,1,0.1,0.63,896,stable,1.0
96,1.0,1,0.83,0.35,724,stable,1.0
97,1.0,0,0.29,0.49,672,stable,1.0
98,1.0,1,0.06,0.98,836,stable,1.0
99,0.0,0,0.95,0.54,1301,stable,1.0
100,1.0,1,0.8,0.64,758,stable,1.0
101,1.0,1,0.55,0.36,700,stable,1.0
102,1.0,0,0.22,0.98,1006,stable,1.0
103,0.0,0,0.31,0.14,754,stable,1.0
104,1.0,1,0.6,0.28,629,stable,1.0
