,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,3398,stable,0.0
1,0.0,1,0.8,0.32,1288,stable,0.0
2,1.0,1,0.12,0.58,1314,stable,0.0
3,1.0,0,0.72,0.17,1508,stable,0.0
4,0.0,1,0.98,0.72,1514,stable,0.0
5,1.0,1,0.1,0.63,922,stable,0.0
6,0.0,1,0.83,0.35,1066,stable,0.0
7,0.0,0,0.29,0.49,1010,stable,0.0
8,0.0,1,0.06,0.98,1740,stable,0.0
9,0.0,0,0.95,0.54,979,stable,0.0
10,1.0,1,0.8,0.64,1482,stable,0.0
11,0.0,1,0.55,0.36,1355,stable,0.0
12,1.0,0,0.22,0.98,1810,stable,0.0
13,1.0,0,0.31,0.14,1611,stable,0.0
14,0.0,1,0.6,0.28,882,stable,0.0
15,1.0,0,0.68,0.73,1003,stable,0.0
16,0.0,0,0.6,0.46,1331,stable,0.0
17,1.0,1,0.32,0.85,1059,stable,0.0
18,1.0,1,0.88,0.99,1091,stable,0.0
19,0.0,1,0.97,0.87,800,stable,0.0
20,1.0,0,0.92,0.41,834,stable,0.0
21,0.0,1,0.36,0.32,859,stable,0.0
22,0.0,1,0.13,0.59,1370,stable,0.0
23,1.0,0,0.5,0.8,1058,stable,0.0
24,0.0,0,0.49,0.61,1587,stable,0.0
25,0.0,1,0.92,0.87,1363,stable,0.0
26,1.0,1,0.28,0.95,1284,stable,0.0
27,0.0,1,0.64,0.33,986,stable,0.0
28,1.0,1,0.59,0.97,787,stable,0.0
29,0.0,1,0.44,0.52,987,stable,0.0
30,1.0,0,0.9,0.2,954,stable,0.0
31,0.0,1,0.13,0.65,1731,stable,0.0
32,0.0,1,0.47,0.69,659,stable,0.0
33,1.0,0,0.33,0.38,802,stable,0.0
34,1.0,1,0.21,0.71,1027,stable,0.0
35,0.0,1,0.81,0.55,1020,stable,0.0
36,1.0,0,0.83,0.05,897,stable,0.0
37,1.0,1,0.75,0.71,915,stable,0.0
38,0.0,1,0.79,0.73,891,stable,0.0
39,0.0,1,0.93,0.2,843,stable,0.0
40,1.0,1,0.8,0.89,923,stable,0.0
41,0.0,0,0.9,0.1,995,stable,0.0
42,0.0,1,0.63,0.17,1146,stable,0.0
43,0.0,0,0.74,0.05,1499,stable,0.0
44,1.0,1,0.4,0.62,1155,stable,0.0
45,1.0,1,0.17,0.43,1323,stable,0.0
46,1.0,1,0.3,0.9,835,stable,0.0
47,0.0,0,0.9,0.56,1083,stable,0.0
48,0.0,1,0.88,0.37,930,stable,0.0
49,1.0,1,0.4,0.38,987,stable,0.0
50,0.0,1,0.5,0.54,955,stable,0.0
51,0.0,0,0.56,0.07,1194,stable,0.0
52,1.0,0,0.9,0.61,1338,stable,0.0
53,0.0,0,0.82,0.12,1099,stable,0.0
54,0.0,1,0.9,0.19,1442,stable,0.0
55,0.0,1,0.46,0.51,843,stable,0.0
56,0.0,1,0.85,0.51,771,stable,0.0
57,1.0,1,0.65,0.41,763,stable,0.0
58,1.0,0,0.31,0.64,1065,stable,0.0
59,1.0,1,0.07,0.76,1114,stable,0.0
60,0.0,1,0.13,0.65,1114,stable,1.0
61,1.0,1,0.94,0.74,826,stable,1.0
62,0.0,0,0.87,0.37,875,stable,1.0
63,0.0,1,0.43,0.4,891,stable,1.0
64,1.0,1,0.25,0.58,1100,stable,1.0
65,0.0,1,0.78,0.1,1042,stable,1.0
66,1.0,1,0.33,0.83,795,stable,1.0
67,1.0,0,0.63,0.07,1026,stable,1.0
68,0.0,1,0.71,0.59,1027,stable,1.0
69,0.0,1,0.89,0.56,803,stable,1.0
70,1.0,1,0.44,0.91,1114,stable,1.0
71,0.0,1,0.96,0.22,1227,stable,1.0
72,1.0,1,0.55,0.3,1323,stable,1.0
73,1.0,0,0.69,0.86,1339,stable,1.0
74,1.0,0,0.45,0.91,1122,stable,1.0
75,1.0,0,0.87,0.09,1195,stable,1.0
76,1.0,1,0.45,0.87,931,stable,1.0
77,1.0,1,0.55,0.92,1379,stable,1.0
78,1.0,1,0.57,0.9,1195,stable,1.0
79,1.0,1,0.33,0.67,979,stable,1.0
80,1.0,1,0.52,0.39,1227,stable,1.0
81,0.0,1,0.9,0.83,1363,stable,1.0
82,0.0,0,0.23,0.38,1196,stable,1.0
83,1.0,1,0.45,0.59,1586,stable,1.0
84,0.0,1,0.6,0.25,1203,stable,1.0
85,0.0,1,0.81,0.94,732,stable,1.0
86,1.0,1,0.49,0.43,802,stable,1.0
87,0.0,0,0.42,0.65,1267,stable,1.0
88,0.0,1,0.5,0.66,1499,stable,1.0
89,1.0,1,0.89,0.35,1210,stable,1.0
90,0.0,1,0.89,0.99,1488,volatile,1.0
91,1.0,0,0.96,0.96,1242,volatile,1.0
92,1.0,0,0.58,0.58,987,volatile,1.0
93,1.0,0,0.52,0.33,1058,volatile,1.0
94,0.0,1,0.02,0.92,891,volatile,1.0
95,0.0,0,0.93,0.34,1131,volatile,1.0
96,0.0,0,0.08,0.28,1179,volatile,1.0
97,1.0,0,0.44,0.91,1187,volatile,1.0
98,1.0,0,0.6,0.78,947,volatile,1.0
99,0.0,1,0.35,0.42,779,volatile,1.0
100,1.0,0,0.5,0.82,1002,volatile,1.0
101,0.0,0,0.42,0.39,947,volatile,1.0
102,1.0,0,0.29,0.54,1019,volatile,1.0
103,1.0,0,0.85,0.05,1139,volatile,1.0
104,0.0,0,0.96,0.99,963,volatile,1.0
105,0.0,1,0.74,0.48,1043,volatile,1.0
106,1.0,0,0.95,0.93,866,volatile,1.0
107,1.0,0,0.33,0.68,771,volatile,1.0
108,0.0,0,0.87,0.46,811,volatile,1.0
109,1.0,0,0.85,0.98,1163,volatile,1.0
110,1.0,1,0.24,0.3,771,volatile,1.0
111,0.0,1,0.36,0.32,907,volatile,1.0
112,0.0,0,0.19,0.6,859,volatile,1.0
113,0.0,1,0.57,0.91,1003,volatile,1.0
114,0.0,0,0.44,0.37,771,volatile,1.0
115,0.0,1,0.45,0.28,963,volatile,1.0
116,0.0,1,0.52,0.51,706,volatile,1.0
117,0.0,1,0.72,0.55,819,volatile,1.0
118,0.0,1,0.72,0.99,1196,volatile,1.0
119,0.0,1,0.07,0.71,923,volatile,1.0
120,0.0,1,0.41,0.77,659,volatile,2.0
121,1.0,1,0.89,0.71,1010,volatile,2.0
122,1.0,1,0.56,0.72,1139,volatile,2.0
123,1.0,1,0.41,0.71,891,volatile,2.0
124,1.0,0,0.99,0.86,1058,volatile,2.0
125,0.0,1,0.61,0.98,826,volatile,2.0
126,0.0,0,0.58,0.42,762,volatile,2.0
127,0.0,0,0.72,0.68,1219,volatile,2.0
128,0.0,0,0.56,0.46,1154,volatile,2.0
129,0.0,0,0.4,0.41,1105,volatile,2.0
130,0.0,0,0.71,0.53,939,volatile,2.0
131,0.0,0,0.78,0.86,907,volatile,2.0
132,1.0,0,0.33,0.33,922,volatile,2.0
133,0.0,1,0.95,0.86,835,volatile,2.0
134,0.0,1,0.03,0.53,867,volatile,2.0
135,1.0,0,0.34,0.92,1295,volatile,2.0
136,1.0,0,0.31,0.29,754,volatile,2.0
137,0.0,0,0.72,0.93,723,volatile,2.0
138,1.0,0,0.42,0.86,915,volatile,2.0
139,0.0,0,0.91,0.32,827,volatile,2.0
140,1.0,1,0.64,0.13,1051,volatile,2.0
141,1.0,0,0.45,0.67,723,volatile,2.0
142,1.0,0,0.46,0.79,475,volatile,2.0
143,1.0,0,0.88,0.39,748,volatile,2.0
144,1.0,0,0.38,0.39,1211,volatile,2.0
145,1.0,0,0.71,0.85,899,volatile,2.0
146,1.0,0,0.32,0.1,667,volatile,2.0
147,0.0,1,0.86,0.45,739,volatile,2.0
148,0.0,0,0.92,0.83,603,volatile,2.0
149,1.0,1,0.16,0.84,1354,volatile,2.0
150,1.0,0,0.34,0.89,988,volatile,2.0
151,1.0,1,0.35,0.75,874,volatile,2.0
152,0.0,1,0.92,0.68,1106,volatile,2.0
153,1.0,1,0.25,0.13,803,volatile,2.0
154,1.0,1,0.77,0.74,1123,volatile,2.0
155,0.0,1,0.13,0.62,987,volatile,2.0
156,1.0,0,0.65,0.73,1010,volatile,2.0
157,1.0,0,0.37,0.95,636,volatile,2.0
158,1.0,0,0.96,0.63,683,volatile,2.0
159,0.0,1,0.39,0.47,714,volatile,2.0
160,1.0,1,0.59,0.49,763,volatile,2.0
161,1.0,1,0.43,0.87,915,volatile,2.0
162,0.0,1,0.04,0.82,913,volatile,2.0
163,0.0,1,0.27,0.61,810,volatile,2.0
