,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,2071,volatile,0.0
1,1.0,0,0.96,0.96,1214,volatile,0.0
2,1.0,0,0.58,0.58,1115,volatile,0.0
3,0.0,0,0.52,0.33,786,volatile,0.0
4,0.0,1,0.02,0.92,797,volatile,0.0
5,0.0,0,0.93,0.34,1070,volatile,0.0
6,0.0,0,0.08,0.28,776,volatile,0.0
7,0.0,0,0.44,0.91,685,volatile,0.0
8,0.0,0,0.6,0.78,645,volatile,0.0
9,0.0,1,0.35,0.42,692,volatile,0.0
10,1.0,0,0.5,0.82,761,volatile,0.0
11,0.0,0,0.42,0.39,1182,volatile,0.0
12,1.0,0,0.29,0.54,1063,volatile,0.0
13,0.0,0,0.85,0.05,764,volatile,0.0
14,0.0,0,0.96,0.99,996,volatile,0.0
15,0.0,1,0.74,0.48,683,volatile,0.0
16,0.0,0,0.95,0.93,604,volatile,0.0
17,0.0,0,0.33,0.68,1061,volatile,0.0
18,1.0,0,0.87,0.46,1041,volatile,0.0
19,1.0,0,0.85,0.98,626,volatile,0.0
20,0.0,1,0.24,0.3,708,volatile,0.0
21,0.0,1,0.36,0.32,1134,volatile,0.0
22,0.0,0,0.19,0.6,654,volatile,0.0
23,0.0,1,0.57,0.91,956,volatile,0.0
24,0.0,0,0.44,0.37,592,volatile,0.0
25,1.0,1,0.45,0.28,943,volatile,0.0
26,0.0,1,0.52,0.51,898,volatile,0.0
27,0.0,1,0.72,0.55,1252,volatile,0.0
28,0.0,1,0.72,0.99,808,volatile,0.0
29,1.0,1,0.07,0.71,1038,volatile,0.0
30,1.0,1,0.41,0.77,648,volatile,0.0
31,1.0,1,0.89,0.71,719,volatile,0.0
32,1.0,1,0.56,0.72,841,volatile,0.0
33,1.0,1,0.41,0.71,639,volatile,0.0
34,1.0,0,0.99,0.86,663,volatile,0.0
35,0.0,1,0.61,0.98,780,volatile,0.0
36,0.0,0,0.58,0.42,812,volatile,0.0
37,1.0,0,0.72,0.68,944,volatile,0.0
38,0.0,0,0.56,0.46,993,volatile,0.0
39,1.0,0,0.4,0.41,713,volatile,0.0
40,0.0,0,0.71,0.53,635,volatile,0.0
41,0.0,0,0.78,0.86,801,volatile,0.0
42,1.0,0,0.33,0.33,709,volatile,0.0
43,0.0,1,0.95,0.86,802,volatile,0.0
44,1.0,1,0.03,0.53,1424,volatile,0.0
45,0.0,0,0.34,0.92,1741,volatile,0.0
46,0.0,0,0.31,0.29,1169,volatile,0.0
47,0.0,0,0.72,0.93,818,volatile,0.0
48,1.0,0,0.42,0.86,941,volatile,0.0
49,0.0,0,0.91,0.32,937,volatile,0.0
50,0.0,1,0.64,0.13,721,volatile,0.0
51,1.0,0,0.45,0.67,902,volatile,0.0
52,1.0,0,0.46,0.79,595,volatile,0.0
53,0.0,0,0.88,0.39,743,volatile,0.0
54,0.0,0,0.38,0.39,778,volatile,0.0
55,0.0,0,0.71,0.85,605,volatile,0.0
56,1.0,0,0.32,0.1,693,volatile,0.0
57,0.0,1,0.86,0.45,930,volatile,0.0
58,1.0,0,0.92,0.83,760,volatile,0.0
59,0.0,1,0.16,0.84,977,volatile,0.0
60,0.0,0,0.34,0.89,1983,volatile,1.0
61,0.0,1,0.35,0.75,706,volatile,1.0
62,1.0,1,0.92,0.68,911,volatile,1.0
63,0.0,1,0.25,0.13,950,volatile,1.0
64,1.0,1,0.77,0.74,671,volatile,1.0
65,1.0,1,0.13,0.62,725,volatile,1.0
66,1.0,0,0.65,0.73,989,volatile,1.0
67,0.0,0,0.37,0.95,804,volatile,1.0
68,0.0,0,0.96,0.63,673,volatile,1.0
69,0.0,1,0.39,0.47,778,volatile,1.0
70,1.0,1,0.59,0.49,752,volatile,1.0
71,1.0,1,0.43,0.87,724,volatile,1.0
72,0.0,1,0.04,0.82,1427,volatile,1.0
73,1.0,1,0.27,0.61,853,volatile,1.0
74,1.0,1,0.36,0.57,1141,volatile,1.0
75,1.0,1,0.25,0.67,873,volatile,1.0
76,1.0,1,0.83,0.51,1562,volatile,1.0
77,0.0,1,0.38,0.87,933,volatile,1.0
78,1.0,1,0.78,0.3,1031,volatile,1.0
79,1.0,1,0.95,0.84,849,volatile,1.0
80,1.0,0,0.93,0.68,660,volatile,1.0
81,0.0,0,0.54,0.3,709,volatile,1.0
82,0.0,0,0.72,0.91,707,volatile,1.0
83,0.0,1,0.02,0.77,1142,volatile,1.0
84,1.0,1,0.49,0.53,663,volatile,1.0
85,1.0,0,0.56,0.51,688,volatile,1.0
86,1.0,0,0.54,0.49,815,volatile,1.0
87,1.0,0,0.51,0.85,1095,volatile,1.0
88,0.0,0,0.06,0.88,693,volatile,1.0
89,0.0,0,0.84,0.93,780,volatile,1.0
90,0.0,1,0.84,0.97,1353,stable,1.0
91,1.0,1,0.8,0.32,846,stable,1.0
92,1.0,1,0.12,0.58,759,stable,1.0
93,1.0,0,0.72,0.17,653,stable,1.0
94,0.0,1,0.98,0.72,729,stable,1.0
95,1.0,1,0.1,0.63,1299,stable,1.0
96,1.0,1,0.83,0.35,800,stable,1.0
97,1.0,0,0.29,0.49,727,stable,1.0
98,0.0,1,0.06,0.98,799,stable,1.0
99,0.0,0,0.95,0.54,1002,stable,1.0
100,0.0,1,0.8,0.64,695,stable,1.0
101,1.0,1,0.55,0.36,888,stable,1.0
102,0.0,0,0.22,0.98,1234,stable,1.0
103,1.0,0,0.31,0.14,704,stable,1.0
104,0.0,1,0.6,0.28,893,stable,1.0
105,0.0,0,0.68,0.73,663,stable,1.0
106,1.0,0,0.6,0.46,585,stable,1.0
107,1.0,1,0.32,0.85,683,stable,1.0
108,1.0,1,0.88,0.99,912,stable,1.0
109,0.0,1,0.97,0.87,680,stable,1.0
110,0.0,0,0.92,0.41,1623,stable,1.0
111,1.0,1,0.36,0.32,1140,stable,1.0
112,1.0,1,0.13,0.59,734,stable,1.0
113,1.0,0,0.5,0.8,671,stable,1.0
114,1.0,0,0.49,0.61,775,stable,1.0
115,0.0,1,0.92,0.87,677,stable,1.0
116,0.0,1,0.28,0.95,923,stable,1.0
117,1.0,1,0.64,0.33,791,stable,1.0
118,1.0,1,0.59,0.97,706,stable,1.0
119,1.0,1,0.44,0.52,778,stable,1.0
120,1.0,0,0.9,0.2,828,stable,2.0
121,0.0,1,0.13,0.65,711,stable,2.0
122,0.0,1,0.47,0.69,796,stable,2.0
123,1.0,0,0.33,0.38,769,stable,2.0
124,1.0,1,0.21,0.71,637,stable,2.0
125,0.0,1,0.81,0.55,599,stable,2.0
126,1.0,0,0.83,0.05,761,stable,2.0
127,0.0,1,0.75,0.71,788,stable,2.0
128,0.0,1,0.79,0.73,781,stable,2.0
129,1.0,1,0.93,0.2,867,stable,2.0
130,0.0,1,0.8,0.89,891,stable,2.0
131,1.0,0,0.9,0.1,706,stable,2.0
132,1.0,1,0.63,0.17,820,stable,2.0
133,1.0,0,0.74,0.05,982,stable,2.0
134,1.0,1,0.4,0.62,706,stable,2.0
135,0.0,1,0.17,0.43,1365,stable,2.0
136,1.0,1,0.3,0.9,774,stable,2.0
137,1.0,0,0.9,0.56,847,stable,2.0
138,1.0,1,0.88,0.37,1701,stable,2.0
139,0.0,1,0.4,0.38,918,stable,2.0
140,1.0,1,0.5,0.54,801,stable,2.0
141,1.0,0,0.56,0.07,749,stable,2.0
142,1.0,0,0.9,0.61,893,stable,2.0
143,1.0,0,0.82,0.12,1349,stable,2.0
144,0.0,1,0.9,0.19,884,stable,2.0
145,1.0,1,0.46,0.51,1020,stable,2.0
146,1.0,1,0.85,0.51,2078,stable,2.0
147,1.0,1,0.65,0.41,1039,stable,2.0
148,1.0,0,0.31,0.64,984,stable,2.0
149,0.0,1,0.07,0.76,586,stable,2.0
150,0.0,1,0.13,0.65,630,stable,2.0
151,1.0,1,0.94,0.74,819,stable,2.0
152,0.0,0,0.87,0.37,1663,stable,2.0
153,0.0,1,0.43,0.4,1588,stable,2.0
154,1.0,1,0.25,0.58,1045,stable,2.0
155,0.0,1,0.78,0.1,1495,stable,2.0
156,1.0,1,0.33,0.83,838,stable,2.0
157,0.0,0,0.63,0.07,858,stable,2.0
158,1.0,1,0.71,0.59,731,stable,2.0
159,0.0,1,0.89,0.56,775,stable,2.0
160,1.0,1,0.44,0.91,680,stable,2.0
161,1.0,1,0.96,0.22,812,stable,2.0
162,1.0,1,0.55,0.3,747,stable,2.0
163,0.0,0,0.69,0.86,1736,stable,2.0
164,0.0,0,0.45,0.91,754,stable,2.0
165,0.0,0,0.87,0.09,988,stable,2.0
166,1.0,1,0.45,0.87,853,stable,2.0
167,1.0,1,0.55,0.92,1478,stable,2.0
168,1.0,1,0.57,0.9,732,stable,2.0
169,0.0,1,0.33,0.67,888,stable,2.0
170,1.0,1,0.52,0.39,884,stable,2.0
171,1.0,1,0.9,0.83,667,stable,2.0
172,1.0,0,0.23,0.38,1055,stable,2.0
173,0.0,1,0.45,0.59,952,stable,2.0
174,1.0,1,0.6,0.25,919,stable,2.0
175,1.0,1,0.81,0.94,808,stable,2.0
176,1.0,1,0.49,0.43,1244,stable,2.0
177,1.0,0,0.42,0.65,801,stable,2.0
178,1.0,1,0.5,0.66,646,stable,2.0
179,1.0,1,0.89,0.35,643,stable,2.0
