,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,1624,volatile,0.0
1,1.0,0,0.96,0.96,734,volatile,0.0
2,1.0,0,0.58,0.58,706,volatile,0.0
3,0.0,0,0.52,0.33,602,volatile,0.0
4,0.0,1,0.02,0.92,978,volatile,0.0
5,0.0,0,0.93,0.34,634,volatile,0.0
6,0.0,0,0.08,0.28,905,volatile,0.0
7,0.0,0,0.44,0.91,658,volatile,0.0
8,0.0,0,0.6,0.78,770,volatile,0.0
9,0.0,1,0.35,0.42,691,volatile,0.0
10,0.0,0,0.5,0.82,867,volatile,0.0
11,0.0,0,0.42,0.39,574,volatile,0.0
12,0.0,0,0.29,0.54,519,volatile,0.0
13,0.0,0,0.85,0.05,626,volatile,0.0
14,0.0,0,0.96,0.99,906,volatile,0.0
15,0.0,1,0.74,0.48,730,volatile,0.0
16,1.0,0,0.95,0.93,682,volatile,0.0
17,0.0,0,0.33,0.68,650,volatile,0.0
18,0.0,0,0.87,0.46,698,volatile,0.0
19,0.0,0,0.85,0.98,857,volatile,0.0
20,0.0,1,0.24,0.3,578,volatile,0.0
21,0.0,1,0.36,0.32,739,volatile,0.0
22,1.0,0,0.19,0.6,730,volatile,0.0
23,1.0,1,0.57,0.91,618,volatile,0.0
24,1.0,0,0.44,0.37,618,volatile,0.0
25,1.0,1,0.45,0.28,569,volatile,0.0
26,1.0,1,0.52,0.51,762,volatile,0.0
27,1.0,1,0.72,0.55,794,volatile,0.0
28,1.0,1,0.72,0.99,578,volatile,0.0
29,1.0,1,0.07,0.71,747,volatile,0.0
30,1.0,1,0.41,0.77,594,volatile,0.0
31,1.0,1,0.89,0.71,706,volatile,0.0
32,1.0,1,0.56,0.72,733,volatile,0.0
33,1.0,1,0.41,0.71,855,volatile,0.0
34,1.0,0,0.99,0.86,610,volatile,0.0
35,1.0,1,0.61,0.98,507,volatile,0.0
36,1.0,0,0.58,0.42,594,volatile,0.0
37,1.0,0,0.72,0.68,611,volatile,0.0
38,1.0,0,0.56,0.46,538,volatile,0.0
39,0.0,0,0.4,0.41,555,volatile,0.0
40,0.0,0,0.71,0.53,570,volatile,0.0
41,0.0,0,0.78,0.86,562,volatile,0.0
42,1.0,0,0.33,0.33,882,volatile,0.0
43,0.0,1,0.95,0.86,650,volatile,0.0
44,0.0,1,0.03,0.53,610,volatile,0.0
45,1.0,0,0.34,0.92,1501,volatile,0.0
46,0.0,0,0.31,0.29,666,volatile,0.0
47,0.0,0,0.72,0.93,571,volatile,0.0
48,0.0,0,0.42,0.86,578,volatile,0.0
49,0.0,0,0.91,0.32,611,volatile,0.0
50,0.0,1,0.64,0.13,562,volatile,0.0
51,0.0,0,0.45,0.67,546,volatile,0.0
52,0.0,0,0.46,0.79,586,volatile,0.0
53,0.0,0,0.88,0.39,706,volatile,0.0
54,0.0,0,0.38,0.39,698,volatile,0.0
55,0.0,0,0.71,0.85,723,volatile,0.0
56,0.0,0,0.32,0.1,658,volatile,0.0
57,0.0,1,0.86,0.45,538,volatile,0.0
58,0.0,0,0.92,0.83,650,volatile,0.0
59,0.0,1,0.16,0.84,642,volatile,0.0
60,1.0,0,0.34,0.89,658,volatile,1.0
61,0.0,1,0.35,0.75,699,volatile,1.0
62,0.0,1,0.92,0.68,606,volatile,1.0
63,1.0,1,0.25,0.13,594,volatile,1.0
64,1.0,1,0.77,0.74,531,volatile,1.0
65,1.0,1,0.13,0.62,539,volatile,1.0
66,1.0,0,0.65,0.73,626,volatile,1.0
67,1.0,0,0.37,0.95,626,volatile,1.0
68,1.0,0,0.96,0.63,898,volatile,1.0
69,0.0,1,0.39,0.47,1170,volatile,1.0
70,0.0,1,0.59,0.49,1507,volatile,1.0
71,0.0,1,0.43,0.87,1194,volatile,1.0
72,1.0,1,0.04,0.82,618,volatile,1.0
73,1.0,1,0.27,0.61,802,volatile,1.0
74,1.0,1,0.36,0.57,722,volatile,1.0
75,1.0,1,0.25,0.67,778,volatile,1.0
76,1.0,1,0.83,0.51,659,volatile,1.0
77,1.0,1,0.38,0.87,794,volatile,1.0
78,1.0,1,0.78,0.3,594,volatile,1.0
79,1.0,1,0.95,0.84,635,volatile,1.0
80,1.0,0,0.93,0.68,610,volatile,1.0
81,1.0,0,0.54,0.3,618,volatile,1.0
82,0.0,0,0.72,0.91,546,volatile,1.0
83,0.0,1,0.02,0.77,762,volatile,1.0
84,0.0,1,0.49,0.53,1201,volatile,1.0
85,1.0,0,0.56,0.51,907,volatile,1.0
86,0.0,0,0.54,0.49,826,volatile,1.0
87,0.0,0,0.51,0.85,890,volatile,1.0
88,0.0,0,0.06,0.88,659,volatile,1.0
89,0.0,0,0.84,0.93,802,volatile,1.0
90,0.0,1,0.84,0.97,2461,stable,1.0
91,1.0,1,0.8,0.32,778,stable,1.0
92,1.0,1,0.12,0.58,530,stable,1.0
93,1.0,0,0.72,0.17,626,stable,1.0
94,1.0,1,0.98,0.72,699,stable,1.0
95,1.0,1,0.1,0.63,1010,stable,1.0
96,1.0,1,0.83,0.35,634,stable,1.0
97,1.0,0,0.29,0.49,602,stable,1.0
98,0.0,1,0.06,0.98,866,stable,1.0
99,1.0,0,0.95,0.54,1666,stable,1.0
100,0.0,1,0.8,0.64,947,stable,1.0
101,1.0,1,0.55,0.36,994,stable,1.0
102,0.0,0,0.22,0.98,1178,stable,1.0
103,1.0,0,0.31,0.14,1194,stable,1.0
104,1.0,1,0.6,0.28,794,stable,1.0
105,0.0,0,0.68,0.73,1675,stable,1.0
106,1.0,0,0.6,0.46,1250,stable,1.0
107,0.0,1,0.32,0.85,762,stable,1.0
108,1.0,1,0.88,0.99,1195,stable,1.0
109,1.0,1,0.97,0.87,1026,stable,1.0
110,1.0,0,0.92,0.41,778,stable,1.0
111,0.0,1,0.36,0.32,763,stable,1.0
112,0.0,1,0.13,0.59,706,stable,1.0
113,1.0,0,0.5,0.8,914,stable,1.0
114,0.0,0,0.49,0.61,987,stable,1.0
115,1.0,1,0.92,0.87,850,stable,1.0
116,1.0,1,0.28,0.95,834,stable,1.0
117,1.0,1,0.64,0.33,538,stable,1.0
118,1.0,1,0.59,0.97,659,stable,1.0
119,1.0,1,0.44,0.52,730,stable,1.0
120,1.0,0,0.9,0.2,827,stable,2.0
121,0.0,1,0.13,0.65,738,stable,2.0
122,1.0,1,0.47,0.69,722,stable,2.0
123,1.0,0,0.33,0.38,539,stable,2.0
124,1.0,1,0.21,0.71,554,stable,2.0
125,1.0,1,0.81,0.55,514,stable,2.0
126,1.0,0,0.83,0.05,762,stable,2.0
127,1.0,1,0.75,0.71,682,stable,2.0
128,1.0,1,0.79,0.73,858,stable,2.0
129,1.0,1,0.93,0.2,779,stable,2.0
130,1.0,1,0.8,0.89,778,stable,2.0
131,1.0,0,0.9,0.1,930,stable,2.0
132,1.0,1,0.63,0.17,809,stable,2.0
133,1.0,0,0.74,0.05,754,stable,2.0
134,1.0,1,0.4,0.62,763,stable,2.0
135,1.0,1,0.17,0.43,1997,stable,2.0
136,1.0,1,0.3,0.9,842,stable,2.0
137,1.0,0,0.9,0.56,587,stable,2.0
138,0.0,1,0.88,0.37,618,stable,2.0
139,1.0,1,0.4,0.38,610,stable,2.0
140,1.0,1,0.5,0.54,658,stable,2.0
141,1.0,0,0.56,0.07,571,stable,2.0
142,1.0,0,0.9,0.61,706,stable,2.0
143,1.0,0,0.82,0.12,810,stable,2.0
144,0.0,1,0.9,0.19,658,stable,2.0
145,0.0,1,0.46,0.51,690,stable,2.0
146,1.0,1,0.85,0.51,602,stable,2.0
147,1.0,1,0.65,0.41,659,stable,2.0
148,1.0,0,0.31,0.64,682,stable,2.0
149,1.0,1,0.07,0.76,667,stable,2.0
150,1.0,1,0.13,0.65,579,stable,2.0
151,1.0,1,0.94,0.74,562,stable,2.0
152,1.0,0,0.87,0.37,730,stable,2.0
153,1.0,1,0.43,0.4,611,stable,2.0
154,1.0,1,0.25,0.58,562,stable,2.0
155,1.0,1,0.78,0.1,578,stable,2.0
156,1.0,1,0.33,0.83,802,stable,2.0
157,1.0,0,0.63,0.07,626,stable,2.0
158,1.0,1,0.71,0.59,699,stable,2.0
159,1.0,1,0.89,0.56,770,stable,2.0
160,1.0,1,0.44,0.91,562,stable,2.0
161,1.0,1,0.96,0.22,666,stable,2.0
162,1.0,1,0.55,0.3,642,stable,2.0
163,1.0,0,0.69,0.86,802,stable,2.0
164,1.0,0,0.45,0.91,699,stable,2.0
165,1.0,0,0.87,0.09,691,stable,2.0
166,0.0,1,0.45,0.87,1098,stable,2.0
167,1.0,1,0.55,0.92,578,stable,2.0
168,1.0,1,0.57,0.9,531,stable,2.0
169,1.0,1,0.33,0.67,602,stable,2.0
170,1.0,1,0.52,0.39,579,stable,2.0
171,1.0,1,0.9,0.83,619,stable,2.0
172,1.0,0,0.23,0.38,623,stable,2.0
173,1.0,1,0.45,0.59,619,stable,2.0
174,1.0,1,0.6,0.25,690,stable,2.0
175,1.0,1,0.81,0.94,721,stable,2.0
176,1.0,1,0.49,0.43,890,stable,2.0
177,1.0,0,0.42,0.65,747,stable,2.0
178,1.0,1,0.5,0.66,730,stable,2.0
179,1.0,1,0.89,0.35,834,stable,2.0
