,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,2292,volatile,0.0
1,0.0,0,-0.76,-0.69,1315,volatile,0.0
2,1.0,0,-0.73,-0.52,1978,volatile,0.0
3,1.0,0,-0.41,-0.43,745,volatile,0.0
4,1.0,1,-0.25,-0.34,5631,volatile,0.0
5,1.0,0,-0.34,-0.48,972,volatile,0.0
6,1.0,0,-0.3,-0.35,619,volatile,0.0
7,1.0,0,-0.91,-0.42,660,volatile,0.0
8,1.0,0,-0.7,-0.44,751,volatile,0.0
9,1.0,1,-0.64,-0.5,774,volatile,0.0
10,1.0,0,-0.28,-0.19,1257,volatile,0.0
11,1.0,0,-0.02,-0.59,684,volatile,0.0
12,1.0,0,-0.2,-0.09,662,volatile,0.0
13,1.0,0,-0.32,-0.76,684,volatile,0.0
14,1.0,0,-0.09,-0.98,1552,volatile,0.0
15,1.0,1,-0.62,-0.56,1168,volatile,0.0
16,1.0,0,-0.17,-0.16,771,volatile,0.0
17,1.0,0,-0.74,-0.07,2105,volatile,0.0
18,1.0,0,-0.02,-0.41,730,volatile,0.0
19,1.0,0,-0.7,-0.57,685,volatile,0.0
20,1.0,1,-0.24,-0.28,767,volatile,0.0
21,1.0,1,-0.59,-0.76,915,volatile,0.0
22,1.0,0,-0.15,-0.19,865,volatile,0.0
23,1.0,1,-0.5,-0.68,969,volatile,0.0
24,1.0,0,-0.43,-0.68,570,volatile,0.0
25,1.0,1,-0.14,-0.19,580,volatile,0.0
26,1.0,1,-0.12,-0.11,789,volatile,0.0
27,0.0,1,-0.4,-0.36,1437,volatile,0.0
28,1.0,1,-0.88,-0.64,943,volatile,0.0
29,0.0,1,-0.51,-0.03,852,volatile,0.0
30,0.0,1,-0.44,-0.76,1021,volatile,0.0
31,0.0,1,-0.23,-0.92,573,volatile,0.0
32,0.0,1,-0.23,-0.14,1131,volatile,0.0
33,0.0,1,-0.94,-0.77,813,volatile,0.0
34,0.0,0,-0.85,-0.2,931,volatile,0.0
35,1.0,1,-0.86,-0.63,823,volatile,0.0
36,0.0,0,-0.82,-0.56,933,volatile,0.0
37,1.0,0,-0.68,-0.63,1053,volatile,0.0
38,1.0,0,-0.65,-0.8,1805,volatile,0.0
39,1.0,0,-0.25,-0.1,598,volatile,0.0
40,1.0,0,-0.67,-0.8,965,volatile,0.0
41,0.0,0,-0.82,-0.57,644,volatile,0.0
42,1.0,0,-0.88,-0.47,579,volatile,0.0
43,1.0,1,-0.55,-0.99,922,volatile,0.0
44,0.0,1,-0.74,-0.67,704,volatile,0.0
45,0.0,0,-0.18,-0.27,5058,volatile,0.0
46,0.0,0,-0.15,-0.67,715,volatile,0.0
47,1.0,0,-0.91,-0.32,559,volatile,0.0
48,1.0,0,-0.66,-0.48,761,volatile,0.0
49,1.0,0,-0.67,-0.66,843,volatile,0.0
50,1.0,1,-0.11,-0.72,930,volatile,0.0
51,1.0,0,-0.36,-0.52,782,volatile,0.0
52,1.0,0,-0.44,-0.76,710,volatile,0.0
53,0.0,0,-0.04,-0.37,834,volatile,0.0
54,0.0,0,-0.86,-0.09,863,volatile,0.0
55,1.0,0,-0.99,-0.86,1600,volatile,0.0
56,1.0,0,-0.39,-0.9,1136,volatile,0.0
57,1.0,1,-0.82,-0.85,607,volatile,0.0
58,0.0,0,-0.89,-0.99,823,volatile,0.0
59,0.0,1,-0.88,-0.02,1822,volatile,0.0
60,1.0,0,-0.05,-0.33,980,volatile,1.0
61,1.0,1,-0.35,-0.86,1249,volatile,1.0
62,1.0,1,-0.08,-0.13,656,volatile,1.0
63,0.0,1,-0.78,-0.68,812,volatile,1.0
64,1.0,1,-0.05,-0.15,644,volatile,1.0
65,1.0,1,-0.62,-0.42,645,volatile,1.0
66,0.0,0,-0.95,-0.51,919,volatile,1.0
67,0.0,0,-0.59,-0.95,1086,volatile,1.0
68,1.0,0,-0.14,-0.98,663,volatile,1.0
69,1.0,1,-0.05,-0.84,661,volatile,1.0
70,1.0,1,-0.38,-0.5,802,volatile,1.0
71,1.0,1,-0.45,-0.59,1572,volatile,1.0
72,1.0,1,-0.32,-0.72,860,volatile,1.0
73,1.0,1,-0.02,-0.91,1345,volatile,1.0
74,1.0,1,-0.72,-0.99,1791,volatile,1.0
75,0.0,1,-0.61,-0.43,1166,volatile,1.0
76,0.0,1,-0.24,-0.79,618,volatile,1.0
77,1.0,1,-0.48,-0.15,1078,volatile,1.0
78,0.0,1,-0.5,-0.61,1987,volatile,1.0
79,0.0,1,-0.83,-0.34,1003,volatile,1.0
80,0.0,0,-0.84,-0.92,1185,volatile,1.0
81,0.0,0,-0.71,-0.05,1621,volatile,1.0
82,1.0,0,-0.5,-0.72,1370,volatile,1.0
83,1.0,1,-0.26,-0.29,1534,volatile,1.0
84,1.0,1,-0.37,-0.63,635,volatile,1.0
85,0.0,0,-0.47,-0.12,687,volatile,1.0
86,0.0,0,-0.36,-0.81,2184,volatile,1.0
87,1.0,0,-0.87,-0.59,873,volatile,1.0
88,1.0,0,-0.26,-0.75,1251,volatile,1.0
89,1.0,0,-0.17,-0.19,743,volatile,1.0
90,1.0,1,-0.44,-0.37,5264,stable,1.0
91,0.0,1,-0.66,-0.12,1297,stable,1.0
92,0.0,1,-0.98,-0.02,633,stable,1.0
93,1.0,0,-0.57,-0.95,1941,stable,1.0
94,1.0,1,-0.28,-0.08,728,stable,1.0
95,0.0,1,-0.3,-0.33,1186,stable,1.0
96,0.0,1,-0.27,-0.24,607,stable,1.0
97,0.0,0,-0.58,-0.43,1044,stable,1.0
98,0.0,1,-0.72,-0.47,833,stable,1.0
99,0.0,0,-0.45,-0.44,651,stable,1.0
100,1.0,1,-0.69,-0.26,1284,stable,1.0
101,0.0,1,-0.06,-0.41,794,stable,1.0
102,0.0,0,-0.88,-0.34,772,stable,1.0
103,0.0,0,-0.73,-0.2,875,stable,1.0
104,1.0,1,-0.6,-0.25,1012,stable,1.0
105,0.0,0,-0.98,-0.06,633,stable,1.0
106,0.0,0,-0.48,-0.39,713,stable,1.0
107,0.0,1,-0.35,-0.95,873,stable,1.0
108,0.0,1,-0.67,-0.85,667,stable,1.0
109,0.0,1,-0.54,-0.22,629,stable,1.0
110,0.0,0,-0.23,-0.9,546,stable,1.0
111,0.0,1,-0.98,-0.41,667,stable,1.0
112,0.0,1,-0.58,-0.8,1278,stable,1.0
113,0.0,0,-0.52,-0.85,689,stable,1.0
114,0.0,0,-0.83,-0.15,866,stable,1.0
115,1.0,1,-0.18,-0.16,486,stable,1.0
116,1.0,1,-0.56,-0.7,814,stable,1.0
117,0.0,1,-0.59,-0.95,1486,stable,1.0
118,0.0,1,-0.68,-0.18,1029,stable,1.0
119,0.0,1,-0.3,-0.16,653,stable,1.0
120,0.0,0,-0.86,-0.37,889,stable,2.0
121,1.0,1,-0.47,-0.44,1877,stable,2.0
122,0.0,1,-0.03,-0.91,721,stable,2.0
123,0.0,0,-0.6,-0.1,1080,stable,2.0
124,0.0,1,-0.54,-0.84,694,stable,2.0
125,0.0,1,-0.34,-0.95,601,stable,2.0
126,0.0,0,-0.96,-0.28,608,stable,2.0
127,0.0,1,-0.83,-0.94,956,stable,2.0
128,0.0,1,-0.23,-0.86,846,stable,2.0
129,0.0,1,-0.99,-0.2,674,stable,2.0
130,0.0,1,-0.29,-0.91,932,stable,2.0
131,1.0,0,-0.88,-0.64,586,stable,2.0
132,1.0,1,-0.84,-0.8,2858,stable,2.0
133,1.0,0,-0.61,-0.88,602,stable,2.0
134,0.0,1,-0.23,-0.77,968,stable,2.0
135,,1,-0.87,-0.54,6244,stable,2.0
136,0.0,1,-0.25,-0.9,1023,stable,2.0
137,0.0,0,-0.71,-0.44,567,stable,2.0
138,1.0,1,-0.42,-0.52,827,stable,2.0
139,0.0,1,-0.39,-0.94,724,stable,2.0
140,0.0,1,-0.39,-0.24,967,stable,2.0
141,0.0,0,-0.2,-0.1,591,stable,2.0
142,0.0,0,-0.85,-0.43,4750,stable,2.0
143,0.0,0,-0.77,-0.02,2418,stable,2.0
144,1.0,1,-0.54,-0.87,1452,stable,2.0
145,0.0,1,-0.56,-0.57,897,stable,2.0
146,0.0,1,-0.5,-0.79,1138,stable,2.0
147,0.0,1,-0.04,-0.88,910,stable,2.0
148,0.0,0,-0.4,-0.38,525,stable,2.0
149,1.0,1,-0.47,-0.86,1087,stable,2.0
150,0.0,1,-0.15,-0.49,857,stable,2.0
151,0.0,1,-0.17,-0.39,1017,stable,2.0
152,0.0,0,-0.76,-0.97,617,stable,2.0
153,0.0,1,-0.73,-0.14,1123,stable,2.0
154,0.0,1,-0.67,-0.29,747,stable,2.0
155,0.0,1,-0.48,-0.39,638,stable,2.0
156,0.0,1,-0.3,-0.87,613,stable,2.0
157,0.0,0,-0.13,-0.37,554,stable,2.0
158,0.0,1,-0.66,-0.59,687,stable,2.0
159,0.0,1,-0.2,-0.77,872,stable,2.0
160,0.0,1,-0.39,-0.28,769,stable,2.0
161,0.0,1,-0.61,-0.55,773,stable,2.0
162,0.0,1,-0.62,-0.02,4566,stable,2.0
163,0.0,0,-0.5,-0.8,893,stable,2.0
164,0.0,0,-0.6,-0.07,1177,stable,2.0
165,1.0,0,-0.76,-0.52,634,stable,2.0
