,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1254,volatile,0.0
1,0.0,0,-0.76,-0.69,1172,volatile,0.0
2,0.0,0,-0.73,-0.52,1468,volatile,0.0
3,1.0,0,-0.41,-0.43,1231,volatile,0.0
4,1.0,1,-0.25,-0.34,1016,volatile,0.0
5,1.0,0,-0.34,-0.48,1779,volatile,0.0
6,1.0,0,-0.3,-0.35,1333,volatile,0.0
7,1.0,0,-0.91,-0.42,1385,volatile,0.0
8,1.0,0,-0.7,-0.44,1222,volatile,0.0
9,1.0,1,-0.64,-0.5,1034,volatile,0.0
10,1.0,0,-0.28,-0.19,978,volatile,0.0
11,1.0,0,-0.02,-0.59,1084,volatile,0.0
12,1.0,0,-0.2,-0.09,1532,volatile,0.0
13,1.0,0,-0.32,-0.76,1332,volatile,0.0
14,1.0,0,-0.09,-0.98,1018,volatile,0.0
15,1.0,1,-0.62,-0.56,1296,volatile,0.0
16,0.0,0,-0.17,-0.16,1168,volatile,0.0
17,0.0,0,-0.74,-0.07,1554,volatile,0.0
18,1.0,0,-0.02,-0.41,1320,volatile,0.0
19,0.0,0,-0.7,-0.57,1464,volatile,0.0
20,1.0,1,-0.24,-0.28,1255,volatile,0.0
21,0.0,1,-0.59,-0.76,1071,volatile,0.0
22,0.0,0,-0.15,-0.19,1053,volatile,0.0
23,0.0,1,-0.5,-0.68,1149,volatile,0.0
24,1.0,0,-0.43,-0.68,901,volatile,0.0
25,1.0,1,-0.14,-0.19,959,volatile,0.0
26,0.0,1,-0.12,-0.11,914,volatile,0.0
27,0.0,1,-0.4,-0.36,1184,volatile,0.0
28,0.0,1,-0.88,-0.64,1401,volatile,0.0
29,0.0,1,-0.51,-0.03,801,volatile,0.0
30,0.0,1,-0.44,-0.76,1119,volatile,0.0
31,0.0,1,-0.23,-0.92,1121,volatile,0.0
32,0.0,1,-0.23,-0.14,1121,volatile,0.0
33,0.0,1,-0.94,-0.77,1184,volatile,0.0
34,0.0,0,-0.85,-0.2,1053,volatile,0.0
35,1.0,1,-0.86,-0.63,1182,volatile,0.0
36,0.0,0,-0.82,-0.56,821,volatile,0.0
37,1.0,0,-0.68,-0.63,859,volatile,0.0
38,1.0,0,-0.65,-0.8,1401,volatile,0.0
39,1.0,0,-0.25,-0.1,1186,volatile,0.0
40,1.0,0,-0.67,-0.8,1049,volatile,0.0
41,1.0,0,-0.82,-0.57,1032,volatile,0.0
42,1.0,0,-0.88,-0.47,937,volatile,0.0
43,1.0,1,-0.55,-0.99,932,volatile,0.0
44,0.0,1,-0.74,-0.67,670,volatile,0.0
45,1.0,0,-0.18,-0.27,1234,volatile,0.0
46,1.0,0,-0.15,-0.67,730,volatile,0.0
47,1.0,0,-0.91,-0.32,651,volatile,0.0
48,1.0,0,-0.66,-0.48,868,volatile,0.0
49,1.0,0,-0.67,-0.66,666,volatile,0.0
50,1.0,1,-0.11,-0.72,601,volatile,0.0
51,0.0,0,-0.36,-0.52,1280,volatile,0.0
52,1.0,0,-0.44,-0.76,801,volatile,0.0
53,1.0,0,-0.04,-0.37,763,volatile,0.0
54,1.0,0,-0.86,-0.09,1257,volatile,0.0
55,1.0,0,-0.99,-0.86,1238,volatile,0.0
56,1.0,0,-0.39,-0.9,1384,volatile,0.0
57,1.0,1,-0.82,-0.85,1295,volatile,0.0
58,1.0,0,-0.89,-0.99,1318,volatile,0.0
59,1.0,1,-0.88,-0.02,1223,volatile,0.0
60,1.0,0,-0.05,-0.33,1001,volatile,1.0
61,1.0,1,-0.35,-0.86,1622,volatile,1.0
62,1.0,1,-0.08,-0.13,1356,volatile,1.0
63,0.0,1,-0.78,-0.68,616,volatile,1.0
64,0.0,1,-0.05,-0.15,1125,volatile,1.0
65,0.0,1,-0.62,-0.42,1059,volatile,1.0
66,0.0,0,-0.95,-0.51,997,volatile,1.0
67,1.0,0,-0.59,-0.95,1622,volatile,1.0
68,0.0,0,-0.14,-0.98,1169,volatile,1.0
69,1.0,1,-0.05,-0.84,1101,volatile,1.0
70,1.0,1,-0.38,-0.5,1222,volatile,1.0
71,1.0,1,-0.45,-0.59,1224,volatile,1.0
72,1.0,1,-0.32,-0.72,1325,volatile,1.0
73,0.0,1,-0.02,-0.91,558,volatile,1.0
74,0.0,1,-0.72,-0.99,1063,volatile,1.0
75,0.0,1,-0.61,-0.43,1336,volatile,1.0
76,0.0,1,-0.24,-0.79,1521,volatile,1.0
77,0.0,1,-0.48,-0.15,1184,volatile,1.0
78,0.0,1,-0.5,-0.61,1103,volatile,1.0
79,0.0,1,-0.83,-0.34,1303,volatile,1.0
80,1.0,0,-0.84,-0.92,1490,volatile,1.0
81,1.0,0,-0.71,-0.05,1512,volatile,1.0
82,1.0,0,-0.5,-0.72,1316,volatile,1.0
83,1.0,1,-0.26,-0.29,1260,volatile,1.0
84,0.0,1,-0.37,-0.63,1705,volatile,1.0
85,0.0,0,-0.47,-0.12,1470,volatile,1.0
86,0.0,0,-0.36,-0.81,1732,volatile,1.0
87,0.0,0,-0.87,-0.59,1587,volatile,1.0
88,1.0,0,-0.26,-0.75,1754,volatile,1.0
89,1.0,0,-0.17,-0.19,1236,volatile,1.0
90,0.0,1,-0.44,-0.37,2061,stable,1.0
91,0.0,1,-0.66,-0.12,1409,stable,1.0
92,0.0,1,-0.98,-0.02,1198,stable,1.0
93,1.0,0,-0.57,-0.95,1564,stable,1.0
94,0.0,1,-0.28,-0.08,1404,stable,1.0
95,0.0,1,-0.3,-0.33,1823,stable,1.0
96,0.0,1,-0.27,-0.24,1538,stable,1.0
97,0.0,0,-0.58,-0.43,1229,stable,1.0
98,0.0,1,-0.72,-0.47,1573,stable,1.0
99,0.0,0,-0.45,-0.44,1636,stable,1.0
100,0.0,1,-0.69,-0.26,1466,stable,1.0
101,1.0,1,-0.06,-0.41,1351,stable,1.0
102,0.0,0,-0.88,-0.34,1855,stable,1.0
103,1.0,0,-0.73,-0.2,1167,stable,1.0
104,0.0,1,-0.6,-0.25,1539,stable,1.0
105,0.0,0,-0.98,-0.06,1238,stable,1.0
106,0.0,0,-0.48,-0.39,2000,stable,1.0
107,1.0,1,-0.35,-0.95,1375,stable,1.0
108,1.0,1,-0.67,-0.85,1886,stable,1.0
109,0.0,1,-0.54,-0.22,2105,stable,1.0
110,1.0,0,-0.23,-0.9,1566,stable,1.0
111,0.0,1,-0.98,-0.41,1483,stable,1.0
112,1.0,1,-0.58,-0.8,1484,stable,1.0
113,1.0,0,-0.52,-0.85,1585,stable,1.0
114,0.0,0,-0.83,-0.15,1247,stable,1.0
115,0.0,1,-0.18,-0.16,1574,stable,1.0
116,1.0,1,-0.56,-0.7,1413,stable,1.0
117,1.0,1,-0.59,-0.95,1299,stable,1.0
118,0.0,1,-0.68,-0.18,1545,stable,1.0
119,0.0,1,-0.3,-0.16,1278,stable,1.0
120,0.0,0,-0.86,-0.37,1338,stable,2.0
121,0.0,1,-0.47,-0.44,1829,stable,2.0
122,1.0,1,-0.03,-0.91,1138,stable,2.0
123,0.0,0,-0.6,-0.1,1515,stable,2.0
124,1.0,1,-0.54,-0.84,1534,stable,2.0
125,1.0,1,-0.34,-0.95,1245,stable,2.0
126,0.0,0,-0.96,-0.28,1254,stable,2.0
127,1.0,1,-0.83,-0.94,1368,stable,2.0
128,0.0,1,-0.23,-0.86,1690,stable,2.0
129,0.0,1,-0.99,-0.2,1164,stable,2.0
130,0.0,1,-0.29,-0.91,1731,stable,2.0
131,0.0,0,-0.88,-0.64,1738,stable,2.0
132,1.0,1,-0.84,-0.8,1966,stable,2.0
133,1.0,0,-0.61,-0.88,1340,stable,2.0
134,1.0,1,-0.23,-0.77,1430,stable,2.0
135,0.0,1,-0.87,-0.54,1284,stable,2.0
136,1.0,1,-0.25,-0.9,1368,stable,2.0
137,0.0,0,-0.71,-0.44,1060,stable,2.0
138,1.0,1,-0.42,-0.52,1357,stable,2.0
139,1.0,1,-0.39,-0.94,1018,stable,2.0
140,0.0,1,-0.39,-0.24,1011,stable,2.0
141,0.0,0,-0.2,-0.1,1031,stable,2.0
142,0.0,0,-0.85,-0.43,1125,stable,2.0
143,0.0,0,-0.77,-0.02,938,stable,2.0
144,1.0,1,-0.54,-0.87,1554,stable,2.0
145,0.0,1,-0.56,-0.57,948,stable,2.0
146,1.0,1,-0.5,-0.79,2147,stable,2.0
147,1.0,1,-0.04,-0.88,1265,stable,2.0
148,0.0,0,-0.4,-0.38,1003,stable,2.0
149,1.0,1,-0.47,-0.86,924,stable,2.0
150,1.0,1,-0.15,-0.49,1417,stable,2.0
151,0.0,1,-0.17,-0.39,1102,stable,2.0
152,0.0,0,-0.76,-0.97,651,stable,2.0
153,0.0,1,-0.73,-0.14,763,stable,2.0
154,1.0,1,-0.67,-0.29,903,stable,2.0
155,0.0,1,-0.48,-0.39,748,stable,2.0
156,0.0,1,-0.3,-0.87,819,stable,2.0
157,0.0,0,-0.13,-0.37,813,stable,2.0
158,0.0,1,-0.66,-0.59,1142,stable,2.0
159,1.0,1,-0.2,-0.77,1242,stable,2.0
160,0.0,1,-0.39,-0.28,985,stable,2.0
161,0.0,1,-0.61,-0.55,720,stable,2.0
162,0.0,1,-0.62,-0.02,1255,stable,2.0
163,0.0,0,-0.5,-0.8,1117,stable,2.0
164,0.0,0,-0.6,-0.07,1053,stable,2.0
165,1.0,0,-0.76,-0.52,634,stable,2.0
166,1.0,1,-0.49,-0.14,899,stable,2.0
167,0.0,1,-0.46,-0.36,844,stable,2.0
168,0.0,1,-0.84,-0.29,1084,stable,2.0
169,0.0,1,-0.44,-0.47,947,stable,2.0
170,0.0,1,-0.73,-0.44,896,stable,2.0
171,0.0,1,-0.3,-0.95,1184,stable,2.0
