,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,1455,volatile,0.0
1,0.0,0,-0.76,-0.69,759,volatile,0.0
2,0.0,0,-0.73,-0.52,885,volatile,0.0
3,1.0,0,-0.41,-0.43,635,volatile,0.0
4,1.0,1,-0.25,-0.34,580,volatile,0.0
5,1.0,0,-0.34,-0.48,783,volatile,0.0
6,0.0,0,-0.3,-0.35,917,volatile,0.0
7,1.0,0,-0.91,-0.42,1033,volatile,0.0
8,1.0,0,-0.7,-0.44,925,volatile,0.0
9,0.0,1,-0.64,-0.5,1074,volatile,0.0
10,0.0,0,-0.28,-0.19,557,volatile,0.0
11,0.0,0,-0.02,-0.59,538,volatile,0.0
12,0.0,0,-0.2,-0.09,819,volatile,0.0
13,1.0,0,-0.32,-0.76,647,volatile,0.0
14,1.0,0,-0.09,-0.98,505,volatile,0.0
15,0.0,1,-0.62,-0.56,423,volatile,0.0
16,1.0,0,-0.17,-0.16,570,volatile,0.0
17,0.0,0,-0.74,-0.07,400,volatile,0.0
18,0.0,0,-0.02,-0.41,501,volatile,0.0
19,1.0,0,-0.7,-0.57,1022,volatile,0.0
20,1.0,1,-0.24,-0.28,1139,volatile,0.0
21,0.0,1,-0.59,-0.76,871,volatile,0.0
22,1.0,0,-0.15,-0.19,964,volatile,0.0
23,0.0,1,-0.5,-0.68,1050,volatile,0.0
24,1.0,0,-0.43,-0.68,903,volatile,0.0
25,0.0,1,-0.14,-0.19,955,volatile,0.0
26,0.0,1,-0.12,-0.11,1168,volatile,0.0
27,0.0,1,-0.4,-0.36,803,volatile,0.0
28,1.0,1,-0.88,-0.64,1135,volatile,0.0
29,0.0,1,-0.51,-0.03,1221,volatile,0.0
30,0.0,1,-0.44,-0.76,969,volatile,0.0
31,0.0,1,-0.23,-0.92,1152,volatile,0.0
32,1.0,1,-0.23,-0.14,941,volatile,0.0
33,0.0,1,-0.94,-0.77,970,volatile,0.0
34,0.0,0,-0.85,-0.2,1016,volatile,0.0
35,1.0,1,-0.86,-0.63,1008,volatile,0.0
36,0.0,0,-0.82,-0.56,1054,volatile,0.0
37,1.0,0,-0.68,-0.63,673,volatile,0.0
38,1.0,0,-0.65,-0.8,1117,volatile,0.0
39,0.0,0,-0.25,-0.1,1025,volatile,0.0
40,0.0,0,-0.67,-0.8,1091,volatile,0.0
41,1.0,0,-0.82,-0.57,1019,volatile,0.0
42,1.0,0,-0.88,-0.47,986,volatile,0.0
43,1.0,1,-0.55,-0.99,1270,volatile,0.0
44,1.0,1,-0.74,-0.67,1218,volatile,0.0
45,1.0,0,-0.18,-0.27,1447,volatile,0.0
46,1.0,0,-0.15,-0.67,886,volatile,0.0
47,0.0,0,-0.91,-0.32,870,volatile,0.0
48,1.0,0,-0.66,-0.48,887,volatile,0.0
49,0.0,0,-0.67,-0.66,833,volatile,0.0
50,1.0,1,-0.11,-0.72,877,volatile,0.0
51,0.0,0,-0.36,-0.52,957,volatile,0.0
52,1.0,0,-0.44,-0.76,822,volatile,0.0
53,1.0,0,-0.04,-0.37,929,volatile,0.0
54,0.0,0,-0.86,-0.09,1046,volatile,0.0
55,1.0,0,-0.99,-0.86,1489,volatile,0.0
56,1.0,0,-0.39,-0.9,1062,volatile,0.0
57,0.0,1,-0.82,-0.85,1032,volatile,0.0
58,0.0,0,-0.89,-0.99,1047,volatile,0.0
59,0.0,1,-0.88,-0.02,854,volatile,0.0
60,1.0,0,-0.05,-0.33,1086,volatile,1.0
61,0.0,1,-0.35,-0.86,1240,volatile,1.0
62,1.0,1,-0.08,-0.13,947,volatile,1.0
63,0.0,1,-0.78,-0.68,704,volatile,1.0
64,1.0,1,-0.05,-0.15,886,volatile,1.0
65,0.0,1,-0.62,-0.42,1026,volatile,1.0
66,0.0,0,-0.95,-0.51,955,volatile,1.0
67,1.0,0,-0.59,-0.95,951,volatile,1.0
68,1.0,0,-0.14,-0.98,937,volatile,1.0
69,1.0,1,-0.05,-0.84,855,volatile,1.0
70,1.0,1,-0.38,-0.5,884,volatile,1.0
71,1.0,1,-0.45,-0.59,1000,volatile,1.0
72,0.0,1,-0.32,-0.72,833,volatile,1.0
73,1.0,1,-0.02,-0.91,828,volatile,1.0
74,0.0,1,-0.72,-0.99,816,volatile,1.0
75,1.0,1,-0.61,-0.43,900,volatile,1.0
76,0.0,1,-0.24,-0.79,620,volatile,1.0
77,1.0,1,-0.48,-0.15,901,volatile,1.0
78,1.0,1,-0.5,-0.61,854,volatile,1.0
79,0.0,1,-0.83,-0.34,938,volatile,1.0
80,1.0,0,-0.84,-0.92,971,volatile,1.0
81,0.0,0,-0.71,-0.05,759,volatile,1.0
82,0.0,0,-0.5,-0.72,769,volatile,1.0
83,1.0,1,-0.26,-0.29,823,volatile,1.0
84,1.0,1,-0.37,-0.63,847,volatile,1.0
85,0.0,0,-0.47,-0.12,1021,volatile,1.0
86,1.0,0,-0.36,-0.81,1233,volatile,1.0
87,1.0,0,-0.87,-0.59,798,volatile,1.0
88,1.0,0,-0.26,-0.75,567,volatile,1.0
89,0.0,0,-0.17,-0.19,938,volatile,1.0
90,1.0,1,-0.44,-0.37,1155,stable,1.0
91,0.0,1,-0.66,-0.12,467,stable,1.0
92,0.0,1,-0.98,-0.02,768,stable,1.0
93,1.0,0,-0.57,-0.95,733,stable,1.0
94,0.0,1,-0.28,-0.08,752,stable,1.0
95,0.0,1,-0.3,-0.33,754,stable,1.0
96,0.0,1,-0.27,-0.24,533,stable,1.0
97,0.0,0,-0.58,-0.43,911,stable,1.0
98,1.0,1,-0.72,-0.47,607,stable,1.0
99,0.0,0,-0.45,-0.44,406,stable,1.0
100,1.0,1,-0.69,-0.26,522,stable,1.0
101,1.0,1,-0.06,-0.41,657,stable,1.0
102,0.0,0,-0.88,-0.34,854,stable,1.0
103,0.0,0,-0.73,-0.2,888,stable,1.0
104,1.0,1,-0.6,-0.25,804,stable,1.0
105,0.0,0,-0.98,-0.06,654,stable,1.0
106,1.0,0,-0.48,-0.39,769,stable,1.0
107,1.0,1,-0.35,-0.95,433,stable,1.0
108,0.0,1,-0.67,-0.85,484,stable,1.0
109,0.0,1,-0.54,-0.22,385,stable,1.0
110,0.0,0,-0.23,-0.9,253,stable,1.0
111,1.0,1,-0.98,-0.41,716,stable,1.0
112,1.0,1,-0.58,-0.8,801,stable,1.0
113,0.0,0,-0.52,-0.85,420,stable,1.0
114,0.0,0,-0.83,-0.15,268,stable,1.0
115,1.0,1,-0.18,-0.16,569,stable,1.0
116,1.0,1,-0.56,-0.7,514,stable,1.0
117,0.0,1,-0.59,-0.95,879,stable,1.0
118,0.0,1,-0.68,-0.18,433,stable,1.0
119,0.0,1,-0.3,-0.16,267,stable,1.0
120,0.0,0,-0.86,-0.37,685,stable,2.0
121,1.0,1,-0.47,-0.44,405,stable,2.0
122,1.0,1,-0.03,-0.91,607,stable,2.0
123,0.0,0,-0.6,-0.1,701,stable,2.0
124,0.0,1,-0.54,-0.84,784,stable,2.0
125,1.0,1,-0.34,-0.95,902,stable,2.0
126,0.0,0,-0.96,-0.28,639,stable,2.0
127,1.0,1,-0.83,-0.94,601,stable,2.0
128,1.0,1,-0.23,-0.86,486,stable,2.0
129,0.0,1,-0.99,-0.2,786,stable,2.0
130,1.0,1,-0.29,-0.91,955,stable,2.0
131,1.0,0,-0.88,-0.64,752,stable,2.0
132,0.0,1,-0.84,-0.8,710,stable,2.0
133,0.0,0,-0.61,-0.88,401,stable,2.0
134,0.0,1,-0.23,-0.77,418,stable,2.0
135,0.0,1,-0.87,-0.54,962,stable,2.0
136,0.0,1,-0.25,-0.9,654,stable,2.0
137,1.0,0,-0.71,-0.44,494,stable,2.0
138,1.0,1,-0.42,-0.52,403,stable,2.0
139,1.0,1,-0.39,-0.94,438,stable,2.0
140,0.0,1,-0.39,-0.24,473,stable,2.0
141,1.0,0,-0.2,-0.1,736,stable,2.0
142,0.0,0,-0.85,-0.43,385,stable,2.0
143,0.0,0,-0.77,-0.02,786,stable,2.0
144,0.0,1,-0.54,-0.87,815,stable,2.0
145,1.0,1,-0.56,-0.57,578,stable,2.0
146,0.0,1,-0.5,-0.79,524,stable,2.0
147,0.0,1,-0.04,-0.88,537,stable,2.0
148,0.0,0,-0.4,-0.38,516,stable,2.0
149,1.0,1,-0.47,-0.86,599,stable,2.0
150,0.0,1,-0.15,-0.49,648,stable,2.0
151,0.0,1,-0.17,-0.39,535,stable,2.0
152,0.0,0,-0.76,-0.97,594,stable,2.0
153,0.0,1,-0.73,-0.14,670,stable,2.0
154,0.0,1,-0.67,-0.29,677,stable,2.0
155,0.0,1,-0.48,-0.39,400,stable,2.0
156,0.0,1,-0.3,-0.87,636,stable,2.0
157,1.0,0,-0.13,-0.37,716,stable,2.0
158,1.0,1,-0.66,-0.59,719,stable,2.0
159,1.0,1,-0.2,-0.77,841,stable,2.0
160,1.0,1,-0.39,-0.28,769,stable,2.0
161,0.0,1,-0.61,-0.55,736,stable,2.0
162,1.0,1,-0.62,-0.02,454,stable,2.0
163,1.0,0,-0.5,-0.8,884,stable,2.0
164,0.0,0,-0.6,-0.07,454,stable,2.0
