,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,882,stable,0.0
1,1.0,1,-0.66,-0.12,986,stable,0.0
2,1.0,1,-0.98,-0.02,863,stable,0.0
3,1.0,0,-0.57,-0.95,903,stable,0.0
4,1.0,1,-0.28,-0.08,844,stable,0.0
5,1.0,1,-0.3,-0.33,748,stable,0.0
6,1.0,1,-0.27,-0.24,773,stable,0.0
7,1.0,0,-0.58,-0.43,813,stable,0.0
8,1.0,1,-0.72,-0.47,756,stable,0.0
9,1.0,0,-0.45,-0.44,537,stable,0.0
10,1.0,1,-0.69,-0.26,782,stable,0.0
11,0.0,1,-0.06,-0.41,678,stable,0.0
12,0.0,0,-0.88,-0.34,1217,stable,0.0
13,1.0,0,-0.73,-0.2,1158,stable,0.0
14,1.0,1,-0.6,-0.25,713,stable,0.0
15,0.0,0,-0.98,-0.06,722,stable,0.0
16,0.0,0,-0.48,-0.39,748,stable,0.0
17,0.0,1,-0.35,-0.95,722,stable,0.0
18,0.0,1,-0.67,-0.85,699,stable,0.0
19,0.0,1,-0.54,-0.22,643,stable,0.0
20,0.0,0,-0.23,-0.9,669,stable,0.0
21,1.0,1,-0.98,-0.41,604,stable,0.0
22,1.0,1,-0.58,-0.8,510,stable,0.0
23,0.0,0,-0.52,-0.85,869,stable,0.0
24,0.0,0,-0.83,-0.15,889,stable,0.0
25,0.0,1,-0.18,-0.16,667,stable,0.0
26,0.0,1,-0.56,-0.7,634,stable,0.0
27,0.0,1,-0.59,-0.95,755,stable,0.0
28,0.0,1,-0.68,-0.18,692,stable,0.0
29,0.0,1,-0.3,-0.16,713,stable,0.0
30,0.0,0,-0.86,-0.37,1105,stable,0.0
31,0.0,1,-0.47,-0.44,1032,stable,0.0
32,0.0,1,-0.03,-0.91,649,stable,0.0
33,1.0,0,-0.6,-0.1,700,stable,0.0
34,1.0,1,-0.54,-0.84,730,stable,0.0
35,1.0,1,-0.34,-0.95,735,stable,0.0
36,1.0,0,-0.96,-0.28,631,stable,0.0
37,1.0,1,-0.83,-0.94,851,stable,0.0
38,1.0,1,-0.23,-0.86,1234,stable,0.0
39,1.0,1,-0.99,-0.2,680,stable,0.0
40,0.0,1,-0.29,-0.91,855,stable,0.0
41,0.0,0,-0.88,-0.64,737,stable,0.0
42,0.0,1,-0.84,-0.8,718,stable,0.0
43,0.0,0,-0.61,-0.88,678,stable,0.0
44,0.0,1,-0.23,-0.77,755,stable,0.0
45,0.0,1,-0.87,-0.54,2312,stable,0.0
46,1.0,1,-0.25,-0.9,717,stable,0.0
47,0.0,0,-0.71,-0.44,630,stable,0.0
48,0.0,1,-0.42,-0.52,591,stable,0.0
49,0.0,1,-0.39,-0.94,652,stable,0.0
50,0.0,1,-0.39,-0.24,769,stable,0.0
51,0.0,0,-0.2,-0.1,673,stable,0.0
52,0.0,0,-0.85,-0.43,660,stable,0.0
53,0.0,0,-0.77,-0.02,1430,stable,0.0
54,0.0,1,-0.54,-0.87,528,stable,0.0
55,0.0,1,-0.56,-0.57,546,stable,0.0
56,0.0,1,-0.5,-0.79,662,stable,0.0
57,0.0,1,-0.04,-0.88,706,stable,0.0
58,1.0,0,-0.4,-0.38,705,stable,0.0
59,0.0,1,-0.47,-0.86,767,stable,0.0
60,0.0,1,-0.15,-0.49,733,stable,1.0
61,1.0,1,-0.17,-0.39,772,stable,1.0
62,1.0,0,-0.76,-0.97,867,stable,1.0
63,1.0,1,-0.73,-0.14,1422,stable,1.0
64,1.0,1,-0.67,-0.29,688,stable,1.0
65,0.0,1,-0.48,-0.39,847,stable,1.0
66,0.0,1,-0.3,-0.87,667,stable,1.0
67,0.0,0,-0.13,-0.37,627,stable,1.0
68,1.0,1,-0.66,-0.59,710,stable,1.0
69,1.0,1,-0.2,-0.77,645,stable,1.0
70,0.0,1,-0.39,-0.28,689,stable,1.0
71,1.0,1,-0.61,-0.55,575,stable,1.0
72,1.0,1,-0.62,-0.02,594,stable,1.0
73,0.0,0,-0.5,-0.8,765,stable,1.0
74,0.0,0,-0.6,-0.07,725,stable,1.0
75,1.0,0,-0.76,-0.52,667,stable,1.0
76,0.0,1,-0.49,-0.14,622,stable,1.0
77,1.0,1,-0.46,-0.36,693,stable,1.0
78,0.0,1,-0.84,-0.29,690,stable,1.0
79,1.0,1,-0.44,-0.47,734,stable,1.0
80,1.0,1,-0.73,-0.44,622,stable,1.0
81,0.0,1,-0.3,-0.95,701,stable,1.0
82,1.0,0,-0.8,-0.39,726,stable,1.0
83,0.0,1,-0.67,-0.61,637,stable,1.0
84,0.0,1,-0.95,-0.61,690,stable,1.0
85,0.0,1,-0.65,-0.19,607,stable,1.0
86,0.0,1,-0.72,-0.33,547,stable,1.0
87,1.0,0,-0.87,-0.17,789,stable,1.0
88,1.0,1,-0.65,-0.53,701,stable,1.0
89,1.0,1,-0.38,-0.76,604,stable,1.0
90,0.0,1,-0.41,-0.2,896,volatile,1.0
91,1.0,0,-0.76,-0.69,594,volatile,1.0
92,0.0,0,-0.73,-0.52,615,volatile,1.0
93,0.0,0,-0.41,-0.43,658,volatile,1.0
94,0.0,1,-0.25,-0.34,701,volatile,1.0
95,0.0,0,-0.34,-0.48,653,volatile,1.0
96,0.0,0,-0.3,-0.35,641,volatile,1.0
97,1.0,0,-0.91,-0.42,804,volatile,1.0
98,1.0,0,-0.7,-0.44,812,volatile,1.0
99,1.0,1,-0.64,-0.5,542,volatile,1.0
100,0.0,0,-0.28,-0.19,681,volatile,1.0
101,0.0,0,-0.02,-0.59,748,volatile,1.0
102,0.0,0,-0.2,-0.09,591,volatile,1.0
103,0.0,0,-0.32,-0.76,791,volatile,1.0
104,0.0,0,-0.09,-0.98,842,volatile,1.0
105,0.0,1,-0.62,-0.56,664,volatile,1.0
106,0.0,0,-0.17,-0.16,606,volatile,1.0
107,0.0,0,-0.74,-0.07,642,volatile,1.0
108,0.0,0,-0.02,-0.41,920,volatile,1.0
109,0.0,0,-0.7,-0.57,626,volatile,1.0
110,0.0,1,-0.24,-0.28,663,volatile,1.0
111,0.0,1,-0.59,-0.76,706,volatile,1.0
112,1.0,0,-0.15,-0.19,576,volatile,1.0
113,0.0,1,-0.5,-0.68,725,volatile,1.0
114,1.0,0,-0.43,-0.68,617,volatile,1.0
115,1.0,1,-0.14,-0.19,638,volatile,1.0
116,1.0,1,-0.12,-0.11,564,volatile,1.0
117,0.0,1,-0.4,-0.36,714,volatile,1.0
118,0.0,1,-0.88,-0.64,587,volatile,1.0
119,1.0,1,-0.51,-0.03,719,volatile,1.0
120,1.0,1,-0.44,-0.76,627,volatile,2.0
121,0.0,1,-0.23,-0.92,634,volatile,2.0
122,0.0,1,-0.23,-0.14,555,volatile,2.0
123,0.0,1,-0.94,-0.77,608,volatile,2.0
124,0.0,0,-0.85,-0.2,546,volatile,2.0
125,0.0,1,-0.86,-0.63,780,volatile,2.0
126,0.0,0,-0.82,-0.56,741,volatile,2.0
127,1.0,0,-0.68,-0.63,843,volatile,2.0
128,1.0,0,-0.65,-0.8,702,volatile,2.0
129,1.0,0,-0.25,-0.1,677,volatile,2.0
130,0.0,0,-0.67,-0.8,593,volatile,2.0
131,1.0,0,-0.82,-0.57,727,volatile,2.0
132,0.0,0,-0.88,-0.47,753,volatile,2.0
133,1.0,1,-0.55,-0.99,578,volatile,2.0
134,0.0,1,-0.74,-0.67,748,volatile,2.0
135,0.0,0,-0.18,-0.27,1042,volatile,2.0
136,0.0,0,-0.15,-0.67,674,volatile,2.0
137,0.0,0,-0.91,-0.32,1286,volatile,2.0
138,0.0,0,-0.66,-0.48,1165,volatile,2.0
139,0.0,0,-0.67,-0.66,590,volatile,2.0
140,1.0,1,-0.11,-0.72,551,volatile,2.0
141,0.0,0,-0.36,-0.52,1116,volatile,2.0
142,1.0,0,-0.44,-0.76,1204,volatile,2.0
143,1.0,0,-0.04,-0.37,614,volatile,2.0
144,1.0,0,-0.86,-0.09,1099,volatile,2.0
145,1.0,0,-0.99,-0.86,915,volatile,2.0
146,0.0,0,-0.39,-0.9,1244,volatile,2.0
147,1.0,1,-0.82,-0.85,729,volatile,2.0
148,1.0,0,-0.89,-0.99,655,volatile,2.0
149,0.0,1,-0.88,-0.02,923,volatile,2.0
150,0.0,0,-0.05,-0.33,665,volatile,2.0
151,0.0,1,-0.35,-0.86,567,volatile,2.0
152,1.0,1,-0.08,-0.13,584,volatile,2.0
153,1.0,1,-0.78,-0.68,618,volatile,2.0
154,0.0,1,-0.05,-0.15,581,volatile,2.0
155,0.0,1,-0.62,-0.42,706,volatile,2.0
156,0.0,0,-0.95,-0.51,752,volatile,2.0
157,1.0,0,-0.59,-0.95,670,volatile,2.0
158,1.0,0,-0.14,-0.98,1146,volatile,2.0
159,1.0,1,-0.05,-0.84,918,volatile,2.0
160,0.0,1,-0.38,-0.5,983,volatile,2.0
161,1.0,1,-0.45,-0.59,707,volatile,2.0
162,1.0,1,-0.32,-0.72,803,volatile,2.0
163,1.0,1,-0.02,-0.91,626,volatile,2.0
164,1.0,1,-0.72,-0.99,1070,volatile,2.0
165,1.0,1,-0.61,-0.43,711,volatile,2.0
166,1.0,1,-0.24,-0.79,998,volatile,2.0
167,1.0,1,-0.48,-0.15,629,volatile,2.0
168,1.0,1,-0.5,-0.61,2421,volatile,2.0
169,1.0,1,-0.83,-0.34,842,volatile,2.0
170,0.0,0,-0.84,-0.92,609,volatile,2.0
171,1.0,0,-0.71,-0.05,847,volatile,2.0
172,0.0,0,-0.5,-0.72,1079,volatile,2.0
173,1.0,1,-0.26,-0.29,655,volatile,2.0
174,1.0,1,-0.37,-0.63,692,volatile,2.0
175,0.0,0,-0.47,-0.12,729,volatile,2.0
176,0.0,0,-0.36,-0.81,777,volatile,2.0
177,1.0,0,-0.87,-0.59,682,volatile,2.0
178,1.0,0,-0.26,-0.75,614,volatile,2.0
179,1.0,0,-0.17,-0.19,786,volatile,2.0
