,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1036,volatile,0.0
1,1.0,0,-0.76,-0.69,637,volatile,0.0
2,1.0,0,-0.73,-0.52,362,volatile,0.0
3,1.0,0,-0.41,-0.43,421,volatile,0.0
4,0.0,1,-0.25,-0.34,448,volatile,0.0
5,1.0,0,-0.34,-0.48,402,volatile,0.0
6,1.0,0,-0.3,-0.35,366,volatile,0.0
7,1.0,0,-0.91,-0.42,360,volatile,0.0
8,0.0,0,-0.7,-0.44,366,volatile,0.0
9,0.0,1,-0.64,-0.5,365,volatile,0.0
10,0.0,0,-0.28,-0.19,531,volatile,0.0
11,0.0,0,-0.02,-0.59,372,volatile,0.0
12,0.0,0,-0.2,-0.09,426,volatile,0.0
13,0.0,0,-0.32,-0.76,545,volatile,0.0
14,0.0,0,-0.09,-0.98,427,volatile,0.0
15,1.0,1,-0.62,-0.56,481,volatile,0.0
16,1.0,0,-0.17,-0.16,344,volatile,0.0
17,0.0,0,-0.74,-0.07,380,volatile,0.0
18,0.0,0,-0.02,-0.41,448,volatile,0.0
19,0.0,0,-0.7,-0.57,295,volatile,0.0
20,0.0,1,-0.24,-0.28,575,volatile,0.0
21,1.0,1,-0.59,-0.76,607,volatile,0.0
22,1.0,0,-0.15,-0.19,286,volatile,0.0
23,0.0,1,-0.5,-0.68,313,volatile,0.0
24,0.0,0,-0.43,-0.68,506,volatile,0.0
25,1.0,1,-0.14,-0.19,340,volatile,0.0
26,0.0,1,-0.12,-0.11,342,volatile,0.0
27,1.0,1,-0.4,-0.36,322,volatile,0.0
28,0.0,1,-0.88,-0.64,331,volatile,0.0
29,0.0,1,-0.51,-0.03,402,volatile,0.0
30,1.0,1,-0.44,-0.76,441,volatile,0.0
31,0.0,1,-0.23,-0.92,497,volatile,0.0
32,0.0,1,-0.23,-0.14,948,volatile,0.0
33,0.0,1,-0.94,-0.77,746,volatile,0.0
34,0.0,0,-0.85,-0.2,513,volatile,0.0
35,1.0,1,-0.86,-0.63,407,volatile,0.0
36,0.0,0,-0.82,-0.56,432,volatile,0.0
37,1.0,0,-0.68,-0.63,428,volatile,0.0
38,0.0,0,-0.65,-0.8,353,volatile,0.0
39,1.0,0,-0.25,-0.1,355,volatile,0.0
40,0.0,0,-0.67,-0.8,339,volatile,0.0
41,0.0,0,-0.82,-0.57,373,volatile,0.0
42,0.0,0,-0.88,-0.47,275,volatile,0.0
43,1.0,1,-0.55,-0.99,321,volatile,0.0
44,1.0,1,-0.74,-0.67,364,volatile,0.0
45,0.0,0,-0.18,-0.27,1313,volatile,0.0
46,1.0,0,-0.15,-0.67,368,volatile,0.0
47,1.0,0,-0.91,-0.32,366,volatile,0.0
48,1.0,0,-0.66,-0.48,379,volatile,0.0
49,0.0,0,-0.67,-0.66,375,volatile,0.0
50,0.0,1,-0.11,-0.72,366,volatile,0.0
51,0.0,0,-0.36,-0.52,530,volatile,0.0
52,0.0,0,-0.44,-0.76,516,volatile,0.0
53,1.0,0,-0.04,-0.37,581,volatile,0.0
54,1.0,0,-0.86,-0.09,506,volatile,0.0
55,0.0,0,-0.99,-0.86,432,volatile,0.0
56,1.0,0,-0.39,-0.9,461,volatile,0.0
57,1.0,1,-0.82,-0.85,756,volatile,0.0
58,0.0,0,-0.89,-0.99,590,volatile,0.0
59,0.0,1,-0.88,-0.02,520,volatile,0.0
60,0.0,0,-0.05,-0.33,626,volatile,1.0
61,1.0,1,-0.35,-0.86,332,volatile,1.0
62,1.0,1,-0.08,-0.13,384,volatile,1.0
63,1.0,1,-0.78,-0.68,450,volatile,1.0
64,0.0,1,-0.05,-0.15,522,volatile,1.0
65,1.0,1,-0.62,-0.42,403,volatile,1.0
66,0.0,0,-0.95,-0.51,501,volatile,1.0
67,1.0,0,-0.59,-0.95,408,volatile,1.0
68,1.0,0,-0.14,-0.98,545,volatile,1.0
69,1.0,1,-0.05,-0.84,447,volatile,1.0
70,0.0,1,-0.38,-0.5,574,volatile,1.0
71,0.0,1,-0.45,-0.59,524,volatile,1.0
72,0.0,1,-0.32,-0.72,599,volatile,1.0
73,0.0,1,-0.02,-0.91,540,volatile,1.0
74,0.0,1,-0.72,-0.99,336,volatile,1.0
75,1.0,1,-0.61,-0.43,545,volatile,1.0
76,0.0,1,-0.24,-0.79,361,volatile,1.0
77,1.0,1,-0.48,-0.15,373,volatile,1.0
78,0.0,1,-0.5,-0.61,437,volatile,1.0
79,1.0,1,-0.83,-0.34,463,volatile,1.0
80,1.0,0,-0.84,-0.92,389,volatile,1.0
81,0.0,0,-0.71,-0.05,624,volatile,1.0
82,1.0,0,-0.5,-0.72,574,volatile,1.0
83,0.0,1,-0.26,-0.29,448,volatile,1.0
84,0.0,1,-0.37,-0.63,563,volatile,1.0
85,1.0,0,-0.47,-0.12,564,volatile,1.0
86,1.0,0,-0.36,-0.81,487,volatile,1.0
87,0.0,0,-0.87,-0.59,359,volatile,1.0
88,0.0,0,-0.26,-0.75,459,volatile,1.0
89,0.0,0,-0.17,-0.19,481,volatile,1.0
90,1.0,1,-0.44,-0.37,1214,stable,1.0
91,1.0,1,-0.66,-0.12,471,stable,1.0
92,1.0,1,-0.98,-0.02,395,stable,1.0
93,1.0,0,-0.57,-0.95,381,stable,1.0
94,1.0,1,-0.28,-0.08,459,stable,1.0
95,0.0,1,-0.3,-0.33,391,stable,1.0
96,0.0,1,-0.27,-0.24,450,stable,1.0
97,0.0,0,-0.58,-0.43,458,stable,1.0
98,0.0,1,-0.72,-0.47,508,stable,1.0
99,1.0,0,-0.45,-0.44,443,stable,1.0
100,1.0,1,-0.69,-0.26,448,stable,1.0
101,1.0,1,-0.06,-0.41,547,stable,1.0
102,0.0,0,-0.88,-0.34,497,stable,1.0
103,0.0,0,-0.73,-0.2,469,stable,1.0
104,1.0,1,-0.6,-0.25,447,stable,1.0
105,0.0,0,-0.98,-0.06,484,stable,1.0
106,1.0,0,-0.48,-0.39,368,stable,1.0
107,1.0,1,-0.35,-0.95,464,stable,1.0
108,0.0,1,-0.67,-0.85,408,stable,1.0
109,0.0,1,-0.54,-0.22,372,stable,1.0
110,1.0,0,-0.23,-0.9,470,stable,1.0
111,1.0,1,-0.98,-0.41,674,stable,1.0
112,0.0,1,-0.58,-0.8,397,stable,1.0
