,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1897,volatile,0.0
1,0.0,0,-0.76,-0.69,1653,volatile,0.0
2,0.0,0,-0.73,-0.52,1236,volatile,0.0
3,0.0,0,-0.41,-0.43,1143,volatile,0.0
4,1.0,1,-0.25,-0.34,1423,volatile,0.0
5,1.0,0,-0.34,-0.48,2172,volatile,0.0
6,1.0,0,-0.3,-0.35,1285,volatile,0.0
7,1.0,0,-0.91,-0.42,2591,volatile,0.0
8,1.0,0,-0.7,-0.44,1550,volatile,0.0
9,1.0,1,-0.64,-0.5,984,volatile,0.0
10,1.0,0,-0.28,-0.19,2470,volatile,0.0
11,1.0,0,-0.02,-0.59,2313,volatile,0.0
12,0.0,0,-0.2,-0.09,2296,volatile,0.0
13,0.0,0,-0.32,-0.76,1967,volatile,0.0
14,1.0,0,-0.09,-0.98,2017,volatile,0.0
15,1.0,1,-0.62,-0.56,1375,volatile,0.0
16,1.0,0,-0.17,-0.16,953,volatile,0.0
17,0.0,0,-0.74,-0.07,1782,volatile,0.0
18,1.0,0,-0.02,-0.41,2373,volatile,0.0
19,1.0,0,-0.7,-0.57,2131,volatile,0.0
20,1.0,1,-0.24,-0.28,2246,volatile,0.0
21,1.0,1,-0.59,-0.76,1095,volatile,0.0
22,1.0,0,-0.15,-0.19,1501,volatile,0.0
23,1.0,1,-0.5,-0.68,1518,volatile,0.0
24,1.0,0,-0.43,-0.68,848,volatile,0.0
25,1.0,1,-0.14,-0.19,1236,volatile,0.0
26,0.0,1,-0.12,-0.11,1220,volatile,0.0
27,0.0,1,-0.4,-0.36,1452,volatile,0.0
28,1.0,1,-0.88,-0.64,1987,volatile,0.0
29,0.0,1,-0.51,-0.03,1361,volatile,0.0
30,1.0,1,-0.44,-0.76,1471,volatile,0.0
31,1.0,1,-0.23,-0.92,1253,volatile,0.0
32,0.0,1,-0.23,-0.14,1330,volatile,0.0
33,0.0,1,-0.94,-0.77,2032,volatile,0.0
34,0.0,0,-0.85,-0.2,1016,volatile,0.0
35,0.0,1,-0.86,-0.63,1327,volatile,0.0
36,0.0,0,-0.82,-0.56,1158,volatile,0.0
37,0.0,0,-0.68,-0.63,1423,volatile,0.0
38,1.0,0,-0.65,-0.8,969,volatile,0.0
39,1.0,0,-0.25,-0.1,984,volatile,0.0
40,1.0,0,-0.67,-0.8,979,volatile,0.0
41,0.0,0,-0.82,-0.57,1579,volatile,0.0
42,1.0,0,-0.88,-0.47,1519,volatile,0.0
43,1.0,1,-0.55,-0.99,1093,volatile,0.0
44,0.0,1,-0.74,-0.67,1799,volatile,0.0
45,0.0,0,-0.18,-0.27,1378,volatile,0.0
46,1.0,0,-0.15,-0.67,3088,volatile,0.0
47,0.0,0,-0.91,-0.32,936,volatile,0.0
48,1.0,0,-0.66,-0.48,856,volatile,0.0
49,1.0,0,-0.67,-0.66,1064,volatile,0.0
50,1.0,1,-0.11,-0.72,840,volatile,0.0
51,1.0,0,-0.36,-0.52,936,volatile,0.0
52,1.0,0,-0.44,-0.76,711,volatile,0.0
53,1.0,0,-0.04,-0.37,1144,volatile,0.0
54,0.0,0,-0.86,-0.09,1280,volatile,0.0
55,1.0,0,-0.99,-0.86,2144,volatile,0.0
56,1.0,0,-0.39,-0.9,1113,volatile,0.0
57,1.0,1,-0.82,-0.85,952,volatile,0.0
58,1.0,0,-0.89,-0.99,1613,volatile,0.0
59,0.0,1,-0.88,-0.02,1329,volatile,0.0
60,1.0,0,-0.05,-0.33,999,volatile,1.0
61,1.0,1,-0.35,-0.86,939,volatile,1.0
62,1.0,1,-0.08,-0.13,767,volatile,1.0
63,0.0,1,-0.78,-0.68,1113,volatile,1.0
64,1.0,1,-0.05,-0.15,888,volatile,1.0
65,0.0,1,-0.62,-0.42,1050,volatile,1.0
66,0.0,0,-0.95,-0.51,1066,volatile,1.0
67,1.0,0,-0.59,-0.95,1169,volatile,1.0
68,1.0,0,-0.14,-0.98,1034,volatile,1.0
69,1.0,1,-0.05,-0.84,920,volatile,1.0
70,1.0,1,-0.38,-0.5,1565,volatile,1.0
71,1.0,1,-0.45,-0.59,1162,volatile,1.0
72,1.0,1,-0.32,-0.72,874,volatile,1.0
73,1.0,1,-0.02,-0.91,1828,volatile,1.0
74,0.0,1,-0.72,-0.99,1549,volatile,1.0
75,0.0,1,-0.61,-0.43,847,volatile,1.0
76,0.0,1,-0.24,-0.79,1810,volatile,1.0
77,0.0,1,-0.48,-0.15,954,volatile,1.0
78,0.0,1,-0.5,-0.61,1016,volatile,1.0
79,0.0,1,-0.83,-0.34,907,volatile,1.0
80,1.0,0,-0.84,-0.92,1655,volatile,1.0
81,0.0,0,-0.71,-0.05,1113,volatile,1.0
82,1.0,0,-0.5,-0.72,1327,volatile,1.0
83,1.0,1,-0.26,-0.29,812,volatile,1.0
84,1.0,1,-0.37,-0.63,1223,volatile,1.0
