,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1473,volatile,0.0
1,1.0,0,-0.76,-0.69,3198,volatile,0.0
2,0.0,0,-0.73,-0.52,2017,volatile,0.0
3,0.0,0,-0.41,-0.43,1955,volatile,0.0
4,1.0,1,-0.25,-0.34,1437,volatile,0.0
5,1.0,0,-0.34,-0.48,1457,volatile,0.0
6,1.0,0,-0.3,-0.35,1654,volatile,0.0
7,0.0,0,-0.91,-0.42,1452,volatile,0.0
8,0.0,0,-0.7,-0.44,1170,volatile,0.0
9,0.0,1,-0.64,-0.5,2129,volatile,0.0
10,1.0,0,-0.28,-0.19,1320,volatile,0.0
11,0.0,0,-0.02,-0.59,1808,volatile,0.0
12,0.0,0,-0.2,-0.09,2183,volatile,0.0
13,1.0,0,-0.32,-0.76,1677,volatile,0.0
14,0.0,0,-0.09,-0.98,1842,volatile,0.0
15,1.0,1,-0.62,-0.56,1648,volatile,0.0
16,1.0,0,-0.17,-0.16,1291,volatile,0.0
17,1.0,0,-0.74,-0.07,913,volatile,0.0
18,1.0,0,-0.02,-0.41,1680,volatile,0.0
19,0.0,0,-0.7,-0.57,861,volatile,0.0
20,1.0,1,-0.24,-0.28,841,volatile,0.0
21,1.0,1,-0.59,-0.76,888,volatile,0.0
22,1.0,0,-0.15,-0.19,677,volatile,0.0
23,1.0,1,-0.5,-0.68,672,volatile,0.0
24,1.0,0,-0.43,-0.68,751,volatile,0.0
25,1.0,1,-0.14,-0.19,1185,volatile,0.0
26,1.0,1,-0.12,-0.11,1071,volatile,0.0
27,1.0,1,-0.4,-0.36,577,volatile,0.0
28,0.0,1,-0.88,-0.64,809,volatile,0.0
29,0.0,1,-0.51,-0.03,691,volatile,0.0
30,0.0,1,-0.44,-0.76,1256,volatile,0.0
31,0.0,1,-0.23,-0.92,1115,volatile,0.0
32,0.0,1,-0.23,-0.14,982,volatile,0.0
33,0.0,1,-0.94,-0.77,816,volatile,0.0
34,0.0,0,-0.85,-0.2,660,volatile,0.0
35,0.0,1,-0.86,-0.63,667,volatile,0.0
36,0.0,0,-0.82,-0.56,969,volatile,0.0
37,1.0,0,-0.68,-0.63,585,volatile,0.0
38,0.0,0,-0.65,-0.8,622,volatile,0.0
39,1.0,0,-0.25,-0.1,614,volatile,0.0
40,1.0,0,-0.67,-0.8,657,volatile,0.0
41,1.0,0,-0.82,-0.57,836,volatile,0.0
42,1.0,0,-0.88,-0.47,715,volatile,0.0
43,0.0,1,-0.55,-0.99,628,volatile,0.0
44,0.0,1,-0.74,-0.67,1349,volatile,0.0
45,0.0,0,-0.18,-0.27,1747,volatile,0.0
46,0.0,0,-0.15,-0.67,1100,volatile,0.0
47,1.0,0,-0.91,-0.32,662,volatile,0.0
48,1.0,0,-0.66,-0.48,880,volatile,0.0
49,1.0,0,-0.67,-0.66,897,volatile,0.0
50,1.0,1,-0.11,-0.72,905,volatile,0.0
51,1.0,0,-0.36,-0.52,1180,volatile,0.0
52,1.0,0,-0.44,-0.76,969,volatile,0.0
53,1.0,0,-0.04,-0.37,893,volatile,0.0
54,0.0,0,-0.86,-0.09,1757,volatile,0.0
55,1.0,0,-0.99,-0.86,1786,volatile,0.0
56,1.0,0,-0.39,-0.9,1063,volatile,0.0
57,1.0,1,-0.82,-0.85,1409,volatile,0.0
58,1.0,0,-0.89,-0.99,1833,volatile,0.0
59,0.0,1,-0.88,-0.02,5972,volatile,0.0
60,0.0,0,-0.05,-0.33,2080,volatile,1.0
61,1.0,1,-0.35,-0.86,1899,volatile,1.0
62,1.0,1,-0.08,-0.13,1072,volatile,1.0
