,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1387,volatile,0.0
1,0.0,0,-0.76,-0.69,1999,volatile,0.0
2,0.0,0,-0.73,-0.52,1590,volatile,0.0
3,1.0,0,-0.41,-0.43,1033,volatile,0.0
4,1.0,1,-0.25,-0.34,824,volatile,0.0
5,1.0,0,-0.34,-0.48,1230,volatile,0.0
6,1.0,0,-0.3,-0.35,1574,volatile,0.0
7,0.0,0,-0.91,-0.42,1891,volatile,0.0
8,0.0,0,-0.7,-0.44,1055,volatile,0.0
9,1.0,1,-0.64,-0.5,1055,volatile,0.0
10,0.0,0,-0.28,-0.19,1190,volatile,0.0
11,1.0,0,-0.02,-0.59,1500,volatile,0.0
12,0.0,0,-0.2,-0.09,1317,volatile,0.0
13,1.0,0,-0.32,-0.76,729,volatile,0.0
14,1.0,0,-0.09,-0.98,1218,volatile,0.0
15,1.0,1,-0.62,-0.56,2102,volatile,0.0
16,0.0,0,-0.17,-0.16,2562,volatile,0.0
17,1.0,0,-0.74,-0.07,2795,volatile,0.0
18,1.0,0,-0.02,-0.41,1111,volatile,0.0
19,1.0,0,-0.7,-0.57,2316,volatile,0.0
20,1.0,1,-0.24,-0.28,1407,volatile,0.0
21,1.0,1,-0.59,-0.76,1193,volatile,0.0
22,0.0,0,-0.15,-0.19,965,volatile,0.0
23,0.0,1,-0.5,-0.68,1401,volatile,0.0
24,0.0,0,-0.43,-0.68,1620,volatile,0.0
25,1.0,1,-0.14,-0.19,929,volatile,0.0
26,1.0,1,-0.12,-0.11,2043,volatile,0.0
27,0.0,1,-0.4,-0.36,1403,volatile,0.0
28,0.0,1,-0.88,-0.64,1571,volatile,0.0
29,0.0,1,-0.51,-0.03,846,volatile,0.0
30,1.0,1,-0.44,-0.76,1412,volatile,0.0
31,1.0,1,-0.23,-0.92,1202,volatile,0.0
32,0.0,1,-0.23,-0.14,1266,volatile,0.0
33,0.0,1,-0.94,-0.77,1381,volatile,0.0
34,0.0,0,-0.85,-0.2,760,volatile,0.0
35,0.0,1,-0.86,-0.63,1312,volatile,0.0
36,1.0,0,-0.82,-0.56,2407,volatile,0.0
37,1.0,0,-0.68,-0.63,2143,volatile,0.0
38,1.0,0,-0.65,-0.8,1561,volatile,0.0
39,0.0,0,-0.25,-0.1,1576,volatile,0.0
40,0.0,0,-0.67,-0.8,1882,volatile,0.0
41,1.0,0,-0.82,-0.57,806,volatile,0.0
42,1.0,0,-0.88,-0.47,773,volatile,0.0
43,1.0,1,-0.55,-0.99,1445,volatile,0.0
44,0.0,1,-0.74,-0.67,963,volatile,0.0
45,,0,-0.18,-0.27,6254,volatile,0.0
46,1.0,0,-0.15,-0.67,1313,volatile,0.0
47,0.0,0,-0.91,-0.32,1196,volatile,0.0
48,0.0,0,-0.66,-0.48,1236,volatile,0.0
49,1.0,0,-0.67,-0.66,1128,volatile,0.0
50,1.0,1,-0.11,-0.72,1966,volatile,0.0
51,1.0,0,-0.36,-0.52,1205,volatile,0.0
52,1.0,0,-0.44,-0.76,1432,volatile,0.0
53,1.0,0,-0.04,-0.37,1054,volatile,0.0
54,0.0,0,-0.86,-0.09,885,volatile,0.0
55,0.0,0,-0.99,-0.86,580,volatile,0.0
56,1.0,0,-0.39,-0.9,972,volatile,0.0
57,1.0,1,-0.82,-0.85,1452,volatile,0.0
58,1.0,0,-0.89,-0.99,1002,volatile,0.0
59,0.0,1,-0.88,-0.02,997,volatile,0.0
60,1.0,0,-0.05,-0.33,836,volatile,1.0
61,0.0,1,-0.35,-0.86,4444,volatile,1.0
62,0.0,1,-0.08,-0.13,737,volatile,1.0
63,0.0,1,-0.78,-0.68,673,volatile,1.0
64,0.0,1,-0.05,-0.15,501,volatile,1.0
65,0.0,1,-0.62,-0.42,545,volatile,1.0
66,0.0,0,-0.95,-0.51,726,volatile,1.0
67,1.0,0,-0.59,-0.95,591,volatile,1.0
68,1.0,0,-0.14,-0.98,742,volatile,1.0
69,1.0,1,-0.05,-0.84,637,volatile,1.0
70,0.0,1,-0.38,-0.5,986,volatile,1.0
71,0.0,1,-0.45,-0.59,660,volatile,1.0
72,0.0,1,-0.32,-0.72,882,volatile,1.0
73,0.0,1,-0.02,-0.91,596,volatile,1.0
74,0.0,1,-0.72,-0.99,683,volatile,1.0
75,1.0,1,-0.61,-0.43,5003,volatile,1.0
76,1.0,1,-0.24,-0.79,648,volatile,1.0
77,0.0,1,-0.48,-0.15,921,volatile,1.0
78,0.0,1,-0.5,-0.61,576,volatile,1.0
79,0.0,1,-0.83,-0.34,491,volatile,1.0
80,0.0,0,-0.84,-0.92,602,volatile,1.0
81,1.0,0,-0.71,-0.05,609,volatile,1.0
82,1.0,0,-0.5,-0.72,765,volatile,1.0
83,0.0,1,-0.26,-0.29,773,volatile,1.0
84,0.0,1,-0.37,-0.63,629,volatile,1.0
85,0.0,0,-0.47,-0.12,707,volatile,1.0
86,1.0,0,-0.36,-0.81,850,volatile,1.0
87,1.0,0,-0.87,-0.59,604,volatile,1.0
88,1.0,0,-0.26,-0.75,566,volatile,1.0
89,1.0,0,-0.17,-0.19,595,volatile,1.0
90,1.0,1,-0.44,-0.37,1031,stable,1.0
91,0.0,1,-0.66,-0.12,713,stable,1.0
92,0.0,1,-0.98,-0.02,525,stable,1.0
93,0.0,0,-0.57,-0.95,730,stable,1.0
94,1.0,1,-0.28,-0.08,994,stable,1.0
95,0.0,1,-0.3,-0.33,688,stable,1.0
96,0.0,1,-0.27,-0.24,816,stable,1.0
97,0.0,0,-0.58,-0.43,1019,stable,1.0
98,1.0,1,-0.72,-0.47,1142,stable,1.0
99,0.0,0,-0.45,-0.44,1030,stable,1.0
100,1.0,1,-0.69,-0.26,927,stable,1.0
101,0.0,1,-0.06,-0.41,930,stable,1.0
102,0.0,0,-0.88,-0.34,745,stable,1.0
103,0.0,0,-0.73,-0.2,636,stable,1.0
104,1.0,1,-0.6,-0.25,660,stable,1.0
105,1.0,0,-0.98,-0.06,668,stable,1.0
106,0.0,0,-0.48,-0.39,1371,stable,1.0
107,0.0,1,-0.35,-0.95,802,stable,1.0
108,0.0,1,-0.67,-0.85,629,stable,1.0
109,0.0,1,-0.54,-0.22,727,stable,1.0
110,0.0,0,-0.23,-0.9,571,stable,1.0
111,1.0,1,-0.98,-0.41,637,stable,1.0
112,0.0,1,-0.58,-0.8,700,stable,1.0
113,0.0,0,-0.52,-0.85,755,stable,1.0
114,1.0,0,-0.83,-0.15,716,stable,1.0
