,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1350,volatile,0.0
1,0.0,0,-0.76,-0.69,1113,volatile,0.0
2,0.0,0,-0.73,-0.52,1214,volatile,0.0
3,1.0,0,-0.41,-0.43,910,volatile,0.0
4,1.0,1,-0.25,-0.34,1221,volatile,0.0
5,1.0,0,-0.34,-0.48,1336,volatile,0.0
6,1.0,0,-0.3,-0.35,1639,volatile,0.0
7,0.0,0,-0.91,-0.42,1213,volatile,0.0
8,0.0,0,-0.7,-0.44,1151,volatile,0.0
9,0.0,1,-0.64,-0.5,1399,volatile,0.0
10,0.0,0,-0.28,-0.19,1002,volatile,0.0
11,1.0,0,-0.02,-0.59,963,volatile,0.0
12,0.0,0,-0.2,-0.09,1008,volatile,0.0
13,1.0,0,-0.32,-0.76,1238,volatile,0.0
14,1.0,0,-0.09,-0.98,908,volatile,0.0
15,1.0,1,-0.62,-0.56,878,volatile,0.0
16,0.0,0,-0.17,-0.16,1413,volatile,0.0
17,0.0,0,-0.74,-0.07,1061,volatile,0.0
18,1.0,0,-0.02,-0.41,860,volatile,0.0
19,0.0,0,-0.7,-0.57,1138,volatile,0.0
20,1.0,1,-0.24,-0.28,1370,volatile,0.0
21,1.0,1,-0.59,-0.76,1656,volatile,0.0
22,1.0,0,-0.15,-0.19,1088,volatile,0.0
23,1.0,1,-0.5,-0.68,1021,volatile,0.0
24,1.0,0,-0.43,-0.68,1227,volatile,0.0
25,1.0,1,-0.14,-0.19,1259,volatile,0.0
26,0.0,1,-0.12,-0.11,1475,volatile,0.0
27,0.0,1,-0.4,-0.36,1315,volatile,0.0
28,0.0,1,-0.88,-0.64,1240,volatile,0.0
29,0.0,1,-0.51,-0.03,817,volatile,0.0
30,1.0,1,-0.44,-0.76,1137,volatile,0.0
31,1.0,1,-0.23,-0.92,1086,volatile,0.0
32,0.0,1,-0.23,-0.14,1109,volatile,0.0
33,0.0,1,-0.94,-0.77,1022,volatile,0.0
34,0.0,0,-0.85,-0.2,1287,volatile,0.0
35,0.0,1,-0.86,-0.63,1139,volatile,0.0
36,0.0,0,-0.82,-0.56,1450,volatile,0.0
37,0.0,0,-0.68,-0.63,1361,volatile,0.0
38,1.0,0,-0.65,-0.8,1390,volatile,0.0
39,1.0,0,-0.25,-0.1,935,volatile,0.0
40,1.0,0,-0.67,-0.8,1254,volatile,0.0
41,0.0,0,-0.82,-0.57,1386,volatile,0.0
42,0.0,0,-0.88,-0.47,1045,volatile,0.0
43,1.0,1,-0.55,-0.99,1176,volatile,0.0
44,0.0,1,-0.74,-0.67,1194,volatile,0.0
45,1.0,0,-0.18,-0.27,2291,volatile,0.0
46,1.0,0,-0.15,-0.67,980,volatile,0.0
47,0.0,0,-0.91,-0.32,997,volatile,0.0
48,0.0,0,-0.66,-0.48,1242,volatile,0.0
49,1.0,0,-0.67,-0.66,1440,volatile,0.0
50,1.0,1,-0.11,-0.72,1377,volatile,0.0
51,1.0,0,-0.36,-0.52,1113,volatile,0.0
52,1.0,0,-0.44,-0.76,1164,volatile,0.0
53,1.0,0,-0.04,-0.37,875,volatile,0.0
54,0.0,0,-0.86,-0.09,991,volatile,0.0
55,0.0,0,-0.99,-0.86,1247,volatile,0.0
56,1.0,0,-0.39,-0.9,1219,volatile,0.0
57,1.0,1,-0.82,-0.85,1335,volatile,0.0
58,1.0,0,-0.89,-0.99,1481,volatile,0.0
59,0.0,1,-0.88,-0.02,904,volatile,0.0
60,1.0,0,-0.05,-0.33,793,volatile,1.0
61,1.0,1,-0.35,-0.86,1116,volatile,1.0
62,1.0,1,-0.08,-0.13,1027,volatile,1.0
63,0.0,1,-0.78,-0.68,1297,volatile,1.0
64,1.0,1,-0.05,-0.15,900,volatile,1.0
65,0.0,1,-0.62,-0.42,1173,volatile,1.0
66,0.0,0,-0.95,-0.51,1473,volatile,1.0
67,1.0,0,-0.59,-0.95,1149,volatile,1.0
68,1.0,0,-0.14,-0.98,1065,volatile,1.0
69,1.0,1,-0.05,-0.84,860,volatile,1.0
70,1.0,1,-0.38,-0.5,1068,volatile,1.0
71,1.0,1,-0.45,-0.59,970,volatile,1.0
72,1.0,1,-0.32,-0.72,1179,volatile,1.0
73,1.0,1,-0.02,-0.91,780,volatile,1.0
74,1.0,1,-0.72,-0.99,1010,volatile,1.0
75,0.0,1,-0.61,-0.43,1228,volatile,1.0
76,1.0,1,-0.24,-0.79,827,volatile,1.0
77,0.0,1,-0.48,-0.15,975,volatile,1.0
78,1.0,1,-0.5,-0.61,1106,volatile,1.0
79,0.0,1,-0.83,-0.34,997,volatile,1.0
80,1.0,0,-0.84,-0.92,1421,volatile,1.0
81,0.0,0,-0.71,-0.05,826,volatile,1.0
82,1.0,0,-0.5,-0.72,1603,volatile,1.0
83,1.0,1,-0.26,-0.29,1390,volatile,1.0
84,1.0,1,-0.37,-0.63,902,volatile,1.0
85,1.0,0,-0.47,-0.12,1176,volatile,1.0
86,1.0,0,-0.36,-0.81,1273,volatile,1.0
87,0.0,0,-0.87,-0.59,1075,volatile,1.0
88,1.0,0,-0.26,-0.75,1035,volatile,1.0
89,1.0,0,-0.17,-0.19,1047,volatile,1.0
90,0.0,1,-0.44,-0.37,1989,stable,1.0
91,0.0,1,-0.66,-0.12,872,stable,1.0
92,0.0,1,-0.98,-0.02,703,stable,1.0
93,1.0,0,-0.57,-0.95,1200,stable,1.0
94,0.0,1,-0.28,-0.08,897,stable,1.0
95,1.0,1,-0.3,-0.33,1551,stable,1.0
96,0.0,1,-0.27,-0.24,981,stable,1.0
97,0.0,0,-0.58,-0.43,1315,stable,1.0
98,0.0,1,-0.72,-0.47,1125,stable,1.0
99,0.0,0,-0.45,-0.44,1515,stable,1.0
100,0.0,1,-0.69,-0.26,1215,stable,1.0
101,1.0,1,-0.06,-0.41,1245,stable,1.0
102,0.0,0,-0.88,-0.34,1128,stable,1.0
103,0.0,0,-0.73,-0.2,1459,stable,1.0
104,0.0,1,-0.6,-0.25,1112,stable,1.0
105,0.0,0,-0.98,-0.06,1115,stable,1.0
106,0.0,0,-0.48,-0.39,1492,stable,1.0
