,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.44,-0.37,1893,stable,0.0
1,0.0,1,-0.66,-0.12,1115,stable,0.0
2,0.0,1,-0.98,-0.02,1410,stable,0.0
3,0.0,0,-0.57,-0.95,832,stable,0.0
4,1.0,1,-0.28,-0.08,1280,stable,0.0
5,1.0,1,-0.3,-0.33,1185,stable,0.0
6,0.0,1,-0.27,-0.24,1761,stable,0.0
7,0.0,0,-0.58,-0.43,1450,stable,0.0
8,1.0,1,-0.72,-0.47,1152,stable,0.0
9,0.0,0,-0.45,-0.44,1281,stable,0.0
10,0.0,1,-0.69,-0.26,1987,stable,0.0
11,0.0,1,-0.06,-0.41,735,stable,0.0
12,0.0,0,-0.88,-0.34,672,stable,0.0
13,1.0,0,-0.73,-0.2,960,stable,0.0
14,1.0,1,-0.6,-0.25,1120,stable,0.0
15,0.0,0,-0.98,-0.06,768,stable,0.0
16,0.0,0,-0.48,-0.39,1441,stable,0.0
17,1.0,1,-0.35,-0.95,1667,stable,0.0
18,1.0,1,-0.67,-0.85,1440,stable,0.0
19,0.0,1,-0.54,-0.22,1731,stable,0.0
20,0.0,0,-0.23,-0.9,1731,stable,0.0
21,1.0,1,-0.98,-0.41,832,stable,0.0
22,0.0,1,-0.58,-0.8,1032,stable,0.0
23,0.0,0,-0.52,-0.85,703,stable,0.0
24,0.0,0,-0.83,-0.15,735,stable,0.0
25,1.0,1,-0.18,-0.16,1313,stable,0.0
26,0.0,1,-0.56,-0.7,1313,stable,0.0
27,0.0,1,-0.59,-0.95,1249,stable,0.0
28,0.0,1,-0.68,-0.18,1217,stable,0.0
29,1.0,1,-0.3,-0.16,703,stable,0.0
30,0.0,0,-0.86,-0.37,1056,stable,0.0
31,1.0,1,-0.47,-0.44,607,stable,0.0
32,1.0,1,-0.03,-0.91,639,stable,0.0
33,0.0,0,-0.6,-0.1,1088,stable,0.0
34,1.0,1,-0.54,-0.84,735,stable,0.0
35,0.0,1,-0.34,-0.95,1024,stable,0.0
36,0.0,0,-0.96,-0.28,671,stable,0.0
37,0.0,1,-0.83,-0.94,1153,stable,0.0
38,0.0,1,-0.23,-0.86,896,stable,0.0
39,1.0,1,-0.99,-0.2,1120,stable,0.0
40,0.0,1,-0.29,-0.91,928,stable,0.0
41,1.0,0,-0.88,-0.64,960,stable,0.0
42,0.0,1,-0.84,-0.8,1860,stable,0.0
43,0.0,0,-0.61,-0.88,608,stable,0.0
44,0.0,1,-0.23,-0.77,831,stable,0.0
45,1.0,1,-0.87,-0.54,1288,stable,0.0
46,0.0,1,-0.25,-0.9,898,stable,0.0
47,0.0,0,-0.71,-0.44,1538,stable,0.0
48,1.0,1,-0.42,-0.52,831,stable,0.0
49,0.0,1,-0.39,-0.94,896,stable,0.0
50,1.0,1,-0.39,-0.24,1955,stable,0.0
51,1.0,0,-0.2,-0.1,2029,stable,0.0
52,1.0,0,-0.85,-0.43,1058,stable,0.0
53,1.0,0,-0.77,-0.02,1633,stable,0.0
54,0.0,1,-0.54,-0.87,832,stable,0.0
55,0.0,1,-0.56,-0.57,2470,stable,0.0
56,0.0,1,-0.5,-0.79,1024,stable,0.0
57,0.0,1,-0.04,-0.88,768,stable,0.0
58,1.0,0,-0.4,-0.38,1345,stable,0.0
59,0.0,1,-0.47,-0.86,993,stable,0.0
60,0.0,1,-0.15,-0.49,735,stable,1.0
61,0.0,1,-0.17,-0.39,671,stable,1.0
62,0.0,0,-0.76,-0.97,992,stable,1.0
63,1.0,1,-0.73,-0.14,960,stable,1.0
64,0.0,1,-0.67,-0.29,960,stable,1.0
65,1.0,1,-0.48,-0.39,1153,stable,1.0
66,1.0,1,-0.3,-0.87,862,stable,1.0
67,0.0,0,-0.13,-0.37,1988,stable,1.0
68,1.0,1,-0.66,-0.59,583,stable,1.0
69,0.0,1,-0.2,-0.77,831,stable,1.0
70,1.0,1,-0.39,-0.28,1185,stable,1.0
71,1.0,1,-0.61,-0.55,1024,stable,1.0
72,1.0,1,-0.62,-0.02,768,stable,1.0
73,0.0,0,-0.5,-0.8,2825,stable,1.0
74,0.0,0,-0.6,-0.07,1057,stable,1.0
75,0.0,0,-0.76,-0.52,1249,stable,1.0
76,0.0,1,-0.49,-0.14,1602,stable,1.0
77,1.0,1,-0.46,-0.36,1503,stable,1.0
78,0.0,1,-0.84,-0.29,764,stable,1.0
79,1.0,1,-0.44,-0.47,1827,stable,1.0
80,1.0,1,-0.73,-0.44,1249,stable,1.0
81,0.0,1,-0.3,-0.95,864,stable,1.0
82,1.0,0,-0.8,-0.39,929,stable,1.0
83,1.0,1,-0.67,-0.61,960,stable,1.0
84,0.0,1,-0.95,-0.61,1891,stable,1.0
85,0.0,1,-0.65,-0.19,606,stable,1.0
86,0.0,1,-0.72,-0.33,800,stable,1.0
87,0.0,0,-0.87,-0.17,671,stable,1.0
88,0.0,1,-0.65,-0.53,639,stable,1.0
89,0.0,1,-0.38,-0.76,1828,stable,1.0
90,1.0,1,-0.41,-0.2,2009,volatile,1.0
91,0.0,0,-0.76,-0.69,1408,volatile,1.0
92,0.0,0,-0.73,-0.52,1474,volatile,1.0
93,0.0,0,-0.41,-0.43,1121,volatile,1.0
94,1.0,1,-0.25,-0.34,1057,volatile,1.0
