,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,3271,stable,0.0
1,0.0,1,-0.66,-0.12,1958,stable,0.0
2,0.0,1,-0.98,-0.02,1035,stable,0.0
3,1.0,0,-0.57,-0.95,1539,stable,0.0
4,0.0,1,-0.28,-0.08,1233,stable,0.0
5,1.0,1,-0.3,-0.33,1584,stable,0.0
6,0.0,1,-0.27,-0.24,3048,stable,0.0
7,0.0,0,-0.58,-0.43,1521,stable,0.0
8,0.0,1,-0.72,-0.47,2136,stable,0.0
9,1.0,0,-0.45,-0.44,2129,stable,0.0
10,0.0,1,-0.69,-0.26,1418,stable,0.0
11,1.0,1,-0.06,-0.41,1367,stable,0.0
12,0.0,0,-0.88,-0.34,1279,stable,0.0
13,0.0,0,-0.73,-0.2,1347,stable,0.0
14,0.0,1,-0.6,-0.25,1364,stable,0.0
15,0.0,0,-0.98,-0.06,1104,stable,0.0
16,0.0,0,-0.48,-0.39,1358,stable,0.0
17,1.0,1,-0.35,-0.95,1356,stable,0.0
18,0.0,1,-0.67,-0.85,1808,stable,0.0
19,1.0,1,-0.54,-0.22,1711,stable,0.0
20,1.0,0,-0.23,-0.9,1168,stable,0.0
21,0.0,1,-0.98,-0.41,1585,stable,0.0
22,1.0,1,-0.58,-0.8,1322,stable,0.0
23,1.0,0,-0.52,-0.85,1461,stable,0.0
24,0.0,0,-0.83,-0.15,1039,stable,0.0
25,1.0,1,-0.18,-0.16,1590,stable,0.0
26,1.0,1,-0.56,-0.7,1337,stable,0.0
27,1.0,1,-0.59,-0.95,1586,stable,0.0
28,0.0,1,-0.68,-0.18,1277,stable,0.0
29,0.0,1,-0.3,-0.16,1188,stable,0.0
30,0.0,0,-0.86,-0.37,1428,stable,0.0
31,1.0,1,-0.47,-0.44,2234,stable,0.0
32,1.0,1,-0.03,-0.91,995,stable,0.0
33,0.0,0,-0.6,-0.1,1674,stable,0.0
34,1.0,1,-0.54,-0.84,1291,stable,0.0
35,1.0,1,-0.34,-0.95,1202,stable,0.0
36,0.0,0,-0.96,-0.28,1365,stable,0.0
37,1.0,1,-0.83,-0.94,1097,stable,0.0
38,1.0,1,-0.23,-0.86,1141,stable,0.0
39,0.0,1,-0.99,-0.2,1005,stable,0.0
40,0.0,1,-0.29,-0.91,1258,stable,0.0
41,0.0,0,-0.88,-0.64,1328,stable,0.0
42,1.0,1,-0.84,-0.8,1793,stable,0.0
43,1.0,0,-0.61,-0.88,627,stable,0.0
44,1.0,1,-0.23,-0.77,660,stable,0.0
45,,1,-0.87,-0.54,6252,stable,0.0
46,1.0,1,-0.25,-0.9,2245,stable,0.0
47,0.0,0,-0.71,-0.44,1426,stable,0.0
48,1.0,1,-0.42,-0.52,1115,stable,0.0
49,1.0,1,-0.39,-0.94,985,stable,0.0
50,0.0,1,-0.39,-0.24,961,stable,0.0
51,1.0,0,-0.2,-0.1,872,stable,0.0
52,1.0,0,-0.85,-0.43,1472,stable,0.0
53,0.0,0,-0.77,-0.02,1673,stable,0.0
54,0.0,1,-0.54,-0.87,3626,stable,0.0
55,0.0,1,-0.56,-0.57,2049,stable,0.0
56,1.0,1,-0.5,-0.79,1350,stable,0.0
57,1.0,1,-0.04,-0.88,1081,stable,0.0
58,0.0,0,-0.4,-0.38,3151,stable,0.0
59,1.0,1,-0.47,-0.86,1394,stable,0.0
60,1.0,1,-0.15,-0.49,1402,stable,1.0
61,0.0,1,-0.17,-0.39,600,stable,1.0
62,1.0,0,-0.76,-0.97,1274,stable,1.0
63,0.0,1,-0.73,-0.14,1108,stable,1.0
64,0.0,1,-0.67,-0.29,1129,stable,1.0
65,0.0,1,-0.48,-0.39,1133,stable,1.0
66,1.0,1,-0.3,-0.87,1328,stable,1.0
67,1.0,0,-0.13,-0.37,1201,stable,1.0
68,1.0,1,-0.66,-0.59,1905,stable,1.0
69,1.0,1,-0.2,-0.77,959,stable,1.0
70,0.0,1,-0.39,-0.28,1112,stable,1.0
71,0.0,1,-0.61,-0.55,1704,stable,1.0
72,1.0,1,-0.62,-0.02,908,stable,1.0
73,1.0,0,-0.5,-0.8,1231,stable,1.0
74,0.0,0,-0.6,-0.07,985,stable,1.0
75,0.0,0,-0.76,-0.52,1212,stable,1.0
76,0.0,1,-0.49,-0.14,1351,stable,1.0
77,0.0,1,-0.46,-0.36,1232,stable,1.0
78,0.0,1,-0.84,-0.29,1129,stable,1.0
79,1.0,1,-0.44,-0.47,1318,stable,1.0
80,0.0,1,-0.73,-0.44,1093,stable,1.0
81,1.0,1,-0.3,-0.95,1099,stable,1.0
82,0.0,0,-0.8,-0.39,1156,stable,1.0
83,0.0,1,-0.67,-0.61,1418,stable,1.0
84,0.0,1,-0.95,-0.61,1124,stable,1.0
85,0.0,1,-0.65,-0.19,1104,stable,1.0
86,0.0,1,-0.72,-0.33,1423,stable,1.0
87,0.0,0,-0.87,-0.17,1233,stable,1.0
88,0.0,1,-0.65,-0.53,1285,stable,1.0
89,1.0,1,-0.38,-0.76,1187,stable,1.0
90,0.0,1,-0.41,-0.2,4301,volatile,1.0
91,0.0,0,-0.76,-0.69,1407,volatile,1.0
92,0.0,0,-0.73,-0.52,1231,volatile,1.0
93,1.0,0,-0.41,-0.43,1217,volatile,1.0
94,1.0,1,-0.25,-0.34,1409,volatile,1.0
95,1.0,0,-0.34,-0.48,1352,volatile,1.0
96,0.0,0,-0.3,-0.35,2115,volatile,1.0
97,0.0,0,-0.91,-0.42,1310,volatile,1.0
98,0.0,0,-0.7,-0.44,1116,volatile,1.0
99,0.0,1,-0.64,-0.5,1898,volatile,1.0
100,0.0,0,-0.28,-0.19,2456,volatile,1.0
101,1.0,0,-0.02,-0.59,2057,volatile,1.0
102,0.0,0,-0.2,-0.09,2651,volatile,1.0
103,1.0,0,-0.32,-0.76,1999,volatile,1.0
104,1.0,0,-0.09,-0.98,2561,volatile,1.0
105,0.0,1,-0.62,-0.56,2863,volatile,1.0
106,1.0,0,-0.17,-0.16,2511,volatile,1.0
107,0.0,0,-0.74,-0.07,948,volatile,1.0
108,1.0,0,-0.02,-0.41,1044,volatile,1.0
109,1.0,0,-0.7,-0.57,2629,volatile,1.0
110,1.0,1,-0.24,-0.28,1810,volatile,1.0
111,1.0,1,-0.59,-0.76,1246,volatile,1.0
112,0.0,0,-0.15,-0.19,2027,volatile,1.0
113,1.0,1,-0.5,-0.68,1439,volatile,1.0
114,1.0,0,-0.43,-0.68,1217,volatile,1.0
115,1.0,1,-0.14,-0.19,1380,volatile,1.0
116,0.0,1,-0.12,-0.11,1068,volatile,1.0
117,0.0,1,-0.4,-0.36,1293,volatile,1.0
118,0.0,1,-0.88,-0.64,1256,volatile,1.0
119,0.0,1,-0.51,-0.03,1171,volatile,1.0
120,1.0,1,-0.44,-0.76,1265,volatile,2.0
121,1.0,1,-0.23,-0.92,2264,volatile,2.0
122,1.0,1,-0.23,-0.14,4078,volatile,2.0
123,0.0,1,-0.94,-0.77,1173,volatile,2.0
124,0.0,0,-0.85,-0.2,2536,volatile,2.0
125,0.0,1,-0.86,-0.63,2574,volatile,2.0
126,0.0,0,-0.82,-0.56,1925,volatile,2.0
127,1.0,0,-0.68,-0.63,2152,volatile,2.0
128,1.0,0,-0.65,-0.8,1973,volatile,2.0
129,0.0,0,-0.25,-0.1,3315,volatile,2.0
130,1.0,0,-0.67,-0.8,2694,volatile,2.0
131,0.0,0,-0.82,-0.57,1890,volatile,2.0
132,0.0,0,-0.88,-0.47,1678,volatile,2.0
133,1.0,1,-0.55,-0.99,1823,volatile,2.0
134,0.0,1,-0.74,-0.67,1635,volatile,2.0
135,1.0,0,-0.18,-0.27,2776,volatile,2.0
136,1.0,0,-0.15,-0.67,1178,volatile,2.0
137,0.0,0,-0.91,-0.32,1334,volatile,2.0
138,0.0,0,-0.66,-0.48,1540,volatile,2.0
139,0.0,0,-0.67,-0.66,1600,volatile,2.0
140,1.0,1,-0.11,-0.72,1593,volatile,2.0
141,1.0,0,-0.36,-0.52,1212,volatile,2.0
142,0.0,0,-0.44,-0.76,2994,volatile,2.0
143,1.0,0,-0.04,-0.37,935,volatile,2.0
144,0.0,0,-0.86,-0.09,1409,volatile,2.0
145,0.0,0,-0.99,-0.86,1489,volatile,2.0
146,1.0,0,-0.39,-0.9,2482,volatile,2.0
147,0.0,1,-0.82,-0.85,2415,volatile,2.0
148,0.0,0,-0.89,-0.99,1627,volatile,2.0
149,0.0,1,-0.88,-0.02,1916,volatile,2.0
150,1.0,0,-0.05,-0.33,1719,volatile,2.0
151,1.0,1,-0.35,-0.86,2678,volatile,2.0
152,0.0,1,-0.08,-0.13,2402,volatile,2.0
153,0.0,1,-0.78,-0.68,2541,volatile,2.0
154,1.0,1,-0.05,-0.15,2255,volatile,2.0
155,0.0,1,-0.62,-0.42,1780,volatile,2.0
156,0.0,0,-0.95,-0.51,1391,volatile,2.0
157,1.0,0,-0.59,-0.95,1375,volatile,2.0
158,1.0,0,-0.14,-0.98,1058,volatile,2.0
159,1.0,1,-0.05,-0.84,1542,volatile,2.0
160,1.0,1,-0.38,-0.5,1373,volatile,2.0
161,1.0,1,-0.45,-0.59,1114,volatile,2.0
162,1.0,1,-0.32,-0.72,1026,volatile,2.0
163,1.0,1,-0.02,-0.91,1910,volatile,2.0
164,1.0,1,-0.72,-0.99,1081,volatile,2.0
165,1.0,1,-0.61,-0.43,2032,volatile,2.0
166,1.0,1,-0.24,-0.79,2003,volatile,2.0
167,0.0,1,-0.48,-0.15,2104,volatile,2.0
168,0.0,1,-0.5,-0.61,1846,volatile,2.0
169,0.0,1,-0.83,-0.34,1164,volatile,2.0
170,0.0,0,-0.84,-0.92,1167,volatile,2.0
171,0.0,0,-0.71,-0.05,943,volatile,2.0
172,1.0,0,-0.5,-0.72,1958,volatile,2.0
173,0.0,1,-0.26,-0.29,1301,volatile,2.0
174,1.0,1,-0.37,-0.63,2398,volatile,2.0
175,0.0,0,-0.47,-0.12,1237,volatile,2.0
176,1.0,0,-0.36,-0.81,2786,volatile,2.0
177,0.0,0,-0.87,-0.59,1940,volatile,2.0
178,1.0,0,-0.26,-0.75,1184,volatile,2.0
179,0.0,0,-0.17,-0.19,1520,volatile,2.0
